,ALLL3,AMBV4,BRML3,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,BISA3,CCRO3,CMIG4,CESP6,CTIP3,HGTX3,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DASA3,DXCO3,ELET3,ELET6,ELPL4,EMBR3,ENBR3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HYPE3,ITSA4,ITUB4,JBSS3,KLBN4,LIGT3,PRML3,RENT3,LAME4,LREN3,MRFG3,MMXM3,MRVE3,NATU3,OGXP3,OIBR4,PCAR4,PDGR3,PETR3,PETR4,RDCD3,RSID3,SANB11,CSNA3,CRUZ3,VIVT4,TIMS3,UGPA3,USIM5,VALE3,VALE5
2011-10-31,8.39,54.34,10.420172691345217,2.241149425506592,7.628,14.226537704467772,12.833368301391602,8.29662799835205,32.86263656616211,5.87,7.927253246307373,3.587462902069092,14.424,20.41,26.657,5.8958420753479,1.721,4.275672912597656,11.836301803588867,10.021062850952148,12.575225830078123,4.969849109649658,9.11753273010254,11.976,24.39,10.931516647338867,6.331188678741455,13.074103355407717,309.51806640625,11.304764747619627,13.096524238586426,13.510000228881836,7.788906574249268,3.2431607246398926,9.563511848449709,4.258057594299316,0.8489318490028381,18.513673782348636,37.35904693603516,5.533279895782471,3.139,6.919536590576172,5.834921360015869,1153.9476318359375,6.657876014709473,13.14,1480.0,98.72530364990234,62.52,3530.474609375,11.304864883422852,9.677908897399902,28.850000381469727,257.49920654296875,8.01114273071289,9.461338996887209,17.96,28.343,6.845212459564209,12.98898220062256,9.908455848693848,23.744918823242188,30.92
2011-11-01,8.33,54.79,10.504660606384276,2.157667398452759,7.553,13.59857177734375,12.783820152282717,7.911619186401367,32.12725067138672,5.56,7.918865203857422,3.625496625900269,14.178,19.83,26.268,5.916439056396484,1.686,4.275672912597656,11.77054500579834,9.54704761505127,13.2661714553833,4.569975852966309,9.000844955444336,11.891,24.56,10.765469551086426,6.364499568939209,12.222882270812988,286.0912475585937,10.887139320373535,12.333109855651855,13.100000381469728,6.767152309417725,3.1650850772857666,9.391644477844238,3.6685984134674072,0.8381862640380859,18.409862518310547,35.89207077026367,5.293435096740723,3.082,6.818522930145264,5.236468315124512,1089.50634765625,6.089267730712891,13.26,1395.0,95.30081939697266,61.7,3226.3515625,11.143228530883787,9.476099014282228,29.059999465942383,245.6328887939453,7.5104475021362305,9.028656959533691,17.99,27.883,6.715914249420166,13.107833862304688,9.656546592712402,23.522180557250977,30.62
2011-11-03,8.53,54.79,10.476494789123535,2.157667398452759,7.607,14.030142784118652,12.506338119506836,8.513531684875488,32.43979263305664,5.47,7.977585315704346,3.688880920410156,14.678,20.59,26.268,6.031010627746582,1.696,4.227811813354492,12.05549144744873,9.627163887023926,13.4043607711792,4.621907711029053,9.006150245666504,11.993,24.63,10.230423927307127,6.417099475860596,12.363374710083008,290.35064697265625,11.088749885559082,12.609519958496094,14.210000038146973,6.900766372680664,3.192112922668457,9.499791145324709,3.76942777633667,0.8381862640380859,18.64517593383789,36.38106155395508,5.299745559692383,3.094,6.912891864776611,5.236468315124512,1101.4954833984375,5.903178691864014,13.56,1418.0,95.8019561767578,62.07,3195.498291015625,11.593853950500488,9.830387115478516,29.649999618530277,243.25962829589844,7.610586166381836,9.1786527633667,17.72,27.902,6.92126989364624,13.307340621948242,9.740514755249023,24.277284622192383,31.61
2011-11-04,8.62,54.81,10.57225227355957,2.157667398452759,7.58,14.249998092651367,12.536069869995115,8.540644645690918,32.145633697509766,5.62,7.860143184661865,3.723109483718872,15.853,20.41,26.112,6.076063632965088,1.687,4.227811813354492,11.891100883483888,9.713955879211426,13.08191967010498,4.725769996643066,9.541851997375488,12.512,24.17,10.68244457244873,6.375020503997803,12.603039741516112,298.1596069335937,11.254364967346191,12.839861869812012,14.609999656677246,6.60209846496582,3.204123020172119,9.534873008728027,3.87801194190979,0.8569916486740112,18.306047439575195,37.26124954223633,5.343929767608643,3.02,6.818522930145264,5.296313762664795,1113.4844970703125,5.970377445220947,13.64,1423.0,98.80882263183594,62.37,3208.720947265625,11.706512451171877,9.91110897064209,29.850000381469727,241.36102294921875,7.615592956542969,9.461338996887209,18.17,27.574,6.746336460113525,13.247913360595703,9.96723461151123,24.77162742614746,32.03
2011-11-07,8.73,54.47,10.870773315429688,2.18121337890625,7.628,14.534997940063477,12.62525749206543,8.508109092712402,32.85345458984375,5.66,7.985972881317139,3.738315105438232,15.507,20.25,26.414,6.050318241119385,1.733,4.275672912597656,12.384279251098633,9.95429801940918,13.026643753051758,4.704998016357422,9.716880798339844,12.708,24.6,11.023763656616213,6.390799522399902,12.47907543182373,298.8695068359375,11.304764747619627,12.85960292816162,14.1899995803833,6.036205291748047,3.2191383838653564,9.529029846191406,3.846987247467041,0.8529618382453918,18.83896255493164,36.96785354614258,5.207173824310303,3.016,6.79193925857544,5.199065208435059,1116.4818115234375,5.918687343597412,13.56,1455.0,100.14521026611328,63.14,3221.94384765625,12.059178352355955,10.171220779418944,30.0,246.5821990966797,7.540489673614502,9.60556697845459,18.32,27.32,6.830000400543213,13.714837074279783,9.950441360473633,24.98892593383789,32.32
2011-11-08,8.84,54.11,10.983426094055176,2.1940560340881348,7.669,14.55128574371338,12.590576171875,8.670787811279297,32.86263656616211,5.68,7.927253246307373,3.676198482513428,15.151,20.31,26.579,6.082501411437988,1.71,4.293222427368164,12.24728775024414,10.087823867797852,13.017431259155272,4.715384006500244,9.541851997375488,12.478,24.39,10.94074249267578,6.417099475860596,12.280732154846191,298.8695068359375,11.232763290405272,12.800374984741213,14.170000076293944,6.3663105964660645,3.213131189346313,9.514409065246582,3.8392317295074463,0.8650509715080261,18.41678237915039,36.47885894775391,5.112498760223389,3.037,6.845104217529297,5.251429557800293,1074.52001953125,5.970377445220947,13.49,1442.0,96.63719177246094,61.96,3204.313232421875,11.951416015625,10.05013370513916,29.82999992370605,247.0568389892578,7.535482883453369,9.530569076538086,18.32,27.583,6.784366130828857,13.68936824798584,10.101587295532228,24.83139038085937,32.18
2011-11-09,8.29,54.87,10.836978912353516,2.211181402206421,7.539,14.217429161071776,12.24868106842041,8.025494575500488,32.72474670410156,5.39,7.834980010986328,3.636911630630493,14.779,20.34,26.462,6.074777126312256,1.688,4.256528377532959,12.329485893249512,9.44690227508545,12.943729400634766,4.544010162353516,9.303171157836914,12.316,24.0,10.663992881774902,6.325928211212158,11.677437782287598,283.9615478515625,10.944746017456056,12.438408851623535,13.8100004196167,6.209117889404297,3.144064426422119,9.274724960327148,3.7228903770446777,0.8663942217826843,18.34757423400879,34.91408157348633,5.049379348754883,3.025,6.725481033325195,4.937241077423096,1028.0623779296875,5.634383201599121,13.44,1395.0,93.7138671875,61.83,3116.161865234375,11.38813304901123,9.624090194702148,29.75,232.57994079589844,7.365244388580322,9.144038200378418,18.24,28.174,6.510558128356934,13.460149765014648,9.950441360473633,24.423961639404297,31.66
2011-11-10,8.14,54.48,10.836978912353516,2.211181402206421,7.409,14.217429161071776,12.24868106842041,8.025494575500488,32.72474670410156,5.34,7.834980010986328,3.636911630630493,15.007,20.3,26.54,6.074777126312256,1.695,4.256528377532959,12.329485893249512,9.44690227508545,13.03585720062256,4.544010162353516,9.303171157836914,12.24,24.48,10.663992881774902,6.289108276367188,11.677437782287598,283.9615478515625,10.944746017456056,12.438408851623535,13.8100004196167,6.209117889404297,3.144064426422119,9.274724960327148,3.7228903770446777,0.8663942217826843,18.34757423400879,34.91408157348633,5.14616060256958,3.057,6.725481033325195,4.937241077423096,1028.0623779296875,5.634383201599121,13.8,1395.0,93.7138671875,60.74,3116.161865234375,11.38813304901123,9.624090194702148,,232.57994079589844,7.365244388580322,9.144038200378418,18.23,27.367,6.510558128356934,13.460149765014648,9.950441360473633,24.423961639404297,31.53
2011-11-11,8.49,55.04,10.983426094055176,2.215462684631348,7.519,14.392497062683104,12.124810218811035,7.9170427322387695,31.970977783203125,5.61,7.858467102050781,3.7623987197875977,15.295,20.66,26.881,6.166175842285156,1.719,4.331511497497559,12.504834175109863,9.981003761291504,13.008214950561523,4.4401469230651855,9.218308448791504,12.299,24.79,10.70089626312256,6.364499568939209,11.51215362548828,297.44970703125,11.16795539855957,12.754307746887209,13.890000343322754,6.554943084716797,3.1470680236816406,9.306877136230469,3.986595869064331,0.891916036605835,18.319887161254883,35.20747756958008,5.289226531982422,3.168,7.02454137802124,5.498291492462158,1064.029541015625,5.970377445220947,14.56,1399.0,96.88777160644533,61.11,3318.91064453125,11.682019233703612,9.848322868347168,30.40999984741211,250.14208984375,7.445358753204346,9.507492065429688,18.48,27.705,6.457315921783447,13.47288417816162,10.412275314331056,24.673843383789062,31.94
2011-11-14,8.3,55.08,10.92710018157959,2.191915988922119,7.628,14.201139450073242,12.536069869995115,7.797744750976562,31.621671676635746,5.4,7.793036460876465,3.734511613845825,14.771,20.46,27.358,6.2369771003723145,1.677,4.275672912597656,12.389759063720703,9.68057346343994,13.47806167602539,4.486884593963623,8.99023723602295,12.086,24.88,10.70089626312256,6.276834487915039,11.412981986999512,289.6407470703125,10.908740043640137,12.405506134033203,14.050000190734863,6.523503303527832,3.1620821952819824,9.330260276794434,4.188252925872803,0.8757970333099365,18.617490768432617,35.01188278198242,5.322889804840088,3.148,6.996626853942871,5.8723249435424805,1040.051513671875,5.7584428787231445,14.35,1383.0,94.79966735839844,60.56,3235.16650390625,11.731417655944824,9.92073917388916,30.8700008392334,243.25962829589844,7.360238075256348,9.34595775604248,18.38,27.977,6.381258964538574,13.320073127746582,10.118380546569824,24.554338455200195,31.8
