Date,ABEV3,B3SA3,BBSE3,BRML3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,CCRO3,CMIG4,CIEL3,CPLE6,CSAN3,CVCB3,CYRE3,ECOR3,ELET3,ELET6,EMBR3,ENBR3,EGIE3,EQTL3,YDUQ3,FIBR3,FLRY3,GGBR4,GOAU4,GOLL4,HYPE3,IGTA3,ITSA4,ITUB4,JBSS3,KLBN11,COGN3,RENT3,LAME4,LREN3,MGLU3,MRFG3,MRVE3,MULT3,NATU3,PCAR4,PETR3,PETR4,QUAL3,RADL3,RAIL3,SBSP3,SANB11,CSNA3,SMLS3,SUZB3,TAEE11,VIVT4,TIMS3,UGPA3,USIM5,VALE3,VVAR11,WEGE3
2018-02-28,19.434314727783203,7.126902580261231,20.191421508789062,10.950505256652832,17.395360946655273,18.893,18.54282569885254,31.82547950744629,32.89079284667969,29.920000076293945,10.937970161437988,3.686458110809326,18.306625366210938,1.754,9.399174690246582,55.20249557495117,11.255050659179688,9.329922676086426,19.69885635375977,22.811,21.621471405029297,9.768959045410156,22.042116165161133,12.85647964477539,29.78926658630371,57.079376220703125,22.413454055786133,13.202458381652832,5.631253719329834,19.200000762939453,29.278064727783203,37.239,9.151216506958008,28.945240020751957,8.32612133026123,15.210232734680176,14.795241355895996,23.4368953704834,6.846,28.66186141967773,2.74518084526062,4.465959548950195,10.303763389587402,21.139667510986328,16.81,66.93,12.21198272705078,10.808085441589355,23.36954498291016,14.922101974487305,14.224440574645996,33.48945617675781,28.478525161743164,7.891727447509766,58.236,20.618650436401367,12.45630168914795,41.342,11.99867057800293,34.25370407104492,10.469054222106934,31.508241653442383,27.357589721679688,8.404478073120117
2018-03-01,19.734664916992188,7.118556976318359,20.267749786376957,10.766927719116213,17.527603149414062,19.009,18.15753555297852,32.053897857666016,32.55792236328125,30.149999618530277,10.834619522094728,3.6101233959198,18.314191818237305,1.758,9.598557472229004,55.48765182495117,11.152331352233888,8.568674087524414,19.22169303894043,22.811,21.46249389648437,9.952587127685549,22.1322021484375,12.793633460998535,29.569580078125,56.866493225097656,22.56216049194336,13.623477935791016,5.702717304229736,19.100000381469727,29.67669486999512,36.787,9.308330535888672,29.373388290405277,8.35972785949707,15.16774559020996,14.80478572845459,23.22005844116211,6.94,28.811317443847656,2.7792508602142334,4.56320858001709,10.37164306640625,20.85359001159668,17.08,67.06,12.01152515411377,10.59152126312256,23.328901290893555,15.204266548156738,13.685029983520508,33.98756408691406,28.323619842529297,7.541849136352539,58.595,20.154136657714844,12.42591953277588,42.355,11.93910312652588,33.73539733886719,10.027178764343262,31.088603973388672,28.146656036376957,8.357803344726562
2018-03-02,19.94667625427246,7.199227809906006,20.26081085205078,10.812821388244627,17.73894691467285,19.104,17.89705467224121,32.31863784790039,32.827056884765625,30.84000015258789,10.85184383392334,3.7044174671173096,18.079593658447266,1.761,9.600725173950195,54.52402114868164,11.233039855957031,8.51297378540039,19.651138305664062,23.339,21.36312866210937,10.158247947692873,22.042116165161133,12.964215278625488,29.13020896911621,57.32002258300781,23.545278549194336,13.424883842468262,5.566938400268555,19.020000457763672,30.032920837402344,37.731,9.38514232635498,29.5285587310791,8.401737213134766,15.16774559020996,14.62342357635498,23.373653411865234,7.026,29.309494018554688,2.799149751663208,4.727783203125,10.37164306640625,21.12159919738769,16.97,67.43,12.227806091308594,10.83326530456543,23.2557430267334,15.183151245117188,13.784921646118164,33.542823791503906,28.35460090637207,7.160869121551514,57.69,20.666051864624023,12.63858413696289,42.14,11.922083854675291,33.49063491821289,9.636289596557615,30.599016189575195,27.657236099243164,8.311132431030273
2018-03-05,19.8936710357666,7.288244724273682,20.4134578704834,10.84953784942627,17.97995376586914,19.234,17.679990768432617,32.5866813659668,32.62166976928711,24.75,10.757107734680176,3.695436954498291,18.2006778717041,1.761,9.511871337890623,53.77670669555664,11.401793479919434,8.438706398010254,19.619325637817383,23.535,21.48236656188965,10.15090274810791,22.09842109680176,13.08452033996582,29.17414665222168,56.98682022094727,23.87574005126953,13.559926986694336,5.6455488204956055,18.899999618530277,30.770811080932617,37.377,9.636533737182615,29.94809341430664,7.981650352478027,15.16774559020996,14.98614501953125,23.51821517944336,7.088,28.98568153381348,2.725583553314209,4.682899475097656,10.37164306640625,21.16978454589844,16.57,66.58,12.575966835021973,11.140485763549805,23.247615814208984,15.029592514038086,13.585140228271484,33.7296142578125,28.509498596191406,7.0597920417785645,55.623,20.305814743041992,12.498834609985352,42.806,12.007180213928224,33.14772415161133,9.466338157653809,30.56405258178711,27.527387619018555,8.200204849243164
2018-03-06,20.11451911926269,7.302153587341309,20.468971252441406,10.74856948852539,18.168960571289062,19.262,17.63657569885254,33.306575775146484,33.1386833190918,24.13999938964844,10.429827690124512,3.6415553092956543,17.875259399414062,1.73,9.60289478302002,53.30472183227539,11.372445106506348,8.271602630615234,19.404603958129883,23.194,20.89612197875977,10.018692016601562,21.76623916625977,13.00551414489746,28.629329681396484,57.90312576293945,23.586584091186523,12.964150428771973,5.466891765594482,19.040000915527344,30.19405937194824,37.092,9.594633102416992,29.83891868591309,7.948042869567871,15.159246444702148,14.671152114868164,23.897686004638672,6.838,28.64525413513184,2.68880033493042,4.480920791625977,10.26982593536377,20.687969207763672,16.29,66.28,12.491564750671388,11.029685974121094,23.31264305114746,14.816530227661133,13.235522270202637,33.311553955078125,28.26166534423828,7.0597920417785645,55.272,20.52385139465332,12.42591953277588,42.393,11.964632034301758,33.184303283691406,9.85722827911377,30.41717338562012,27.067934036254883,8.18579387664795
2018-03-07,20.379528045654297,7.274338245391846,20.15673065185547,10.757747650146484,17.60191535949707,18.941,17.490055084228516,33.07681655883789,33.046607971191406,25.15999984741211,10.56762981414795,3.708908081054688,18.087158203125,1.735,9.566049575805664,53.49155807495117,11.306411743164062,8.085931777954102,18.80815315246582,22.147,21.2935733795166,9.981966018676758,21.99144744873047,13.053996086120604,27.6099910736084,58.40292739868164,24.32010841369629,13.289840698242188,5.581231594085693,18.600000381469727,30.9573974609375,37.367,9.56670093536377,29.79867553710937,7.906033992767334,15.43966007232666,14.432518005371094,23.71698760986328,6.723,28.728286743164062,2.714427709579468,4.323826313018799,10.134071350097656,20.684955596923828,16.36,66.15,12.322759628295898,10.91384983062744,23.328901290893555,15.29448127746582,13.485248565673828,33.578399658203125,28.34685516357422,7.036466598510742,49.814,20.81772232055664,12.42591953277588,42.646,12.356077194213867,33.339752197265625,9.57680606842041,30.310014724731445,26.91811180114746,8.131749153137207
2018-03-08,20.582706451416016,7.257645130157471,19.983264923095703,10.757747650146484,17.318397521972656,18.681,16.903982162475586,33.252960205078125,33.03244400024414,25.030000686645508,10.636530876159668,3.8121821880340576,18.049318313598636,1.77,9.438185691833496,54.65184783935547,11.04961395263672,8.141633987426758,18.47413444519043,21.509,20.617902755737305,9.967275619506836,22.01959991455078,13.107864379882812,27.856037139892575,62.21624374389648,24.48072052001953,12.73378086090088,5.438305854797363,19.350000381469727,31.500219345092773,37.298,9.503857612609863,29.59177589416504,7.855624675750732,15.567119598388672,13.955251693725586,24.98188781738281,6.833,28.769798278808597,2.660459280014038,4.308865547180176,10.140857696533203,20.669898986816406,16.29,65.66,12.338583946228027,10.92895793914795,22.207162857055664,15.125569343566896,13.315434455871582,33.47166061401367,28.24617576599121,6.678812980651856,48.371,21.576114654541016,12.42591953277588,42.675,12.2965087890625,33.24831008911133,9.37286376953125,29.32679557800293,26.608476638793945,8.08851432800293
2018-03-09,20.70638084411621,7.510787010192871,20.44815444946289,10.895432472229004,17.72005271911621,19.084,17.131900787353516,33.47505187988281,33.85400390625,26.559999465942383,10.757107734680176,3.758299350738525,17.390920639038086,1.807,9.782770156860352,56.03830337524414,11.203692436218262,8.438706398010254,19.006967544555664,22.028,22.058671951293945,10.0994873046875,22.042116165161133,12.874435424804688,27.77695083618164,62.53092956542969,24.29475212097168,12.813215255737305,5.409720420837402,20.71999931335449,31.38147354125977,37.583,9.58764934539795,29.99982261657715,8.20849609375,15.567119598388672,13.888435363769531,26.56302261352539,6.948,29.74124336242676,2.734628677368164,4.480920791625977,10.47345733642578,20.89876365661621,16.36,66.45,12.660367965698242,11.27646827697754,21.79260635375977,15.317516326904297,13.385357856750488,33.88972473144531,28.53274154663086,6.9431657791137695,47.576,21.93634414672852,12.577825546264648,42.44,12.458197593688965,33.96155548095703,9.500328063964844,29.779504776000977,26.96805191040039,8.286676406860352
2018-03-12,21.18340301513672,7.502442359924316,20.42040252685547,10.84953784942627,17.932697296142578,19.234,17.37067222595215,33.29891586303711,34.13730239868164,26.920000076293945,10.765719413757324,3.794221162796021,17.29253387451172,1.86,9.704751014709473,56.146461486816406,11.372445106506348,8.299452781677246,19.786333084106445,23.016,21.830137252807617,10.224356651306152,22.16598320007324,13.01808261871338,28.128442764282227,64.372802734375,24.18485641479492,13.051974296569824,5.474037170410156,21.600000381469727,31.63591194152832,37.731,9.678430557250977,30.338903427124023,8.552969932556152,15.76255702972412,14.01252555847168,26.834074020385746,6.883,29.82427406311035,2.791311264038086,4.54076623916626,10.711027145385742,20.86864852905273,16.32,66.84,12.607616424560549,11.246248245239258,21.678810119628903,15.0986967086792,13.545184135437012,33.685142517089844,28.850282669067383,7.013141632080078,49.128,20.959924697875977,12.69327449798584,41.914,12.50074291229248,33.59579086303711,9.644787788391112,30.034143447875977,27.24772071838379,8.25064468383789
2018-03-13,21.16573715209961,7.485752105712891,20.14979553222656,10.794464111328123,17.677520751953125,18.961,17.310977935791016,32.87822723388672,33.938995361328125,26.96999931335449,10.972420692443848,3.677475929260254,17.633085250854492,1.871,9.384004592895508,56.24479675292969,11.277063369750977,8.290169715881348,19.46822738647461,22.565,21.581727981567383,10.114178657531738,21.676158905029297,12.770289421081545,29.086271286010746,64.07662200927734,23.63538932800293,12.964431762695312,5.4454522132873535,21.6200008392334,31.76314163208008,37.524,9.615583419799805,30.09178924560547,8.73780632019043,16.136444091796875,14.232068061828612,26.02091789245605,6.911,29.45064163208008,2.760256290435791,4.56320858001709,11.009687423706056,20.78734016418457,16.31,65.88,12.486289024353027,11.135448455810549,21.800737380981445,15.282965660095217,13.435303688049316,34.12099075317383,28.44754409790039,6.896515846252441,49.658,21.566633224487305,12.577825546264648,41.182,12.509252548217772,33.34889602661133,9.551314353942873,29.800724029541016,27.197778701782227,8.178584098815918
