,VIVO4,AMBV4,ARCZ6,BMEF3,BOVH3,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,DURA4,ELET3,ELET6,EMBR3,ENBR3,GFSA3,GGBR4,GOAU4,GOLL4,ITSA4,ITUB4,JBSS3,KLBN4,LIGT3,RENT3,LAME4,LREN3,NATU3,NETC4,BNCA3,PCAR4,PETR3,PETR4,POSI3,RDCD3,RSID3,SBSP3,SDIA4,CSNA3,CRUZ3,TAMM4,VCPA4,TNLP3,TNLP4,TMAR5,TCSL4,UBBR11,USIM3,USIM5,VALE3,VALE5,ALLL11
2007-11-16,33.61,21.08,12.61,,33.03,6.958,19.9182071685791,12.080958366394045,48.79,23.71,7.61323356628418,4.378100872039795,3.138413429260254,16.412,1.266,3.846717357635498,7.553926944732666,18.860816955566406,45.44,11.752140998840332,10.495,17.91440773010254,3.75136947631836,744.8558349609375,17.610525131225586,20.421630859375,45.234859466552734,3.034558057785034,9.4461030960083,5.509257316589356,,15.721319198608398,3.6033976078033447,3.73,5.328450202941895,6.34,27.28,27.68,49.11,20.823461532592773,16.001792907714844,33.660762786865234,34.90999984741211,595.749755859375,9.358979225158691,11.6,11.285228729248049,6.29,47.69,55.79,44.87,23.54,44.0,6.95,24.51,23.370723724365234,21.18559455871582,30.247047424316406,34.01,23.51
2007-11-19,32.15,20.36,11.75,,31.29,6.603,18.97027015686035,11.486742973327637,47.44,22.96,7.267633438110352,4.166258335113525,3.0397894382476807,15.507,1.231,3.650503396987915,7.409847259521484,17.901792526245117,44.01,11.142420768737791,10.044,17.736616134643555,3.627253532409668,713.970703125,16.77984619140625,19.43014907836914,43.16361618041992,2.887723445892334,8.930853843688965,5.398333549499512,,15.107677459716797,3.4596543312072754,3.603,5.172787189483643,6.24,25.5,26.72,48.31,20.42758560180664,15.697185516357422,32.92900848388672,33.5,576.2243041992188,9.305801391601562,11.12,11.045845985412598,6.23,46.41,52.92,43.4,23.06,42.71,6.43,23.38,23.54429244995117,21.10316276550293,29.02740478515625,32.79,21.83
2007-11-21,32.88,19.78,11.61,,29.97,6.377,18.152814865112305,10.653132438659668,48.39,23.17,7.207529544830322,4.081519603729248,2.9662387371063232,15.236,1.201,3.140953540802002,7.123745441436768,17.454246520996094,41.43,11.056543350219728,9.873,17.008529663085938,3.402729034423828,667.3145141601562,16.1385555267334,18.82341957092285,42.840576171875,2.7580220699310303,8.456027030944824,5.176484107971191,,14.838892936706545,3.22927474975586,3.447,4.836316108703613,5.99,24.0,25.23,46.21,20.065629959106445,15.280898094177246,31.136199951171875,32.0099983215332,543.6077880859375,9.318564414978027,10.66,10.82612419128418,6.12,45.09,51.05,41.65,23.35,42.38,6.5,22.7,22.54752922058105,20.60855484008789,28.076086044311523,31.78,22.11
2007-11-22,32.32,20.03,11.58,,30.4,6.356,18.229568481445312,11.072080612182615,48.89,22.67,7.332746982574463,4.032090663909912,3.004681348800659,15.278,1.177,3.191148281097412,7.041414260864258,17.230478286743164,41.95,10.803210258483888,9.797,16.602155685424805,3.47245717048645,651.5435180664062,16.098405838012695,18.54572486877441,43.505653381347656,2.726208209991455,8.38531494140625,5.191273212432861,,14.630967140197754,3.1623241901397705,3.431,4.693825721740723,5.79,23.35,25.11,46.1,20.21267318725586,15.362122535705566,30.98984909057617,,546.9359741210938,9.5078706741333,10.6,10.93385124206543,5.99,45.16,52.68,41.99,23.06,42.3,6.5,22.49,22.805315017700195,20.68274307250977,28.53954696655273,32.04,22.57
2007-11-23,32.96,20.03,12.08,,29.89,6.446,18.38308906555176,11.076354026794434,48.39,22.89,7.3127121925354,4.180379867553711,2.968747854232788,15.769,1.181,3.1257433891296387,7.1628522872924805,17.230478286743164,42.13,10.691571235656738,9.678,16.881540298461914,3.542184591293335,674.5430297851562,16.091699600219727,18.745784759521484,45.60540390014648,2.753126621246338,8.486339569091797,5.5166521072387695,,14.504178047180176,3.345449447631836,3.423,4.765666961669922,5.9,23.35,24.53,45.85,20.223981857299805,15.51442813873291,31.685022354125977,32.400001525878906,551.9283447265625,9.42279052734375,10.58,11.097140312194824,6.02,46.01,53.35,40.97,22.62,41.54,6.49,22.94,23.200584411621094,20.93829345703125,28.56394386291504,32.32,21.54
2007-11-26,31.9,19.87,11.88,,29.51,6.343,18.229568481445312,10.858330726623535,46.5,21.67,7.0121893882751465,4.025028705596924,2.968747854232788,14.813,1.174,2.9280076026916504,6.880867004394531,16.942766189575195,40.16,9.789871215820312,8.945,16.44976806640625,3.542184591293335,631.8295288085938,15.392358779907228,18.154565811157227,43.22061920166016,3.028439998626709,8.445929527282715,5.361357688903809,,13.408761024475098,3.1111297607421875,3.217,4.536966323852539,5.77,23.01,23.96,45.36,19.90727996826172,15.205765724182127,32.197242736816406,31.0,521.4196166992188,9.380248069763184,9.9,10.601274490356444,5.61,43.15,51.8,38.25,21.68,40.96,6.42,22.43,22.51315689086914,19.91940689086914,28.05169486999512,31.4,21.25
2007-11-27,32.38,20.36,12.35,,28.11,6.5,17.749849319458008,11.41407299041748,45.99,21.76,7.067285060882568,4.156371593475342,2.968747854232788,14.881,1.168,2.8747711181640625,7.12168550491333,17.326372146606445,41.57,10.133374214172363,9.15,16.602155685424805,3.5686817169189453,611.1300048828125,15.693517684936523,18.229219436645508,42.00447463989258,3.125298023223877,8.819733619689941,5.228248596191406,,13.216047286987305,3.0343356132507324,3.217,4.524990081787109,5.66,23.7,24.59,44.85,19.63807678222656,15.02706527709961,31.94113540649414,32.290000915527344,523.638427734375,9.390883445739746,10.09,10.968904495239258,6.13,43.05,55.29,38.57,21.68,40.2,6.31,23.28,22.51315689086914,20.606904983520508,27.71019554138184,31.31,21.14
2007-11-28,33.93,21.27,12.84,,30.26,6.937,18.517412185668945,12.175010681152344,45.99,21.97,7.4078779220581055,4.455776214599609,2.968747854232788,14.864,1.179,3.042086601257324,7.245184421539307,17.805889129638672,43.18,10.588518142700195,9.575,16.636011123657227,3.5909948348999023,683.4141845703125,16.295818328857422,19.49824333190918,42.85007858276367,3.313892602920532,9.375386238098145,5.287408828735352,,14.270896911621094,3.34741759300232,3.423,4.885409355163574,5.97,25.35,25.11,46.58,19.570209503173828,15.00472640991211,33.22170639038086,33.0,565.7957763671875,9.60358715057373,10.66,11.413472175598145,6.62,44.93,56.46,40.97,22.44,43.93,6.35,24.12,24.739551544189453,21.765108108520508,29.43719482421875,33.36,21.36
2007-11-29,34.48,21.24,13.18,,32.4,6.944,19.189022064208984,12.311809539794922,46.46,22.61,7.402867794036865,4.434592247009277,2.968747854232788,14.644,1.151,3.239821672439575,7.317224502563477,17.21129035949707,42.18,10.3265962600708,9.414,16.50901985168457,3.63840913772583,673.5573120117188,16.73082733154297,19.92224502563477,42.76456451416016,3.3273632526397705,9.4461030960083,5.442702770233154,,14.859173774719238,3.4104278087615967,3.468,5.002756595611572,6.18,25.51,26.07,48.11,19.570209503173828,14.90522289276123,33.7705192565918,32.560001373291016,554.7018432617188,9.67378044128418,10.49,11.44339370727539,6.58,45.34,56.55,40.3,22.85,43.37,6.36,24.46,24.99218368530273,22.007465362548828,29.92993927001953,34.04,22.33
2007-11-30,35.76,21.57,13.62,,31.76,7.047,19.74934196472168,13.594292640686035,45.06,22.51,7.88871431350708,4.420469284057617,3.1852169036865234,15.304,1.195,3.19266939163208,7.327516078948975,17.72277069091797,42.23,10.73450756072998,9.712,16.593685150146484,3.695587396621704,727.4418334960938,16.995180130004883,20.662769317626957,43.638668060302734,3.164484739303589,10.001753807067873,5.568416595458984,,15.107677459716797,3.4950971603393555,3.46,5.029097080230713,6.15,26.6,26.24,48.72,19.13813781738281,14.763073921203612,34.17298889160156,32.63999938964844,582.9916381835938,9.44406032562256,11.06,11.66995334625244,6.73,45.8,57.04,40.43,23.23,43.15,6.24,25.17,25.00507354736328,22.47981071472168,30.588546752929688,34.09,23.08
2007-12-03,34.63,22.3,13.17,23.5,30.45,7.15,19.457674026489254,13.209540367126465,45.06,22.52,8.038972854614258,4.403522968292236,3.1852169036865234,15.659,1.236,3.194190740585327,7.255476951599121,18.029661178588867,41.57,10.927730560302734,9.984,16.68681526184082,3.7206897735595694,716.9277954101562,17.125673294067383,20.31937599182129,44.46526336669922,3.515958547592163,9.941142082214355,5.546231746673584,,15.011320114135742,3.554170608520508,3.681,5.150038242340088,6.0,26.22,26.05,48.45,19.4548397064209,14.864604949951172,34.71449279785156,32.400001525878906,581.3275146484375,9.188814163208008,11.15,11.755448341369627,6.81,46.06,57.72,40.09,23.3,43.09,6.28,25.17,24.3580379486084,22.069292068481445,30.34461212158203,34.06,22.55
2007-12-04,34.34,21.9,13.33,23.1,30.54,7.224,19.4384822845459,12.824803352355955,45.47,22.57,8.089059829711914,4.406346321105957,3.1509456634521484,16.073,1.256,3.229174852371216,7.366623878479004,17.901792526245117,41.86,11.163890838623049,10.248,17.228649139404297,3.7206897735595694,723.82763671875,17.11563491821289,20.20889663696289,44.94032287597656,3.196326971054077,9.941142082214355,5.590601921081543,,14.833820343017578,3.554170608520508,3.595,5.148838520050049,6.08,25.58,27.01,48.94,19.791902542114254,14.974268913269045,34.70716857910156,32.25,568.0146484375,9.252626419067385,11.0,11.878559112548828,6.71,45.35,58.95,40.29,22.81,42.84,6.17,25.51,24.3580379486084,21.676074981689453,30.39828109741211,34.2,23.11
2007-12-05,35.12,21.72,13.21,23.59,32.32,7.32,19.664913177490234,12.824803352355955,44.24,22.9,8.018939018249512,4.450128078460693,3.1509456634521484,16.691,1.278,3.2094006538391118,7.625967502593994,18.093595504760746,42.98,11.430105209350586,10.316,17.778945922851562,3.772288084030152,712.6563720703125,17.19594383239746,20.313404083251957,43.80018997192383,3.5375120639801025,10.00377368927002,5.398333549499512,,14.630967140197754,3.4360268115997314,3.62,5.304502487182617,6.21,26.49,27.12,50.24,20.880023956298828,15.940876007080078,35.234039306640625,33.79999923706055,554.7018432617188,9.401516914367676,11.49,12.568496704101562,6.78,44.41,57.81,40.97,22.81,44.32,6.35,25.74,24.17758178710937,22.25229263305664,30.881254196166992,34.91,23.63
2007-12-06,34.59,21.8,13.68,23.25,32.98,7.519,19.726316452026367,13.444664001464844,44.0,23.21,7.973861217498779,4.505207538604736,3.1509456634521484,16.539,1.254,3.273428678512573,7.605387210845947,18.477205276489254,43.74,11.438692092895508,10.367,17.7281551361084,3.765314340591431,736.97021484375,17.567367553710938,20.573184967041016,42.66005325317383,3.5482897758483887,10.078536987304688,5.309593200683594,,14.960604667663574,3.550231456756592,3.698,5.340423583984375,6.4,24.57,26.3,51.23,21.321142196655277,16.377470016479492,35.29989242553711,32.95000076293945,576.8898315429688,9.252626419067385,11.32,12.764277458190918,6.81,44.51,59.18,40.67,22.68,43.93,6.27,26.41,24.38639068603516,22.39078140258789,31.49107360839844,35.56,23.69
2007-12-07,34.63,21.68,13.41,23.45,33.26,7.56,19.79923439025879,13.380539894104004,43.4,23.3,7.993896961212158,4.519330024719238,3.2846779823303223,16.166,1.251,3.273428678512573,7.648609161376953,18.285400390625,43.65,11.116658210754396,10.044,17.86361312866211,3.766709089279175,729.4132080078125,17.483713150024414,20.63290786743164,45.54839706420898,3.220818996429444,10.1815824508667,5.339173793792725,,14.656322479248049,3.554170608520508,3.661,5.448186874389648,6.22,24.9,25.62,54.67,21.241966247558597,16.308420181274414,35.336483001708984,31.530000686645508,582.4369506835938,9.286659240722656,11.4,12.824125289916992,6.95,45.61,57.62,42.04,23.06,43.93,6.21,26.21,24.38639068603516,22.18305015563965,30.978836059570312,35.19,23.3
