Date,ABEV3,BBSE3,B3SA3,BRML3,BRPR3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,CCRO3,CMIG4,CESP6,CTIP3,HGTX3,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DXCO3,ECOR3,ELET3,ELET6,EMBR3,ENBR3,YDUQ3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HYPE3,ITSA4,ITUB4,JBSS3,KLBN11,COGN3,RENT3,LAME4,LREN3,POMO4,MRFG3,MRVE3,MULT3,NATU3,OIBR4,PCAR4,PETR3,PETR4,QUAL3,RAIL3,SBSP3,SANB11,CSNA3,SMLE3,CRUZ3,VIVT4,TIMS3,EGIE3,UGPA3,USIM5,VALE3,VALE5
2014-10-31,12.334406852722168,18.618152618408203,2.6617531776428223,11.705191612243652,4.636508941650391,10.138931274414062,10.916,7.084020614624023,17.424362182617188,10.667890548706056,61.86327362060547,13.973769187927246,4.837313652038574,15.007,28.51,18.929,16.591781616210938,1.944,6.615179538726807,11.873839378356934,8.713492393493652,5.979923725128174,8.705103874206543,4.946583271026611,7.116,22.99874496459961,6.066322326660156,21.583675384521484,24.80112838745117,153.22039794921875,8.426228523254395,9.354073524475098,12.81999969482422,13.744379043579102,4.476442337036133,14.445907592773438,8.743596076965332,9.36595630645752,15.733516693115234,9.610504150390623,4.888,10.648218154907228,3.4330310821533203,4.52580451965332,4.863709449768066,14.457576751708984,16.2,13.0,100.39,7.728099822998047,7.695598602294922,15.746662139892578,,15.808621406555176,8.219468116760254,5.944638729095459,35.47,19.21,34.8,10.83759880065918,15.728049278259276,23.76861000061035,4.816953659057617,15.79257869720459,19.64
2014-11-03,12.183987617492676,18.477354049682617,2.588494062423706,10.987584114074709,4.514300346374512,9.883237838745115,10.765,7.406757831573486,17.198148727416992,10.73850154876709,61.46037673950195,13.572354316711426,4.827115535736084,15.27,28.89,18.52,16.56731605529785,1.996,6.487045764923096,11.516345977783203,8.458879470825195,5.556624889373779,8.477261543273926,4.803433895111084,6.886,22.749486923217773,5.997315883636475,21.4182243347168,24.95815086364746,148.96426391601562,8.433826446533203,9.312191009521484,12.65999984741211,13.815837860107422,4.453810691833496,14.40066146850586,8.466649055480957,9.450056076049805,15.617693901062012,9.524410247802734,4.818,10.569287300109863,3.449225187301636,4.36122989654541,4.828121662139893,14.175477027893066,16.2,13.399999618530272,99.58,7.51709508895874,7.479033946990967,16.102832794189453,,15.64556121826172,7.566835403442383,5.85096549987793,37.8,18.93,34.331,10.8939208984375,15.481059074401855,23.174943923950195,4.732446193695068,15.729406356811523,19.58
2014-11-04,12.296802520751951,18.556198120117188,2.590935230255127,10.934648513793944,4.48097038269043,10.0886812210083,10.902,7.125666618347168,18.065279006958008,11.003286361694336,62.63069152832031,13.70111083984375,4.861110210418701,15.473,28.96,18.559,16.514310836791992,1.983,6.550156116485596,11.771697998046877,8.465950965881348,5.529749393463135,8.25727653503418,4.819339752197266,6.954,23.00832748413086,6.072596073150635,21.43326568603516,25.462270736694336,147.26181030273438,8.69975757598877,9.661224365234377,13.100000381469728,13.712616920471191,4.535283088684082,14.676076889038086,8.664466857910156,9.480640411376951,15.680068016052246,9.470601081848145,4.859,10.559242248535156,3.441129207611084,4.383671760559082,4.816257953643799,14.05417251586914,16.14,12.699999809265137,100.46,7.51709508895874,7.463923454284668,16.0216064453125,,16.19181251525879,8.650449752807617,6.023900032043457,38.04,18.95,34.603,10.821508407592772,15.793295860290527,23.24090385437012,4.91836404800415,15.230363845825195,18.95
2014-11-05,12.296802520751951,18.370359420776367,2.5225605964660645,10.405268669128418,4.462453842163086,9.843972206115724,10.731,7.102242469787598,16.632631301879883,10.98563289642334,62.2565803527832,13.223957061767578,4.803320407867432,15.354,29.09,18.783,15.988301277160645,1.922,6.437321662902832,11.599336624145508,8.388151168823242,5.549906730651856,8.30441665649414,4.771622657775879,6.877,23.104198455810547,5.940855979919434,21.84688949584961,25.25566291809082,142.1544647216797,8.646568298339844,9.598394393920898,12.960000038146973,13.355305671691896,4.508124351501465,14.514755249023438,8.68820571899414,9.503575325012209,15.858241081237791,9.217691421508787,4.789,10.4760103225708,3.481612205505371,4.488401412963867,4.685769557952881,13.82285213470459,16.25,12.300000190734863,100.63,7.311361789703369,7.2523956298828125,15.934121131896973,,16.061363220214844,8.465742111206055,5.829348564147949,37.5,18.9,33.599,10.564046859741213,15.788631439208984,23.45199012756348,4.909913539886475,15.16087532043457,18.91
2014-11-06,12.251676559448242,17.63824462890625,2.454185724258423,10.064112663269045,4.303214073181152,9.668785095214844,10.512,6.900793075561523,15.928866386413574,10.879720687866213,62.352500915527344,12.73165512084961,4.711538791656494,15.608,28.77,18.189,15.474520683288574,1.884,6.054830074310303,11.54188060760498,8.084028244018555,5.442401885986328,7.895875453948975,4.628475189208984,6.605,23.20964813232422,5.82793664932251,22.18531036376953,26.27217102050781,133.64222717285156,8.5781888961792,9.472744941711426,12.5,13.299731254577637,4.340656280517578,13.987516403198242,8.5457763671875,9.419475555419922,15.573147773742676,8.95939826965332,4.81,10.50471019744873,3.457322835922241,4.473439693450928,4.555280208587647,13.667696952819824,16.14,12.0,100.19,7.147833347320557,7.081160545349121,15.496711730957031,,15.751548767089844,8.681234359741211,5.562740802764893,37.42,19.06,33.355,10.555997848510742,15.578927993774414,22.40977478027344,4.614134788513184,14.939778327941896,18.54
2014-11-07,12.36449146270752,17.801563262939453,2.44930100440979,9.999409675598145,4.14767599105835,9.732743263244627,10.567,6.980436325073242,16.331008911132812,11.150388717651367,62.41005325317383,13.178513526916504,4.470181465148926,16.04,28.98,18.326,15.75995635986328,1.939,6.033793926239014,11.790848731994627,7.885995388031006,5.523030281066895,7.6208930015563965,4.660285949707031,6.758,23.276758193969727,5.83420991897583,21.7641658782959,25.74325561523437,133.64222717285156,8.806130409240723,9.6891450881958,12.25,13.33942985534668,4.413074493408203,14.223603248596191,8.783161163330078,9.549450874328612,15.76915168762207,9.33876609802246,4.966,10.547762870788574,3.408741235733032,4.338788032531738,4.626456260681152,13.498438835144045,16.36,12.0,100.15,7.26388692855835,7.186922550201416,15.452972412109377,,16.020597457885742,8.773588180541992,5.670825004577637,37.2,19.09,33.702,10.676684379577637,15.82125473022461,22.59886741638184,4.833855152130127,15.17350959777832,18.86
2014-11-10,12.274240493774414,18.077512741088867,2.415113925933838,9.864124298095703,4.062500476837158,9.721614837646484,10.601,6.8305206298828125,15.708944320678713,11.003286361694336,61.78653717041016,12.913429260253906,4.886838912963867,16.133,29.02,18.851,15.37258243560791,1.933,6.005107402801514,11.605718612670898,7.822340965270996,5.475997447967529,7.542327404022217,4.7875285148620605,6.818,22.31808090209961,5.871849060058594,21.704004287719727,25.404420852661133,131.9397735595703,8.616178512573242,9.528590202331545,12.140000343322754,13.371188163757324,4.413074493408203,14.184249877929688,8.822722434997559,9.549450874328612,15.377154350280762,9.040117263793944,5.023,10.376989364624023,3.303483247756958,4.249019622802734,4.626456260681152,13.351744651794434,16.3,12.800000190734863,101.62,7.073982238769531,7.040868282318115,15.496711730957031,,15.857540130615234,8.650449752807617,5.642002582550049,36.8,19.29,33.524,10.41922092437744,15.909799575805664,22.730789184570312,4.681741714477539,14.718683242797852,18.39
2014-11-11,12.033568382263184,17.9930362701416,2.42488169670105,9.852359771728516,4.014357566833496,9.835625648498535,10.663,6.605649471282959,15.482736587524414,10.973864555358888,61.5850830078125,12.875557899475098,4.937817573547363,16.234,29.02,18.783,15.429669380187988,1.913,5.832985877990723,11.688709259033203,7.999156951904297,5.617095470428467,7.503044128417969,4.8352460861206055,6.911,23.02750396728516,5.896943092346191,21.05724334716797,25.883750915527344,129.3861083984375,8.426228523254395,9.305209159851074,12.359999656677246,13.26003074645996,4.390443325042725,14.176374435424805,8.862286567687988,9.75618839263916,14.75351333618164,9.15042781829834,5.06,10.45448398590088,3.3358700275421143,4.3986334800720215,4.596798419952393,13.537928581237791,16.16,13.399999618530272,101.05,7.11618185043335,7.050940036773682,15.340494155883787,,15.539570808410645,8.644296646118164,5.389805316925049,38.12,19.07,33.674,10.467496871948242,15.896679878234863,22.779163360595703,4.538078308105469,14.257539749145508,17.71
2014-11-12,12.311844825744627,18.195777893066406,2.4737205505371094,9.764130592346191,4.073610305786133,9.732743263244627,10.697,6.544746398925781,15.897445678710938,11.120967864990234,62.2565803527832,12.951297760009766,4.908687114715576,16.065,28.92,18.365,15.93121337890625,1.905,5.989807605743408,11.707860946655272,8.204263687133789,5.778354167938232,7.723028182983398,4.7954816818237305,6.852,23.0946102142334,5.82793664932251,20.82411003112793,25.99944877624512,129.3861083984375,8.441422462463379,9.28426742553711,13.130000114440918,13.522055625915527,4.435704708099365,14.28261947631836,9.13923454284668,9.84095573425293,15.225700378417969,9.163883209228516,5.13,10.428653717041016,3.3196771144866943,4.533285140991211,4.656111717224121,13.585888862609863,15.89,13.199999809265137,103.28,7.142558574676514,7.1063408851623535,15.35924243927002,,15.881999015808104,8.742804527282715,5.332160949707031,38.79,19.48,34.04,10.387038230895996,15.835043907165527,23.152956008911133,4.639487266540527,14.225955963134766,17.71
2014-11-13,12.033568382263184,17.626981735229492,2.407787322998047,9.587671279907228,3.9143686294555664,9.474124908447266,10.417,6.479157447814941,15.652390480041504,11.332797050476074,60.779296875,12.648345947265623,4.784877300262451,15.54,28.14,18.832,15.81296443939209,1.858,5.756487846374512,11.484430313110352,7.99208402633667,5.711161613464356,7.76231050491333,4.723907470703125,6.562,23.19047164916992,5.646008491516113,20.681224822998047,26.19779396057129,125.12998962402344,8.20588493347168,9.074847221374512,13.3100004196167,13.06152629852295,4.277287483215332,13.822270393371582,8.68820571899414,9.73306941986084,15.118785858154297,9.01590347290039,5.257,10.332499504089355,3.2710962295532227,4.413594722747803,4.466309547424316,13.636667251586914,15.3,12.800000190734863,101.43,6.926277160644531,6.849485397338867,15.43423080444336,,15.458041191101074,8.736644744873047,5.260104656219482,37.78,18.81,33.984,10.338765144348145,15.692814826965332,22.867116928100582,4.45357084274292,14.188053131103516,17.65
