,ALLL3,AMBV4,BRML3,B3SA3,BRPR3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,BISA3,CCRO3,CMIG4,CESP6,CTIP3,HGTX3,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DASA3,DXCO3,ECOR3,ELET3,ELET6,ELPL4,EMBR3,ENBR3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HYPE3,ITSA4,ITUB4,JBSS3,KLBN4,LIGT3,PRML3,RENT3,LAME4,LREN3,MRFG3,MMXM3,MRVE3,NATU3,OGXP3,OIBR4,PCAR4,PDGR3,PETR3,PETR4,RSID3,SBSP3,SANB11,CSNA3,CRUZ3,VIVT4,TIMS3,UGPA3,USIM5,VALE3,VALE5
2012-07-02,8.89,73.36,12.927505493164062,2.3445188999176025,5.701944828033447,7.573,13.702879905700684,10.246848106384276,7.420284271240234,27.82434463500977,3.14,11.148768424987791,6.424347877502441,18.755,22.16,27.017,9.254332542419434,2.229,4.932978630065918,14.479890823364258,10.139779090881348,12.429911613464355,5.575901031494141,10.97650146484375,8.244866371154785,10.818,22.86,12.211732864379885,7.301459789276123,12.56171703338623,119.26384735107422,12.988370895385742,14.834836959838867,8.890000343322754,9.258659362792969,2.919272422790528,8.48686695098877,4.576054096221924,1.2248141765594482,18.19212532043457,22.591466903686523,6.651592254638672,3.591,7.6800713539123535,7.001906394958496,906.673095703125,5.1706862449646,18.62,630.0,72.93046569824219,75.14,1579.2225341796875,9.573090553283691,8.508031845092773,117.11507415771484,19.626863479614254,7.977605819702148,7.002971649169922,24.72,30.08,8.466822624206543,19.713083267211918,5.281747817993164,22.4100341796875,30.42
2012-07-03,8.85,75.17,13.4378023147583,2.446357727050781,5.841137886047363,7.785,13.91050148010254,10.403286933898926,7.357977867126465,28.15059471130371,3.21,11.216132164001465,6.399076461791992,18.383,22.39,27.737,9.30162525177002,2.242,4.920215129852295,14.000048637390137,10.473011016845703,12.651545524597168,5.844429969787598,11.04343032836914,8.429753303527832,10.98,20.57,12.796335220336914,7.11767053604126,12.64436149597168,125.65298461914062,12.95908260345459,14.969030380249023,8.579999923706055,9.66736125946045,2.991309642791748,8.65732192993164,4.847514629364014,1.2288882732391355,18.05386734008789,23.27605438232422,6.568582534790039,3.628,7.873101234436035,7.308613777160644,960.6239013671876,5.424363613128662,18.84,610.0,77.30628204345703,76.38,1588.2984619140625,9.946922302246094,8.799970626831055,124.5118179321289,19.652353286743164,8.05480670928955,7.3182549476623535,24.86,30.389,8.47449016571045,19.60629272460937,5.721189975738525,22.83329200744629,30.99
2012-07-04,9.01,76.24,13.296052932739258,2.483994960784912,5.826224327087402,7.785,13.91050148010254,10.403286933898926,7.692171573638916,27.68452453613281,3.27,11.216132164001465,6.390048027038574,18.755,22.37,27.542,9.348920822143556,2.229,4.977649688720703,14.096017837524414,10.371001243591309,12.69771957397461,5.8970818519592285,10.842643737792969,8.4817533493042,11.082,20.63,12.824173927307127,7.145516395568848,,121.39354705810548,12.915153503417969,14.808000564575195,8.779999732971191,9.66736125946045,3.01189398765564,8.708163261413574,4.886294841766357,1.241108775138855,17.85739517211914,,6.694162845611572,3.64,7.914169788360596,7.241287231445312,998.0897216796876,5.418966770172119,18.82,,80.82410430908203,77.25,1588.2984619140625,9.901456832885742,8.781437873840332,125.7446060180664,19.690587997436523,8.059954643249512,7.542593955993652,25.05,30.37,8.66622257232666,19.234668731689453,5.907106876373291,22.97251892089844,31.11
2012-07-05,9.0,75.18,12.819774627685549,2.5260589122772217,5.756627082824707,7.792,14.039225578308104,10.37721061706543,7.629863739013672,27.73112678527832,3.24,11.33738899230957,6.399076461791992,19.119,22.33,26.783,9.460857391357422,2.253,4.985627174377441,13.8645658493042,10.45261001586914,12.41144561767578,5.870754718780518,11.04343032836914,8.441309928894043,11.048,20.22,12.722101211547852,7.07311487197876,12.768324851989746,122.10345458984376,13.273905754089355,15.156893730163574,8.529999732971191,9.620203971862791,3.042766809463501,8.806846618652344,4.746686458587647,1.2356770038604736,17.9665470123291,23.56945037841797,6.747376918792725,3.591,7.81696891784668,7.263729572296143,992.09521484375,5.338005065917969,18.73,613.0,81.42471313476562,76.78,1615.5264892578125,10.275285720825195,9.082649230957031,126.23772430419922,19.647254943847656,8.049659729003906,7.445584774017334,24.76,30.314,8.58186149597168,19.99073028564453,5.797247409820557,23.262115478515625,31.49
2012-07-06,8.79,74.46,12.921834945678713,2.455214023590088,5.724315643310547,7.765,13.868976593017578,10.13733959197998,7.448606014251709,27.49809455871582,3.06,11.128561973571776,6.399076461791992,19.144,22.49,26.482,9.490811347961426,2.231,4.977649688720703,13.717791557312012,10.132979393005373,12.005117416381836,5.7601847648620605,10.742243766784668,8.14664363861084,10.776,19.48,12.42515754699707,7.006282329559326,12.536924362182615,115.71431732177734,12.929795265197754,14.794578552246094,8.25,9.557326316833496,3.015324592590332,8.747041702270508,4.576054096221924,1.2085193395614624,17.544485092163086,22.493667602539062,6.4919538497924805,3.505,7.707448959350586,7.046789646148682,932.14990234375,5.435157299041748,18.71,610.0,81.85372161865234,75.99,1533.842529296875,10.042901992797852,8.897286415100098,120.32032775878906,19.774702072143555,7.998194217681885,7.215184211730957,24.66,30.483,8.459152221679688,19.99073028564453,5.560624599456787,22.71633529663086,31.01
2012-07-10,8.52,73.12,12.47390842437744,2.435288429260254,5.70443058013916,7.607,13.462041854858398,9.845314025878906,6.950144290924072,26.565956115722656,2.82,11.182451248168944,6.360345840454102,18.688,21.87,25.781,9.435633659362791,2.181,4.880330562591553,13.37908172607422,9.704537391662598,12.005117416381836,5.581166744232178,10.60169506072998,7.973310470581055,10.605,18.6,11.87767219543457,7.07311487197876,12.189825057983398,117.13414001464844,12.541755676269531,14.438974380493164,8.140000343322754,9.313678741455078,2.854094982147217,8.355294227600098,4.467469692230225,1.1908667087554932,17.348011016845703,22.004674911499023,6.325930595397949,3.435,7.515791416168213,6.807409286499023,881.1963500976562,5.49992561340332,18.62,595.0,82.36852264404297,74.23,1379.5506591796875,9.573090553283691,8.521932601928711,109.71833038330078,19.351577758789062,7.221019744873047,6.66343355178833,24.55,30.567,8.420806884765625,19.461061477661133,5.214140892028809,22.05361557006836,30.32
2012-07-11,8.5,73.3,12.49091911315918,2.4419307708740234,5.694488525390625,7.593,13.300100326538086,9.678443908691406,6.950144290924072,26.193103790283203,2.72,11.081405639648438,6.31489372253418,18.197,21.34,25.781,9.45139980316162,2.121,4.877140045166016,13.000852584838867,9.514121055603027,12.005117416381836,5.749655246734619,10.514684677124023,7.846199035644531,10.393,18.45,11.014683723449709,6.989575386047363,12.189825057983398,117.13414001464844,12.541755676269531,14.438974380493164,8.140000343322754,9.43943214416504,2.871246576309204,8.391179084777832,4.5295186042785645,1.2101463079452517,17.340730667114258,22.78706359863281,6.217377185821533,3.419,7.406270503997803,6.6353535652160645,881.1963500976562,5.381184101104736,18.61,591.0,80.05191040039062,73.33,1488.462646484375,9.64381504058838,8.591442108154297,105.77339935302734,19.2878532409668,7.251900196075439,6.499727249145508,25.43,30.004,8.121709823608398,19.584930419921875,5.154985904693604,22.031339645385746,30.13
2012-07-12,8.59,72.25,12.275460243225098,2.459641933441162,5.716858863830566,7.464,13.287640571594238,9.709734916687012,6.75189208984375,26.062599182128903,2.68,10.912994384765623,6.356993675231934,18.688,22.05,26.414,9.475048065185549,2.161,4.865971565246582,12.893596649169922,9.357705116271973,11.995880126953123,5.633818626403809,10.407598495483398,7.909754753112793,10.418,18.42,11.33018684387207,7.00071382522583,12.189825057983398,110.74498748779295,12.519793510437012,14.264524459838867,8.619999885559082,9.51016902923584,2.9021215438842773,8.477901458740234,4.436445236206055,1.2004876136779783,17.464441299438477,23.08045768737793,6.32167387008667,3.447,7.407638549804687,6.710160255432129,840.7332763671875,5.278634548187256,18.65,564.0,81.7679214477539,73.45,1456.6966552734375,9.684228897094728,8.609977722167969,98.3766632080078,19.32099151611328,7.231314182281494,6.463349342346191,25.16,29.3,7.51584005355835,20.054798126220703,5.374707221984863,21.93666648864746,30.03
2012-07-13,8.73,72.37,12.07701015472412,2.4994916915893555,5.525468349456787,7.525,13.47035026550293,9.803601264953612,6.808534622192383,26.23970603942871,2.76,10.886049270629885,6.382247924804688,18.891,22.09,26.414,9.553874015808104,2.138,4.896284580230713,13.096819877624512,9.466512680053713,11.977412223815918,5.639085292816162,10.374130249023438,7.857754707336426,10.384,18.27,11.506494522094728,7.017420768737793,12.55345344543457,112.16480255126952,12.783365249633787,14.519490242004396,8.680000305175781,9.407991409301758,2.984450101852417,8.717137336730957,4.451957702636719,1.2529226541519165,17.086044311523438,23.37385368347168,6.151393890380859,3.521,7.3515119552612305,6.717639923095703,840.7332763671875,5.440554618835449,18.34,582.0,81.85372161865234,74.04,1520.228515625,10.229820251464844,9.05947494506836,99.85601043701172,19.4407901763916,7.334249973297119,6.536106586456299,24.87,28.841,7.669222354888916,20.09752082824707,5.3578057289123535,22.404464721679688,30.58
2012-07-16,8.43,71.66,12.530607223510742,2.424220085144043,5.555296421051025,7.519,13.341626167297363,9.563721656799316,6.598955154418945,26.043954849243164,2.64,10.87257480621338,6.387301921844482,19.119,22.13,26.491,9.664230346679688,2.166,4.794178485870361,13.141984939575195,8.976866722106934,11.774248123168944,5.528514385223389,10.494606971740724,7.857754707336426,10.359,17.91,11.506494522094728,7.017420768737793,12.55345344543457,112.16480255126952,12.783365249633787,14.24439811706543,8.680000305175781,9.407991409301758,2.984450101852417,8.717137336730957,4.451957702636719,1.2529226541519165,17.086044311523438,23.37385368347168,6.151393890380859,3.476,7.3515119552612305,6.717639923095703,840.7332763671875,5.440554618835449,19.08,582.0,81.85372161865234,75.08,1520.228515625,10.078269004821776,9.05947494506836,99.85601043701172,19.4407901763916,7.200432300567627,6.536106586456299,25.07,28.362,7.669222354888916,20.09752082824707,5.3578057289123535,22.05361557006836,30.15
