,VIVO4,AMBV4,ARCZ6,ARCE3,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CCRO3,CMIG4,CPLE6,CSAN3,CPFE3,CYRE3,ELET3,ELET6,EMBR3,GGBR4,GOAU4,GOLL4,PTIP4,ITSA4,ITUB4,KLBN4,LIGT3,LAME4,LREN3,NATU3,NETC4,PCAR4,PETR3,PETR4,RSID3,SBSP3,SDIA4,CSNA3,CRUZ3,SUBA3,TAMM4,VCPA4,TNLP3,TNLP4,TMAR5,TCSL4,UBBR11,USIM5,VALE3,VALE5,ALLL11
2006-06-30,18.28,14.62,10.89,,4.148,6.975210666656494,7.122040748596191,27.52,12.21,6.587792873382568,2.4997546672821045,2.5920801162719727,0.857,6.974607944488525,5.392723083496094,5.730172157287598,10.09043788909912,8.418,16.76300811767578,10.270774841308594,11.01938247680664,71.78343200683594,17.6,2.1290855407714844,6.374855995178223,,7.353516578674316,1.551,2.7887556552886963,6.88,18.53,53.55,10.949004173278809,8.225601196289062,229.6465301513672,4.654661178588867,5.66,5.941842079162598,3.96,38.98,54.26,30.81,39.67,16.9,27.15,5.19,12.92,12.802035331726074,12.752544403076172,14.62,14.63
2006-07-03,17.88,15.25,11.24,,4.333,7.099937915802002,7.140562057495117,28.04,12.51,6.592748165130615,2.6197986602783203,2.5554983615875244,0.894,7.172598361968994,5.446238040924072,5.977919101715088,10.4876127243042,8.622,16.76300811767578,10.33746337890625,11.158869743347168,71.6808853149414,17.22,2.1339778900146484,6.637532711029053,,7.399159908294678,1.613,3.089303493499756,7.28,18.69,54.93,11.077946662902832,8.260032653808594,242.9593963623047,4.6660685539245605,5.62,6.113687992095947,3.93,38.71,54.66,30.91,41.22,17.2,27.48,5.45,13.93,13.021310806274414,13.074529647827148,14.95,15.19
2006-07-04,18.04,15.3,11.24,,4.34,7.283194065093994,7.110637664794922,28.33,12.43,6.518394947052002,2.5915536880493164,2.6704702377319336,0.891,6.92661190032959,5.824964046478272,5.750950336456299,10.391002655029297,8.486,17.000059127807617,10.57565689086914,11.42668342590332,71.87665557861328,17.02,2.202500343322754,6.587013244628906,,7.439731597900391,1.641,2.9623777866363525,7.34,18.53,54.39,10.903759002685549,8.340376853942871,245.1781768798828,4.7697577476501465,5.52,6.1213812828063965,3.96,41.23,55.95,30.74,40.72,17.58,28.34,5.52,13.95,13.10704231262207,13.02574348449707,14.97,15.19
2006-07-05,17.18,14.93,11.04,31.76,4.244,7.32061243057251,6.741570472717285,26.2,11.58,6.126795768737793,2.457385778427124,2.67569637298584,0.857,6.849615573883057,5.897004127502441,5.242667675018311,9.961623191833496,8.103,16.68681526184082,10.65505599975586,11.493635177612305,73.0419692993164,16.43,2.202500343322754,6.425370216369629,,7.2571611404418945,1.576,2.80192494392395,7.17,17.89,52.53,10.924115180969238,8.304031372070312,244.0688018798828,4.746687412261963,5.38,6.0085296630859375,3.99,39.44,55.51,30.91,38.31,16.83,26.87,5.34,13.29,13.024606704711914,12.589113235473633,14.64,14.54
2006-07-06,18.25,14.74,11.1,32.96,4.258,7.157506465911865,6.835620403289795,26.4,11.58,5.958259582519531,2.461622714996338,2.5920801162719727,0.887,6.994606971740723,5.884653568267822,5.466439723968506,9.98309326171875,8.256,16.830732345581055,10.33746337890625,11.07796859741211,71.32662200927734,16.25,2.138873338699341,6.425370216369629,,7.419446468353271,1.641,2.871375560760498,7.29,18.05,51.98,10.903759002685549,8.187344551086426,238.4108123779297,4.677473068237305,5.29,6.014514923095703,4.08,39.8,55.95,30.93,37.89,16.95,26.54,5.38,13.39,13.370832443237305,12.525690078735352,14.56,14.84
2006-07-07,17.88,14.79,10.85,33.35,4.21,7.070196151733398,6.697397708892822,26.4,11.43,5.82442045211792,2.5760176181793213,2.6338882446289062,0.859,6.999606609344482,5.911410808563232,5.450456142425537,9.761961936950684,8.043,16.66988182067871,10.353347778320312,10.935694694519045,67.86797332763672,16.04,2.163346767425537,6.361718654632568,,7.607088088989258,1.596,2.873769521713257,7.26,17.89,51.74,10.903759002685549,8.254295349121094,236.302978515625,4.838972091674805,5.19,5.899097442626953,4.3,40.34,54.58,30.35,37.02,16.69,26.22,5.3,13.08,13.032848358154297,12.501296997070312,14.5,14.54
2006-07-10,18.15,14.53,10.87,33.49,4.162,7.003992080688477,6.670320987701416,25.74,11.69,5.636057376861572,2.487044095993042,2.565950870513916,0.862,6.874613285064697,5.948460578918457,5.882016658782959,9.957330703735352,8.128,16.58521842956543,10.226309776306152,10.879897117614746,67.1221694946289,15.95,2.1290855407714844,6.325353622436523,,7.784585475921631,1.588,2.8749680519104004,7.15,17.89,51.98,10.7906494140625,8.187344551086426,227.427734375,4.723616600036621,5.3,5.941842079162598,4.3,39.88,55.06,30.54,37.73,16.68,26.54,5.38,12.86,13.10704231262207,12.46958827972412,14.58,14.59
2006-07-11,18.87,14.62,10.99,34.5,4.21,7.042372703552246,6.640393257141113,26.33,11.67,5.536917686462402,2.464447021484375,2.576402425765991,0.872,6.949610233306885,5.897004127502441,5.650251865386963,10.09043788909912,8.35,16.847675323486328,10.28030014038086,10.879897117614746,65.8170166015625,16.2,2.121742486953736,6.465784072875977,,7.809943199157715,1.588,2.9025075435638428,6.97,18.05,51.41,11.080212593078612,8.152909278869629,221.769775390625,4.744354248046875,5.29,6.078634738922119,4.32,38.52,54.42,30.91,37.44,16.72,26.82,5.16,12.98,13.16474723815918,12.476906776428224,14.64,14.34
2006-07-12,18.74,14.36,11.01,33.19,4.114,7.090344905853272,6.74014139175415,25.95,11.23,5.279156684875488,2.5068159103393555,2.5868539810180664,0.865,6.899614334106445,5.866128921508789,5.57832670211792,10.176315307617188,8.29,16.75454330444336,10.588363647460938,11.158869743347168,65.2576675415039,15.89,2.131532907485962,6.283933162689209,,7.860659599304199,1.551,2.873769521713257,6.81,18.21,50.64,11.084733963012695,8.376723289489746,220.7713165283203,4.721283912658691,5.48,6.031612396240234,4.25,38.18,53.65,31.54,37.76,16.65,26.33,5.23,12.68,12.793787956237791,12.286640167236328,14.48,14.18
2006-07-13,17.84,14.42,10.46,32.72,3.985,6.993438720703125,6.604770183563232,24.82,10.95,5.090792179107666,2.450324058532715,2.5868539810180664,0.838,6.723123073577881,5.870244979858398,5.431275367736816,9.789871215820312,7.933,15.882532119750977,10.59153652191162,11.08633518218994,61.07185363769531,15.7,2.0874814987182617,6.122287273406982,,7.531015872955322,1.506,2.7197837829589844,6.61,17.74,48.54,10.971624374389648,8.380550384521484,217.3321685791016,4.631591320037842,5.54,5.728109836578369,4.22,36.84,50.1,30.08,37.05,16.32,26.02,5.09,12.37,12.282700538635254,12.064664840698242,14.18,13.93
