Date,ABEV3,AZUL4,B3SA3,BBSE3,BRML3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,BPAC11,CRFB3,CCRO3,CMIG4,HGTX3,CIEL3,COGN3,CSAN3,CPFE3,CVCB3,CYRE3,ECOR3,ELET3,ELET6,EMBR3,ENBR3,ENGI11,EGIE3,EQTL3,EZTC3,FLRY3,GGBR4,GOAU4,GOLL4,NTCO3,HAPV3,HYPE3,IGTA3,GNDI3,IRBR3,ITSA4,ITUB4,JBSS3,KLBN11,RENT3,LAME4,LREN3,MGLU3,MRFG3,BEEF3,MRVE3,MULT3,PCAR3,PETR3,PETR4,VBBR3,PRIO3,QUAL3,RADL3,RAIL3,SBSP3,SANB11,CSNA3,SULA11,SUZB3,TAEE11,VIVT4,TIMS3,TOTS3,UGPA3,USIM5,VALE3,VIIA3,WEGE3,YDUQ3
2020-03-02,13.736698150634766,45.18999862670898,14.756961822509766,27.31907081604004,16.655378341674805,18.868932723999023,21.469,20.659074783325195,40.25347518920898,22.435338973999023,28.200000762939453,15.852869987487791,19.75023078918457,15.715706825256348,7.311877250671387,22.374,6.357363700866699,10.25,17.21152114868164,26.24215316772461,21.641151428222656,26.077224731445312,16.280000686645508,28.93914794921875,30.566,17.149999618530273,17.711414337158203,49.56795501708984,40.18465042114258,23.88601493835449,44.8144760131836,28.305055618286133,14.391642570495604,6.183631420135498,26.11000061035156,44.53002548217773,10.83379077911377,36.27765655517578,50.928,63.675,26.80545234680176,10.587395668029783,29.88929557800293,19.78486633300781,19.178897857666016,48.28403854370117,10.938,49.92242431640625,12.814970970153809,9.650062561035156,10.142325401306152,17.5006103515625,29.729616165161133,67.93425750732422,15.221198081970217,14.40175437927246,22.62355613708496,8.460000038146973,31.57982444763184,24.32390022277832,21.686277389526367,56.45866394042969,33.329959869384766,11.54713535308838,44.87254333496094,38.5985221862793,22.44402885437012,52.591,15.03683090209961,24.18958854675293,18.45490455627441,7.351991653442383,34.63202667236328,14.34000015258789,22.74835968017578,48.05656051635742
2020-03-03,13.755362510681152,44.0,14.64185905456543,26.480478286743164,16.446565628051758,18.566164016723636,20.913,20.36642074584961,39.0753173828125,22.90852165222168,26.149999618530277,15.402737617492676,20.117673873901367,15.52681827545166,7.327121734619141,22.131,6.465115070343018,10.489999771118164,17.30720329284668,26.235076904296875,21.18010139465332,26.026142120361328,15.989999771118164,28.61243057250977,30.404,16.90999984741211,17.345966339111328,50.66533660888672,40.209510803222656,23.766077041625977,44.83311080932617,28.04857063293457,14.516352653503418,6.146018028259277,25.1200008392334,44.221961975097656,11.004556655883787,37.22993850708008,49.942,63.635,24.72990608215332,10.43258571624756,29.345516204833984,19.15972900390625,19.47930145263672,48.10000991821289,11.118,50.23325729370117,12.88813018798828,9.20122241973877,10.049970626831056,16.911823272705078,29.297935485839844,68.76349639892578,14.896190643310549,14.141185760498049,22.41020965576172,8.355999946594238,33.04801940917969,24.386383056640625,21.007020950317383,56.32723236083984,32.98749542236328,11.378836631774902,45.27626419067383,38.88082885742188,22.43660545349121,53.22,14.919071197509766,23.899370193481445,18.698226928710938,7.195750713348389,34.624549865722656,14.369999885559082,23.198583602905277,48.97704315185547
2020-03-04,14.287286758422852,44.75,14.694984436035156,26.83493423461914,16.884077072143555,18.70977020263672,21.142,20.933813095092773,39.11800765991211,23.64276695251465,26.65999984741211,15.793010711669922,20.48512458801269,15.63070583343506,7.662481307983398,22.482,6.617763519287109,10.43000030517578,17.55552101135254,27.67173767089844,20.86959648132324,27.396839141845703,16.200000762939453,29.55174827575684,31.025,17.239999771118164,18.25533676147461,52.95744323730469,42.0903205871582,24.81783676147461,46.771034240722656,28.405818939208984,15.239676475524902,6.507105827331543,24.809999465942383,43.89402389526367,10.629267692565918,37.89200210571289,51.875,62.641,16.825170516967773,10.492792129516602,29.626785278320312,20.021408081054688,20.73724174499512,49.20419692993164,11.369,51.38240814208984,12.790586471557615,9.522890090942385,10.243077278137209,17.246980667114258,30.25514030456543,68.64372253417969,15.286200523376465,14.597179412841797,22.61502265930176,8.265999794006348,32.426513671875,24.38833236694336,21.26673698425293,58.97461318969727,32.85051727294922,11.519084930419922,45.0357551574707,42.3853645324707,23.11200523376465,55.042,15.580330848693848,24.130889892578125,18.67015266418457,7.699192523956299,36.28294372558594,14.979999542236328,23.46000289916992,47.96067810058594
2020-03-05,14.21263027191162,38.25,13.904009819030762,26.316221237182617,15.750518798828123,18.155858993530277,20.447,19.97820472717285,36.80439758300781,21.815309524536133,25.600000381469727,14.698801040649414,19.54813575744629,14.49736213684082,7.296632766723633,21.168,6.17777681350708,9.979999542236328,16.400493621826172,26.751708984375,18.81839370727539,25.04707908630371,15.100000381469728,28.66143798828125,30.685,16.549999237060547,17.685916900634766,50.68302917480469,40.43321228027344,23.784528732299805,42.15914916992188,27.47147750854492,14.491415023803713,6.130971908569336,20.649999618530277,40.99226760864258,10.186463356018066,36.91252136230469,48.827,59.658,14.10487937927246,10.174567222595217,28.614221572875977,18.754234313964844,20.3898983001709,46.73430633544922,10.646,48.79209899902344,11.654187202453612,8.849631309509277,9.48744010925293,15.643664360046388,28.3595027923584,65.50177764892578,14.522432327270508,13.728622436523438,21.428800582885746,7.909999847412109,29.86842918395996,24.253604888916016,20.87716293334961,56.47743988037109,32.242645263671875,11.173138618469238,43.17179107666016,41.48976135253906,22.191680908203125,54.375,15.145530700683594,22.663475036621094,16.9388370513916,7.291229724884033,34.9980583190918,13.960000038146973,22.60796546936035,44.68148040771485
2020-03-06,14.29661750793457,38.68000030517578,13.718071937561035,26.350801467895508,14.925207138061523,17.581443786621094,19.864,19.38692092895508,36.11286544799805,20.45287132263184,23.11000061035156,13.527974128723145,19.58487892150879,13.609576225280762,6.956191062927246,20.389,5.890439510345459,9.0,15.801337242126465,26.185535430908203,21.528240203857425,23.625303268432617,14.359999656677246,26.42341041564941,29.28,15.920000076293944,17.141998291015625,49.329010009765625,39.77037811279297,22.97264289855957,41.08769989013672,27.077585220336918,13.427210807800291,5.717225074768066,21.049999237060547,39.55132675170898,9.930313110351562,35.933013916015625,47.279,58.664,14.458163261413574,9.942349433898926,28.004810333251957,17.748937606811523,19.976844787597656,43.63482666015625,9.789,47.83133316040039,11.05428409576416,8.423233032226562,8.731801986694336,15.670838356018066,27.646289825439453,63.861698150634766,13.032812118530272,12.393217086791992,21.01916885375977,7.0879998207092285,29.481109619140625,24.0466251373291,19.27891159057617,53.85822296142578,31.121082305908203,10.38774585723877,41.2906494140625,38.96844482421875,21.909650802612305,53.841,14.774140357971191,21.176488876342773,16.096572875976562,6.831188678741455,33.32472610473633,11.5600004196167,21.310556411743164,42.763816833496094
2020-03-09,13.690038681030272,32.099998474121094,12.071195602416992,24.54393768310547,13.771760940551758,15.858174324035645,18.434,16.424530029296875,32.125938415527344,17.850372314453125,20.0,11.490398406982422,18.592775344848636,11.994559288024902,6.249900817871094,18.394,5.405554294586182,7.539999961853027,14.352425575256348,24.06238555908203,18.34793281555176,19.683496475219727,12.020000457763672,22.502782821655277,25.39,14.960000038146973,16.20713233947754,44.99258804321289,37.09416580200195,20.52776336669922,36.14971923828125,24.741735458374023,11.016132354736328,4.70166540145874,17.3799991607666,35.77507019042969,8.959322929382324,32.19641876220703,41.429,50.709,12.152982711791992,9.314502716064451,26.06406784057617,15.206132888793944,18.39033889770508,38.549747467041016,8.992,43.32889175415039,9.842288970947266,6.410932540893555,7.170154094696045,13.904471397399902,25.23451232910156,60.16691970825195,9.165220260620115,8.71270751953125,18.94541358947754,4.498000144958496,25.761066436767575,22.629016876220703,17.331043243408203,48.81694030761719,27.7820987701416,7.760423183441162,36.08528900146485,36.943603515625,21.523704528808597,50.168,13.687137603759766,19.017749786376957,14.421404838562012,5.728823661804199,28.259910583496094,9.579999923706056,19.24340057373047,38.42991256713867
2020-03-10,13.45673942565918,36.18000030517578,13.576406478881836,25.071298599243164,14.209274291992188,16.316343307495117,18.878,18.789663314819336,33.81632614135742,20.4936637878418,20.84000015258789,12.005178451538086,19.428714752197266,14.072358131408691,6.422664165496826,19.902,5.692893505096436,8.149999618530273,15.325201034545898,24.3879337310791,20.474411010742188,21.428789138793945,13.800000190734863,25.876155853271484,27.57,15.170000076293944,16.513090133666992,45.8421745300293,38.94182968139648,20.758413314819336,41.47901153564453,24.97989845275879,11.922365188598633,5.107890129089356,18.31999969482422,38.8557014465332,9.707918167114258,33.74728775024414,43.885,54.637,12.099989891052246,9.51231575012207,26.710981369018555,17.53774070739746,18.502986907958984,40.63221740722656,9.665,47.33211135864258,11.459096908569336,7.420822620391846,7.430429458618164,15.01863956451416,26.304330825805664,61.2725830078125,9.94523811340332,9.532407760620115,20.80582046508789,5.105999946594238,27.805736541748047,22.80670738220215,18.52972984313965,51.37044143676758,28.75810813903809,8.760863304138184,39.20335006713867,37.829471588134766,22.481142044067383,51.57,14.049473762512209,20.30908203125,16.732948303222656,6.180185794830322,33.4741325378418,11.619999885559082,20.28907585144043,43.15694046020508
2020-03-11,12.831494331359863,30.25,12.558176040649414,24.016576766967773,12.409499168395996,15.023892402648926,17.351,17.284582138061523,30.896564483642575,17.744314193725586,18.5,10.63322639465332,18.776498794555664,13.32624053955078,5.787510395050049,18.579,5.342699527740479,7.550000190734863,13.555068969726562,22.717721939086918,18.103294372558597,20.68810272216797,13.25,23.6953067779541,26.25,14.220000267028809,15.841686248779297,42.620826721191406,37.50843048095703,19.743558883666992,37.454097747802734,23.999759674072266,10.550545692443848,4.491030693054199,15.649999618530272,35.68563461303711,8.933509826660156,31.56155776977539,40.314,48.721,11.216779708862305,8.944676399230957,24.53584098815918,16.034021377563477,17.085460662841797,37.73613357543945,8.886,44.35559844970703,10.505595207214355,6.867254257202148,7.186945915222168,14.29397678375244,24.371152877807617,57.494876861572266,8.867295265197754,8.60413932800293,19.36358070373535,4.662000179290772,25.98624992370605,22.455230712890625,17.101293563842773,47.40875625610352,26.36944961547852,7.498625755310059,35.389522552490234,34.51963424682617,22.080352783203125,51.818,14.221580505371094,19.14166641235352,15.60057258605957,5.64202356338501,30.43375015258789,11.0,18.97713851928711,40.60644912719727
2020-03-12,10.806451797485352,20.299999237060547,10.887685775756836,21.79473876953125,11.236165046691896,13.109148979187012,15.025,15.576428413391112,26.81354713439941,13.461204528808594,15.25,7.77678918838501,16.535078048706055,11.210664749145508,4.669642448425293,14.608,4.211304664611816,5.980000019073486,11.05592441558838,19.72407913208008,12.83414363861084,15.588440895080566,10.789999961853027,19.37444496154785,21.177,10.460000038146973,13.818982124328612,36.51443862915039,36.32361602783203,17.60313606262207,30.21483421325684,20.885284423828125,8.812907218933105,3.535652637481689,9.970000267028809,28.33186912536621,7.7361531257629395,28.17866325378418,34.652,41.164,8.081379890441895,7.972799301147461,22.12632751464844,14.150151252746582,14.832430839538574,31.963356018066406,7.281,40.70089340209961,8.2913236618042,5.490810871124268,5.851987838745117,11.413443565368652,21.05847930908203,53.15512466430664,6.998499870300293,6.839883327484131,16.40229034423828,3.138000011444092,22.122089385986328,19.573150634765625,14.274385452270508,40.21764755249024,22.81642723083496,6.152238368988037,30.063920974731445,28.951324462890625,20.75924301147461,47.125,12.12004852294922,16.71227264404297,12.287673950195312,4.860820770263672,26.40728759765625,8.5,15.975651741027832,35.09317779541016
2020-03-13,11.851634979248049,24.709999084472656,12.065292358398438,23.00507926940918,11.8626070022583,15.24955940246582,17.559,18.41936492919922,31.30963897705078,16.128971099853516,16.489999771118164,9.946054458618164,17.747648239135742,13.69457721710205,5.335281848907471,16.165,5.091277599334717,6.670000076293945,12.632412910461426,21.457984924316406,14.443116188049316,17.921173095703125,13.130000114440918,22.92751693725586,24.616,11.68000030517578,15.306265830993652,41.15175247192383,39.92779541015625,18.728702545166016,35.03169250488281,21.61810302734375,10.351007461547852,4.265351295471191,11.170000076293944,32.79381561279297,8.6594877243042,30.29184341430664,36.546,45.937,8.832108497619629,8.772661209106445,24.573352813720703,17.630664825439453,15.170385360717772,34.869117736816406,8.812,44.0635986328125,10.242223739624023,6.874734401702881,6.683187961578369,12.654428482055664,22.381671905517575,60.351192474365234,8.591039657592773,8.359856605529785,17.622648239135742,3.733999967575073,23.41914939880371,20.500656127929688,17.430932998657227,47.23977279663086,25.658843994140625,7.433175563812256,33.0703125,30.742528915405277,21.404956817626957,50.817,12.97153091430664,18.796009063720703,15.160724639892578,5.659383773803711,32.04732131958008,9.710000038146973,16.716341018676758,32.98375701904297
