,ALLL3,AMBV4,BRML3,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,BISA3,CCRO3,CMIG4,CESP6,HGTX3,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DASA3,DXCO3,ELET3,ELET6,ELPL4,EMBR3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HYPE3,ITSA4,ITUB4,JBSS3,LIGT3,PRML3,RENT3,LAME4,LREN3,MRFG3,MMXM3,MRVE3,NATU3,OGXP3,PCAR4,PDGR3,PETR3,PETR4,RDCD3,RSID3,SANB11,CSNA3,CRUZ3,TAMM4,TNLP4,VIVT3,TIMS3,UGPA3,USIM3,USIM5,VALE3,VALE5
2011-02-28,13.43,40.4,8.838481903076172,7.08543872833252,7.826,17.142990112304688,14.126726150512695,10.59695529937744,26.247133255004883,6.7,7.485324859619141,3.409592866897583,13.172,17.138,4.041318893432617,2.008,4.0507493019104,11.177535057067873,10.823657035827637,18.403818130493164,7.157928943634033,11.953088760375977,14.385,20.74,12.662617683410645,19.62859916687012,467.5649108886719,15.625720977783203,16.7159481048584,21.826404571533203,14.847987174987791,3.5487208366394043,10.42225742340088,4.839758396148682,17.776887893676758,44.40054321289063,4.887840270996094,2.692,6.578824043273926,10.844293594360352,1461.1673583984375,6.737253189086914,15.86,1945.0,,3937.48388671875,15.567693710327148,12.453948974609377,21.5,299.7069396972656,9.755329132080078,15.220854759216309,12.88,33.78,25.17,15.838850021362305,5.6794867515563965,5.181704044342041,22.87533950805664,15.842541694641112,29.149600982666016,35.31
2011-03-01,13.33,41.35,8.760411262512207,6.935086250305176,7.689,16.85317039489746,13.746841430664062,10.508123397827148,26.156309127807617,6.45,7.486937046051025,3.3923323154449463,12.892,17.674,3.8874237537384033,1.998,4.005550861358643,11.107787132263184,10.306998252868652,18.129138946533203,6.922187805175781,11.769978523254396,14.002,20.81,12.28300952911377,19.219669342041016,451.8197326660156,15.36280918121338,16.366615295410156,21.112733840942383,14.379105567932127,3.4562418460845947,10.200215339660645,4.847514629364014,17.58153533935547,44.2049446105957,4.919039249420166,2.61,6.409839630126953,10.754610061645508,1413.211181640625,6.619951248168945,15.88,1932.0,,3855.18212890625,15.352805137634276,12.32757568359375,21.06999969482422,285.7670593261719,9.48340892791748,14.992399215698242,12.84,33.01,25.22,15.815507888793944,5.753727436065674,5.181704044342041,22.15035820007324,15.258864402770996,28.60077476501465,34.78
2011-03-02,13.51,42.89,8.88866901397705,7.110498905181885,7.683,17.11916732788086,13.85605812072754,10.774616241455078,26.23805046081543,6.71,7.59663724899292,3.453978538513184,13.324,17.45,4.029007434844971,2.01,4.161409378051758,10.988961219787598,10.398557662963867,18.3031063079834,6.922187805175781,11.927655220031738,14.027,21.14,12.183588027954102,19.301456451416016,453.8734436035156,15.455177307128906,16.476594924926758,21.112733840942383,14.3400297164917,3.482582330703736,10.23684787750244,4.7932233810424805,17.842004776000977,44.3027458190918,4.825442314147949,2.63,6.487239837646484,10.694819450378418,1393.7288818359375,6.818857192993164,16.14,2000.0,,3946.1474609375,15.854219436645508,12.593389511108398,21.690000534057617,299.7069396972656,9.551382064819336,15.015246391296388,13.03,34.27,25.41,16.1072998046875,5.776000499725342,5.181704044342041,23.1909236907959,15.80084991455078,29.08746719360352,35.2
2011-03-03,13.69,41.93,9.033655166625977,7.267114162445068,7.833,17.26209259033203,14.027006149291992,10.915698051452637,26.156309127807617,6.79,7.664389610290527,3.519338369369507,13.299,18.082,4.102878093719482,2.02,4.167643070220947,10.976045608520508,10.790955543518066,18.44960021972656,6.965048789978027,12.054815292358398,14.002,21.23,12.382428169250488,19.48956298828125,465.51123046875,16.1657657623291,17.272275924682617,21.310976028442383,14.777655601501465,3.532332420349121,10.487626075744627,4.80873441696167,18.232704162597656,44.40054321289063,4.9398393630981445,2.692,6.482080459594727,10.649978637695312,1465.663330078125,6.808656215667725,16.33,2005.0,,4019.785888671875,15.83511447906494,12.619534492492676,21.899999618530277,306.6768798828125,9.663070678710938,15.306527137756348,13.0,34.39,25.51,16.1072998046875,5.865091323852539,5.27290153503418,24.63236427307129,16.718048095703125,29.304920196533203,35.31
2011-03-04,13.64,41.55,8.922127723693848,7.223265647888184,7.853,17.186662673950195,14.064995765686035,10.941824913024902,25.88385009765625,6.72,7.704723358154297,3.5600361824035645,13.417,18.014,4.115189075469971,2.04,4.120886325836182,11.182703018188477,10.398557662963867,18.211544036865234,6.840750694274902,12.181978225708008,14.061,21.17,12.29204559326172,19.46502494812012,462.0883483886719,15.81047534942627,17.013519287109375,21.17220687866211,14.53539752960205,3.5264792442321777,10.630485534667969,4.83200216293335,18.23921775817871,44.00934982299805,4.931519031524658,2.672,6.527228832244873,10.52292537689209,1444.6824951171875,6.834156036376953,16.5,2025.0,,4015.453857421875,16.069103240966797,12.671828269958496,22.0,300.4039306640625,9.59023380279541,15.352214813232422,13.22,34.08,25.07,16.052827835083008,5.761152267456055,5.27290153503418,23.89884757995605,17.34341049194336,28.81305313110352,34.92
2011-03-09,13.68,41.28,8.922127723693848,,7.669,17.186662673950195,14.064995765686035,10.941824913024902,25.88385009765625,6.86,7.704723358154297,3.5600361824035645,13.451,18.579,4.115189075469971,2.071,4.120886325836182,11.182703018188477,10.398557662963867,18.211544036865234,6.840750694274902,12.181978225708008,14.3,21.2,12.29204559326172,19.46502494812012,462.0883483886719,15.81047534942627,17.013519287109375,21.17220687866211,14.53539752960205,3.5264792442321777,10.308778762817385,4.83200216293335,18.23921775817871,44.00934982299805,4.931519031524658,2.692,6.527228832244873,10.52292537689209,1444.6824951171875,6.834156036376953,16.75,2025.0,,4015.453857421875,16.069103240966797,12.671828269958496,,300.4039306640625,9.59023380279541,15.352214813232422,13.34,33.53,25.17,16.052827835083008,5.761152267456055,5.27290153503418,23.89884757995605,17.34341049194336,28.81305313110352,33.92
2011-03-10,13.54,41.53,8.721380233764648,7.066643714904785,7.396,16.078994750976562,13.300480842590332,11.088132858276367,25.938343048095703,6.88,7.799900531768799,3.58223032951355,13.569,18.832,4.281397342681885,2.075,4.016462326049805,11.146535873413086,10.280838966369627,18.18407440185547,6.857895374298096,12.09041976928711,14.07,21.09,12.066092491149902,18.89252281188965,457.98089599609375,15.277541160583496,16.424837112426758,20.53783226013184,13.988369941711426,3.338589906692505,10.048141479492188,4.800979137420654,18.362937927246094,43.32476043701172,4.904481410980225,2.717,6.598177909851074,10.53787326812744,1366.7535400390625,6.732154369354248,17.0,1900.0,,3985.132080078125,15.328922271728516,12.253498077392578,22.850000381469727,306.6768798828125,9.192058563232422,14.7296781539917,13.48,32.67,25.07,16.297943115234375,5.776000499725342,5.27290153503418,23.11416244506836,16.7930908203125,26.975021362304688,32.79
2011-03-11,13.54,42.31,9.156332969665527,6.953881740570068,7.457,16.257646560668945,13.381213188171388,10.973175048828123,26.156309127807617,6.97,7.678910255432129,3.658679008483887,13.738,19.231,4.330645084381104,2.112,3.9899652004241934,11.211115837097168,10.594756126403809,18.31226348876953,6.960765361785889,12.253188133239746,14.257,21.39,12.30108642578125,18.827096939086918,468.93408203125,14.95067310333252,16.101388931274414,21.02352523803711,14.066513061523438,3.414933443069458,10.296310424804688,4.940587520599365,18.53875541687012,43.42255783081055,4.9398393630981445,2.827,6.736204624176025,10.687347412109377,1384.737060546875,6.869856834411621,17.37,1889.0,,4037.1123046875,15.38623046875,12.275288581848145,23.0,315.9700927734375,9.342586517333984,14.73538875579834,13.9,32.93,25.27,16.111196517944336,5.842817306518555,5.27290153503418,24.56412506103516,17.576879501342773,27.347810745239254,33.28
2011-03-14,13.59,41.83,9.368234634399414,7.029055595397949,7.498,16.36881446838379,13.533160209655762,11.00452709197998,26.156309127807617,6.91,7.725691795349121,3.6759519577026367,13.738,18.968,4.447605609893799,2.098,3.965027332305908,11.379026412963867,9.90806007385254,18.31226348876953,6.823605537414551,12.436298370361328,14.546,21.26,12.246859550476074,18.72895050048828,463.45745849609375,15.504920959472656,16.7159481048584,21.013614654541016,14.379105567932127,3.43548846244812,10.345370292663574,4.948342800140381,18.68852424621582,45.08513259887695,4.887840270996094,2.897,6.901318073272705,10.799450874328612,1438.6878662109375,6.869856834411621,17.66,1905.0,,4050.107177734375,15.496061325073242,12.323222160339355,23.799999237060547,314.1114807128906,9.415422439575195,15.078070640563965,14.0,32.62,25.32,16.45745849609375,5.716607093811035,5.27290153503418,26.909656524658203,17.94375991821289,27.44100570678711,33.2
2011-03-15,13.15,41.63,9.145180702209473,7.016527652740479,7.567,16.067087173461914,13.689860343933104,10.920923233032228,26.410606384277344,6.78,7.695041656494141,3.620461463928223,13.848,19.494,4.468900203704834,2.093,3.9821717739105225,11.469437599182127,9.783799171447754,17.82698631286621,6.836464405059815,12.298965454101562,14.359,21.2,12.255894660949709,19.75127410888672,465.51123046875,15.768563270568848,16.936660766601562,21.994911193847656,14.379105567932127,3.47953200340271,10.469449996948242,4.9638543128967285,18.42805290222168,45.08513259887695,4.914879322052002,2.918,6.841474533081055,10.799450874328612,1440.1865234375,6.900457859039307,17.69,1880.0,,4045.775390625,15.34325122833252,12.21864128112793,23.6299991607666,318.2933959960937,9.512539863586426,15.135187149047852,14.34,33.01,25.77,16.375747680664062,5.6794867515563965,5.27290153503418,26.176149368286133,17.710289001464844,26.949138641357425,32.64
