,AMBV4,ARCZ6,BBDC4,BBAS3,BRTP4,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,ITSA4,ITUB4,PETR3,PETR4,SBSP3,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,USIM5,VALE3,VALE5
2003-03-18,7.36,5.41,1.066,1.4819765090942385,14.3,2353.6181640625,0.38,27.73,3.950299263000488,3.217,5.43,6.544346809387207,9.16,1.62,1.46,1.872672438621521,0.5373084545135498,1.8012257814407349,2.974780321121216,2.166900873184204,1.8824992179870603,1.705608367919922,33.99,1.96,19.89,13.61,11.62,13.77,19.51,23.63,7.85951566696167,8.85,2.03,1.2678377628326416,3.890647649765015,4.9
2003-03-19,7.17,5.41,1.066,1.4506272077560425,14.23,2292.764404296875,0.368,27.26,3.8343660831451416,3.106,5.04,6.747534275054932,9.07,1.51,1.39,1.8488168716430664,0.5373084545135498,1.8083980083465576,2.9974024295806885,2.176006555557251,1.820284724235535,1.720569729804993,32.78,1.91,19.76,13.44,11.58,13.61,19.23,22.12,8.082684516906738,8.87,1.96,1.2546486854553225,3.834137916564941,4.84
2003-03-20,7.18,5.46,1.079,1.4563270807266235,14.37,2316.927978515625,0.367,28.42,3.875158071517944,3.149,4.96,6.882993698120117,9.42,1.55,1.41,1.82496190071106,0.5534279346466064,1.8185008764266968,3.0256803035736084,2.216977119445801,1.7790679931640625,1.7697293758392334,34.31,1.93,19.43,14.02,11.85,13.77,18.9,22.46,7.920967102050781,9.16,2.02,1.276081681251526,3.910974740982056,4.92
2003-03-21,7.44,5.33,1.107,1.4891020059585571,14.42,2371.5166015625,0.376,28.75,3.8901853561401367,3.268,5.17,7.255505561828613,10.0,1.65,1.5,1.8011051416397097,0.5776070952415466,1.8892208337783811,2.9974024295806885,2.194216251373291,1.8145813941955569,1.8338491916656492,34.64,1.93,19.27,14.72,11.91,13.93,19.44,23.3,7.924202919006348,9.48,2.06,1.3107037544250488,3.813403367996216,4.84
2003-03-24,7.26,5.25,1.079,1.4791266918182373,14.23,2299.92333984375,0.365,27.81,3.7892813682556152,3.149,5.03,6.908390522003174,9.28,1.6,1.43,1.7891777753829956,0.5588008165359497,1.8287054300308228,2.9182255268096924,2.1364009380340576,1.8005834817886353,1.7718662023544312,34.25,1.96,18.91,13.59,11.67,13.57,19.03,22.79,7.713968276977539,8.85,1.95,1.2859740257263184,3.764618635177612,4.79
2003-03-25,7.31,5.25,1.107,1.4891020059585571,14.3,2299.92333984375,0.365,27.91,3.885891914367676,3.234,4.91,6.48508358001709,8.91,1.63,1.46,1.8011051416397097,0.5641740560531616,1.8376965522766116,2.986092090606689,2.1782827377319336,1.8734266757965088,1.8530861139297483,34.39,1.96,18.91,14.06,11.71,13.83,19.44,23.21,7.600767135620117,9.22,2.03,1.2859740257263184,3.780880928039551,4.75
2003-03-26,7.27,5.27,1.141,1.5318511724472046,14.11,2250.703369140625,0.366,27.32,3.928830146789551,3.217,4.79,6.510481834411621,9.11,1.62,1.45,1.82496190071106,0.5641740560531616,1.8488106727600095,2.92388129234314,2.1532437801361084,1.86668598651886,1.8509482145309448,35.93,2.04,19.64,13.89,11.71,13.85,19.33,23.46,7.762486934661865,8.9,2.06,1.3008118867874146,3.744291305541992,4.79
2003-03-27,7.31,5.29,1.141,1.5375510454177856,13.85,2232.80517578125,0.365,27.44,3.853688955307007,3.217,4.85,6.857595443725586,9.41,1.62,1.45,1.82496190071106,0.5641740560531616,1.8690147399902344,2.929537057876587,2.1577963829040527,1.871093511581421,1.848811149597168,35.9,1.98,19.21,13.42,11.87,14.03,19.74,23.71,7.762486934661865,8.64,2.08,1.3750022649765017,3.805273294448853,4.84
2003-03-28,7.43,5.33,1.114,1.5261517763137815,13.94,2228.330810546875,0.368,27.82,3.963180780410767,3.251,4.9,6.772932529449463,9.28,1.64,1.48,1.8488168716430664,0.5641740560531616,1.8488106727600095,2.9040868282318115,2.11682653427124,1.871611714363098,1.9065192937850952,35.99,2.02,19.36,14.15,12.02,14.27,19.72,24.21,7.762486934661865,9.16,2.09,1.4805183410644531,3.7605526447296143,4.79
2003-03-31,7.44,5.23,1.114,1.50050151348114,13.82,2260.547119140625,0.364,27.81,3.913801670074463,3.166,4.82,7.00998592376709,9.63,1.68,1.45,1.836889624595642,0.5561140179634094,1.8577995300292969,2.8724172115325928,2.1122734546661377,1.8780922889709477,1.8530861139297483,35.19,2.04,19.21,13.89,11.91,13.89,19.13,23.79,7.762486934661865,8.92,2.08,1.5101945400238037,3.699571132659912,4.76
2003-04-01,7.6,5.15,1.107,1.5233008861541748,14.15,2375.99072265625,0.373,28.33,4.057643890380859,3.345,5.04,7.33170223236084,10.07,1.77,1.53,1.801134705543518,0.5561140179634094,1.8336539268493648,2.9578139781951904,2.166900873184204,1.946008920669556,1.8146132230758667,35.37,2.07,18.99,14.53,12.53,14.63,19.86,24.38,7.920967102050781,9.45,2.09,1.5085458755493164,3.723964929580689,4.77
2003-04-02,7.74,5.15,1.114,1.5674749612808228,14.36,2486.0654296875,0.395,29.09,4.295949935913086,3.515,5.43,7.611084461212158,10.25,1.86,1.62,1.753422498703003,0.5588008165359497,1.8477989435195925,3.0143685340881348,2.198312282562256,2.018592357635498,1.8573604822158811,34.96,2.12,18.91,15.15,12.85,15.16,20.22,23.79,8.021234512329102,9.8,2.13,1.5481141805648804,3.68330979347229,4.7
