Date,ABEV3,BBAS3,BBDC3,BBDC4,BBSE3,BRAP4,BRFS3,BRKM5,BRML3,B3SA3,CCRO3,CIEL3,CMIG4,CPFE3,CSAN3,CSNA3,CTIP3,CYRE3,ECOR3,ELET3,ELET6,EMBR3,ENBR3,EQTL3,YDUQ3,FIBR3,GGBR4,GOAU4,HYPE3,ITSA4,ITUB4,JBSS3,KLBN11,COGN3,LAME4,LREN3,MRFG3,MRVE3,MULT3,NATU3,PCAR4,PETR3,PETR4,QUAL3,RADL3,RENT3,RAIL3,SANB11,SBSP3,SMLE3,EGIE3,TIMS3,UGPA3,USIM5,VALE3,VALE5,VIVT4,WEGE3
2016-10-31,15.774176597595217,21.471210479736328,12.973817825317385,14.197,20.343975067138672,6.597442626953125,53.400001525878906,19.46571159362793,10.145331382751465,5.029372692108154,14.065645217895508,19.71354103088379,4.016667366027832,16.532154083251953,8.893174171447754,8.350459098815918,43.95,7.831136226654053,8.203709602355957,18.847915649414062,20.956,16.73849105834961,10.735333442687988,10.04568099975586,14.630955696105955,23.07252311706543,8.70036792755127,3.380448341369629,21.62223243713379,5.741472244262695,20.07266616821289,8.131890296936035,13.285345077514648,14.702409744262695,8.344,20.068479537963867,4.256500720977783,7.991945266723633,18.98222541809082,14.77,59.4,9.832887649536133,8.909366607666016,15.095584869384766,13.44940185546875,11.127069473266602,7.132198333740234,18.50279235839844,28.87522315979004,54.16,20.755823135375977,7.443614959716797,32.50271987915039,3.8324227333068848,14.700010299682615,19.92,35.57,6.166633129119873
2016-11-01,15.486912727355955,20.48158264160156,12.654894828796388,13.773,19.692007064819336,6.5466132164001465,52.22999954223633,19.72047996520996,9.843671798706056,4.882238388061523,13.49004364013672,19.76221466064453,3.785966396331787,16.450246810913086,8.642457008361816,7.961704254150391,43.39,7.751004219055176,7.926496982574463,18.50594711303711,20.496,17.324092864990234,10.735333442687988,9.826912879943848,14.306878089904783,23.09962272644043,8.337197303771973,3.2381131649017334,21.00815200805664,5.613749027252197,19.47913360595703,8.157012939453125,13.018832206726074,14.341785430908203,8.028,19.47385597229004,4.211616516113281,7.894957065582275,18.334192276000977,14.22,57.33,9.458352088928224,8.49134635925293,14.441488265991213,13.170391082763672,10.59921646118164,6.892460823059082,17.982181549072266,28.061227798461918,53.45,20.11600112915039,7.3175950050354,31.61746406555176,3.6284799575805664,14.846475601196287,20.06,34.678,5.9739274978637695
2016-11-03,15.123607635498049,19.506616592407227,12.39602756500244,13.459,18.862802505493164,6.439876556396484,51.959999084472656,18.31580924987793,9.597579956054688,4.740451812744141,13.100910186767578,19.628353118896484,3.748890161514282,16.388813018798828,8.41867733001709,7.557400226593018,42.92,7.503320217132568,7.883184909820557,18.11626434326172,20.019,16.611610412597656,10.553499221801758,9.669894218444824,13.769381523132324,22.83763885498047,8.021392822265625,3.216763019561768,20.717267990112305,5.504271507263184,19.060792922973636,7.914145946502685,12.736164093017578,13.907184600830078,7.925,18.596790313720703,4.024600028991699,7.662180423736572,18.112266540527344,13.45,56.35,9.057437896728516,8.123690605163574,14.140165328979492,12.716763496398926,10.56271266937256,6.353050708770752,17.87665367126465,27.61567687988281,50.9,19.73722267150879,7.250383377075195,31.455684661865234,3.3990437984466557,14.620118141174316,19.75,34.453,5.907355308532715
2016-11-04,14.97152328491211,19.70454216003418,12.33056926727295,13.459,18.70455551147461,6.373799800872803,51.150001525878906,18.00595474243164,9.52613353729248,4.705673694610596,13.498154640197754,19.439735412597656,3.724172115325928,16.450246810913086,8.424895286560059,7.510746479034424,42.76,7.52517557144165,7.831206798553467,18.06854820251465,19.917,16.914169311523438,10.490554809570312,9.786335945129396,13.627102851867676,22.49435234069824,8.210874557495117,3.1313626766204834,20.37790870666504,5.613749027252197,19.217668533325195,7.629404544830322,12.530790328979492,13.69451141357422,7.905,18.05419921875,4.032080173492432,7.662180423736572,18.275012969970703,13.28,58.3,9.04688835144043,8.053182601928711,14.470888137817385,12.724356651306152,10.711522102355955,6.093334674835205,18.052536010742188,27.70992851257324,49.54,19.57855033874512,7.208377361297607,31.18606948852539,3.2970728874206543,14.38710117340088,19.8,34.528,5.949400424957275
2016-11-07,15.199646949768066,20.767480850219727,12.739681243896484,13.91,19.483123779296875,6.836333751678467,52.869998931884766,18.880430221557617,9.891300201416016,4.965167999267578,13.903504371643066,19.701372146606445,3.9095571041107178,16.47754669189453,8.814437866210938,8.016131401062012,43.36,7.867559909820557,8.14306926727295,18.370752334594727,20.445,17.25577735900879,10.581473350524902,9.908068656921388,14.306878089904783,22.49435234069824,8.771425247192383,3.416031837463379,20.83039283752441,5.747554779052734,19.90793800354004,8.123516082763672,12.946040153503418,14.332539558410645,8.151,18.648820877075195,4.204135417938232,7.9402174949646,18.54132652282715,13.28,60.22,9.664082527160645,8.667621612548828,15.264619827270508,12.971097946166992,11.197261810302734,6.542843341827393,18.70682144165039,28.4810791015625,51.18,20.008514404296875,7.401609420776367,31.455684661865234,3.594488859176636,15.399055480957031,21.43,35.607,6.02998685836792
2016-11-08,15.2587890625,20.730823516845703,12.833773612976074,13.903,19.305891036987305,7.065057277679443,53.83000183105469,19.08699989318848,9.68490219116211,4.922365665435791,13.944040298461914,19.90215301513672,3.864240884780884,16.436595916748047,8.96155071258545,8.20273208618164,43.39,7.962263584136963,8.134406089782715,18.497995376586918,20.726,16.865371704101562,10.84024143218994,9.941590309143066,14.235739707946776,22.11492919921875,8.937219619750977,3.416031837463379,20.895029067993164,5.7779645919799805,19.954998016357425,7.897396564483643,12.783198356628418,14.637682914733888,8.208,18.500167846679688,4.226577758789063,8.108331680297852,18.567955017089844,13.17,59.87,9.53747844696045,8.582002639770508,14.83835506439209,12.716763496398926,10.87998867034912,6.752613544464111,18.95305633544922,28.48964500427246,51.99,20.11600112915039,7.351199150085449,31.50062561035156,3.6199820041656494,15.958295822143556,21.82,35.523,5.9564080238342285
2016-11-09,15.14895248413086,19.99777030944824,12.563765525817873,13.534,19.103334426879883,7.32427978515625,53.20000076293945,18.839115142822266,9.60551643371582,4.807332992553711,13.546792984008787,19.27546119689941,3.728292226791382,16.470722198486328,8.743988037109375,8.428210258483887,43.29,7.925837516784668,7.978474617004394,18.696813583374023,20.539,17.060571670532227,10.525522232055664,9.88160514831543,13.895853996276855,22.9912166595459,9.50566577911377,3.544132709503174,20.91927146911621,5.65632438659668,19.3170223236084,7.637778282165527,12.547073364257812,13.97191333770752,8.044,18.21029090881348,4.181694030761719,8.050139427185059,18.440717697143555,12.84,59.79,9.627156257629396,8.385581970214844,14.397393226623535,12.73194694519043,10.613252639770508,6.7126569747924805,18.516868591308597,27.78704261779785,51.27,19.78329467773437,7.3091936111450195,30.57942008972168,3.636976957321167,16.644031524658203,22.23,35.11,5.858301639556885
2016-11-10,15.250340461730955,18.714920043945312,11.77826976776123,12.317,18.166528701782227,7.776646137237549,50.619998931884766,19.520795822143555,8.827549934387207,4.6441426277160645,12.85202693939209,18.52099609375,3.398719072341919,16.27277374267578,8.433184623718262,8.746988296508789,42.6,7.284778118133545,7.488255500793457,17.647056579589844,19.39,17.821857452392578,9.973020553588867,9.481118202209473,12.884093284606934,25.54780387878418,9.8688383102417,3.64376711845398,20.13550567626953,5.364382743835449,18.35483932495117,7.746650218963623,13.271730422973633,12.76058292388916,7.527,17.3183536529541,3.934832572937012,7.927287101745605,17.80156898498535,12.49,56.29,9.147116661071776,7.806397438049316,13.22884464263916,12.42446994781494,10.138747215270996,6.093334674835205,17.67263412475586,25.919151306152344,46.78,18.94896507263184,6.897526741027832,29.837963104248047,3.611484050750733,17.889001846313477,24.04,33.768,5.7812180519104
2016-11-11,14.74340534210205,17.417404174804688,11.401890754699709,12.338,17.786739349365234,7.268367767333984,48.880001068115234,19.36931037902832,8.462381362915039,4.547837257385254,11.795581817626951,18.14984703063965,3.262770652770996,16.136255264282227,7.666530609130859,8.101656913757324,42.31,6.716564178466797,7.265390396118164,17.575483322143555,19.458,17.109376907348633,9.686279296875,9.253528594970703,13.392956733703612,27.508155822753903,9.545141220092772,3.4587323665618896,19.618383407592773,5.218413829803467,18.1195125579834,7.621028900146484,13.841679573059082,12.825310707092283,6.891,16.931852340698242,4.323826313018799,7.513463497161865,17.017419815063477,12.0,52.57,8.614325523376465,7.055975914001465,13.280290603637695,12.139764785766602,9.877626419067385,5.503979682922363,17.49674415588379,23.22869873046875,43.92,18.31968307495117,6.653885841369629,29.388599395751957,3.331063270568848,17.296476364135742,22.8,32.726,5.700632572174072
2016-11-14,14.616669654846191,17.901226043701172,11.365071296691896,12.426,17.786739349365234,7.644493579864502,50.31999969482422,19.05257225036621,8.3750581741333,4.480957508087158,12.136638641357422,18.137672424316406,3.374001264572144,16.10895538330078,7.873733520507812,8.521510124206543,41.86,6.556300640106201,6.685942649841309,17.60729217529297,19.304,17.27529525756836,9.630330085754396,9.297635078430176,13.97889804840088,27.38167953491211,10.539918899536133,3.71493411064148,19.87694549560547,5.212331771850586,18.009700775146484,7.780150413513184,13.776540756225586,13.407858848571776,6.809,17.26633071899414,4.443517208099365,7.526392936706543,17.162412643432617,12.3,51.83,8.582676887512207,7.050940036773682,13.347631454467772,12.28970718383789,9.8130464553833,5.244263648986816,17.799264907836914,23.562862396240234,44.61,18.449975967407227,6.813511371612549,29.487462997436523,3.5859909057617188,17.616043090820312,23.88,33.12,5.704135894775391
