,VIVO4,AMBV4,ARCZ6,ARCE3,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,DURA4,ELET3,ELET6,EMBR3,GGBR4,GOAU4,GOLL4,PTIP4,ITSA4,ITUB4,KLBN4,LIGT3,LAME4,LREN3,NATU3,NETC4,PCAR4,PETR3,PETR4,RSID3,SBSP3,SDIA4,CSNA3,CRUZ3,SUBA3,TAMM4,VCPA4,TNLP3,TNLP4,TMAR5,TCSL4,UBBR11,USIM5,VALE3,VALE5,ALLL11
2006-11-17,28.08,16.15,12.28,36.19,5.003,8.22249698638916,7.835949897766113,30.01,14.0,8.12940502166748,3.460111379623413,2.660017967224121,9.805,1.0,5.576686859130859,6.010210037231445,6.281610012054443,25.9,9.70399570465088,7.984,19.539915084838867,10.435272216796877,11.43565273284912,60.54769515991211,18.38,2.4765896797180176,7.423526763916016,,9.6102876663208,2.015,3.232991933822632,9.78,22.28,53.98,10.926382064819336,8.519159317016602,264.0380554199219,6.014042377471924,6.15,5.566524982452393,4.35,42.16,59.64,37.44,48.25,20.49,32.33,6.56,16.33,12.000774383544922,13.901444435119627,15.76,19.68
2006-11-21,29.56,15.93,12.47,35.99,5.01,8.423981666564941,7.934274673461914,31.36,14.04,8.055048942565918,3.6564204692840576,2.660017967224121,10.135,1.008,5.645683288574219,5.969044208526611,6.617269039154053,26.82,9.603092193603516,7.941,19.4721794128418,10.814037322998049,11.876789093017578,56.47372055053711,18.5,2.7027151584625244,7.324521064758301,,9.853714942932127,2.113,3.2808873653411865,9.54,22.17,54.06,11.150336265563965,8.7012939453125,280.6791076660156,6.014042377471924,6.4,5.45538330078125,4.44,43.56,57.06,37.81,48.26,20.39,32.71,6.67,17.06,12.384916305541992,14.194154739379885,16.11,19.33
2006-11-22,30.21,16.06,12.82,36.09,5.065,8.611076354980469,8.264870643615723,32.41,14.27,8.104620933532715,3.770817279815674,2.738407611846924,10.422,1.012,5.76117753982544,5.989627361297607,6.786696910858154,27.42,9.768403053283691,8.069,19.379045486450195,10.875665664672852,11.876788139343262,58.62776947021485,18.94,2.501062393188477,7.486162185668945,,10.19349765777588,2.191,3.394641399383545,9.27,21.87,53.06,11.170697212219238,8.713046073913574,297.3201599121094,5.990972995758057,6.61,5.466495037078857,4.58,45.74,57.01,38.81,48.41,20.35,32.92,6.57,17.43,12.515162467956545,14.342950820922852,16.19,19.18
2006-11-23,30.31,16.25,12.95,37.44,5.051,8.662885665893555,8.264870643615723,31.48,14.3,8.1492338180542,3.813185453414917,2.738407611846924,10.566,1.006,5.744677543640137,6.016383647918701,6.76112174987793,27.47,10.4876127243042,8.358,19.46371078491211,10.86593246459961,11.888265609741213,60.07942199707031,18.68,2.767319440841675,7.425548076629639,,10.142784118652344,2.015,3.44852352142334,9.48,22.06,55.57,11.129980087280272,8.656251907348633,292.882568359375,5.990972995758057,6.7,5.4203290939331055,4.6,52.97,58.76,40.26,48.19,20.42,32.93,6.61,17.32,12.521756172180176,14.355146408081056,16.22,19.56
2006-11-24,29.92,16.23,12.88,37.68,4.955,8.635059356689453,8.051125526428223,30.61,14.58,8.030267715454102,3.783526659011841,2.7070517539978027,10.515,1.014,5.650182247161865,5.956693649291992,6.631654739379883,27.47,10.272923469543455,8.179,19.1335391998291,11.190292358398438,12.048916816711426,59.22716522216797,18.49,2.4765896797180176,7.294210910797119,,9.970355987548828,2.109,3.4365499019622803,9.42,22.22,55.17,11.118667602539062,8.675837516784668,290.1090393066406,5.981901168823242,6.43,5.506679534912109,4.56,56.62,57.97,39.87,46.05,19.73,32.41,6.46,17.04,12.381619453430176,14.367347717285156,16.19,19.35
2006-11-27,28.78,15.85,12.75,36.76,4.859,8.500739097595215,7.761850833892822,28.15,13.63,7.713020801544189,3.6705434322357178,2.7070517539978027,10.168,0.968,5.399697780609131,5.866128921508789,6.348742485046387,27.45,10.004562377929688,7.958,19.302858352661133,10.96324348449707,11.762040138244627,57.59757614135742,18.0,2.665027141571045,7.162875175476074,,9.686357498168944,2.052,3.3407578468322754,9.04,22.06,53.17,11.084733963012695,8.60336971282959,284.56201171875,5.981901168823242,6.24,5.381856918334961,4.45,54.67,55.72,39.09,43.97,19.46,31.94,6.6,16.79,12.00242042541504,14.269773483276367,16.03,18.94
2006-11-28,28.14,15.77,12.39,37.54,4.839,8.356820106506348,8.008370399475098,29.28,13.52,7.683280944824219,3.777878999710083,2.6391143798828125,10.473,0.976,5.354699611663818,5.822905540466309,6.530955791473389,27.78,10.307275772094728,8.128,19.116601943969727,10.878910064697266,11.790725708007812,56.74531555175781,18.19,2.4227514266967773,7.190151691436768,,10.137712478637695,2.105,3.270110845565796,9.28,22.19,53.57,11.152595520019531,8.671916961669922,280.6791076660156,5.921760559082031,6.4,5.439138412475586,4.56,56.41,55.02,38.35,43.31,19.32,31.68,6.64,16.72,12.101344108581545,14.174641609191896,16.03,18.63
2006-11-29,28.49,15.95,12.51,38.49,4.975,8.663844108581543,8.193624496459961,30.81,13.66,7.83198881149292,3.848492383956909,2.7279553413391118,10.752,0.99,5.399697780609131,5.839370727539063,6.633254051208496,27.4,11.163891792297363,8.58,19.21819877624512,11.076769828796388,12.02022933959961,57.41025924682617,18.31,2.4643540382385254,7.372006893157959,,10.259425163269045,2.134,3.3527321815490723,9.27,22.3,53.93,11.5032377243042,8.912802696228027,288.4449157714844,6.037114143371582,6.67,5.470771789550781,4.59,56.45,55.59,39.1,44.95,19.6,32.71,6.64,16.9,12.134317398071287,14.635669708251951,16.5,18.79
2006-11-30,27.89,15.95,12.67,38.49,4.948,8.731006622314453,8.428742408752441,30.57,13.7,7.8220720291137695,3.890861034393311,2.7279553413391118,10.6,0.984,5.651681900024414,5.845547199249268,6.665220737457275,26.96,11.035076141357422,8.52,19.04040908813477,10.989191055297852,11.97145938873291,57.80361557006836,18.48,2.4472227096557617,7.294210910797119,,10.289855003356934,2.105,3.392247200012207,9.13,22.3,53.96,11.537174224853516,8.9715576171875,290.66375732421875,6.014042377471924,6.78,5.5314717292785645,4.55,56.02,55.95,39.44,45.75,19.45,31.94,6.43,16.96,12.060124397277832,14.567367553710938,16.53,18.86
2006-12-01,27.06,15.86,12.21,38.49,4.846,8.710858345031738,8.720863342285156,30.37,13.45,7.584140777587891,3.989721775054932,2.6965994834899902,10.363,0.956,5.5946855545043945,5.855837821960449,6.6796064376831055,26.53,10.755976676940918,8.35,18.49856948852539,10.93080711364746,12.046046257019045,56.46434783935547,17.91,2.408068418502808,7.208331108093262,,10.48256778717041,2.113,3.41260290145874,9.18,22.17,52.86,11.424059867858888,8.910842895507812,290.66375732421875,5.921760559082031,6.57,5.39468240737915,4.38,57.93,54.58,38.76,46.92,19.07,31.88,6.24,16.55,11.911744117736816,14.318562507629396,16.28,18.63
