,ALLL3,AMBV4,BRML3,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,BISA3,CCRO3,CMIG4,CESP6,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DXCO3,ELET3,ELET6,ELPL4,EMBR3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HYPE3,ITSA4,ITUB4,JBSS3,LIGT3,PRML3,LAME4,LREN3,MRFG3,MMXM3,MRVE3,NATU3,OGXP3,PCAR4,PDGR3,PETR3,PETR4,RDCD3,RSID3,SANB11,CSNA3,CRUZ3,TAMM4,TNLP4,USIM3,USIM5,VALE3,VALE5,VIVO4
2010-11-01,16.42,42.5,9.033655166625977,9.02281093597412,8.653,17.575733184814453,15.657276153564451,9.14431381225586,22.319509506225582,8.02,7.322388648986816,3.536515235900879,13.172,4.555334091186523,1.915,4.360907077789307,10.35865879058838,14.58414077758789,8.396512985229492,12.22420883178711,13.525,,10.925185203552246,25.190031051635746,641.447021484375,15.721652030944824,17.054346084594727,29.90475082397461,21.943761825561523,3.943068742752075,11.83757495880127,5.01814603805542,14.260583877563477,46.35651397705078,3.751,7.330644130706787,11.346360206604004,2065.11669921875,8.284857749938965,18.28,2278.0,,4697.69140625,13.732240676879885,11.393095016479492,21.75,395.6596374511719,11.651744842529297,16.094697952270508,14.12,39.81,25.66,21.109798431396484,17.73855972290039,28.22152137756348,34.2,45.31
2010-11-03,16.02,41.67,9.3515043258667,9.010334014892578,8.783,17.714683532714844,15.857171058654783,9.154765129089355,22.319509506225582,7.96,7.493391036987305,3.5003461837768555,13.637,4.44452714920044,1.92,4.410782337188721,10.268245697021484,14.1655855178833,8.652894020080566,12.107256889343262,13.346,,11.21853733062744,25.893390655517575,650.3465576171875,15.81350040435791,17.2085018157959,30.13272857666016,22.07661247253418,3.9546830654144287,11.80117130279541,5.010391712188721,14.065231323242188,46.796607971191406,3.829,7.330644130706787,11.28695583343506,2077.105712890625,8.532090187072754,18.2,2285.0,,4808.1484375,13.893462181091309,11.674141883850098,21.75,400.5385437011719,12.086874008178713,16.563034057617188,13.87,40.4,25.18,21.15244483947754,17.71380043029785,27.912521362304688,34.12,45.35
2010-11-04,15.4,42.43,9.674933433532717,9.047770500183104,8.879,18.353872299194336,16.261621475219727,9.457833290100098,22.454782485961918,8.08,7.453059196472168,3.5435709953308105,13.392,4.4568400382995605,1.982,4.496503829956055,10.322492599487305,14.845739364624023,8.541797637939453,12.249635696411133,13.551,,11.351885795593262,25.96700096130371,668.830078125,16.124406814575195,17.45901870727539,30.08316993713379,22.115686416625977,4.053404808044434,12.114755630493164,5.010391712188721,14.1629056930542,46.45431137084961,3.776,7.330644130706787,11.027057647705078,2024.653564453125,8.627957344055176,18.48,2320.0,,4855.796875,14.32022476196289,11.890331268310549,22.1200008392334,399.6092529296875,12.415634155273438,17.077058792114258,13.95,40.22,25.03,21.920074462890625,18.43192672729492,28.628353118896484,34.91,45.44
2010-11-05,15.55,42.84,9.691661834716797,8.954174995422363,8.886,18.373729705810547,16.1918888092041,9.301072120666504,22.52692413330078,8.05,7.332070350646973,3.461160898208618,13.4,4.382967948913574,1.995,4.41234016418457,10.325078010559082,14.858817100524902,8.358057022094727,12.000470161437988,13.253,,11.414108276367188,25.72981834411621,674.9912719726562,15.545002937316896,16.86163902282715,29.141521453857425,22.162578582763672,4.059210300445557,12.176350593566896,5.134488105773926,13.934996604919434,46.20981597900391,3.8,7.330644130706787,10.759736061096191,2038.1412353515625,8.658231735229492,18.27,2269.0,,4894.78173828125,14.201677322387695,11.782236099243164,21.90999984741211,397.2859191894531,12.256089210510254,16.939983367919922,13.86,39.67,24.69,21.85184097290039,18.39065361022949,28.685014724731445,34.91,45.58
2010-11-08,15.05,43.21,9.697237968444824,8.77321720123291,8.933,18.262563705444336,16.117509841918945,9.301072120666504,22.635143280029297,8.11,7.220755577087402,3.4779694080352783,13.4,4.441450595855713,2.012,4.387402534484863,10.44906997680664,14.551443099975586,8.452061653137207,12.04623794555664,13.244,,11.289654731750488,25.51717758178711,657.1923217773438,16.03961753845215,17.375511169433594,28.75494956970215,21.724952697753903,4.062115669250488,12.187542915344238,5.1422438621521,13.967555046081545,45.574127197265625,3.735,7.330644130706787,10.804288864135742,2030.6480712890625,8.360540390014648,18.06,2259.0,,4756.16845703125,14.362900733947754,11.90329933166504,22.059999465942383,393.10394287109375,12.54617404937744,16.991384506225586,14.04,39.46,24.88,22.713287353515625,18.935441970825195,28.891010284423828,35.2,45.88
2010-11-09,15.54,41.9,9.22325038909912,8.542340278625488,8.653,18.262563705444336,15.73166275024414,9.379454612731934,22.950773239135746,7.89,7.296578407287598,3.496483564376831,13.307,4.469152450561523,2.027,4.423250675201416,10.539483070373535,13.766646385192873,8.225590705871582,11.84792423248291,13.15,,10.996301651000977,25.190031051635746,617.4868774414062,15.940695762634276,17.27916145324707,28.16022491455078,21.764026641845703,3.998235702514648,11.859968185424805,5.188780307769775,14.019648551940918,45.18293380737305,3.603,7.330644130706787,10.804288864135742,2053.12744140625,8.022486686706543,18.25,2206.0,,4561.24365234375,14.17796802520752,11.72602653503418,21.96999931335449,374.0528259277344,11.845136642456056,16.820045471191406,13.95,39.17,24.98,22.406238555908203,18.539230346679688,28.788000106811523,35.17,46.55
2010-11-10,15.87,42.14,9.106144905090332,8.255311012268066,8.783,17.88540267944336,15.71771240234375,9.379454612731934,23.176225662231445,7.77,7.404664039611816,3.5212044715881348,13.299,4.555334091186523,2.014,4.410782337188721,10.681560516357422,13.675085067749023,7.990573406219482,11.695375442504885,12.946,,11.049639701843262,25.263641357421875,609.2720947265625,16.315185546875,17.66457748413086,28.24943351745605,21.45143318176269,4.001139163970947,11.997163772583008,5.041415691375732,14.390814781188965,44.93843460083008,3.616,7.330644130706787,10.767160415649414,2081.6015625,7.79543399810791,17.93,2151.0,,4500.60009765625,14.196935653686523,11.730348587036133,21.950000762939453,362.6686096191406,11.970837593078612,16.797197341918945,13.81,39.37,25.22,22.619468688964844,18.737335205078125,28.73650932312012,35.27,47.98
2010-11-11,15.21,41.87,9.200944900512695,8.305231094360352,8.578,17.980682373046875,15.67587184906006,9.248821258544922,22.72532081604004,7.75,7.36110782623291,3.388174295425415,13.493,4.509164333343506,1.985,4.364023208618164,10.461986541748049,13.838584899902344,8.067488670349121,11.48689079284668,12.691,,10.978522300720217,24.764745712280277,625.0172729492188,15.968951225280762,17.343402862548828,27.79347801208496,20.943483352661133,3.9575870037078857,11.759172439575195,4.979367256164551,14.032669067382812,45.08513259887695,3.616,7.330644130706787,10.804288864135742,2143.04541015625,8.325223922729492,17.31,2085.0,,4591.56494140625,13.988296508789062,11.55307388305664,22.040000915527344,371.72955322265625,11.733936309814451,16.7058162689209,13.54,39.2,24.76,22.8582820892334,18.61351776123047,28.86010360717773,35.38,48.17
2010-11-12,15.49,41.77,8.989043235778809,8.292523384094238,8.544,17.766300201416016,15.736305236816406,9.248821258544922,22.67120933532715,7.56,7.324001789093018,3.396418571472168,13.324,4.536865234375,1.964,4.239337921142578,10.37932586669922,13.675085067749023,7.990573406219482,11.425873756408691,12.589,,10.889629364013672,23.865100860595703,601.7416381835938,15.79937744140625,17.144271850585938,28.24943351745605,20.56055450439453,3.963391542434693,11.759172439575195,4.948342800140381,14.032669067382812,44.8895378112793,3.55,7.330644130706787,10.752310752868652,2075.60693359375,8.022486686706543,17.24,2105.0,,4504.93212890625,13.523602485656738,11.176907539367676,22.479999542236328,359.18365478515625,11.748442649841309,16.534475326538086,13.73,39.51,24.68,22.51711845397949,18.29985618591309,28.32451438903809,34.73,48.42
2010-11-16,15.16,41.75,8.922127723693848,8.198646545410156,8.434,17.30179214477539,15.759550094604492,9.238369941711426,22.635143280029297,7.34,7.243342876434326,3.3422653675079346,13.417,4.552255630493164,1.968,4.122445583343506,10.314743041992188,13.341543197631836,7.883747100830078,11.441128730773926,12.623,,10.800731658935549,23.120851516723636,590.1038208007812,15.092782020568848,16.424842834472656,27.753829956054688,19.88849258422852,3.8966104984283447,11.521190643310549,4.676882266998291,13.720108032226562,45.23183059692383,3.414,7.330644130706787,10.507264137268066,2083.10009765625,8.017439842224121,16.89,2089.0,,4483.2734375,13.258061408996582,10.982339859008787,21.899999618530277,356.6280212402344,11.497034072875977,16.111831665039062,13.42,39.65,23.82,21.834775924682617,17.65601348876953,27.752878189086918,34.13,47.7
