Date,ABEV3,AEDU3,ALLL3,BBAS3,BBDC3,BBDC4,BBSE3,BISA3,BRAP4,BRFS3,BRKM5,BRML3,BRPR3,B3SA3,CCRO3,CESP6,CIEL3,CMIG4,CPFE3,CPLE6,CRUZ3,CSAN3,CSNA3,CTIP3,CYRE3,DXCO3,ECOR3,ELET3,ELET6,ELPL4,EMBR3,ENBR3,YDUQ3,EVEN3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HGTX3,HYPE3,ITSA4,ITUB4,JBSS3,KLBN11,COGN3,LAME4,LIGT3,LREN3,MMXM3,MRFG3,MRVE3,NATU3,OIBR4,PCAR4,PDGR3,PETR3,PETR4,QUAL3,RENT3,RSID3,SANB11,SBSP3,EGIE3,TIMS3,UGPA3,USIM5,VALE3,VALE5,VIVT4
2013-10-31,12.099468231201172,13.31,8.02,17.48651695251465,9.690953254699709,9.207,13.204493522644045,1.41,11.590791702270508,49.67274856567383,11.260705947875977,12.57712745666504,4.813366413116455,2.9745094776153564,13.486693382263184,12.876,13.424903869628906,4.27883243560791,11.478137969970703,1.64,22.12,7.476814270019531,8.044310569763184,21.67,11.468981742858888,8.341291427612305,10.883586883544922,4.427089214324951,7.822,9.18,15.431206703186035,7.273910045623779,12.85068130493164,6.736316204071045,24.09866142272949,143.40057373046875,13.18846321105957,15.640892028808594,11.329999923706056,23.903,15.57060432434082,3.857438325881958,11.900079727172852,6.29069185256958,,7.020724296569824,4.404,15.461065292358398,9.499363899230955,128.99974060058594,3.3887434005737305,5.442553043365479,19.18,37.59999847412109,106.74,925.7510986328124,9.940829277038574,9.583633422851562,13.109721183776855,9.41622829437256,69.0,8.299429893493652,18.617780685424805,17.23749542236328,8.899667739868164,25.945192337036133,10.039546966552734,21.16886138916016,27.94,31.609
2013-11-01,12.23720932006836,13.39,8.01,17.457124710083008,9.529032707214355,9.2,13.328605651855469,1.35,11.381927490234377,49.21002197265625,11.175741195678713,12.154804229736328,4.757396697998047,2.9367990493774414,13.131970405578612,12.782,13.34617042541504,4.26811408996582,11.708306312561035,1.627,21.81,7.431873798370361,8.438318252563477,21.4,11.318345069885254,8.120368957519531,10.561375617980955,4.208852767944336,7.609,9.0,15.808727264404297,7.400213241577148,12.902887344360352,6.58173942565918,24.222625732421875,139.85107421875,13.627333641052246,15.93432903289795,11.100000381469728,23.542,15.586485862731934,3.817464590072632,11.791632652282717,6.353363990783691,,7.204860687255859,4.338,15.774359703063965,9.428995132446287,122.999755859375,3.433627128601074,5.301553726196289,18.93,37.0,106.33,916.6751098632812,9.686458587646484,9.380528450012209,13.215946197509766,9.098288536071776,67.0,8.310186386108398,18.884424209594727,17.395849227905273,9.02468490600586,26.027721405029297,10.056447982788086,21.84981918334961,28.46,31.168
2013-11-04,12.106719970703123,13.66,8.1,17.568801879882812,9.812225341796877,9.384,13.091172218322754,1.32,11.60459041595459,49.0117073059082,11.051125526428224,12.449851036071776,4.795558929443359,2.922657012939453,13.32019329071045,12.732,13.523330688476562,4.25310754776001,11.605337142944336,1.645,22.29,7.356971740722656,8.346383094787598,21.63,11.345730781555176,8.40099811553955,10.690260887145996,4.208852767944336,7.533,9.04,15.601089477539062,7.147606372833252,13.201224327087402,6.630552768707275,23.693714141845703,140.56094360351562,13.508317947387695,15.681833267211914,11.43000030517578,24.175,15.808813095092772,3.8254592418670654,11.881148338317873,6.423870086669922,,7.421113014221191,4.313,15.829187393188477,9.372705459594728,118.49976348876952,3.590720891952514,5.278994560241699,18.62,38.09999847412109,105.63,907.59912109375,9.920479774475098,9.550566673278809,13.240946769714355,9.085023880004885,67.0,8.363977432250977,18.97853279113769,17.825651168823242,9.040313720703123,25.99297523498535,10.039546966552734,22.44195556640625,29.11,31.196
2013-11-05,11.947230339050291,13.9,8.11,17.316059112548828,9.739317893981934,9.275,12.869930267333984,1.26,11.464879989624023,49.56887435913086,10.932172775268556,11.946537017822266,4.579313278198242,2.8283779621124268,13.030620574951172,12.639,13.139479637145996,4.212376594543457,11.68407917022705,1.641,22.23,7.282069206237793,8.352950096130371,21.62,11.167704582214355,8.120368957519531,10.432490348815918,3.990615367889404,7.26,8.59,16.233436584472656,7.205015659332275,13.260889053344728,6.606146335601807,24.0490779876709,137.01144409179688,13.456254959106444,15.504405975341797,11.1899995803833,23.474,15.681770324707031,3.797476530075073,11.684900283813477,6.408202171325684,,7.523888111114502,4.182,16.173812866210938,9.210867881774902,110.9997787475586,3.35133957862854,5.064675331115723,18.7,37.20000076293945,105.88,921.213134765625,9.86960506439209,9.564736366271973,13.340920448303224,9.061148643493652,63.5,8.277912139892578,19.598079681396484,17.644683837890625,8.868415832519531,25.793161392211918,9.971940994262695,22.40050506591797,28.89,31.149
2013-11-06,12.150217056274414,13.71,7.99,16.88697624206543,9.517911911010742,9.18,12.551554679870604,1.19,11.595858573913574,50.18270111083984,10.983153343200684,11.570494651794434,4.413949012756348,2.859018564224243,12.73381233215332,12.673,12.97609519958496,4.180220603942871,11.478137969970703,1.608,22.14,7.297050476074219,8.339816093444824,21.45,10.893821716308594,7.911388874053955,10.19620418548584,3.8160266876220703,7.03,7.98,15.761542320251465,7.101678371429443,13.052058219909668,6.565468311309815,23.470577239990234,137.01144409179688,13.57526969909668,15.59994411468506,10.989999771118164,23.143,15.483267784118652,3.7575061321258554,11.543749809265137,6.431703567504883,,7.433960437774658,4.223,16.197307586669922,9.027909278869627,100.4998016357422,3.104477882385254,4.934957504272461,18.24,36.20000076293945,106.04,839.5292358398438,9.971354484558104,9.640314102172852,13.090977668762209,8.909955024719238,60.25,8.202610969543457,19.300071716308597,17.676345825195312,8.696516036987305,25.806190490722656,9.980391502380373,22.779470443725582,29.3,30.708
2013-11-07,12.318408012390137,14.05,7.91,16.804683685302734,9.361303329467772,9.091,12.465217590332031,1.17,11.23348617553711,49.86162185668945,11.164411544799805,11.48371410369873,4.426669120788574,2.788309097290039,12.81344509124756,12.309,13.235932350158691,4.137344837188721,11.417567253112791,1.582,22.0,7.34032678604126,8.208480834960938,21.4,10.681558609008787,7.893476963043213,10.174722671508787,3.803555011749268,6.945,8.73,16.31838035583496,6.768698215484619,13.432429313659668,6.58173942565918,23.79288482666016,133.4619140625,13.500879287719728,15.49075698852539,10.710000038146973,22.598,14.990979194641112,3.7015416622161865,11.37160873413086,6.345529556274414,,7.785103797912598,4.112,15.797859191894531,8.87170124053955,106.49978637695312,3.33637809753418,4.963158130645752,17.92,35.29999923706055,104.67,803.2252197265625,9.742420196533203,9.4466552734375,13.059731483459473,8.825072288513184,59.0,8.202610969543457,18.798158645629883,17.23749542236328,8.64182186126709,25.1937255859375,10.309971809387209,22.04522132873535,28.34,29.779
2013-11-08,12.50544548034668,14.15,7.76,16.36385726928711,9.16689395904541,8.763,12.519177436828612,1.13,11.032654762268066,49.908836364746094,11.124761581420898,11.194452285766602,4.312186241149902,2.781237363815308,12.777249336242676,12.241,12.982000350952148,4.070888042449951,11.18134307861328,1.591,21.67,7.223813533782959,8.4120512008667,21.44,10.654170989990234,7.797942638397217,10.167561531066896,3.741201400756836,6.869,8.74,16.610963821411133,6.860556602478027,13.365304946899414,6.532925128936768,24.164777755737305,137.01144409179688,13.612460136413574,15.545355796813965,10.4399995803833,22.589,14.776596069335938,3.613600730895996,11.0720796585083,6.384699821472168,,7.923329353332519,4.112,15.727368354797363,8.785856246948242,103.49979400634766,3.3438587188720703,4.850358009338379,17.96,35.5,104.98,816.8392333984375,9.538921356201172,9.27661418914795,12.9660005569458,8.75345230102539,58.0,8.06814193725586,18.547199249267575,17.033906936645508,8.30583381652832,24.715913772583008,10.631102561950684,21.7609977722168,27.96,29.92
2013-11-11,12.50544548034668,14.38,7.83,16.510801315307617,9.134492874145508,8.763,12.767400741577148,1.11,11.176729202270508,49.889949798583984,11.24371337890625,11.223381042480469,4.541152477264404,2.7340989112854004,12.791729927062988,12.165,12.960350036621094,4.09446907043457,11.302484512329102,1.578,21.38,7.265424728393555,8.444884300231934,21.39,10.777419090270996,8.024834632873535,10.031516075134276,3.716261148452759,6.843,8.61,16.76197052001953,6.831848621368408,13.424971580505373,6.541060447692871,24.255687713623047,134.88172912597656,13.57526969909668,15.66818904876709,10.420000076293944,22.53,14.721014976501465,3.6295905113220215,11.120285987854004,6.423870086669922,,8.054344177246094,4.112,15.821356773376465,8.725340843200684,95.99980926513672,3.328897714614868,5.025196075439453,18.1,36.70000076293945,104.24,807.7632446289062,9.818730354309082,9.48916244506836,12.99724292755127,8.772022247314453,58.0,8.116552352905273,18.76678466796875,17.14701271057129,8.62619400024414,25.176349639892575,10.639554023742676,21.87942123413086,28.3,29.976
2013-11-12,12.367701530456545,14.2,7.6,15.635004043579102,9.058886528015137,8.68,12.389668464660645,1.1,10.892946243286133,50.05049133300781,11.130426406860352,11.136601448059082,4.576768398284912,2.731322288513184,12.842402458190918,12.165,12.775311470031738,4.045162677764893,11.453909873962402,1.567,21.49,7.307036399841309,8.142812728881836,21.37,10.667863845825195,7.791971206665039,10.23558235168457,3.7536733150482178,6.894,8.67,17.082866668701172,6.929446697235107,13.052058219909668,6.410890102386475,23.726770401000977,132.7520294189453,13.530339241027832,15.585721969604492,9.970000267028809,22.452,14.538390159606934,3.6295905113220215,11.103071212768556,6.384699821472168,,8.054344177246094,4.03,16.12681770324707,8.600090980529785,100.4998016357422,3.2166876792907715,4.923677921295166,17.62,35.29999923706055,103.1,785.0732421875,9.467698097229004,9.234105110168455,12.99724292755127,8.679181098937988,55.5,7.992840766906738,18.7511043548584,17.305360794067383,8.594937324523926,25.19806671142578,10.656455039978027,21.19254875183105,27.59,29.329
2013-11-13,12.345953941345217,13.71,7.54,15.535079002380373,9.147994995117188,8.803,12.778193473815918,1.12,10.770699501037598,49.48388671875,11.317347526550291,11.570494651794434,4.703971862792969,2.8170480728149414,12.958230018615724,12.529,12.84420680999756,4.010861873626709,11.508424758911133,1.589,21.45,7.371951580047607,7.991777420043945,21.63,10.907514572143556,8.030805587768555,10.191621780395508,3.8347325325012207,7.03,8.74,17.158376693725586,6.912225246429443,13.059514999389648,6.598010540008545,23.94164276123047,137.72134399414062,13.447972297668455,15.57884693145752,9.5,22.306,14.689255714416504,3.6895482540130615,11.326852798461914,6.53354549407959,,7.989910125732422,4.063,16.11898422241211,8.556462287902832,97.4998016357422,3.246610403060913,5.070316791534424,17.59,35.900001525878906,104.0,821.377197265625,9.711894989013672,9.418316841125488,13.065979957580566,8.687140464782715,56.5,8.030489921569824,18.947162628173828,17.23749542236328,8.680889129638672,25.17200088500977,10.580398559570312,21.038593292236328,27.28,29.376
