,VIVO4,AMBV4,ARCZ6,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,DURA4,ELET3,ELET6,EMBR3,GFSA3,GGBR4,GOAU4,GOLL4,PTIP4,ITSA4,ITUB4,KLBN4,LIGT3,RENT3,LAME4,LREN3,NATU3,NETC4,BNCA3,PCAR4,PETR3,PETR4,RSID3,SBSP3,SDIA4,CSNA3,CRUZ3,TAMM4,VCPA4,TNLP3,TNLP4,TMAR5,TCSL4,UBBR11,USIM5,VALE3,VALE5,ALLL11
2007-02-28,26.58,16.42,10.85,4.839,11.494224548339844,9.77534294128418,35.19,15.59,6.830684185028076,3.855553150177002,2.9265425205230717,12.089,1.013,5.882670402526856,5.814671993255615,6.2975945472717285,37.23,9.661056518554688,8.239,20.21720695495605,676.5143432617188,11.849403381347656,13.512405395507812,57.0415153503418,22.1,3.066127061843872,7.353813171386719,,11.993842124938965,3.675596475601196,2.388,3.5790414810180664,8.52,27.0,37.25,51.28,10.82458209991455,8.474310874938965,251.83462524414065,6.935850143432617,6.69,6.335116386413574,4.7,55.59,37.34,37.23,17.2,27.45,5.99,16.95,14.57601833343506,17.687204360961914,20.43,23.94
2007-03-01,26.05,16.63,10.85,4.839,11.148820877075195,9.832345962524414,36.59,15.0,6.90008020401001,3.834369659423828,2.9683501720428467,12.055,1.018,5.996663093566895,5.775564670562744,6.265626430511475,37.78,9.695406913757324,8.154,20.318803787231445,651.5435180664062,11.666152954101562,13.201817512512209,55.53794479370117,22.03,2.7286531925201416,7.25380277633667,,12.222054481506348,3.708412170410156,2.388,3.4724724292755127,7.37,26.15,36.93,51.13,10.709208488464355,8.375497817993164,250.7252197265625,6.866377830505371,6.81,6.317163467407227,4.63,54.46,35.84,37.19,16.58,26.42,5.99,17.04,14.528205871582031,17.26032829284668,19.96,24.6
2007-03-02,25.21,16.42,10.71,4.702,10.860986709594728,9.333600997924805,37.57,15.26,6.448997497558594,3.770817279815674,2.8690571784973145,11.674,0.993,6.014660835266113,5.814671993255615,6.013083457946777,37.69,9.478569984436035,7.856,20.02248191833496,651.5435180664062,11.224370956420898,12.627063751220703,54.98350143432617,20.65,2.608741044998169,6.996181964874268,,11.562773704528809,3.53776216506958,2.38,3.38745641708374,7.59,25.5,36.38,49.44,10.403813362121582,8.132412910461426,230.7559509277344,6.564640522003174,6.67,6.095734119415283,4.63,53.74,35.41,38.65,16.63,26.24,5.96,16.53,13.717052459716797,16.94078254699707,19.35,23.11
2007-03-05,24.6,16.37,10.71,4.566,10.458015441894531,9.148357391357422,35.33,15.24,6.468825817108154,3.5999293327331543,2.8690571784973145,11.099,0.968,5.7761759757995605,5.804379463195801,5.913984775543213,35.79,9.01698875427246,7.609,19.895484924316406,615.4013671875,10.831683158874512,12.452900886535645,52.76575469970703,20.56,2.869615077972412,6.869894504547119,,11.182419776916504,3.3933629989624023,2.265,3.2928614616394043,7.36,23.75,35.82,48.92,10.184382438659668,7.938733100891113,232.9747467041016,6.564640522003174,6.59,5.899951934814453,4.56,51.31,35.36,37.56,16.06,25.72,5.91,16.06,13.082311630249023,16.46756362915039,18.56,22.22
2007-03-06,25.87,17.23,10.72,4.839,11.24476718902588,9.533103942871094,38.71,15.71,6.815811634063721,3.7694036960601807,2.832474708557129,12.055,1.004,5.926167011260986,5.87642240524292,6.329561710357666,36.94,9.487157821655272,8.001,20.149477005004883,628.5439453125,11.387995719909668,12.975399017333984,53.65848922729492,22.09,2.7139711380004883,7.263902187347412,,11.811270713806152,3.711698293685913,2.409,3.30483627319336,7.32,25.0,37.5,49.76,10.519187927246094,8.272729873657227,243.9578399658203,6.7284698486328125,6.96,6.289805889129639,4.79,51.68,36.16,38.79,16.93,26.95,6.28,16.71,14.09625244140625,17.66037368774414,20.0,23.77
2007-03-07,25.21,17.21,10.5,4.764,11.12963581085205,9.433354377746582,37.27,15.62,6.543179512023926,3.6719560623168954,2.832474708557129,12.444,0.993,5.774675369262695,5.835254669189453,6.041853427886963,36.37,9.4678373336792,8.009,20.11561584472656,613.4299926757812,11.322546005249023,12.847679138183594,52.483829498291016,22.49,2.934222459793091,7.162875175476074,,11.562773704528809,3.643435955047608,2.479,3.339560031890869,7.29,24.8,36.84,49.36,10.288443565368652,8.152177810668945,246.5094757080078,6.7284698486328125,6.75,6.1966166496276855,4.6,50.68,35.37,37.23,16.89,26.59,6.28,16.43,13.700566291809082,17.6359806060791,19.9,23.14
2007-03-08,25.43,17.27,10.61,4.866,11.310012817382812,9.490352630615234,37.75,16.05,6.617534160614014,3.763753890991211,2.832474708557129,12.926,1.029,5.677181243896484,5.87642240524292,6.009886264801025,38.61,9.5537109375,8.06,20.1833438873291,618.6869506835938,11.551613807678224,13.207622528076172,53.141639709472656,23.18,2.9745984077453613,7.272995948791504,,11.867056846618652,3.793741226196289,2.438,3.44852352142334,7.43,26.0,37.02,50.33,10.659441947937012,8.36956787109375,251.83462524414065,6.7284698486328125,6.87,6.386415004730225,4.76,50.87,36.46,37.23,17.3,27.06,6.34,17.09,14.092955589294434,17.68964195251465,20.08,23.67
2007-03-09,25.54,17.59,10.75,4.948,11.310012817382812,9.73259449005127,38.38,16.48,6.791028022766113,3.7990622520446777,2.8481523990631104,12.977,1.035,5.675682067871094,5.874362468719482,6.025870800018311,40.16,9.865013122558594,8.316,20.10714340209961,624.2725219726562,11.581067085266112,13.207622528076172,52.90670776367188,23.0,2.7139711380004883,7.344723701477051,,12.06991195678711,3.793741226196289,2.479,3.4844467639923096,7.59,26.3,37.04,50.64,10.70016098022461,8.371543884277344,250.1705017089844,6.820495128631592,7.0,6.548853397369385,4.79,51.24,36.96,38.93,17.57,27.56,6.17,17.16,14.722753524780272,17.904300689697266,20.44,24.88
2007-03-12,26.05,17.59,10.72,4.955,11.547953605651855,9.61147689819336,38.34,16.62,6.939736366271973,3.91204571723938,2.8481523990631104,12.977,1.012,5.744677543640137,5.880537509918213,5.949149131774902,39.39,9.661056518554688,8.137,20.149477005004883,633.1439208984375,11.83304214477539,13.643035888671877,52.69057083129883,23.81,2.9476819038391118,7.375030994415283,,11.780840873718262,3.908602714538574,2.438,3.44852352142334,7.49,26.76,36.84,49.76,10.58705234527588,8.280634880065918,245.1781768798828,6.820495128631592,7.24,6.681367874145508,4.76,51.36,36.96,39.47,17.76,28.1,6.12,17.37,15.085458755493164,18.145788192749023,20.63,24.69
2007-03-13,24.73,17.38,10.46,4.778,11.039445877075195,9.27660846710205,36.69,16.4,6.543179512023926,3.837194442749024,2.7436327934265137,12.732,0.988,5.554186820983887,5.814671993255615,5.626277446746826,38.64,9.40342903137207,7.873,19.895484924316406,615.4013671875,11.30618953704834,12.894120216369627,51.591087341308594,22.8,2.554900646209717,7.082053184509277,,11.157063484191896,3.872503519058228,2.335,3.290466070175171,7.18,24.95,36.91,48.17,10.401552200317385,8.132412910461426,234.63885498046875,6.377996921539307,7.2,6.382138252258301,4.75,50.42,35.28,38.38,17.13,27.27,5.96,16.68,14.191875457763672,17.4920597076416,19.93,23.83
