,ACES4,AMBV4,ARCZ6,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CMET4,CCRO3,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP4,GGBR4,GOAU4,PTIP4,ITSA4,ITUB4,PCAR4,PRGA4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,UBBR11,USIM5,VALE3,VALE5
2005-03-14,41.16,11.43,8.79,2.611,5.133063793182373,4.581302165985107,25.74,14.53,14.084983825683594,2.78,2.0831291675567627,5279.97900390625,0.579,46.88,7.696640968322754,6.537,15.83,14.858125686645508,22.86,2.21,6.920833110809326,7.873169898986816,14.48,1.44536030292511,4.6796064376831055,46.73,61.95,6.910992622375488,4.861871242523193,3.5482847690582275,5.04,5.557121753692627,177.94,3.78,32.07,24.29,34.85,22.94,39.0,34.11,14.341190338134766,15.71,4.12,9.54,10.065218925476074,10.854785919189451,12.93
2005-03-15,40.69,11.24,8.76,2.59,5.109077453613281,4.531428813934326,24.65,14.07,13.96828556060791,2.75,2.0831291675567627,5369.4697265625,0.582,45.59,7.4883928298950195,6.392,15.41,13.689788818359377,21.58,2.19,6.922149181365967,7.941436290740967,14.0,1.42386794090271,4.635156631469727,46.65,61.85,6.775261878967285,4.734407901763916,3.4562599658966064,5.05,5.519503593444824,175.33,3.75,31.58,23.78,34.09,22.38,37.76,33.09,14.224753379821776,14.96,3.92,9.51,10.122922897338867,10.769412994384766,12.74
2005-03-16,41.11,11.27,8.74,2.638,5.099483013153076,4.474430084228516,24.89,14.1,14.33370304107666,2.75,2.0471153259277344,5607.51806640625,0.624,45.68,7.664439678192139,6.511,15.8,14.079235076904297,22.25,2.22,6.823261737823486,7.837899684906006,14.0,1.4641658067703247,4.70789909362793,48.74,63.47,6.834643840789795,4.83455753326416,3.5254743099212646,5.0,5.514373779296875,174.81,3.85,31.1,24.58,34.02,22.55,37.8,33.43,14.072744369506836,15.02,3.97,9.54,10.07345962524414,10.67183780670166,12.66
2005-03-17,40.97,11.18,8.58,2.665,5.272183895111084,4.559928894042969,25.11,14.23,14.687331199645996,2.85,1.9803847074508667,5795.4501953125,0.614,46.32,7.922066211700439,6.69,15.88,13.689788818359377,21.74,2.2,6.816667556762695,7.634246349334717,13.86,1.4695390462875366,4.748306751251221,48.73,64.13,6.953972339630127,4.884178638458252,3.4562599658966064,4.98,5.698184490203857,178.99,4.02,31.25,24.6,33.98,22.5,37.76,34.11,13.810747146606444,15.12,3.87,9.5,10.056974411010742,11.184088706970217,13.16
2005-03-18,40.56,11.11,8.41,2.631,5.199745655059815,4.545680522918701,25.65,14.41,14.321916580200195,2.79,1.9987446069717407,5673.7412109375,0.589,45.54,7.642969608306885,6.494,15.45,13.58819580078125,21.9,2.16,6.638667106628418,7.492027759552002,13.45,1.42386794090271,4.616971015930176,48.74,64.02,6.87140417098999,4.816348552703857,3.43111515045166,4.98,5.569945335388184,177.94,3.84,30.22,23.54,33.4,22.06,37.29,32.93,13.901321411132812,14.76,3.78,9.28,9.727238655090332,10.992605209350586,12.96
2005-03-21,40.46,11.05,8.58,2.529,5.079813003540039,4.46303129196167,25.11,14.23,13.905814170837402,2.71,2.0061583518981934,5557.40283203125,0.586,46.14,7.501275539398193,6.537,15.86,13.884512901306152,21.84,2.16,6.568791389465332,7.496580123901367,12.99,1.3835697174072266,4.465426445007324,48.74,62.79,6.854438304901123,4.811795711517334,3.408043622970581,4.91,5.517793655395508,178.79,3.8,30.36,23.61,32.79,21.98,37.46,33.93,13.729891777038574,14.69,3.79,9.05,9.601938247680664,10.866982460021973,12.72
2005-03-22,39.52,11.03,8.61,2.556,4.988667011260986,4.360431671142578,24.22,13.59,13.084218978881836,2.67,2.012514352798462,5320.2509765625,0.557,44.21,7.127711772918701,6.247,15.41,13.579731941223145,21.32,2.13,6.427708148956299,7.361185073852539,12.27,1.3540178537368774,4.404812335968018,48.43,59.89,6.622564792633057,4.680233478546143,3.191330909729004,4.83,5.445977687835693,173.77,3.75,29.22,22.94,31.83,21.28,35.54,31.26,13.584343910217283,13.93,3.61,8.91,9.400798797607422,10.818198204040527,12.63
2005-03-23,39.51,10.78,8.33,2.495,4.782864093780518,4.202261924743652,24.22,13.28,12.883831977844238,2.6,1.9630837440490725,5227.1796875,0.529,44.77,6.83788013458252,6.222,15.43,13.36807918548584,21.04,2.12,6.2945404052734375,7.127950191497803,12.01,1.3325252532958984,4.278531074523926,46.52,57.67,6.554696559906006,4.611494541168213,3.1107120513916016,4.61,5.369033336639404,173.77,3.73,28.83,22.43,31.21,21.24,35.22,31.93,13.649038314819336,13.67,3.5,8.73,9.537639617919922,10.171788215637209,12.09
2005-03-24,39.56,10.95,8.74,2.556,4.883126735687256,4.232184410095215,24.13,13.23,13.197379112243652,2.69,1.976853847503662,5351.57275390625,0.546,44.94,7.213588714599609,6.341,15.83,13.122557640075684,20.98,2.17,6.380241870880127,7.338433265686035,12.46,1.3567041158676147,4.465426445007324,46.82,58.86,6.5829758644104,4.6706743240356445,3.1397454738616943,4.71,5.4417033195495605,178.99,3.75,29.33,23.05,31.52,21.45,35.22,32.34,13.746064186096191,13.67,3.47,9.13,9.91683578491211,10.525483131408691,12.57
2005-03-28,38.53,10.96,8.47,2.495,4.797255516052246,4.054060459136963,23.74,13.19,12.848467826843262,2.6,1.924599289894104,5199.43798828125,0.54,45.86,7.318789005279541,6.264,15.38,13.291879653930664,21.23,2.16,6.131044864654541,7.065375804901123,12.49,1.3432717323303225,4.359350204467773,45.54,56.72,6.503798007965088,4.586457252502441,3.007021188735962,4.54,5.298928260803223,173.77,3.75,29.15,22.8,31.06,21.21,34.66,31.59,13.729891777038574,13.58,3.43,8.77,9.496421813964844,10.263261795043944,12.3
2005-03-29,37.59,10.69,8.26,2.446,4.626954078674316,3.968563556671143,23.65,12.96,12.412327766418455,2.57,1.9062397480010984,5226.28466796875,0.557,44.94,7.514156818389893,6.392,15.05,12.783912658691406,20.67,2.17,5.814605712890625,6.7354278564453125,12.46,1.297600030899048,4.263372898101807,43.93,56.08,6.3624114990234375,4.515895366668701,2.882594108581543,4.42,5.121100425720215,169.57,3.67,28.42,23.08,30.57,21.02,34.99,31.59,13.357938766479492,13.45,3.46,8.54,9.150197982788086,9.781500816345217,11.79
2005-03-30,37.98,10.94,8.29,2.446,4.770870685577393,4.102511405944824,23.32,13.17,12.52430820465088,2.59,1.8889394998550413,5440.1689453125,0.578,45.49,7.851218700408935,6.758,15.6,13.198753356933594,20.81,2.19,5.826470851898193,6.644410133361816,12.4,1.3137192726135254,4.334092140197754,44.48,56.09,6.492486000061035,4.61604642868042,3.0046887397766118,4.36,5.283538341522217,171.78,3.77,28.73,23.49,31.49,21.71,36.28,31.67,13.357938766479492,14.24,3.57,8.87,9.339797019958496,10.08763313293457,12.14
2005-03-31,38.24,11.08,8.33,2.446,4.88600492477417,4.217932224273682,23.32,13.28,12.764777183532717,2.65,1.8779935836791992,5503.70751953125,0.561,46.41,7.619354248046875,6.46,15.52,13.478134155273438,21.28,2.2,5.840976715087891,6.882198810577393,12.13,1.3217796087265017,4.394711971282959,45.13,55.89,6.6451849937438965,4.695711135864258,3.0013186931610107,4.48,5.4117817878723145,170.63,3.75,28.17,23.49,31.89,21.56,36.12,30.75,13.06684684753418,14.4,3.54,9.04,9.479934692382812,10.366929054260254,12.42
2005-04-01,37.8,10.78,8.26,2.44,4.863938331604004,4.239309310913086,23.05,13.19,13.131369590759276,2.59,1.818324089050293,5637.94482421875,0.582,45.68,7.814722061157227,6.749,15.6,13.21568775177002,21.18,2.19,5.827790260314941,6.967527866363525,11.54,1.3271528482437134,4.384607315063477,45.05,54.9,6.73001766204834,4.779260158538818,3.032425880432129,4.53,5.510097980499268,171.67,3.82,28.83,23.86,32.49,21.59,36.85,31.42,13.002163887023926,14.08,3.54,8.89,9.527749061584473,10.305947303771973,12.42
2005-04-04,37.18,10.76,8.12,2.433,4.773270130157471,4.1153340339660645,23.05,12.96,12.847288131713867,2.61,1.850453734397888,5521.60498046875,0.551,45.13,7.288732528686523,6.392,15.72,12.919368743896484,20.57,2.18,5.735494613647461,6.889023303985596,11.21,1.292227268218994,4.334092140197754,43.76,56.42,6.684772968292236,4.779260158538818,2.9494731426239014,4.46,5.39468240737915,169.56,3.75,28.02,23.98,32.29,21.37,36.26,30.75,12.581693649291992,14.15,3.47,8.62,9.397500991821287,10.01323413848877,12.11
2005-04-05,36.46,10.73,7.88,2.46,4.6533379554748535,4.017011642456055,22.6,13.12,12.49484157562256,2.54,1.853631615638733,5906.41845703125,0.553,44.49,7.084775924682617,6.324,16.08,12.648451805114746,20.53,2.16,5.656385898590088,6.826448440551758,11.29,1.3029741048812866,4.329042434692383,43.55,55.43,6.562049865722656,4.660122871398926,2.910330295562744,4.23,5.189495086669922,165.39,3.71,26.87,23.86,31.83,21.12,35.59,30.25,12.387629508972168,13.79,3.38,8.59,9.03314208984375,9.90346908569336,11.82
2005-04-06,35.51,10.6,7.69,2.495,4.5909743309021,4.034111976623535,22.71,13.02,12.259088516235352,2.46,1.818324089050293,5924.31689453125,0.551,44.21,6.8228535652160645,6.196,15.38,12.953237533569336,20.63,2.18,5.656385898590088,6.719501495361328,10.88,1.297600030899048,4.3239922523498535,43.55,53.26,6.560353755950928,4.655063629150391,2.8849265575408936,4.07,5.0356059074401855,156.5,3.69,25.98,23.54,31.64,20.79,34.75,29.58,12.416744232177734,13.65,3.31,8.71,8.62261962890625,9.757113456726074,11.63
