,VIVO4,AMBV4,ARCZ6,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,ELET3,ELET6,EMBR3,GFSA3,GGBR4,GOAU4,GOLL4,ITSA4,ITUB4,JBSS3,LAME4,LREN3,MMXM3,NATU3,NETC4,OGXP3,PCAR5,PETR3,PETR4,RDCD3,RSID3,SDIA4,CSNA3,CRUZ3,TAMM4,TNLP4,TCSL4,USIM3,USIM5,VALE3,VALE5,ALLL11
2009-04-24,30.51,20.12,2.42,5.757699012756348,5.113,10.477206230163574,7.951375007629394,3.161320209503174,3.651632308959961,2.75060510635376,7.334,1.236,1.9436455965042116,7.961251735687256,8.695155143737793,12.22329807281494,11.508,8.008288383483887,380.4675903320313,11.644113540649414,12.732791900634766,7.287109851837158,2.2362172603607178,7.2209625244140625,5.365606307983398,1.773,2.3402175903320312,747.3720703125,9.09,17.16,891.9998779296875,,16.742107391357422,12.145845413208008,29.299999237060547,142.4510955810547,3.78,10.950360298156738,6.56,15.19,28.02,3.4,12.964754104614258,13.500149726867676,18.006242752075195,20.91,11.0
2009-04-27,29.92,19.87,2.66,5.665725231170654,4.928,10.170180320739746,7.746177196502685,3.04636287689209,3.699074745178223,2.806596040725708,7.529,1.196,2.0091443061828613,7.831651210784912,8.854994773864746,11.957101821899414,11.218,7.887083053588867,383.7846374511719,11.644113540649414,12.325491905212402,7.114292621612549,2.173047542572021,6.970921039581299,4.709381580352783,1.728,2.3028738498687744,747.3720703125,8.92,17.9,944.9998779296876,,16.334989547729492,11.888921737670898,29.989999771118164,149.18109130859375,4.07,10.60018825531006,6.46,14.25,28.14,3.43,12.362226486206056,12.748364448547363,17.50481605529785,20.36,10.31
2009-04-28,30.31,20.23,2.69,5.451113700866699,4.975,9.90153694152832,7.848776340484619,3.098616123199463,3.928877592086792,2.864269733428955,7.833,1.272,2.132526159286499,7.928852081298828,8.279577255249023,12.546229362487791,11.576,7.558093547821045,381.4627075195313,11.644113540649414,12.21896743774414,7.056687355041504,2.2235827445983887,7.122462272644043,4.809745788574219,1.736,2.249347448348999,742.3392333984375,9.28,17.41,940.0,,16.376157760620117,11.94693660736084,27.690000534057617,146.26473999023438,3.93,10.592045783996582,6.57,13.33,27.55,3.46,12.216790199279783,12.53642749786377,17.198945999145508,20.21,10.7
2009-04-29,31.34,20.57,2.52,5.536959171295166,5.269,10.231589317321776,8.165121078491211,3.1142919063568115,4.047484397888184,2.947017908096313,7.673,1.272,2.071597099304199,7.942736625671387,9.1427001953125,12.95643424987793,12.01,7.748558521270752,433.5406188964844,11.644113540649414,12.707731246948242,7.200701713562012,2.3473961353302,7.597297668457031,4.948710441589356,1.769,2.315321207046509,821.6060180664062,9.73,17.98,979.9000244140624,,16.883913040161133,12.3240327835083,27.299999237060547,159.72470092773438,3.95,10.749486923217772,6.85,13.71,28.43,3.68,12.258343696594238,12.736369132995604,17.554962158203125,20.63,11.26
2009-04-30,30.71,20.91,2.66,5.4388508796691895,5.263,10.231589317321776,7.891525268554687,3.2240238189697266,3.903672695159912,2.785441398620605,7.419,1.25,2.0514132976531982,7.706677436828613,8.70154857635498,12.568045616149902,11.916,7.661986827850342,419.6089782714844,11.644113540649414,12.858113288879396,7.229504585266113,2.3701376914978027,7.678116321563721,4.762237071990967,1.814,2.489593744277954,839.2208251953125,9.39,17.9,920.0,,16.851892471313477,12.241155624389648,27.549999237060547,169.37098693847656,4.17,10.931360244750977,6.91,13.74,27.92,3.56,12.590771675109863,12.736369132995604,18.091487884521484,20.89,11.15
2009-05-04,31.96,21.45,2.81,5.857203483581543,5.522,11.033685684204102,8.267722129821777,3.480064392089844,4.210569858551025,2.8155837059021,7.571,1.264,2.141334056854248,7.857107162475586,9.782050132751465,12.869158744812012,12.103,8.64895248413086,469.5241394042969,11.644113540649414,14.192800521850586,7.30631160736084,2.5298852920532227,8.097381591796875,4.723582744598389,1.859,2.6514172554016118,887.0325317382812,9.83,19.0,888.989990234375,,18.297382354736328,13.107234954833984,29.649999618530277,186.4815216064453,4.25,11.72110652923584,7.25,14.27,28.43,3.63,13.567283630371094,13.672100067138672,20.05708312988281,22.7,12.79
2009-05-05,31.57,21.33,3.18,5.746574878692627,5.666,11.01449966430664,8.357491493225098,3.6106979846954346,4.106788635253906,2.7633464336395264,7.571,1.246,2.1565747261047363,7.822394371032715,9.468768119812012,12.711956977844238,11.933,8.744189262390137,455.7047119140625,11.644113540649414,14.769283294677734,7.824761390686035,2.552273750305176,8.296910285949707,4.800891876220703,1.851,2.675067901611328,880.7415161132812,9.83,18.22,830.010009765625,,18.526103973388672,13.293712615966797,29.399999618530277,178.9307403564453,4.23,11.65263843536377,7.23,14.96,27.65,3.68,13.25562858581543,13.640113830566406,19.906652450561523,22.54,12.21
2009-05-06,31.75,21.13,3.61,5.851054668426514,5.741,11.06439208984375,9.003007888793945,3.976470232009888,4.106788635253906,2.7257397174835205,7.656,1.256,2.3196518421173096,7.93116569519043,9.45598316192627,12.711956977844238,12.044,8.97794246673584,451.3229064941406,11.644113540649414,15.571358680725098,8.352812767028809,2.5466761589050293,8.203461647033691,4.81635332107544,1.867,2.7124123573303223,876.9669189453125,9.73,18.44,871.010009765625,,18.77769470214844,13.488475799560549,28.149999618530277,179.61717224121094,4.35,12.186663627624512,7.16,16.09,28.26,3.5,13.509105682373049,13.840054512023926,20.05708312988281,22.7,12.3
2009-05-07,30.87,20.99,3.22,5.75886344909668,5.489,10.703635215759276,8.549864768981934,3.788358211517334,4.114201545715332,2.711106777191162,7.69,1.256,2.4613912105560303,7.868680000305176,9.283357620239258,12.481670379638672,11.771,9.00391674041748,438.1776123046875,11.644113540649414,14.781819343566896,8.592836380004883,2.384361267089844,7.582139015197754,4.800891876220703,1.842,2.69000506401062,912.196533203125,9.48,17.5,880.0,,18.416318893432617,13.252274513244627,26.57999992370605,173.21043395996094,4.59,11.841599464416504,7.01,18.26,28.2,3.32,13.110191345214844,13.57213020324707,19.3049373626709,21.99,12.3
2009-05-08,31.95,21.42,3.51,6.207528591156006,5.646,11.206391334533691,8.690937995910645,4.070526123046875,4.277287006378174,2.6964845657348637,7.994,1.297,2.5604565143585205,7.845536231994629,9.46237564086914,12.629054069519045,12.001,9.09049129486084,453.3452758789063,11.644113540649414,15.251774787902832,8.640841484069824,2.389958381652832,7.670536518096924,4.955510139465332,1.855,2.6962289810180664,981.3976440429688,9.93,17.44,893.0,,19.05672264099121,13.67495059967041,27.5,178.70191955566406,4.61,12.255126953125,7.09,18.58,28.64,3.47,13.7542724609375,13.996006965637209,19.58072280883789,22.41,12.45
2009-05-11,30.99,21.2,3.46,6.207528591156006,5.489,11.12963581085205,8.70804214477539,3.924216747283936,4.097892284393311,2.684988498687744,7.698,1.28,2.40042781829834,7.683534622192383,9.091552734375,12.45403289794922,11.737,8.6229829788208,429.41400146484375,11.644113540649414,15.189122200012209,8.391217231750488,2.350778818130493,7.471010208129883,5.1565141677856445,1.818,2.6078484058380127,968.815673828125,10.0,17.24,915.0,,18.892051696777344,13.621081352233888,27.989999771118164,173.89688110351562,4.55,12.05521297454834,7.2,17.82,28.33,3.46,14.261229515075684,14.355908393859863,19.64089775085449,22.47,12.58
