,ALLL11,AMBV4,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,CCRO3,CMIG4,CESP6,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DXCO3,ELET3,ELET6,EMBR3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,ITSA4,ITUB4,JBSS3,PRML3,LAME4,LREN3,MMXM3,MRVE3,NATU3,NETC4,OGXP3,PCAR5,PDGR3,PETR3,PETR4,RDCD3,RSID3,SANB11,CSNA3,CRUZ3,TAMM4,TNLP4,TCSL4,USIM3,USIM5,VALE3,VALE5,VIVO4
2009-11-03,13.54,27.51,7.0056352615356445,6.869,14.147533416748049,12.716970443725586,6.453273773193359,19.292556762695312,5.3990349769592285,2.87304949760437,10.135,5.220379829406738,1.416,2.8866100311279297,7.339012622833252,14.142416954040527,5.071324348449707,11.583540916442873,9.959,7.653326511383057,19.46502494812012,581.4279174804688,18.443443298339844,20.646923065185547,17.588912963867188,2.9776296615600586,9.79616641998291,7.576285362243652,34.47399139404297,2.335,3.918621063232422,1477.1292724609375,5.417994976043701,11.37,22.0,1464.0,54.42,3152.24365234375,19.020639419555664,14.961055755615234,26.850000381469727,278.0061950683594,10.348868370056152,16.048051834106445,9.36,23.31,29.36,3.96,17.97540283203125,18.43604850769043,23.569623947143555,28.4,39.26
2009-11-04,14.0,27.7,7.400318622589111,6.808,14.575066566467283,13.097431182861328,6.244260787963867,19.25225257873535,5.449851512908936,2.8782646656036377,10.27,5.272645473480225,1.417,2.895753860473633,7.480515480041504,15.056684494018556,5.307985305786133,12.205322265625,10.435,7.687958717346191,20.356489181518555,595.58447265625,19.053373336791992,21.19207572937012,18.337785720825195,3.090417623519897,10.112884521484377,8.34937858581543,34.91408157348633,2.417,3.937291145324707,1503.551513671875,5.800936698913574,11.67,23.29,1520.0,55.13,3259.09912109375,19.09014320373535,15.024182319641112,26.899999618530277,288.302734375,10.272740364074709,16.54099464416504,9.78,24.1,30.85,4.12,18.313220977783203,18.632816314697266,23.79264259338379,28.86,40.24
2009-11-05,14.4,28.26,7.622326374053955,6.862,14.808271408081056,13.097431182861328,6.113626003265381,19.919517517089844,5.389795780181885,2.899168968200684,10.202,5.180411338806152,1.44,3.0009162425994877,7.602833271026611,15.38275146484375,5.472803115844727,12.297436714172363,10.529,7.540779113769531,20.879919052124023,618.5045166015625,19.44151496887207,21.605640411376957,18.62581443786621,3.0847792625427246,10.19623565673828,8.132913589477539,34.620689392089844,2.433,4.025672912597656,1496.0023193359375,5.7684831619262695,11.83,23.5,1505.0,55.9,3312.52734375,19.544227600097656,15.31877899169922,27.670000076293945,297.6839904785156,10.06338596343994,16.645061492919922,9.58,24.75,31.49,4.12,18.6427059173584,18.833606719970703,23.89402198791504,29.07,42.32
2009-11-06,14.37,28.2,7.585324287414551,6.801,14.575066566467283,12.966238021850586,6.103176116943359,20.197172164916992,5.449851512908936,2.916926622390747,10.05,5.10355281829834,1.461,3.019204616546631,7.590841770172119,15.280458450317385,5.375603199005127,12.481670379638672,10.605,7.506148815155029,20.978065490722656,624.5715942382812,18.86623954772949,21.07928276062012,19.153865814208984,3.067859411239624,10.151784896850586,7.823676586151123,34.620689392089844,2.598,4.157619476318359,1504.809814453125,5.79282283782959,11.9,23.5,1509.0,55.6,3344.583740234375,19.275484085083008,15.17147731781006,27.0,294.9382629394531,10.06338596343994,16.34929847717285,9.74,25.11,30.67,4.15,18.87208747863769,19.19501304626465,23.74196052551269,28.87,42.32
2009-11-09,14.79,28.93,7.844335556030273,6.917,15.018147468566896,13.512872695922852,6.181556224822998,20.55991744995117,5.674681663513184,2.998420238494873,10.6,5.195784091949463,1.499,3.092360496520996,7.554866313934326,15.325210571289062,5.650301456451416,12.85934352874756,10.963,7.661986827850342,21.305206298828125,636.0315551757812,19.44151496887207,21.64950561523437,19.68191719055176,3.1242542266845703,10.376824378967283,8.117449760437012,36.52775955200195,2.651,4.2011895179748535,1596.6585693359375,6.1011271476745605,12.0,24.45,1520.0,57.2,3483.496337890625,19.785165786743164,15.60494899749756,27.700000762939453,307.7517395019531,10.015803337097168,16.43145751953125,10.11,25.5,31.9,4.19,19.54355812072754,19.829496383666992,24.55802726745605,29.82,42.42
2009-11-10,14.3,29.52,7.683996677398682,6.958,14.769401550292969,13.661566734313965,6.176331520080566,20.95848655700684,5.79017972946167,2.9785616397857666,10.651,5.211158275604248,1.511,3.0451149940490723,7.770719051361084,15.22930908203125,5.72214412689209,12.840920448303224,11.005,7.826480388641357,21.182525634765625,639.0651245117188,19.61478042602539,21.53672409057617,20.065954208374023,3.14117431640625,10.51018238067627,8.040140151977539,36.72335815429688,2.639,4.211146831512451,1599.1749267578125,6.024860382080078,11.9,24.75,1416.6300048828125,56.6,3447.165283203125,20.06317710876465,15.743831634521484,27.350000381469727,308.2093505859375,10.082415580749512,16.33286476135254,10.06,26.02,31.72,4.21,19.656164169311523,20.018230438232425,24.28938102722168,29.59,43.53
2009-11-11,14.39,30.24,7.825833797454834,6.944,14.687785148620604,13.609076499938965,6.239035129547119,20.38078117370605,5.736281871795654,3.3192217350006104,10.955,5.1496686935424805,1.518,3.1243667602539062,7.840271949768066,15.504226684570312,5.5826826095581055,12.80407428741455,11.014,7.661986827850342,22.03310203552246,646.1433715820312,19.718753814697266,21.76229476928711,19.73952293395996,3.1580915451049805,10.515742301940918,7.939639568328857,36.08766555786133,2.61,4.157619476318359,1548.8468017578125,6.044332027435303,11.87,24.85,1420.0,56.81,3440.754150390625,20.20218276977539,15.823785781860352,27.5,308.89581298828125,10.505887985229492,16.335607528686523,10.14,26.14,31.56,4.26,19.664506912231445,20.018230438232425,24.24376106262207,29.36,44.43
2009-11-12,14.26,28.9,7.424984455108643,6.787,14.011497497558594,13.58721923828125,6.077049732208252,19.700084686279297,5.543788909912109,2.91065526008606,10.6,5.1342949867248535,1.493,3.1396079063415527,7.648401737213135,14.768978118896484,5.536194801330566,12.527729034423828,10.818,7.506148815155029,20.77359771728516,626.9310302734375,18.8731689453125,20.65945816040039,19.29788017272949,3.067859411239624,10.210127830505373,7.421669960021973,34.962982177734375,2.577,4.250980377197266,1475.87109375,5.841501712799072,11.47,24.2,1380.010009765625,54.32,3398.011474609375,19.646169662475582,15.50815773010254,27.149999618530277,297.4552001953125,10.272740364074709,16.15760040283203,9.63,24.59,31.44,4.14,18.87208747863769,19.27532768249512,23.36686897277832,28.15,43.76
2009-11-13,15.06,28.74,7.415692329406738,6.848,14.41960334777832,14.049492835998535,6.087499618530273,18.876070022583008,5.705482006072998,2.9879679679870605,10.524,5.168116092681885,1.567,3.200571060180664,7.69636869430542,15.696035385131836,5.536194801330566,12.836315155029297,10.869,7.610040187835693,21.305206298828125,641.7615966796875,19.15041160583496,20.86623954772949,19.92194175720215,3.169369697570801,10.551849365234377,7.07377815246582,35.45197677612305,2.61,4.387907028198242,1455.7398681640625,6.1011271476745605,11.5,24.5,1386.0,53.93,3526.23828125,19.831504821777344,15.625990867614746,27.299999237060547,299.9721374511719,10.315561294555664,16.089136123657227,9.54,25.02,31.56,4.25,19.0180606842041,19.676898956298828,23.772369384765625,28.51,44.42
2009-11-16,15.45,29.42,7.582549571990967,7.006,14.92098331451416,14.005582809448242,6.082275390625,18.88054847717285,5.740901470184326,3.3583130836486816,10.473,5.195784091949463,1.594,3.261533498764038,7.900230884552002,15.855873107910156,5.705239772796631,12.873159408569336,10.98,7.687958717346191,22.31935310363769,654.9069213867188,19.58013343811035,21.30486488342285,20.536399841308597,3.166548728942871,10.626864433288574,7.189741611480713,36.3321647644043,2.754,4.56342363357544,1474.6129150390625,6.214710712432861,12.0,24.55,1390.0,54.12,3633.093994140625,19.92417526245117,15.731205940246582,28.0,306.607666015625,10.46782398223877,16.587554931640625,9.99,25.19,32.44,4.46,20.01901054382324,19.676898956298828,24.7202262878418,29.59,44.94
