Date,ABEV3,BBAS3,BBDC3,BBDC4,BBSE3,BRAP4,BRFS3,BRKM5,BRML3,B3SA3,CCRO3,CIEL3,CMIG4,CPFE3,CPLE6,CSAN3,CSNA3,CTIP3,CYRE3,ECOR3,ELET3,EMBR3,ENBR3,EQTL3,YDUQ3,FIBR3,GGBR4,GOAU4,HYPE3,ITSA4,ITUB4,JBSS3,KLBN11,COGN3,LAME4,LREN3,MRFG3,MRVE3,MULT3,NATU3,PCAR4,PETR3,PETR4,QUAL3,RADL3,RENT3,RAIL3,SANB11,SBSP3,SMLE3,EGIE3,TIMS3,UGPA3,USIM5,VALE3,VALE5,VIVT4,WEGE3
2016-06-30,15.851532936096191,12.44582748413086,10.79528522491455,10.451,17.307531356811523,4.498256206512451,44.59103775024414,12.473163604736328,10.20090103149414,4.783000469207764,13.619757652282717,20.432979583740234,2.999111652374268,14.05438232421875,1.832,6.901948928833008,6.080129623413086,42.44,7.496037006378174,7.259459018707275,10.211275100708008,17.056745529174805,9.525423049926758,8.583110809326172,13.405779838562012,19.44993782043457,4.635768890380859,1.423346757888794,18.684627532958984,4.5663933753967285,14.213539123535156,8.37475872039795,12.367067337036133,12.483272552490234,6.464,17.563390731811523,4.204135417938232,6.989719390869141,17.681774139404297,12.29,45.47,6.071701526641846,4.74427604675293,13.677157402038574,11.95732593536377,9.59860897064209,4.894646167755127,12.695863723754885,24.916656494140625,44.51,19.15639877319336,5.746538162231445,31.80548858642578,1.6740291118621826,10.831934928894045,12.58,33.561,4.786777496337891
2016-07-01,15.992992401123049,12.35164737701416,10.895208358764648,10.628,16.99352264404297,4.533835887908936,46.45846557617188,12.61073875427246,10.208837509155272,4.756426811218262,13.692720413208008,20.46315574645996,2.999111652374268,14.033902168273926,1.839,6.980685710906982,6.810988903045654,42.08,7.372196197509766,7.06887674331665,10.171510696411133,17.20294189453125,9.483461380004885,8.609575271606445,13.60339069366455,20.91342544555664,4.871887683868408,1.4731634855270386,19.020851135253903,4.6085076332092285,14.506861686706545,7.956020355224609,13.104923248291016,13.1257905960083,6.735,17.830291748046875,4.1966552734375,7.112574100494385,17.76605987548828,12.79,46.11,6.36183500289917,4.945730686187744,13.12595558166504,11.819079399108888,9.731863975524902,4.844700336456299,12.800616264343262,24.88238525390625,45.31,19.08639144897461,5.914566040039063,31.179311752319336,1.767502784729004,11.06495189666748,12.78,33.552,4.7763261795043945
2016-07-04,15.859854698181152,12.409605026245115,10.870111465454102,10.683,17.024303436279297,4.84388542175293,48.33577346801758,12.944841384887695,10.20090103149414,4.783000469207764,13.684615135192873,20.396772384643555,3.143300294876098,15.228423118591309,1.873,7.030415058135986,7.230844020843506,41.99,7.488751411437988,6.999573707580566,10.537335395812988,17.826736450195312,9.714255332946776,8.59193229675293,13.334644317626951,,4.9584641456604,1.5016305446624756,19.5331974029541,4.6024909019470215,14.497479438781738,8.299385070800781,13.249285697937012,12.923855781555176,6.751,18.14908599853516,4.323826313018799,7.209563732147217,17.985027313232422,12.97,45.63,6.340735912322998,4.970912456512451,13.32438850402832,11.79067325592041,9.698307037353516,5.194317817687988,12.982183456420898,24.899518966674805,44.09,19.26641082763672,5.7969465255737305,30.884113311767575,1.8014934062957764,11.297967910766602,13.05,33.636,4.720584392547607
2016-07-05,16.051240921020508,12.315427780151367,10.79012966156006,10.677,16.55636978149414,4.625325679779053,47.55521011352539,12.381451606750488,10.280284881591797,4.689998626708984,13.21440887451172,20.4752254486084,3.213334083557129,15.126035690307615,1.918,6.984829425811768,6.694362640380859,42.08,7.335772037506103,6.679049015045166,10.93497085571289,17.26142120361328,9.714255332946776,8.729545593261719,13.168649673461914,20.27202033996582,4.722346782684326,1.437579870223999,19.30904769897461,4.548343658447266,14.394225120544434,7.981144428253174,13.145020484924316,12.71274185180664,6.911,17.97856903076172,4.204135417938232,7.325949668884277,18.103389739990234,12.76,45.49,5.982025146484375,4.678802490234375,13.015713691711426,11.836125373840332,9.270441055297852,5.254252910614014,12.577147483825684,24.702449798583984,43.41,19.37641716003418,5.771742343902588,31.03618431091309,1.7250149250030518,10.69212532043457,12.45,33.909,4.668328762054443
2016-07-06,15.95970630645752,12.286450386047363,10.73813533782959,10.677,16.457857131958008,4.767642974853516,48.17768478393555,12.184922218322754,10.018316268920898,4.650138854980469,12.922555923461914,20.33642578125,3.114462375640869,15.085082054138184,1.889,7.105007648468018,7.0442423820495605,42.16,7.226499557495117,6.549106597900391,10.775918006896973,17.310161590576172,9.707260131835938,8.657210350036621,12.646964073181152,20.19071578979492,4.832533836364746,1.4731634855270386,18.972824096679688,4.52427864074707,14.450546264648438,8.115139961242676,12.92045783996582,12.455732345581056,6.957,17.963733673095703,4.151771545410156,7.364745140075684,17.819320678710938,13.04,45.41,6.166653156280518,4.784567356109619,13.22884464263916,11.68462085723877,9.340351104736328,5.304197788238525,12.619046211242676,24.92522621154785,43.05,19.49642562866211,5.7213335037231445,30.93331718444824,1.7590051889419556,10.845250129699709,12.73,33.665,4.668328762054443
2016-07-07,15.893136024475098,12.134315490722656,10.78212833404541,10.71,16.30392837524414,4.650739192962647,48.42469787597656,12.119412422180176,10.089761734008787,4.684683322906494,13.092803001403809,20.84333038330078,3.0155904293060303,15.358114242553713,1.848,7.086359977722168,6.639936447143555,42.11,7.284778118133545,6.436489582061768,10.9985933303833,17.212692260742188,9.72824001312256,8.768359184265137,12.80505084991455,19.964868545532227,4.730216503143311,1.437579870223999,19.541200637817383,4.5603766441345215,14.59604263305664,8.006270408630371,12.519450187683104,12.44655418395996,6.846,18.12684440612793,4.211616516113281,7.254825115203857,17.905132293701172,12.98,46.41,6.314357757568359,4.814785003662109,13.500772476196287,11.485774993896484,9.427044868469238,5.37412166595459,12.825319290161133,24.325443267822266,43.76,19.60643196105957,5.855757236480713,31.183788299560547,1.716517210006714,10.665494918823242,12.35,34.584,4.717101097106934
2016-07-08,16.142770767211914,12.482048034667969,11.014094352722168,11.011,17.085880279541016,4.772726535797119,48.90884780883789,12.060450553894045,10.240592002868652,4.822858333587647,13.457615852355955,21.12091827392578,3.209214210510254,15.330809593200684,1.907,7.1485209465026855,7.0442423820495605,42.35,7.357625007629394,6.670385837554932,11.133790016174316,17.388134002685547,9.77719783782959,8.750717163085938,13.137035369873049,19.178918838500977,4.848275661468506,1.4518134593963623,19.78136444091797,4.692734718322754,14.99027156829834,8.274260520935059,12.110421180725098,12.960569381713867,7.043,18.905296325683597,4.189174175262451,7.3906097412109375,18.13001823425293,12.99,46.78,6.488440036773682,4.955804347991943,14.221012115478516,11.739542007446287,9.703900337219238,5.533946514129639,13.184123039245604,25.20798110961914,43.18,19.66643524169922,5.998579025268555,31.64447593688965,1.7335124015808103,10.77867317199707,12.57,35.241,4.7728447914123535
2016-07-11,16.142770767211914,13.054350852966309,11.038084030151367,11.141,16.99352264404297,4.955706596374512,50.015472412109375,12.099756240844728,9.915117263793944,4.894604206085205,13.514366149902344,21.51316261291504,3.522308588027954,15.330809593200684,2.033,7.200322151184082,7.106444358825684,42.77,7.415903568267822,6.757015228271484,12.0722074508667,17.26142120361328,9.924064636230469,8.759536743164062,13.59548568725586,19.666749954223636,4.934850692749023,1.5016305446624756,19.81338882446289,4.698752403259277,15.135759353637695,8.081640243530273,12.19062328338623,12.960569381713867,7.166,19.275989532470703,4.1592512130737305,7.59752082824707,18.334192276000977,13.0,48.27,6.799673557281494,5.217696189880371,14.522334098815918,11.919447898864746,9.684324264526367,5.62384843826294,13.472563743591309,25.782058715820312,42.75,20.10146713256836,6.16660737991333,31.89494514465332,1.7590051889419556,11.224736213684082,13.04,36.067,4.668328762054443
2016-07-12,16.16790199279785,12.887734413146973,11.054082870483398,11.052,17.301376342773438,5.118354797363281,50.58854675292969,12.158717155456545,9.907176971435549,4.9690046310424805,13.295476913452148,21.482990264892575,3.518188714981079,15.255727767944336,2.025,7.171311855316162,7.440772533416748,42.84,7.321201324462891,6.679049015045166,12.29488468170166,17.524587631225586,10.084919929504396,8.803644180297852,13.832616806030272,19.5673770904541,5.226062774658203,1.6083815097808838,19.79737663269043,4.626556396484375,15.009047508239746,8.006270408630371,12.35102653503418,13.428693771362305,7.236,19.350128173828125,4.069484233856201,7.474667072296143,17.928804397583008,12.88,49.96,7.010680675506592,5.3637518882751465,14.742813110351562,12.016032218933104,9.815762519836426,5.503979682922363,13.120800018310549,25.5335750579834,43.78,20.01646041870117,6.141403198242188,31.957569122314453,1.8099910020828247,11.77731704711914,13.49,35.617,4.602134704589844
2016-07-13,16.000356674194336,13.076082229614258,11.222053527832031,11.292,17.356792449951172,5.179348468780518,50.5099983215332,12.06700325012207,10.026253700256348,5.08060884475708,13.060375213623049,21.22953987121582,3.345163106918335,15.4127197265625,2.042,7.127800941467285,7.495197772979736,42.78,7.255638122558594,6.82631778717041,12.104018211364746,17.417375564575195,10.140870094299316,8.847749710083008,14.306878089904783,19.603513717651367,5.462181568145752,1.6439653635025024,19.989505767822266,4.734847545623779,15.318795204162598,8.37475872039795,12.35102653503418,13.795849800109863,7.01,19.275989532470703,4.039560794830322,7.552257537841797,18.11522102355957,13.07,50.39,6.8524250984191895,5.3536787033081055,15.147029876708984,11.998988151550291,9.776607513427734,5.344153881072998,13.31075382232666,25.76492118835449,45.02,20.136472702026367,6.401845455169678,31.26429748535156,1.8269864320755005,11.863863945007324,13.69,36.03,4.6648430824279785
