Date,ABEV3,BBAS3,BBDC3,BBDC4,BBSE3,BRAP4,BRFS3,BRKM5,BRML3,B3SA3,CCRO3,CIEL3,CMIG4,CPFE3,CPLE6,CSAN3,CSNA3,CTIP3,CYRE3,ECOR3,EMBR3,ENBR3,EQTL3,YDUQ3,FIBR3,GGBR4,GOAU4,HYPE3,ITSA4,ITUB4,JBSS3,KLBN11,COGN3,LAME4,LREN3,MRFG3,MRVE3,MULT3,NATU3,PCAR4,PETR3,PETR4,QUAL3,RADL3,RENT3,RAIL3,SANB11,SBSP3,SMLE3,EGIE3,TIMS3,UGPA3,USIM5,VALE3,VALE5,VIVT4,WEGE3
2016-02-29,14.67827033996582,9.550978660583496,8.377555847167969,7.983,14.850863456726074,2.048358201980591,50.67663192749024,15.79867172241211,8.219342231750488,3.069645881652832,10.031131744384766,15.461540222167969,2.2964837551116943,11.001482963562012,1.394,5.427127361297607,4.0430521965026855,36.08,5.818962097167969,3.915603399276733,29.31832504272461,8.358400344848633,6.646328926086426,9.765559196472168,39.057762145996094,2.778313398361206,0.8611246943473816,20.00914764404297,3.714099645614624,11.89064598083496,9.119014739990234,17.132652282714844,9.023049354553224,6.653,13.166336059570312,4.675417423248291,6.6322407722473145,13.793896675109863,12.82,40.48,3.8772380352020255,2.5887022018432617,8.960269927978516,8.667792320251465,6.358696460723877,2.627126455307007,10.440218925476074,19.192325592041016,25.15,17.49961280822754,5.688010692596436,28.111024856567383,0.7647848725318909,7.862640380859375,8.27,28.324,4.5557708740234375
2016-03-01,15.185850143432615,10.101181983947754,8.5863676071167,8.202,15.663596153259276,2.2059245109558105,52.16538238525391,15.79867172241211,8.213235855102539,3.2202227115631104,10.277341842651367,16.05487632751465,2.4021143913269043,11.297929763793944,1.431,5.559000492095947,4.198554992675781,36.53,5.953792095184326,4.062871932983398,28.83292388916016,8.37153148651123,6.595992088317871,10.255366325378418,37.9570426940918,2.8334078788757324,0.88959139585495,20.46173477172852,3.8751087188720703,12.450397491455078,9.318994522094728,17.419527053833008,9.185954093933104,6.747,13.54669952392578,4.705340385437012,6.719837188720703,14.034503936767578,13.31,40.79,3.993291139602661,2.674320697784424,9.120274543762209,8.761988639831543,6.604856014251709,2.8968312740325928,10.922075271606444,19.44697952270508,26.95,17.841672897338867,5.917168617248535,28.625391006469727,0.7732825875282288,8.528401374816895,8.93,29.075,4.576498031616211
2016-03-02,15.094322204589844,10.418606758117676,8.826759338378906,8.387,16.002229690551758,2.358407974243164,51.79072570800781,15.767694473266602,8.347579002380371,3.3153231143951416,10.356764793395996,16.49363899230957,2.390377759933472,11.034422874450684,1.426,5.605663299560547,4.392932415008545,36.92,5.73380708694458,4.175488471984863,28.25044059753418,8.476584434509277,6.604671001434326,10.255366325378418,35.46267318725586,2.9514667987823486,0.88959139585495,21.04930305480957,3.935144662857056,12.740816116333008,9.51897144317627,17.005157470703125,8.995898246765137,6.813,13.985576629638672,4.772667407989502,6.51336145401001,14.151875495910645,13.75,41.0,4.272875308990479,2.8455584049224854,9.17592716217041,8.848649024963379,6.828891754150391,2.9867329597473145,11.36901569366455,19.26872062683105,27.17,17.60371208190918,5.90079927444458,28.95637321472168,0.7987753748893738,9.46712589263916,9.65,29.075,4.714657306671143
2016-03-03,15.343952178955078,11.788811683654783,9.406805038452148,9.132,16.56252670288086,2.571884155273437,51.978057861328125,15.674761772155762,8.726181983947754,3.550434112548828,11.397207260131836,17.241535186767578,2.7424793243408203,11.423096656799316,1.526,5.709133625030518,5.053814888000488,36.65,6.038947582244873,4.496013641357422,24.29926109313965,8.673562049865723,6.809494495391846,10.714563369750977,31.68116950988769,3.179713487625122,1.02480947971344,20.755516052246094,4.257159233093262,14.000842094421388,10.054913520812988,16.33578872680664,9.710865020751951,6.854,14.256216049194336,4.795108318328857,6.607213497161865,14.773932456970217,14.41,42.84,4.805665016174316,3.308906316757202,9.328975677490234,8.75445556640625,6.986545562744141,2.8768532276153564,12.325740814208984,19.710119247436523,28.73,17.940818786621094,6.039930820465088,29.2247314453125,1.0791964530944824,10.399189949035645,10.59,29.451,4.680115699768066
2016-03-04,15.90146255493164,12.952794075012209,10.145367622375488,10.075,17.319849014282227,2.754864454269409,51.45551300048828,15.538456916809082,9.25133991241455,3.909703493118286,11.317785263061523,17.72019386291504,2.765953302383423,11.647079467773438,1.63,5.786230087280273,5.877976894378662,37.95,6.599554061889648,4.677933216094971,22.39648056030273,8.476584434509277,6.870246410369873,11.097223281860352,31.894216537475582,3.6913015842437744,1.1813775300979614,20.723756790161133,4.426355361938477,14.68472671508789,8.7030611038208,16.73421859741211,9.99142074584961,7.19,14.914535522460938,4.839993000030518,6.757378101348877,14.964662551879885,14.75,44.74,5.264603614807129,3.63627028465271,10.052475929260254,8.769523620605469,7.564608097076416,3.0966126918792725,12.234959602355955,19.39604759216309,30.66,18.16885757446289,6.252720355987549,29.806188583374023,1.155674934387207,11.01834774017334,11.32,29.779,4.742289066314697
2016-03-07,15.951385498046877,12.95988941192627,9.968836784362791,9.788,17.295217514038086,3.003919839859009,52.11608505249024,15.79867172241211,9.404004096984863,3.7010111808776855,11.27807331085205,17.45094871520996,2.730742216110229,11.561440467834473,1.644,5.715221881866455,6.398907661437988,37.6,6.741479873657227,4.764561653137207,23.27991485595703,8.496283531188965,6.826852321624756,11.365090370178224,31.91196823120117,3.895935535430908,1.2311948537826538,20.52525520324707,4.371777057647705,14.619145393371582,8.783052444458008,16.77406120300293,10.299127578735352,7.359,15.192492485046388,4.825031280517578,6.657268047332764,14.941186904907228,14.49,45.56,5.227676868438721,3.7118172645568848,10.3377046585083,8.801549911499023,7.7720465660095215,3.0866236686706543,12.151156425476074,19.353605270385746,30.3,18.21843147277832,6.269087314605713,29.721206665039062,1.24065101146698,11.704081535339355,12.35,30.305,4.82172966003418
2016-03-08,15.851532936096191,14.372269630432127,10.094928741455078,9.843,18.194150924682617,2.693870782852173,51.711856842041016,15.123356819152832,9.361257553100586,3.716861486434937,11.532225608825684,17.70025062561035,2.785513401031494,11.7129545211792,1.695,5.705077171325684,5.528097152709961,37.64,6.869213104248047,4.755898952484131,22.959550857543945,8.53567886352539,6.90843391418457,11.487543106079102,29.080278396606445,3.7936179637908936,1.245428204536438,20.63641357421875,4.524597644805908,14.947044372558594,8.943035125732422,16.566877365112305,10.15432357788086,7.33,15.214436531066896,4.705340385437012,6.863744258880615,14.90597438812256,14.55,45.12,5.09052324295044,3.762180805206299,10.073347091674805,8.920236587524414,7.744387149810791,3.376306772232056,12.032438278198242,19.43000221252441,32.83,18.664594650268555,6.072667598724365,29.4617919921875,1.3171294927597046,10.006390571594238,10.85,30.295,5.0255126953125
2016-03-09,15.518692016601562,14.407759666442873,10.0444917678833,9.384,18.341920852661133,2.54138731956482,52.74707794189453,15.055205345153809,9.379576683044434,3.904419660568237,11.293957710266112,17.40607452392578,2.7424793243408203,12.259736061096191,1.617,5.749711513519287,5.302619457244873,38.41,6.847924709320068,4.7732253074646,22.736263275146484,8.640732765197754,6.91537618637085,11.472235679626465,28.343507766723636,3.856583833694458,1.3308287858963013,20.874616622924805,4.415440559387207,14.450517654418944,9.49497413635254,16.160476684570312,10.21767520904541,7.4,15.353413581848145,4.675417423248291,6.913798332214356,15.02041244506836,13.56,46.11,5.043047428131104,3.827653408050537,10.163785934448242,8.878787994384766,7.716729164123535,3.69595718383789,11.836904525756836,19.34511947631836,32.84,18.540666580200195,6.121772289276123,29.426010131835938,1.6315410137176514,9.653536796569824,10.51,30.211,4.790643692016602
2016-03-10,15.502047538757324,15.25945281982422,10.37234592437744,9.672,19.659534454345703,2.526139497756958,52.983699798583984,15.086183547973633,9.629942893981934,4.084055423736572,11.754611015319824,17.78501319885254,2.797250747680664,12.4112548828125,1.581,5.830863952636719,5.6991496086120605,38.45,7.373050689697266,4.981132984161377,21.318885803222656,8.778617858886719,7.029938697814941,11.671218872070312,27.38482093811035,4.226500988006592,1.5300973653793335,21.27957344055176,4.579176902770996,15.017293930053713,9.798941612243652,15.865633010864258,10.452980041503906,7.609,15.55822467803955,4.795108318328857,6.982623100280762,15.158323287963867,13.61,46.02,5.174927234649658,4.003927230834961,9.322021484375,9.108623504638672,7.655879974365234,3.8058369159698486,11.73215103149414,19.480932235717773,32.65,18.46134757995605,6.252720355987549,29.87327766418457,1.7929954528808594,9.320658683776855,9.78,30.492,4.752650737762451
2016-03-11,15.160894393920898,16.217601776123047,10.768644332885742,10.007,19.327051162719727,2.627794981002808,51.87302017211914,14.90651035308838,9.46506690979004,4.173873901367188,11.500455856323242,16.83767318725586,3.012423276901245,12.351963996887209,1.723,5.832893371582031,5.489222049713135,38.42,7.273703098297119,4.712584495544434,21.843122482299805,8.758920669555664,7.047296524047852,10.55384349822998,26.95873641967773,4.037606716156006,1.4660474061965942,21.549530029296875,4.661045551300049,15.143766403198242,9.43098258972168,16.0010986328125,10.534433364868164,7.117,15.177864074707031,4.907318115234375,6.982623100280762,15.03801727294922,13.43,46.3,5.322629451751709,4.074437141418457,9.628117561340332,9.048337936401367,7.520355701446533,3.556110143661499,11.59248161315918,19.480932235717773,33.79,18.38698387145996,6.277271747589111,29.864330291748047,1.716517210006714,9.234108924865724,9.8,30.69,4.704294204711914
