,ALLL3,AMBV4,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,BISA3,CCRO3,CMIG4,CESP6,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DXCO3,ELET3,ELET6,ELPL4,EMBR3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HYPE3,ITSA4,ITUB4,JBSS3,PRML3,LAME4,LREN3,MRFG3,MMXM3,MRVE3,NATU3,OGXP3,PCAR5,PDGR3,PETR3,PETR4,RDCD3,RSID3,SANB11,CSNA3,CRUZ3,TAMM4,TNLP4,TCSL4,USIM3,USIM5,VALE3,VALE5,VIVO4
2010-06-30,18.27,31.88,7.215813636779785,6.138,12.897956848144531,11.30716037750244,6.547328472137451,21.37262725830078,6.73,5.790404319763184,3.0797271728515625,11.852,4.67539119720459,1.769,3.441375255584717,9.808003425598145,12.759490966796877,6.961751461029053,12.132681846618652,13.397,,8.232017517089844,21.78774070739746,492.8942565917969,16.574270248413086,18.6248836517334,21.19202995300293,18.114545822143555,3.0912325382232666,9.035361289978027,5.925601482391357,35.9898681640625,2.63,6.263323783874512,12.534460067749023,1576.5621337890625,6.412944793701172,14.78,1672.0,62.98,3300.72900390625,14.551229476928713,11.48171615600586,25.5,302.2625732421875,8.859395027160645,15.020954132080078,10.74,24.1,26.19,4.84,20.059619903564453,19.63032341003418,22.28201484680176,26.52,42.18
2010-07-05,18.27,31.53,6.904788017272949,6.363,12.461336135864258,12.064019203186035,6.829496383666992,20.60609436035156,6.79,5.737736701965332,3.1315388679504395,11.759,4.43854570388794,1.763,3.4749059677124023,9.907550811767578,12.752946853637695,7.1994709968566895,11.55808162689209,12.963,,8.311854362487793,,504.5320434570313,16.159738540649414,18.076534271240234,21.400184631347656,18.184873580932617,3.186479091644287,9.311259269714355,5.995405673980713,,2.565,6.097152233123779,12.846336364746094,1551.08544921875,6.639994621276856,14.6,,63.7,3367.869873046875,14.081833839416504,11.344924926757812,,313.8791198730469,9.136051177978516,15.27796745300293,10.72,23.8,25.77,4.84,21.20225524902344,20.299495697021484,21.950210571289062,26.29,43.19
2010-07-07,19.24,32.61,7.153608322143555,6.89,12.98055934906006,12.72914695739746,6.897425174713135,21.01190185546875,7.27,5.963900089263916,3.116391658782959,12.233,4.875326633453369,1.79,3.551108837127685,10.079273223876951,13.145344734191896,7.424454689025879,11.405534744262695,12.725,,8.249762535095215,21.50967025756836,538.7607421875,16.897464752197266,18.89906311035156,22.08411979675293,17.59877586364746,3.4549055099487305,10.092753410339355,6.2125749588012695,38.38593292236328,2.618,6.295278072357178,13.180490493774414,1666.4801025390625,6.92759370803833,14.75,1826.0,64.21,3610.443115234375,14.762453079223633,11.71254539489746,26.100000381469727,334.5565795898437,9.751534461975098,15.837682723999023,10.85,25.77,26.92,4.84,22.302574157714844,21.29916763305664,22.76186180114746,27.23,42.44
2010-07-14,18.69,32.41,7.27802038192749,7.054,12.95302391052246,12.976851463317873,6.975804805755615,21.76039695739746,7.17,5.855466842651367,2.9902632236480717,11.674,5.019894599914551,1.763,3.67151141166687,9.62632942199707,14.113261222839355,7.173999786376953,11.237730026245115,12.461,,8.542495727539062,20.96988296508789,564.7745971679688,16.792078018188477,18.637638092041016,23.164535522460938,17.80977439880371,3.5155186653137207,10.312461853027344,6.359939098358154,36.52775955200195,2.672,6.570096492767334,13.588900566101074,1581.05810546875,7.316103935241699,15.55,1790.0,64.5,3779.378173828125,14.687352180480955,11.66979694366455,27.75,351.9813842773437,10.34296703338623,15.392196655273438,11.06,27.05,27.01,4.7,21.096454620361328,19.93226432800293,22.547460556030277,26.78,43.19
2010-07-15,17.8,32.88,7.45841121673584,7.047,12.661943435668944,13.178680419921877,7.0541863441467285,22.193260192871094,7.05,5.849269866943359,2.977308750152588,11.564,5.075259208679199,1.777,3.657794237136841,9.827913284301758,14.38794231414795,7.237675666809082,11.136031150817873,12.359,,8.648943901062012,20.85538482666016,570.2512817382812,16.714792251586914,18.51648712158203,23.888118743896484,17.458106994628906,3.506858587265014,10.290213584899902,6.538326740264893,36.18546676635742,2.745,6.455054759979248,13.32900333404541,1560.0771484375,7.341331958770752,15.26,1800.0,63.38,3887.669677734375,14.560613632202148,11.588582992553713,26.950000762939453,360.57763671875,10.217951774597168,14.96384334564209,11.26,27.81,26.58,4.7,20.56745719909668,19.70784950256348,22.368791580200195,26.54,42.09
2010-07-19,18.27,33.31,7.365103721618652,7.088,12.744549751281738,12.935568809509276,6.772017478942871,22.481834411621094,7.3,5.9453125,2.9478766918182373,11.395,4.942996978759766,1.756,3.627312898635864,9.832890510559082,14.361783027648926,7.173999786376953,11.039417266845703,12.291,,8.524749755859375,20.372848510742188,571.6204223632812,16.48293685913086,18.446352005004883,22.68875503540039,16.645376205444336,3.4924283027648926,10.26240062713623,6.282379150390625,36.136566162109375,2.754,6.467839241027832,13.366131782531738,1603.53759765625,7.623885631561279,15.16,1797.0,62.7,3822.694580078125,14.45734977722168,11.520187377929688,26.649999618530277,361.274658203125,10.208334922790527,14.980976104736328,11.57,27.05,26.3,4.73,20.95256805419922,19.875139236450195,22.4862060546875,26.93,41.09
2010-07-20,18.72,33.09,7.408651351928711,7.197,13.59418487548828,12.889694213867188,6.71976375579834,22.544960021972656,7.14,5.987138748168945,2.951408863067627,11.835,4.816883087158203,1.745,3.619693279266357,10.046921730041504,14.283302307128906,7.258901596069336,11.11569118499756,12.487,,9.048126220703123,21.53420829772949,574.3587036132812,17.12932586669922,19.001081466674805,22.45086479187012,16.637563705444336,3.5097460746765137,10.348623275756836,6.243598461151123,37.35904693603516,2.729,6.513856887817383,13.358705520629885,1660.485595703125,7.346377372741699,15.19,1829.0,62.61,3736.0615234375,14.973682403564451,11.819411277770996,26.06999969482422,345.011474609375,10.338162422180176,15.780570030212402,11.54,26.88,26.83,4.73,21.99786758422852,20.59735679626465,23.75727653503418,28.62,41.83
2010-07-21,19.17,33.01,7.445973873138428,7.15,13.822328567504885,12.963089942932127,6.766791820526123,22.4998722076416,7.27,5.925174236297607,2.9337546825408936,11.598,4.764594078063965,1.762,3.6044516563415527,9.947372436523438,14.172121047973633,7.488129615783691,11.146201133728027,12.487,,9.003772735595703,21.46877861022949,571.6204223632812,17.375228881835938,19.21150016784668,22.05438232421875,16.69226837158203,3.5357229709625244,10.31523895263672,6.15828275680542,38.58152770996094,2.676,6.416710376739502,13.128510475158691,1697.951416015625,7.3665595054626465,14.78,1805.0,61.91,3790.207275390625,14.804698944091797,11.755291938781738,26.0,340.1325378417969,10.650708198547363,15.940486907958984,11.57,26.51,27.16,4.7,22.746931076049805,21.14003562927246,23.895095825195312,28.79,41.46
2010-07-22,20.23,33.48,7.526839256286621,7.354,13.967867851257324,13.339238166809082,6.923552513122559,22.11210060119629,7.72,5.917428970336914,3.013808012008667,11.928,4.813807964324951,1.777,3.6044516563415527,9.972257614135742,14.747640609741213,7.755562305450439,11.339431762695312,12.699,,9.216670989990234,22.352066040039062,581.8889770507812,17.88813018798828,19.613195419311523,22.89690971374512,17.168964385986328,3.6194255352020255,10.596142768859863,6.336671352386475,39.02162170410156,2.815,6.685136795043945,13.358705520629885,1744.4090576171875,7.603702068328857,14.86,1840.0,62.48,3876.84033203125,14.95959758758545,11.960476875305176,25.899999618530277,350.8197326660156,10.6987943649292,16.534475326538086,11.63,27.66,27.74,4.76,22.85272789001465,21.421579360961918,24.400463104248047,29.29,41.56
2010-07-23,19.71,33.27,7.682351589202881,7.409,14.317950248718262,13.522714614868164,6.934003829956055,21.76039695739746,7.59,5.963900089263916,3.0232181549072266,11.97,4.767669677734375,1.769,3.612072706222534,10.017056465148926,15.107337951660156,7.738582611083984,11.456382751464844,12.776,,9.394087791442873,22.973636627197266,588.7347412109375,18.26050567626953,20.02127265930176,23.471811294555664,17.27055549621582,3.665607690811157,10.707385063171388,6.499548435211182,40.34190368652344,2.947,6.646790027618408,13.180490493774414,1778.877685546875,7.568382740020752,15.18,1870.0,62.85,3952.644287109375,14.917356491088867,11.879257202148438,25.489999771118164,349.89044189453125,10.770923614501951,16.877159118652344,11.56,28.23,27.61,4.7,23.360570907592773,21.727602005004883,24.58934211730957,29.51,41.83
