,ACES4,AMBV4,ARCZ6,BBDC4,BBAS3,BRTP4,BRKM5,CMET4,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,GOAU4,ITSA4,ITUB4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,USIM5,VALE3,VALE5
2004-03-15,16.11,7.09,8.22,1.442,3.2062008380889893,15.32,8.551618576049805,1.39,4474.5595703125,0.477,49.34,7.391781806945801,6.145,14.8,14.38401985168457,20.27,4.96,3.9,3.940602779388428,3.5574185848236084,0.8892459273338318,2.717646837234497,5.158359050750732,3.67827033996582,3.329498291015625,3.95,5.2856764793396,91.8,3.3,29.21,26.09,21.68,20.29,31.16,46.17,13.584343910217283,17.64,3.25,6.166080951690674,6.081931591033936,7.39
2004-03-16,16.73,7.5,8.29,1.428,3.305947780609131,15.48,8.562049865722656,1.41,4428.92041015625,0.49,49.43,7.458336353302002,6.256,15.41,14.64647102355957,20.74,4.96,4.27,4.057684898376465,3.607401847839356,0.8919323682785034,2.717646837234497,5.132911205291748,3.696935653686523,3.352569341659546,4.03,5.313462734222412,93.68,3.32,29.02,26.14,21.85,20.85,31.23,46.58,13.907782554626465,18.05,3.35,6.100131034851074,6.059165000915527,7.43
2004-03-17,16.73,7.85,8.63,1.449,3.3843202590942383,15.55,8.451952934265137,1.41,4420.8642578125,0.483,49.87,7.503421306610107,6.324,15.66,15.230632781982422,21.78,4.85,4.2,4.089277744293213,3.6545588970184326,0.9161117672920228,2.7530086040496826,5.295222282409668,3.76248836517334,3.283615827560425,4.04,5.38613224029541,95.11,3.33,30.23,26.36,22.57,20.93,31.27,46.93,13.746064186096191,18.72,3.28,6.344137668609619,6.362451076507568,7.64
2004-03-18,16.98,7.62,8.74,1.456,3.4199442863464355,15.98,8.451952934265137,1.48,4599.8466796875,0.499,50.75,7.900598526000977,6.63,16.14,15.230632781982422,21.53,4.91,4.12,4.149991035461426,3.701714038848877,0.9107385277748108,2.763110876083374,5.4971232414245605,3.910438299179077,3.288022518157959,4.0,5.471625328063965,96.05,3.37,31.36,27.09,23.07,21.42,32.23,47.68,13.843092918395996,20.02,3.36,6.347434520721436,6.350252628326416,7.79
2004-03-19,16.63,7.63,8.69,1.442,3.399996757507324,16.07,8.373147964477539,1.47,4492.45751953125,0.49,50.31,8.07020378112793,6.783,16.31,14.88351345062256,21.14,4.96,4.02,4.150609970092773,3.7818796634674072,0.9134249091148376,2.7530086040496826,5.355734825134277,3.814384937286377,3.22580885887146,3.97,5.456665515899658,95.46,3.38,31.38,27.75,23.13,21.57,31.85,46.93,13.943366050720217,20.63,3.31,6.164431095123291,6.342123031616211,7.74
2004-03-22,16.45,7.68,8.53,1.414,3.305947780609131,15.87,8.13556957244873,1.46,4402.96630859375,0.486,48.9,8.050882339477539,6.715,16.05,14.629538536071776,20.19,5.08,3.77,4.057684898376465,3.67813777923584,0.8919323682785034,2.7216899394989014,5.282216548919678,3.7693164348602295,3.140782833099365,3.93,5.242928981781006,94.15,3.34,30.23,26.71,22.57,20.89,30.73,45.58,13.584343910217283,19.91,3.22,5.9352641105651855,6.159582614898682,7.53
2004-03-23,15.58,7.69,8.69,1.408,3.1848244667053223,15.87,7.8574299812316895,1.46,4402.96630859375,0.473,48.11,7.922066211700439,6.571,15.3,14.570269584655762,20.69,5.0,3.64,3.930689811706543,3.5838255882263184,0.8811858892440796,2.6721866130828857,5.225660800933838,3.723793268203736,3.064570188522339,4.0,5.198045253753662,92.74,3.32,30.92,26.34,21.68,20.26,29.87,44.5,13.422627449035645,18.76,3.15,5.770394802093506,6.138848304748535,7.45
2004-03-24,15.75,7.81,8.72,1.367,3.1919496059417725,15.32,7.982593536376953,1.42,4385.06787109375,0.46,48.55,7.750316143035889,6.469,14.96,14.223162651062012,20.33,5.13,3.72,3.840862989425659,3.4895143508911133,0.865066409111023,2.616621255874634,5.253937721252441,3.71514344215393,3.061199188232422,3.9,5.21514368057251,91.9,3.32,30.61,26.28,21.4,19.65,28.68,42.9,13.584343910217283,18.6,3.14,5.671474933624268,6.033145904541016,7.35
2004-03-25,15.48,7.92,8.82,1.367,3.177699565887451,15.03,8.106596946716309,1.36,4407.44140625,0.46,48.55,7.685909271240234,6.392,14.51,14.47714138031006,21.0,5.17,3.77,3.86750054359436,3.503661870956421,0.8570076823234558,2.561156749725342,5.231317520141602,3.7374496459960938,3.064829111099243,3.88,5.328423500061035,91.31,3.32,31.0,27.39,21.1,19.63,27.99,43.74,13.296485900878906,19.35,3.15,5.828098773956299,5.89898681640625,7.13
2004-03-26,15.93,8.07,8.98,1.374,3.2346980571746826,15.08,8.112391471862793,1.41,4519.3046875,0.475,49.62,7.857660293579102,6.554,16.26,15.323758125305176,22.66,5.49,3.83,3.995734930038452,3.630980968475342,0.865066409111023,2.5913636684417725,5.248282432556152,3.76430869102478,3.235140562057495,4.02,5.499412059783936,93.94,3.35,31.59,28.62,21.03,20.09,28.54,44.07,12.943941116333008,20.21,3.18,6.157835960388184,6.224221706390381,7.46
2004-03-29,16.02,7.93,8.79,1.421,3.1919496059417725,14.88,8.22596549987793,1.43,4492.45751953125,0.473,49.52,7.857660293579102,6.579,15.83,15.17137050628662,22.77,5.26,3.73,4.057684898376465,3.701714038848877,0.8865591287612915,2.6721866130828857,5.234143257141113,3.76248836517334,3.1568539142608643,4.05,5.5336103439331055,97.17,3.34,31.23,29.08,21.29,19.76,28.47,46.09,13.260910987854004,20.42,3.35,6.240270137786865,6.346187114715576,7.66
2004-03-30,16.73,7.96,8.94,1.442,3.320196390151977,14.92,8.518012046813965,1.44,4389.54248046875,0.475,51.61,7.879128932952881,6.818,16.26,15.433820724487305,22.9,5.25,3.88,4.241613388061523,3.864323616027832,0.9161117672920228,2.756040334701538,5.29352617263794,3.789345979690552,3.1799261569976807,4.02,5.602004528045654,97.97,3.35,31.38,29.36,21.84,20.14,29.81,48.17,13.87220573425293,20.94,3.47,6.38040828704834,6.443758010864258,7.83
2004-03-31,17.36,8.06,9.01,1.414,3.3173484802246094,14.82,8.691850662231445,1.47,4514.830078125,0.483,52.32,7.900598526000977,6.596,16.32,15.120576858520508,23.14,5.25,3.83,4.204077243804932,3.897801637649536,0.8999923467636108,2.731790781021118,5.4942946434021,3.8922295570373535,3.284653186798096,4.05,5.668261528015137,97.97,3.36,31.61,29.98,21.54,19.76,29.22,47.01,13.454973220825195,21.73,3.72,6.512302875518799,6.484818935394287,7.83
2004-04-01,18.5,7.9,9.12,1.442,3.320196390151977,15.04,8.400959968566895,1.5,4617.7451171875,0.487,54.07,8.050882339477539,6.673,16.76,15.450757026672363,23.02,5.32,3.92,4.285406589508057,3.983886003494263,0.921484112739563,2.8186769485473637,5.446223258972168,3.880391836166382,3.433188915252685,4.07,5.723834991455078,103.21,3.37,32.09,29.66,23.01,20.94,30.74,46.84,13.681379318237305,22.47,3.75,6.611224174499512,6.503114700317383,7.91
2004-04-02,18.42,7.94,9.21,1.469,3.391446828842163,15.19,8.07762622833252,1.49,4546.15185546875,0.491,54.24,8.15822696685791,6.818,16.91,15.747068405151367,23.05,5.3,4.0,4.347968578338623,4.022146701812744,0.937603771686554,2.8642401695251465,5.5140886306762695,3.9377517700195312,3.4793312549591064,4.01,5.828564167022705,104.65,3.32,32.62,30.13,23.59,21.21,31.24,46.93,13.810747146606444,23.09,3.82,6.861824989318848,6.705166816711426,8.12
2004-04-05,18.58,7.81,9.19,1.456,3.435621500015259,15.71,8.01968002319336,1.49,4384.17333984375,0.491,55.38,8.040145874023438,6.783,17.43,15.450757026672363,22.76,5.3,4.11,4.388630390167236,4.0006256103515625,0.9349167346954346,2.8641393184661865,5.457534790039063,3.887220859527588,3.536879539489746,4.03,5.84138822555542,108.15,3.36,32.32,30.74,24.55,21.98,32.19,49.51,13.584343910217283,22.93,4.15,6.850283145904541,6.606377601623535,8.12
