Date,ABEV3,B3SA3,BBSE3,BRML3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,CCRO3,CMIG4,CIEL3,CSAN3,CVCB3,CYRE3,ECOR3,ELET3,ELET6,EMBR3,ENBR3,EGIE3,EQTL3,YDUQ3,FLRY3,GGBR4,GOAU4,GOLL4,HYPE3,IGTA3,ITSA4,ITUB4,JBSS3,KLBN11,COGN3,RENT3,LOGG3,LAME4,LREN3,MGLU3,MRFG3,MRVE3,MULT3,NATU3,PCAR4,PETR3,PETR4,VBBR3,QUAL3,RADL3,RAIL3,SBSP3,SANB11,CSNA3,SMLS3,SUZB3,TAEE11,VIVT4,TIMS3,UGPA3,USIM5,VALE3,VIIA3,WEGE3
2018-07-02,16.16261863708496,5.827304363250732,16.930267333984375,8.949492454528809,12.616533279418944,14.327,16.092788696289062,22.77022933959961,37.70630645751953,20.209999084472656,8.431506156921387,3.55068302154541,12.559423446655272,7.756197452545166,43.96138000488281,8.274077415466309,6.979535102844238,10.386235237121582,12.001,24.681760787963867,10.789548873901367,19.806978225708008,10.66947078704834,22.0388126373291,21.733400344848636,11.130118370056152,4.467741012573242,10.119999885559082,24.039718627929688,30.067,7.137773513793945,23.219860076904297,7.84716272354126,16.752426147460938,9.442191123962402,20.99385452270508,,6.612,24.27157020568848,3.792175531387329,6.111706733703613,8.56144905090332,16.819120407104492,15.13,76.61,10.399346351623535,8.816164016723633,13.311314582824709,15.274103164672852,13.062310218811035,13.844855308532717,21.29501342773437,22.62166786193848,6.049029350280762,38.156,42.47472381591797,12.140893936157228,37.963,11.211023330688477,21.04080390930176,6.170705795288086,34.49045944213867,5.840000152587891,7.369317531585693
2018-07-03,16.118070602416992,5.897887229919434,17.082914352416992,9.041281700134276,12.935195922851562,14.983,15.912796974182127,22.971664428710938,37.23350143432617,20.420000076293945,8.569869041442871,3.5554559230804443,12.42762851715088,7.856521129608154,43.73492431640625,8.495431900024414,7.181980133056641,10.656625747680664,12.555,25.93981170654297,10.995213508605955,19.94573402404785,10.596516609191896,22.615280151367188,22.40121078491211,11.4259614944458,4.647313117980957,10.199999809265137,23.88616371154785,30.194,7.376211166381836,23.76654624938965,7.855609893798828,16.692537307739258,10.344682693481444,21.293514251708984,,6.686,25.108518600463867,3.7649660110473633,6.141629219055176,8.92713737487793,16.922510147094727,14.96,78.07,10.436334609985352,8.831303596496582,13.413934707641602,15.720620155334473,13.492193222045898,13.675041198730469,21.3682861328125,22.86273765563965,6.080129623413086,38.343,42.865272521972656,12.256891250610352,38.113,11.16806697845459,21.031658172607425,6.614518165588379,33.92457580566406,5.739999771118164,7.529316902160644
2018-07-04,16.12697982788086,5.968469142913818,17.069040298461914,9.18814468383789,13.202814102172852,15.188,15.974664688110352,23.630207061767575,36.64249038696289,20.700000762939453,8.656346321105957,3.627041578292847,12.404367446899414,7.930092811584473,43.3706283569336,8.74731731414795,7.2301812171936035,12.573229789733888,14.64,26.90831184387207,11.082226753234863,20.1480770111084,10.922985076904297,22.91681480407715,22.60409164428711,11.657840728759766,4.719141960144043,10.5,24.062705993652344,31.059,7.445437431335449,24.152101516723636,8.142804145812988,16.71820831298828,10.12148666381836,21.38431739807129,,6.747,24.98297500610352,3.759524345397949,6.463298797607422,9.034693717956545,17.31174087524414,14.93,78.78,10.943620681762695,8.886815071105957,13.37728500366211,16.007061004638672,13.453641891479492,13.685029983520508,21.69801521301269,23.3759822845459,6.243405818939209,38.156,43.54158401489258,12.714427947998049,38.17,11.30552101135254,20.94021797180176,7.015657424926758,33.97409439086914,5.71999979019165,7.48225736618042
2018-07-05,16.39427947998047,5.931766986846924,17.01352882385254,9.197324752807615,13.118852615356444,15.16,16.464031219482422,23.08012580871582,36.54645156860352,21.450000762939453,8.682290077209473,3.6604483127594,12.404367446899414,7.896650791168213,42.701114654541016,8.71678638458252,7.663991928100586,11.491661071777344,13.738,23.064266204833984,10.85283088684082,19.980417251586918,10.82996940612793,22.70396614074707,22.46038818359375,12.121596336364746,4.913078784942627,10.609999656677246,23.93379783630371,30.862,7.460819721221924,23.996726989746094,8.06678295135498,16.735319137573242,10.18941593170166,21.066505432128903,,6.78,25.024826049804688,3.6280088424682617,6.418413639068604,9.063374519348145,17.22964096069336,14.72,78.25,10.615999221801758,9.012975692749023,13.194034576416016,15.956513404846191,13.16640567779541,13.56516170501709,21.707176208496094,23.03248405456543,6.087904453277588,37.165,44.57036209106445,12.682209014892578,37.963,11.25397777557373,20.926502227783203,6.904703140258789,35.155372619628906,5.579999923706055,7.519904613494873
2018-07-06,16.118070602416992,6.14069128036499,17.069040298461914,9.33500862121582,13.218557357788086,15.202,16.689027786254883,22.82445526123047,36.47996520996094,22.799999237060547,8.690937042236328,3.6890828609466553,12.373357772827148,8.072774887084961,40.85011291503906,8.846546173095703,7.56758975982666,11.55528163909912,13.772,22.63493156433105,10.91611099243164,19.812759399414062,10.808083534240724,23.484413146972656,22.925315856933597,12.409443855285645,5.035187721252441,11.119999885559082,24.526775360107425,30.794,7.476203918457031,24.215410232543945,7.8893961906433105,16.87221336364746,10.878414154052734,20.721445083618164,,6.833,25.024826049804688,3.679405689239502,6.2313971519470215,9.070545196533203,17.028940200805664,14.87,77.61,10.6846923828125,9.053348541259766,13.6484956741333,16.672618865966797,12.987128257751465,13.675041198730469,22.25672149658203,23.29048728942871,6.1967549324035645,38.772,43.474910736083984,12.720873832702637,37.691,11.35706615447998,21.333419799804688,6.862030029296875,35.60807800292969,5.480000019073486,7.689315795898437
2018-07-10,16.207168579101562,6.315735816955566,17.207809448242188,9.33500862121582,13.00865650177002,15.003,16.452781677246094,22.630767822265625,38.88093948364258,23.06999969482422,8.837947845458984,3.722490310668945,13.032339096069336,8.257819175720215,39.53077697753906,8.777850151062012,7.808596134185791,11.237174987792969,13.542,22.52510070800781,11.01103401184082,19.88791847229004,10.764310836791992,23.19174575805664,23.15355491638184,12.193557739257812,4.977723598480225,11.029999732971191,24.062705993652344,30.961,7.491588592529297,24.278705596923828,8.31174087524414,16.62409210205078,10.859006881713867,21.248109817504883,,6.874,25.52699279785156,3.569053649902344,6.238877773284912,9.056204795837402,16.87689781188965,15.0,74.75,10.668842315673828,8.957467079162598,14.183588027954102,16.765289306640625,13.098936080932615,13.984703063964844,21.73465156555176,23.19666290283203,6.1967549324035645,38.062,41.25544357299805,12.759539604187012,37.822,11.27974796295166,20.84420394897461,6.725471019744873,35.035118103027344,5.349999904632568,7.999898433685303
2018-07-11,15.95768928527832,6.318559169769287,17.152301788330078,9.399261474609377,12.966680526733398,14.942,16.143415451049805,23.08012580871582,39.65663528442383,22.81999969482422,8.837947845458984,3.63181471824646,12.78425407409668,8.15080738067627,39.58000564575195,8.739684104919434,7.760395050048828,11.483708381652832,13.831,21.54661750793457,10.85283088684082,20.13651657104492,10.760663032531738,23.17400550842285,23.373340606689453,11.905710220336914,4.869982719421387,10.670000076293944,24.01114654541016,30.479,7.514661312103271,24.37653923034668,8.016100883483887,16.701091766357422,10.7813720703125,20.40363311767578,,6.772,25.024826049804688,3.462027072906494,6.149110317230225,9.013182640075684,16.88602066040039,14.72,73.47,10.57901096343994,8.785882949829102,14.2642183303833,16.807411193847656,13.472915649414062,14.044637680053713,21.661378860473636,23.29048728942871,5.885752201080322,37.134,42.75096130371094,12.546878814697266,37.682,11.25397777557373,20.803054809570312,6.426750659942627,34.56119155883789,5.650000095367432,7.910486698150635
2018-07-12,16.251718521118164,6.510545253753662,17.346586227416992,9.546124458312988,13.276285171508787,15.386,16.677776336669922,23.5217399597168,38.80705642700195,23.149999618530277,9.0281982421875,3.669993162155152,12.714475631713867,8.480762481689453,40.800880432128906,9.113697052001951,8.011041641235352,11.610950469970703,13.695,21.62649345397949,10.97148323059082,20.442930221557617,10.57280731201172,23.19174575805664,23.331073760986328,12.55336856842041,5.150113582611084,11.09000015258789,23.37520217895508,31.029,7.622345924377441,24.8369140625,8.04144287109375,16.726760864257812,10.80078125,20.77593040466309,,6.932,25.08341407775879,3.7298951148986816,6.119186878204346,9.21395206451416,17.238759994506836,14.86,74.87,10.885492324829102,9.058392524719238,14.682031631469728,16.571521759033203,13.706171989440918,14.663959503173828,21.81708335876465,24.60394287109375,6.227856636047363,36.588,42.06512069702149,12.475994110107422,37.485,11.485929489135742,20.72990226745605,7.024190902709961,35.68588638305664,5.590000152587891,8.023427963256836
2018-07-13,16.42991828918457,6.725115776062012,17.47842025756836,9.656271934509276,13.51241970062256,15.687,16.61590576171875,24.118305206298828,38.93265151977539,22.780000686645508,8.993606567382812,3.760669469833374,13.102115631103516,8.52980899810791,42.58296585083008,9.067899703979492,7.904998302459717,11.64276123046875,13.61,20.628042221069336,10.9873046875,20.974817276000977,10.395894050598145,23.93671989440918,23.415605545043945,12.401446342468262,5.13574743270874,11.210000038146973,23.211923599243164,32.209,7.791558742523193,25.469919204711918,7.94007682800293,16.87221336364746,10.888118743896484,21.547765731811523,,7.137,25.66927719116211,3.798525810241699,6.021938800811768,9.41472339630127,17.980735778808594,14.88,77.07,10.87492561340332,9.139137268066406,14.806641578674316,16.419872283935547,14.409793853759766,14.673948287963867,21.917835235595703,24.627397537231445,6.235631465911865,37.758,42.14132690429688,12.611320495605469,37.334,11.5718355178833,19.628026962280277,7.101004600524902,35.586856842041016,5.800000190734863,8.070487022399902
2018-07-16,16.88432502746582,6.634769916534424,17.762903213500977,9.454336166381836,13.617372512817385,15.762,16.649654388427734,23.854887008666992,39.00652313232422,22.600000381469727,9.0022554397583,3.746352434158325,13.722335815429688,8.28457260131836,44.19767379760742,8.869443893432617,8.020681381225586,11.817721366882324,13.942,20.96751594543457,10.924022674560549,20.93434715270996,10.42325210571289,23.768213272094727,23.67765998840332,12.577353477478027,5.171661376953125,12.510000228881836,23.753332138061523,31.707,7.837705135345459,25.37784576416016,8.151249885559082,17.08610725402832,10.965752601623535,21.23903465270996,,7.096,25.1838436126709,3.862015724182129,5.917209148406982,9.550962448120115,17.567174911499023,14.65,75.54,10.769242286682127,9.023070335388184,15.048528671264648,16.234529495239258,14.496543884277344,14.983610153198242,22.20176696777344,24.619577407836918,6.1812052726745605,39.248,42.2080078125,12.88197898864746,37.494,11.460156440734863,19.266828536987305,7.10953950881958,35.36758041381836,5.639999866485596,8.206954956054688
