Date,ABEV3,BBSE3,B3SA3,BRML3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,CCRO3,CMIG4,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,ECOR3,ELET3,ELET6,EMBR3,ENBR3,EGIE3,EQTL3,YDUQ3,FIBR3,FLRY3,GGBR4,GOAU4,HYPE3,IGTA3,ITSA4,ITUB4,JBSS3,KLBN11,COGN3,RENT3,LAME4,LREN3,MGLU3,MRVE3,MULT3,NATU3,PCAR4,PETR3,PETR4,QUAL3,RADL3,RAIL3,SBSP3,SAPR11,SANB11,CSNA3,SMLS3,SUZB3,TAEE11,VIVT4,TIMS3,UGPA3,USIM5,VALE3,VVAR11,WEGE3
2017-06-30,15.884034156799316,18.674884796142575,5.401224136352539,10.968864440917969,12.590635299682615,13.335,10.812999725341797,20.033653259277344,23.54889869689941,39.20000076293945,14.218358993530272,3.516965627670288,18.231157302856445,1.638,7.494202136993408,18.252328872680664,8.04141902923584,9.42625617980957,9.901119232177734,13.414,14.933469772338867,10.329859733581545,18.013883590698242,9.712298393249512,12.847168922424316,31.29323387145996,21.902305603027344,8.128138542175293,3.537015914916992,22.97594451904297,31.039,5.842512607574463,19.93678855895996,5.486334323883057,13.438289642333984,14.01291847229004,13.461136817932127,5.655,22.64517974853516,0.9590978026390076,9.177001953125,19.491838455200195,12.52,63.43,6.963202953338623,6.230009078979492,22.688854217529297,13.405313491821287,8.640547752380371,28.1613826751709,,18.434301376342773,5.582521915435791,,18.77789878845215,12.928264617919922,35.917,8.274001121520996,35.053096771240234,3.908900022506714,20.068405151367188,10.82877254486084,6.2829413414001465
2017-07-03,15.858012199401855,18.32941436767578,5.431307315826416,11.023938179016112,12.715728759765623,13.445,11.070201873779297,20.31023597717285,23.48004150390625,39.369998931884766,14.201532363891602,3.560492038726806,18.17928123474121,1.649,7.411847591400146,18.25921440124512,7.990059852600098,9.344287872314451,10.020408630371094,13.448,15.00256061553955,10.344417572021484,18.226316452026367,9.785794258117676,12.864744186401367,30.77491950988769,21.452816009521484,8.223020553588867,3.64376711845398,23.19083404541016,30.813,5.842512607574463,20.1240348815918,5.654368877410889,13.73636531829834,14.078882217407228,13.625118255615234,5.61,22.785776138305664,0.9740837216377258,9.054821968078612,19.569425582885746,12.26,61.99,7.005403518676758,6.224973201751709,23.566368103027344,13.42251968383789,8.6904935836792,28.34817695617676,,18.82511329650879,5.668048858642578,,18.77789878845215,13.069042205810549,36.293,8.383871078491211,35.07571792602539,3.9938771724700928,20.518213272094727,10.749149322509766,6.393567085266113
2017-07-04,15.823311805725098,18.244678497314453,5.42583703994751,11.042295455932615,12.705272674560549,13.465,11.117443084716797,20.414892196655277,23.65218162536621,39.15999984741211,14.218358993530272,3.547434568405152,18.05328941345215,1.648,7.457358360290527,18.21790313720703,7.990059852600098,9.499114990234377,10.060173988342283,13.287,15.06178092956543,10.286181449890137,18.18914222717285,9.805511474609377,13.102004051208496,,21.044191360473636,8.191394805908203,3.601066827774048,23.265214920043945,31.501,5.836034774780273,20.042621612548828,5.553547859191895,13.752924919128418,14.13542366027832,13.54163646697998,5.598,22.64517974853516,0.9740837216377258,9.136275291442873,19.68878746032715,12.22,61.94,7.026504993438721,6.260227203369141,23.48731231689453,13.47988510131836,8.740439414978027,28.330385208129883,,18.75874710083008,5.60584831237793,,18.77789878845215,13.274344444274902,36.321,8.341609954833984,34.994319915771484,3.968383550643921,20.497453689575195,,6.4185004234313965
2017-07-05,15.805959701538086,17.964393615722656,5.420367240905762,11.060654640197754,12.732832908630373,13.465,10.896984100341797,20.31023597717285,23.64529609680176,39.08000183105469,14.18470573425293,3.621429681777954,18.001419067382812,1.641,7.348997116088867,18.231674194335938,8.026745796203613,9.471792221069336,10.839539527893066,14.163,15.496065139770508,10.395376205444336,18.040441513061523,9.823439598083496,13.181089401245115,30.74715232849121,21.559053421020508,8.373250007629395,3.6508846282958975,23.41397857666016,31.501,5.89432954788208,20.096900939941406,5.427521705627441,13.744646072387695,14.13542366027832,13.625118255615234,5.647,22.976003646850582,0.9740837216377258,9.075183868408203,19.69475555419922,12.43,62.34,6.889350414276123,6.149428367614746,24.0565128326416,13.500914573669434,8.940220832824707,28.374860763549805,,18.817739486694336,5.489222049713135,,18.77789878845215,13.02211856842041,36.368,8.510641098022461,35.17518615722656,4.027866840362549,20.019962310791016,11.167171478271484,6.450558662414551
2017-07-06,15.424260139465332,17.827505111694336,5.332854747772217,10.77610683441162,12.480198860168455,13.267,10.99671745300293,20.175682067871094,23.27346992492676,37.86000061035156,14.033267974853516,3.7215416431427,17.89765739440918,1.696,7.303486347198486,18.19036293029785,7.9460368156433105,9.517329216003418,12.589134216308594,15.644,15.249312400817873,10.300739288330078,18.098857879638672,9.801926612854004,12.943830490112305,30.3121395111084,21.657129287719727,8.483942031860352,3.7505178451538086,22.851980209350582,30.843,5.81660270690918,19.814678192138672,5.293094635009766,13.45485019683838,13.899835586547852,13.538656234741213,5.557,22.66999244689941,0.9718354940414428,8.864767074584961,19.276987075805664,12.37,61.82,6.820773601531982,6.129282474517822,23.724477767944336,13.319270133972168,8.900263786315918,28.196962356567383,,18.51541519165039,5.489222049713135,,18.77789878845215,12.728826522827148,35.476,8.324708938598633,34.713966369628906,4.112842559814453,20.01304244995117,11.216936111450195,6.311645030975342
2017-07-07,15.632461547851562,17.853580474853516,5.280892848968506,10.968864440917969,12.53072738647461,13.281,10.938976287841797,19.906570434570312,23.10821914672852,37.41999816894531,14.058505058288574,3.621429681777954,17.92730140686035,1.67,7.195125579833984,18.204137802124023,7.887340545654297,9.681264877319336,12.644804000854492,15.44,15.259182929992676,10.526410102844238,18.263490676879883,9.789380073547363,13.181089401245115,29.460622787475582,21.99220085144043,8.507664680480957,3.729167222976685,23.19083404541016,30.41,5.810125350952148,19.62472343444824,5.326700687408447,13.123651504516602,13.899835586547852,13.654949188232422,5.791,22.727882385253903,1.069581151008606,8.932642936706543,19.247148513793945,12.07,62.04,6.688895225524902,6.008409023284912,23.79562759399414,13.221755981445312,8.790384292602539,28.01906394958496,,18.721879959106445,5.590298652648926,,18.77789878845215,12.97518825531006,35.363,8.400774955749512,34.6370964050293,4.121341228485107,19.992280960083008,11.58519458770752,6.397130012512207
2017-07-10,15.884034156799316,18.02305603027344,5.324649810791016,11.097368240356444,12.723652839660645,13.438,11.19618034362793,20.115880966186523,23.748580932617188,37.33000183105469,14.218358993530272,3.7084827423095694,17.99400520324707,1.737,7.227633953094482,18.307409286499023,7.924026012420654,9.854307174682615,12.127878189086914,14.81,15.496065139770508,10.519129753112791,18.481225967407227,9.823439598083496,13.400774955749512,30.18256187438965,22.35179328918457,8.713236808776855,3.7718684673309326,23.108184814453125,31.0,5.861942291259766,19.78211975097656,5.427521705627441,13.289251327514648,14.069461822509766,13.729775428771973,5.889,23.075258255004883,1.1157751083374023,8.966582298278809,19.69475555419922,12.35,63.88,6.699445724487305,6.033590793609619,24.27786445617676,13.38428020477295,8.800374031066895,28.73065948486328,,18.913593292236328,5.652498245239258,,18.77789878845215,13.467915534973145,36.039,8.468385696411133,34.43360900878906,4.1808247566223145,20.55973625183105,12.14255714416504,6.560976028442383
2017-07-11,16.06621551513672,18.16645812988281,5.387549877166748,11.336024284362791,12.898197174072266,13.671,11.290660858154297,20.96058654785156,23.80366325378418,37.380001068115234,14.302491188049316,3.76506781578064,18.09034538269043,1.725,7.257975101470947,18.37626075744629,8.085442543029785,9.836091995239258,11.70638370513916,14.453,15.713208198547363,10.453614234924316,18.513093948364254,9.93099308013916,13.37441349029541,30.219581604003903,22.55610466003418,8.657892227172852,3.757634878158569,23.661914825439453,30.666,5.94614839553833,20.080610275268555,5.519941329956055,13.603887557983398,14.022342681884766,14.008143424987791,6.008,23.28201675415039,1.1388901472091677,8.939431190490723,19.718626022338867,12.09,64.67,6.894625186920166,6.209863662719727,24.23043441772461,13.237053871154783,8.970187187194824,28.775131225585938,,19.30440139770508,6.017928600311279,,18.77789878845215,13.444453239440918,36.03,8.569803237915039,34.763702392578125,4.248805522918701,20.788101196289062,12.212227821350098,6.639336109161377
2017-07-12,16.178985595703125,18.492374420166016,5.507881164550781,11.79497241973877,13.463187217712402,14.026,11.353650093078612,21.55860137939453,24.161718368530277,38.220001220703125,14.521235466003418,3.839064121246338,18.453487396240234,1.75,7.476862907409668,18.396915435791016,8.29088020324707,10.127531051635742,12.080161094665527,15.006,15.348013877868652,10.628324508666992,18.624616622924805,10.038549423217772,13.629246711730955,29.599454879760746,23.23442268371582,8.713236808776855,3.892852306365967,23.96772003173828,31.776,5.959103584289551,20.29769325256348,5.545145988464356,13.372050285339355,14.154273986816406,14.250592231750488,6.164,23.94367218017578,1.1801390647888184,9.081974983215332,20.16027069091797,12.15,64.9,7.16365909576416,6.517083168029785,24.98145866394043,13.346039772033691,9.050101280212402,29.15761375427246,,19.82793617248535,6.1578803062438965,,18.77789878845215,13.462054252624512,36.124,8.510641098022461,35.06666564941406,4.308288097381592,20.69121360778809,12.490909576416016,6.72126054763794
2017-07-13,16.205013275146484,18.870433807373047,5.592659950256348,11.91429615020752,13.614760398864746,14.156,11.122693061828612,21.75295639038086,24.444026947021484,38.540000915527344,14.97554874420166,3.8347110748291016,18.86110115051269,1.737,7.661075592041016,18.410688400268555,8.334900856018066,10.20949935913086,12.167640686035156,15.21,15.367753028869627,10.744799613952637,18.58213424682617,10.069024085998535,13.708333015441896,30.54352760314941,23.700254440307617,8.634172439575195,3.87150239944458,24.22391891479492,32.336,5.978534698486328,20.351970672607425,6.066053867340088,13.330650329589844,14.371016502380373,14.81929874420166,6.136,24.431650161743164,1.1314351558685305,9.09554958343506,20.70635223388672,12.15,66.12,7.147833347320557,6.481829643249512,24.52293968200684,13.46458625793457,9.439674377441406,29.655733108520508,,19.82793617248535,6.010153293609619,,18.77789878845215,13.679088592529297,36.471,8.502189636230469,35.30632400512695,4.2657999992370605,20.192968368530277,12.043027877807615,6.838801860809326
