,ACES4,AMBV4,ARCZ6,BBDC4,BRAP4,BBAS3,BRTP4,BRKM5,CMET4,CCRO3,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,GOAU4,ITSA4,ITUB4,PCAR4,PRGA4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,UBBR11,USIM5,VALE3,VALE5
2004-12-22,34.7,10.26,8.57,2.057,4.255166053771973,4.616928577423096,15.02,15.089048385620115,2.32,1.9507265090942385,5861.671875,0.513,44.84,8.093819618225098,7.269,15.6,12.783912658691406,21.44,4.43,2.4,6.026991367340088,6.896553993225098,1.23043692111969,4.025960445404053,52.56,58.08,5.932596206665039,4.3383564949035645,3.4793312549591064,5.77,4.258463382720947,147.08,4.14,34.11,21.88,27.87,23.05,39.84,31.09,13.422627449035645,15.91,3.47,7.85,8.705052375793457,9.122899055480955,10.69
2004-12-23,33.96,10.26,8.74,2.084,4.269558429718018,4.634029388427734,15.02,15.181763648986816,2.32,1.9242461919784544,5861.671875,0.516,45.06,8.07449722290039,7.184,15.64,13.478134155273438,22.25,4.34,2.42,6.020538330078125,6.990347862243652,1.2438695430755615,4.101730823516846,52.49,58.08,6.011772632598877,4.399811267852783,3.571614980697632,5.74,4.272998332977295,149.93,4.18,34.71,22.25,27.98,23.18,39.53,30.08,13.746064186096191,16.01,3.5,7.92,8.6193208694458,9.14729118347168,10.85
2004-12-27,33.9,10.23,8.63,2.077,4.269558429718018,4.666800498962402,15.12,15.297652244567873,2.34,1.9772069454193115,5951.1630859375,0.514,45.41,7.997208595275879,7.107,16.06,13.655922889709473,22.81,4.15,2.41,6.00117826461792,7.062070369720459,1.23043692111969,4.041114807128906,53.08,60.21,5.994804859161377,4.404819488525391,3.5832810401916504,5.81,4.2747087478637695,156.15,4.12,34.51,22.49,29.02,23.39,39.9,29.33,14.0177583694458,15.59,3.46,8.01,8.736379623413086,9.144853591918944,10.81
2004-12-28,33.65,10.42,8.78,2.084,4.221584796905518,4.702425956726074,15.32,15.703271865844728,2.38,2.017810583114624,5835.720703125,0.518,45.49,7.922066211700439,7.03,16.44,13.48660373687744,22.71,4.11,2.35,6.045058250427246,7.236417293548584,1.257301688194275,4.081526756286621,53.04,60.98,6.037222385406494,4.411193370819092,3.6302006244659424,5.89,4.336263179779053,159.5,4.11,34.51,22.89,29.34,23.43,40.05,30.0,14.554656982421877,15.87,3.5,8.12,8.861677169799805,9.391218185424805,11.03
2004-12-29,33.95,10.45,8.78,2.071,4.226382255554199,4.708126544952393,15.32,15.622147560119627,2.4,2.040759801864624,5799.02880859375,0.522,46.46,8.040145874023438,7.149,16.84,13.376542091369627,22.51,3.92,2.41,6.149595260620117,7.33131217956543,1.2546155452728271,4.061317920684815,53.08,60.98,6.090947151184082,4.45580530166626,3.6302006244659424,5.86,4.328568458557129,157.51,4.1,34.91,22.29,29.32,23.34,38.84,29.82,14.396175384521484,15.64,3.47,8.1,8.944113731384277,9.281452178955078,11.09
2004-12-30,35.08,10.35,8.82,2.037,4.197598934173584,4.631178379058838,15.02,15.529438018798828,2.42,2.051352024078369,5807.97802734375,0.52,46.82,8.265570640563965,7.396,16.26,13.376542091369627,22.66,3.92,2.52,6.130237102508545,7.437243938446045,1.2358099222183228,4.031010627746582,54.88,62.29,6.023084163665772,4.422574520111084,3.628127336502075,5.94,4.34224796295166,157.98,4.09,35.15,22.72,29.37,23.2,39.34,30.42,15.039804458618164,16.22,3.5,8.49,8.894652366638184,9.208271980285645,11.09
2005-01-03,34.05,10.72,8.61,2.112,4.053680896759033,4.702425956726074,15.15,15.500676155090332,2.42,2.1067843437194824,5660.31787109375,0.512,48.62,7.900598526000977,7.03,15.83,13.461204528808594,22.57,3.65,2.37,5.981822490692139,7.2827606201171875,1.2519288063049316,4.12203311920166,54.25,63.14,5.7968621253967285,4.288281440734863,3.444854497909546,6.05,4.163565635681152,152.99,4.09,33.92,22.96,28.68,22.55,38.43,30.08,14.04686164855957,16.05,3.54,8.32,8.540185928344727,9.128997802734377,10.84
2005-01-04,33.25,10.55,8.56,2.037,3.885777711868286,4.588426113128662,14.46,14.602460861206056,2.23,2.0831291675567627,5548.45361328125,0.478,46.05,7.5785627365112305,6.724,15.19,13.122557640075684,21.95,3.83,2.25,5.758552074432373,7.183451652526856,1.2519288063049316,4.071424007415772,51.92,63.05,5.783289432525635,4.237294673919678,3.433188915252685,6.0,4.001127243041992,143.04,4.04,32.74,22.8,27.1,21.56,37.17,28.32,14.299139022827148,15.08,3.32,8.32,8.195611953735352,8.757007598876953,10.5
2005-01-05,33.04,10.5,8.29,1.988,3.9577362537384033,4.5171799659729,14.56,14.581242561340332,2.2,2.0132203102111816,5413.32177734375,0.476,45.4,7.299465179443359,6.52,14.95,12.597655296325684,21.28,3.7,2.33,5.677242755889893,7.062070369720459,1.2358099222183228,4.031010627746582,52.33,63.26,5.745963096618652,4.220907211303711,3.5140676498413086,6.02,3.9412808418273926,142.05,4.09,32.55,22.7,27.32,21.59,36.69,27.82,14.166536331176758,15.23,3.25,8.13,8.210450172424316,8.696024894714355,10.35
2005-01-06,32.51,10.49,8.22,1.934,3.928952932357788,4.460177898406982,14.41,14.180466651916504,2.22,2.017810583114624,5235.23388671875,0.472,44.3,7.086922645568848,6.358,14.28,12.529924392700195,21.13,3.41,2.3,5.581743717193604,6.866757869720459,1.2250635623931885,3.980499029159546,51.51,62.49,5.802518367767334,4.2336530685424805,3.444854497909546,6.05,3.90708327293396,139.92,4.09,32.07,21.88,27.1,21.34,35.59,27.32,14.037158012390137,15.06,3.2,7.97,7.996119499206543,8.659435272216797,10.35
2005-01-07,32.76,10.42,8.18,1.955,4.077667713165283,4.417430877685547,14.66,14.298341751098633,2.39,2.081363677978516,5458.06787109375,0.475,47.88,7.32308292388916,6.579,14.61,12.512996673583984,20.87,3.38,2.37,5.665630340576172,6.897656440734863,1.2277504205703735,3.9754462242126474,51.21,62.4,5.827969074249268,4.252316951751709,3.4585931301116943,5.99,3.966073989868164,143.34,4.07,31.9,21.77,27.14,21.6,36.23,27.57,14.231224060058594,15.34,3.32,7.95,7.963144302368164,8.891166687011719,10.75
2005-01-10,32.38,10.28,8.0,1.968,4.0632758140563965,4.303431510925293,14.07,13.791475296020508,2.4,1.9842685461044312,5334.56787109375,0.472,45.86,7.194266319274902,6.494,14.14,12.402932167053224,20.77,3.11,2.19,5.614007472991943,6.786206245422363,1.203571319580078,4.000601291656494,50.28,62.4,5.808173656463623,4.1972336769104,3.352569341659546,5.86,4.026774883270264,139.72,3.98,31.83,21.33,27.09,20.85,35.82,27.06,13.587574005126951,14.9,3.17,7.9,7.979629993438721,8.81799030303955,10.65
2005-01-11,32.75,10.16,8.05,1.941,3.969729661941528,4.317681312561035,14.1,14.039010047912598,2.41,1.9772069454193115,5244.18310546875,0.477,45.68,7.359578609466553,6.341,14.51,12.38600254058838,21.06,2.92,2.21,5.57787036895752,6.711175918579102,1.2089447975158691,3.947157859802246,49.78,62.59,5.844934463500977,4.242756843566895,3.444854497909546,5.73,4.090895175933838,139.3,3.93,32.97,21.71,26.73,20.79,35.05,27.99,13.296485900878906,14.93,3.18,7.77,8.126364707946777,8.769203186035156,10.69
2005-01-12,33.65,10.19,7.98,1.893,4.048884391784668,4.346183300018311,13.99,14.413857460021973,2.4,1.9948608875274656,5155.58740234375,0.48,46.32,7.342403888702393,6.341,14.93,12.597655296325684,20.77,2.79,2.23,5.512051582336426,6.840276718139648,1.1955116987228394,3.88957142829895,49.45,62.68,5.829666614532471,4.219995975494385,3.4375953674316406,5.78,4.146466255187988,142.34,3.93,32.11,22.16,27.0,21.04,35.54,28.98,13.90455150604248,15.19,3.2,7.66,8.342339515686035,8.71798038482666,10.73
2005-01-13,34.63,10.13,8.08,1.927,4.1496262550354,4.340480804443359,13.88,14.439793586730955,2.52,1.9948608875274656,5190.48779296875,0.495,46.95,7.286583423614502,6.341,15.19,12.529924392700195,20.72,2.67,2.21,5.6643385887146,6.995863437652588,1.2143175601959229,4.000703811645508,49.45,62.17,5.921284198760986,4.261420726776123,3.4793312549591064,5.78,4.317454814910889,144.96,3.93,31.83,23.08,26.8,21.02,35.82,29.58,13.907782554626465,14.96,3.18,7.79,8.828704833984375,9.146071434020996,11.22
2005-01-14,35.01,10.35,8.12,1.914,4.312732219696045,4.417430877685547,13.82,14.475154876708984,2.59,2.008983373641968,5235.23388671875,0.501,47.7,7.202855587005615,6.111,15.43,12.699249267578123,20.73,2.59,2.11,5.807592868804932,7.006898880004883,1.203571319580078,4.021008968353272,49.55,60.64,5.950690269470215,4.283728122711182,3.4562599658966064,5.54,4.471343517303467,144.86,3.91,31.68,22.49,27.8,21.02,36.18,29.24,13.357938766479492,14.9,3.17,7.62,8.952354431152344,9.574169158935549,11.59
2005-01-17,34.5,10.35,7.98,1.914,4.264760494232178,4.403181076049805,13.12,14.497552871704102,2.54,1.991329789161682,5305.93115234375,0.494,46.12,7.123417854309082,6.001,15.33,12.191279411315918,20.01,2.44,2.0,5.652724266052246,6.775172233581543,1.1928259134292605,3.960292100906372,49.38,59.99,5.887351512908936,4.256412982940674,3.375640869140625,5.44,4.471343517303467,144.86,3.82,31.35,21.66,27.0,20.25,36.04,28.57,13.102426528930664,14.61,2.97,7.8,8.902894973754883,9.45220184326172,11.54
2005-01-18,33.47,9.96,7.9,1.975,4.22686243057251,4.438805103302002,13.3,14.003654479980469,2.52,1.966968059539795,5056.251953125,0.48,44.16,6.8700852394104,5.856,15.04,12.487593650817873,20.94,2.44,1.9,5.472043991088867,6.620691299438477,1.1901386976242063,3.960292100906372,49.45,59.45,5.883391857147217,4.210890769958496,3.318610429763794,5.31,4.317454814910889,144.86,3.78,30.1,21.91,25.96,19.94,34.37,28.23,13.034504890441896,14.69,2.81,7.9,8.721539497375488,9.537575721740724,11.47
