Date,ABEV3,B3SA3,BBSE3,BRML3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,CCRO3,CMIG4,CIEL3,CPLE6,CSAN3,CPFE3,CVCB3,CYRE3,ECOR3,ELET3,ELET6,EMBR3,ENBR3,EGIE3,EQTL3,YDUQ3,FIBR3,FLRY3,GGBR4,GOAU4,GOLL4,HYPE3,IGTA3,ITSA4,ITUB4,JBSS3,KLBN11,COGN3,RENT3,LAME4,LREN3,MGLU3,MRFG3,MRVE3,MULT3,NATU3,PCAR4,PETR3,PETR4,QUAL3,RADL3,RAIL3,SBSP3,SAPR11,SANB11,CSNA3,SMLS3,SUZB3,TAEE11,VIVT4,TIMS3,UGPA3,USIM5,VALE3,VVAR11,WEGE3
2017-10-31,18.13087654113769,6.548127174377441,18.637699127197266,11.63892936706543,15.081253051757812,16.548,12.59766960144043,25.975116729736328,36.05322647094727,44.25,15.674884796142578,3.4709270000457764,16.852384567260742,1.67,8.105353355407715,18.933950424194336,42.2421760559082,9.391438484191896,11.111141204833984,17.53571891784668,20.717,15.499859809875488,10.482732772827148,19.80841064453125,10.93484878540039,25.773426055908203,48.443885803222656,23.753719329833984,8.673589706420898,3.636651277542114,13.850000381469728,28.265378952026367,36.276,6.852822780609131,23.07734680175781,6.334909915924072,15.775623321533203,17.07475471496582,17.37470817565918,7.096,28.570207595825195,1.910702109336853,4.810069561004639,8.586469650268555,21.43118667602539,15.09,74.18,9.189319610595703,8.446019172668457,27.93887710571289,14.985610961914062,12.68612289428711,26.50692176818848,,21.302003860473636,6.554410457611084,59.062,18.77789878845215,12.132406234741213,40.563,10.2516450881958,35.508548736572266,7.48639440536499,22.213647842407227,22.46372985839844,7.621306896209717
2017-11-01,17.992076873779297,6.542647838592529,18.429344177246094,11.822509765625,14.67639446258545,16.042,12.728894233703612,25.64326286315918,34.813812255859375,43.560001373291016,15.433735847473145,3.327239990234375,17.341848373413086,1.649,8.018664360046387,18.940837860107425,42.77997970581055,9.384102821350098,11.083819389343262,16.501867294311523,19.458,15.321813583374023,10.672002792358398,19.70881462097168,11.060331344604492,25.36042022705078,48.93443298339844,23.860645294189453,8.451799392700195,3.522782325744629,13.859999656677246,28.711673736572266,36.316,6.800511360168457,22.690296173095703,6.250892639160156,15.859094619750977,16.941877365112305,17.317663192749023,6.899,28.470775604248047,2.007810592651367,4.712821960449219,8.891916275024414,21.506122589111328,14.87,73.18,9.252620697021484,8.511493682861328,28.417835235595703,15.121652603149414,12.236615180969238,26.987253189086918,,21.644500732421875,6.344481945037842,57.705,18.77789878845215,12.043634414672852,40.516,10.099519729614258,34.962974548339844,7.214469909667969,22.711896896362305,22.583166122436523,7.581913948059082
2017-11-02,17.992076873779297,6.542647838592529,18.429344177246094,11.822509765625,14.67639446258545,,12.728894233703612,25.64326286315918,34.813812255859375,43.560001373291016,15.433735847473145,3.327239990234375,17.341848373413086,,8.018664360046387,18.940837860107425,42.77997970581055,9.384102821350098,11.083819389343262,16.501867294311523,,15.321813583374023,10.672002792358398,19.70881462097168,11.060331344604492,25.36042022705078,,23.860645294189453,8.451799392700195,3.522782325744629,13.859999656677246,28.711673736572266,,6.800511360168457,22.690296173095703,6.250892639160156,15.859094619750977,16.941877365112305,17.317663192749023,,28.470775604248047,2.007810592651367,4.712821960449219,8.891916275024414,21.506122589111328,,,9.252620697021484,8.511493682861328,28.417835235595703,15.121652603149414,12.236615180969238,26.987253189086918,,21.644500732421875,6.344481945037842,,18.77789878845215,12.043634414672852,,10.099519729614258,34.962974548339844,7.214469909667969,22.711896896362305,,7.581913948059082
2017-11-03,17.870624542236328,6.394697666168213,18.32852554321289,11.657286643981934,14.647503852844238,16.193,13.101577758789062,25.18319129943848,34.64167022705078,42.93000030517578,15.338995933532717,3.1431422233581543,18.00448989868164,1.646,8.029500007629395,18.95461082458496,41.80215835571289,9.32540512084961,10.935968399047852,15.650925636291504,18.615,16.212039947509766,10.650163650512695,19.515151977539062,10.97966480255127,25.026498794555664,48.11068344116211,23.523420333862305,8.538930892944336,3.665117502212525,13.1899995803833,28.372817993164062,36.218,6.865902423858643,23.00872230529785,6.116465091705322,16.04749870300293,16.818492889404297,17.263622283935547,6.402,28.628210067749023,1.8441646099090576,4.600611209869385,8.857978820800781,21.48813819885254,14.28,72.97,9.342297554016112,8.531637191772461,27.699403762817383,15.326671600341797,12.28656005859375,26.24007606506348,,21.942331314086918,6.204530715942383,55.678,18.77789878845215,12.233015060424805,39.718,10.065712928771973,34.831111907958984,7.095504760742188,23.21014976501465,21.87650680541992,7.682192802429199
2017-11-06,17.81857681274414,6.397438049316406,18.987201690673828,11.593035697937012,14.647503852844238,16.124,13.285292625427246,24.979551315307617,34.86888885498047,42.65999984741211,15.338995933532717,3.1431422233581543,18.17768669128418,1.645,8.064175605773926,18.95461082458496,41.264347076416016,9.24469757080078,10.935968399047852,16.478008270263672,19.628,16.083454132080078,10.562809944152832,19.97993278503418,10.970701217651367,24.692575454711918,46.90745544433594,23.40827178955078,8.681511878967285,3.722050905227661,13.229999542236328,27.885204315185547,36.257,6.885517120361328,23.00872230529785,6.301302909851074,16.04749870300293,16.524263381958008,17.161537170410156,6.366,29.66396713256836,1.708392858505249,4.56320858001709,8.688287734985352,21.28131675720215,14.02,72.77,9.548029899597168,8.778424263000488,27.140628814697266,15.48378849029541,12.296549797058104,26.28454971313477,,21.96466827392578,6.531084537506104,56.98,18.77789878845215,12.268527030944824,39.793,9.938942909240724,35.37670135498047,7.537380218505859,23.76375770568848,21.20966339111328,7.775310516357422
2017-11-07,17.523622512817383,6.191951751708984,18.281482696533203,11.336024284362791,14.15956687927246,15.625,12.870617866516112,23.72756004333496,34.26295471191406,42.25,14.529414176940918,3.120691299438477,17.56021499633789,1.592,7.830117702484131,18.940837860107425,40.67765045166016,8.863170623779297,10.56462860107422,16.87564468383789,19.875,16.162586212158203,10.519129753112791,19.75861358642578,10.76813793182373,24.622276306152344,45.63018035888672,22.88187026977539,8.372589111328125,3.501432418823242,12.4399995803833,26.943021774291992,35.284,6.735119342803955,22.56403541564941,5.998839855194092,15.43287754058838,16.86594581604004,18.08026695251465,6.197,28.81050491333008,1.5456454753875732,4.480920791625977,8.65434741973877,20.954605102539062,13.61,71.9,9.11019229888916,8.310036659240723,26.91711807250977,15.520196914672852,11.88699722290039,25.314998626708984,,21.58493995666504,6.251181602478027,53.931,18.77789878845215,12.008123397827148,39.427,9.676946640014648,34.72654342651367,6.8830647468566895,23.19630622863769,19.95559310913086,7.564005374908447
2017-11-08,17.5843505859375,6.361819744110107,18.99391746520996,11.877581596374512,14.54622745513916,16.206,13.112074851989746,24.97201538085937,35.34400177001953,43.2599983215332,14.761953353881836,3.232945680618286,17.50750732421875,1.628,8.018664360046387,18.9683780670166,42.29106521606445,9.171326637268066,10.861701011657717,17.098318099975586,20.3,16.004322052001953,10.6428861618042,20.76009750366211,11.114108085632324,26.467626571655277,45.81529235839844,23.235546112060547,8.475564002990723,3.658000707626343,13.989999771118164,27.480226516723636,35.864,6.957442760467529,23.38753890991211,6.351712703704834,15.634947776794434,17.84354591369629,18.347475051879883,6.394,29.63082504272461,1.652045726776123,4.974644660949707,8.824039459228516,21.64400100708008,14.38,73.43,9.358123779296877,8.536676406860352,27.779226303100582,15.71180248260498,12.586233139038086,26.13333511352539,,22.57521247863769,6.430009841918945,56.091,18.77789878845215,11.978530883789062,39.981,10.116421699523926,35.07208633422852,7.435408592224121,23.48695373535156,20.60253524780273,7.786056995391846
2017-11-09,17.540973663330078,6.254968166351318,18.859498977661133,11.657286643981934,14.039873123168944,15.612,12.450697898864746,24.330921173095703,34.70363998413086,43.0,14.632766723632812,3.1431422233581543,17.394556045532227,1.602,8.044671058654785,18.9683780670166,41.54792404174805,8.789798736572266,10.685314178466797,16.255332946777344,19.219,15.638340950012209,10.6428861618042,20.86522483825684,10.891826629638672,25.588890075683597,48.22175216674805,22.774946212768555,8.293378829956055,3.501432418823242,13.56999969482422,27.10831642150879,35.52,6.846282482147217,22.756181716918945,6.721389293670654,15.988566398620604,17.11271858215332,18.26641082763672,6.234,28.57849502563477,1.5501418113708496,4.982125282287598,8.75616455078125,21.266332626342773,14.42,71.74,9.23151969909668,8.420836448669434,26.941062927246094,15.571931838989258,12.19665813446045,25.65300941467285,,21.830646514892575,6.10345458984375,53.292,18.77789878845215,11.99628448486328,39.615,9.896685600280762,33.667205810546875,7.239964008331299,22.698055267333984,19.21907997131348,7.764565944671631
2017-11-10,17.532299041748047,6.137156009674072,18.886383056640625,11.427813529968262,14.09972095489502,15.618,12.38245964050293,23.606884002685547,34.090816497802734,41.02000045776367,14.271036148071287,3.0353775024414062,17.319255828857422,1.6,7.858291625976562,18.982147216796875,39.826942443847656,8.877843856811523,10.508926391601562,15.905412673950195,18.564,15.499859809875488,10.577369689941406,20.437524795532227,10.93484878540039,24.60470390319824,46.694580078125,22.33902359008789,8.142876625061035,3.394681215286255,13.350000381469728,26.70334243774414,35.176,6.846282482147217,22.78911590576172,6.553354740142822,15.491814613342283,16.60968589782715,18.32946014404297,6.181,27.816181182861328,1.470416784286499,4.937241077423096,8.647560119628906,21.03853225708008,13.94,69.8,9.247344017028809,8.420836448669434,26.302459716796875,15.502947807312012,11.437488555908203,25.79532814025879,,21.778528213500977,5.971277713775635,52.138,19.294034957885746,12.073222160339355,39.277,9.753008842468262,31.84858512878418,7.316441059112549,22.67729949951172,18.313364028930664,7.753822803497314
2017-11-13,17.540973663330078,6.219350814819336,18.79228782653809,11.280950546264648,14.039873123168944,15.7,12.518933296203612,23.64459991455078,33.32651138305664,41.900001525878906,14.219361305236816,3.039867162704468,17.191242218017578,1.585,7.905969619750977,18.99591827392578,40.47230911254883,8.877843856811523,10.638895988464355,16.104230880737305,18.947,15.381162643432615,10.621047019958496,20.443151473999023,11.126657485961914,25.60646629333496,46.694580078125,22.54465103149414,8.269614219665527,3.437382221221924,12.789999961853027,26.447141647338867,35.127,6.846282482147217,22.9044132232666,6.721389293670654,15.837011337280272,16.84696388244629,17.894113540649414,6.23,27.758176803588867,1.5327579975128174,5.1092963218688965,8.783312797546387,20.582931518554688,14.29,68.15,9.220970153808594,8.380546569824219,26.246585845947266,15.334335327148438,12.03683376312256,26.43576431274414,,21.93488502502441,6.119004726409912,51.124,18.89989471435547,12.031797409057615,39.24,9.862879753112791,32.62149429321289,7.613858222961426,22.93334007263184,18.82096290588379,7.628471374511719
