,VIVO4,AMBV4,ARCZ6,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,DURA4,ELET3,ELET6,EMBR3,ENBR3,GFSA3,GGBR4,GOAU4,GOLL4,PTIP4,ITSA4,ITUB4,JBSS3,KLBN4,LIGT3,RENT3,LAME4,LREN3,NATU3,NETC4,BNCA3,PCAR4,PETR3,PETR4,POSI3,RDCD3,RSID3,SBSP3,SDIA4,CSNA3,CRUZ3,TAMM4,VCPA4,TNLP3,TNLP4,TMAR5,TCSL4,UBBR11,USIM3,USIM5,VALE3,VALE5,ALLL11
2007-07-17,32.04,22.25,12.9,6.432,16.320266723632812,13.209540367126465,49.86,24.61,8.940540313720703,5.260782718658447,3.407540798187256,17.021,1.511,5.072715759277344,8.089082717895508,8.071789741516113,52.8,12.172932624816896,10.946,19.065807342529297,5.327223300933838,675.5286865234375,16.90818214416504,19.347686767578125,53.351707458496094,25.37,3.127551317214966,9.384476661682127,6.625899314880371,,15.417032241821287,4.235466957092285,3.513,4.454342842102051,8.55,33.69,29.61,66.48,14.56624698638916,11.189846992492676,31.9045467376709,34.20000076293945,536.8403930664062,9.769710540771484,9.5,8.942687034606934,6.18,60.13,49.48,51.21,24.61,37.49,6.09,22.43,22.341297149658203,18.55923843383789,23.231678009033203,26.51,27.14
2007-07-18,31.93,22.03,12.65,6.432,16.247344970703125,13.098390579223633,50.34,24.77,9.055743217468262,5.183107376098633,3.4133834838867188,17.283,1.491,5.08321475982666,8.27432918548584,8.116544723510742,53.75,12.132140159606934,11.005,18.8033504486084,5.307699203491211,667.9716796875,16.9312801361084,19.64385223388672,51.94198989868164,25.65,3.193626642227173,9.405694961547852,6.492789268493652,,15.604670524597168,4.272881507873535,3.439,4.671072959899902,8.61,33.89,30.25,65.66,14.618274688720703,11.211752891540527,32.11675262451172,32.900001525878906,540.834228515625,9.45449161529541,9.6,8.89310359954834,6.21,54.66,49.18,51.21,24.3,37.49,6.03,22.38,22.083518981933597,18.583969116210938,23.173141479492188,26.62,27.54
2007-07-19,32.26,22.48,12.67,6.555,16.310670852661133,12.953048706054688,49.19,24.89,9.030699729919434,5.225475788116455,3.443474769592285,17.309,1.479,5.324702262878418,8.321670532226562,8.407447814941406,56.2,11.91530418395996,10.784,19.14200210571289,5.431814670562744,675.857177734375,17.182016372680664,19.91069602966309,49.84160232543945,26.4,3.2425715923309326,9.526922225952148,6.648083686828613,,15.320672988891602,4.2059326171875,3.558,4.809972763061523,8.59,33.4,30.96,65.63,14.783414840698242,11.351156234741213,32.48263168334961,32.59000015258789,555.8112182617188,9.74689769744873,9.5,8.959786415100098,6.11,51.24,48.22,51.72,24.79,38.16,6.16,22.74,22.685009002685547,19.273120880126957,23.478052139282227,26.85,28.33
2007-07-20,30.11,22.34,12.26,6.541,16.078481674194336,12.777770042419434,47.23,25.24,9.090802192687988,5.209939956665039,3.417564392089844,17.292,1.436,5.309702396392822,8.253748893737793,8.154905319213867,55.49,11.526714324951172,10.41,18.95574378967285,5.222630500793457,675.5286865234375,17.13912582397461,19.810998916625977,49.24554061889648,26.2,3.1618125438690186,9.312747955322266,6.470603942871094,,15.69595718383789,4.138983726501465,3.497,4.687839031219482,8.46,32.9,31.11,63.63,14.64542293548584,11.269505500793455,31.83137321472168,32.70000076293945,557.6971435546875,9.628689765930176,9.65,8.976886749267578,6.17,49.87,46.9,49.85,24.31,38.07,6.19,22.29,23.458364486694336,19.50558853149414,23.173141479492188,26.59,28.23
2007-07-23,29.43,22.65,12.37,6.65,16.176349639892578,12.991521835327148,47.44,25.06,9.145898818969728,5.200052738189697,3.4267618656158447,17.004,1.446,5.249705314636231,8.294913291931152,8.02383804321289,55.74,11.55033016204834,10.401,18.642505645751957,5.218446254730225,671.25732421875,17.04674530029297,19.91069602966309,48.025047302246094,26.55,3.186285734176636,9.42590045928955,6.514974594116211,,15.325742721557615,4.072036266326904,3.776,4.604022026062012,8.36,33.3,31.36,64.28,14.975699424743652,11.430814743041992,32.197242736816406,34.20000076293945,582.325927734375,9.88584327697754,9.55,9.190622329711914,6.08,49.27,46.18,49.68,24.93,38.69,6.43,22.71,23.5460147857666,19.668800354003903,23.758567810058597,27.3,28.09
2007-07-24,28.56,22.02,11.94,6.384,15.69662094116211,12.337451934814451,43.56,24.25,8.66506290435791,5.048938274383545,3.2846779823303223,16.344,1.374,4.934723377227783,7.953235626220703,7.7680983543396,53.47,10.949198722839355,9.992,18.20224952697754,5.020419597625732,646.286376953125,16.693742752075195,19.350616455078125,47.30600357055664,25.75,3.066370725631714,8.982381820678711,6.359680652618408,,14.696891784667969,3.898759603500366,3.538,4.394473552703857,8.31,31.89,30.86,61.59,14.174886703491213,10.87918472290039,31.2459716796875,33.150001525878906,561.9129028320312,9.373612403869627,8.96,8.993985176086426,5.87,48.11,44.34,46.82,25.71,40.1,6.24,22.0,22.685009002685547,18.712566375732425,23.173141479492188,26.45,27.25
2007-07-25,28.94,21.91,11.67,6.336,15.58916187286377,12.354552268981934,44.15,24.25,8.715150833129883,4.92889404296875,3.3013901710510254,16.412,1.374,4.906224250793457,7.9985198974609375,7.828836441040039,53.9,11.342079162597656,10.214,18.20224952697754,5.076202392578125,661.4004516601562,16.57827377319336,19.30956649780273,45.71651458740234,25.7,3.046794414520264,8.951066017150879,6.500185489654541,,14.707033157348633,3.83574891090393,3.484,4.238811016082764,8.44,31.75,30.65,59.87,14.435040473937988,10.956851959228516,32.18993377685547,34.0,552.4829711914062,9.61624813079834,8.94,9.33596134185791,5.88,47.24,43.92,48.14,25.45,41.41,6.28,21.64,23.71615028381348,19.616050720214844,22.831640243530277,26.09,27.21
2007-07-26,28.11,21.09,11.43,6.117,14.967439651489258,12.183558464050291,42.17,23.02,8.139147758483887,4.733999252319336,3.1425938606262207,15.904,1.34,4.604742050170898,7.6630167961120605,7.448423385620117,51.59,10.79676914215088,9.669,18.02446746826172,4.807051658630371,621.9727172851562,15.852457046508787,18.27150154113769,45.413761138916016,24.5,2.953799247741699,8.708600044250488,6.026905536651611,,14.230321884155272,3.62112021446228,3.341,4.153796195983887,7.86,31.09,30.53,58.33,13.806147575378418,10.43310260772705,31.43621635437012,33.0,532.40283203125,9.124755859375,8.38,9.062379837036133,5.64,46.2,42.98,45.75,24.92,40.42,5.96,21.39,22.427227020263672,18.514724731445312,22.19742584228516,25.12,26.25
2007-07-27,29.19,21.29,11.1,5.96,14.585579872131348,11.991183280944824,40.82,22.33,8.264366149902344,4.801787853240967,3.1183559894561768,15.769,1.331,4.87472677230835,7.461306095123291,7.240635395050049,50.83,10.584224700927734,9.669,17.982141494750977,4.671779632568359,610.8014526367188,15.489550590515137,17.59413719177246,45.03530883789063,24.03,2.831438541412353,8.43582820892334,6.004720211029053,,14.48389720916748,3.5344817638397217,3.324,4.1789422035217285,7.67,30.0,30.11,56.19,13.331088066101074,10.200108528137209,30.441030502319336,33.0,514.7633056640625,8.973366737365723,9.0,8.89310359954834,5.52,46.41,40.76,44.0,24.29,39.32,5.76,20.58,22.13507843017578,18.13553047180176,21.70469665527344,24.76,24.99
2007-07-30,29.78,21.12,11.61,6.083,15.12095069885254,12.47853183746338,42.12,23.07,8.619983673095703,4.941605567932129,3.2094547748565674,16.539,1.331,5.019442558288574,7.535402297973633,7.288586139678955,51.96,10.949198722839355,9.856,17.65195655822754,4.860045909881592,646.286376953125,15.829362869262695,18.44158935546875,45.03530883789063,25.19,2.907302141189575,8.688394546508789,6.3892598152160645,,14.778035163879396,3.849531888961792,3.377,4.238811016082764,7.77,30.9,30.45,58.4,14.023317337036133,10.674072265625,30.54348564147949,32.0,526.8557739257812,9.021063804626465,9.15,9.234225273132324,5.56,46.02,43.65,45.73,25.0,41.01,5.96,21.14,22.85686683654785,18.959869384765625,22.34866714477539,25.73,25.09
2007-07-31,28.26,20.66,11.59,6.07,15.159329414367676,12.653803825378418,40.3,22.51,8.650035858154297,4.810263156890869,3.153454542160034,16.471,1.338,4.821706295013428,7.481886386871338,7.048830032348633,52.24,10.68083667755127,9.669,17.18631362915039,4.873990058898926,649.5720825195312,15.638006210327148,18.479707717895508,44.00404357910156,24.99,2.895066261291504,8.733859062194824,6.174806594848633,,14.707033157348633,3.741230964660645,3.365,4.238811016082764,7.58,30.25,30.35,58.11,13.801623344421388,10.502805709838867,30.95326042175293,32.29999923706055,530.294921875,9.38190746307373,8.91,9.29407024383545,5.52,46.25,43.36,43.43,24.99,41.86,5.91,20.59,22.85686683654785,19.07693099975586,22.63650321960449,25.88,25.19
2007-08-01,27.89,20.51,11.55,6.07,15.466350555419922,12.739297866821287,42.13,22.97,9.015671730041504,4.660559177398682,3.2178070545196533,16.158,1.359,5.01183557510376,7.451012134552002,6.84104061126709,52.44,10.627163887023926,9.626,17.23711395263672,4.882359027862549,639.3865356445312,16.03390884399414,18.70842742919922,43.7012825012207,24.95,2.924432277679444,8.688394546508789,6.514974594116211,,14.838892936706545,3.741230964660645,3.394,4.2807207107543945,7.58,29.6,29.59,58.63,13.618390083312988,10.534667015075684,30.30199813842773,31.799999237060547,508.3287048339844,9.43375301361084,9.06,9.33083152770996,5.42,45.57,43.08,44.39,25.72,41.52,5.95,20.54,22.85686683654785,19.192331314086918,22.31938743591309,25.84,25.59
2007-08-02,27.54,20.34,11.63,6.11,15.474026679992676,12.816244125366213,42.58,23.3,9.160924911499023,4.749533176422119,3.17852783203125,16.251,1.345,4.891673564910889,7.566277027130127,7.032845497131348,51.82,10.74524211883545,9.635,17.474172592163086,5.00229024887085,615.4013671875,16.073503494262695,18.957683563232425,44.18380737304688,25.55,2.9464571475982666,8.788408279418945,6.832959175109863,,14.84903621673584,3.739262342453003,3.398,4.34418249130249,7.87,30.35,29.88,57.92,13.731497764587402,10.516746520996094,30.623973846435547,32.0,504.7786254882813,9.975015640258787,9.11,9.241918563842772,5.5,45.78,42.59,45.4,26.22,42.79,6.01,21.0,23.53569984436035,19.32258033752441,22.575515747070312,26.06,24.8
2007-08-03,26.75,20.1,11.4,6.015,14.583657264709473,12.465703964233398,41.13,22.67,9.115846633911133,4.69586706161499,3.1367411613464355,15.295,1.279,4.867337226867676,7.245184421539307,6.745140075683594,50.45,10.603546142578123,9.473,17.86361312866211,4.853072643280029,597.9873657226562,15.595128059387209,18.06624794006348,43.105224609375,24.71,2.887723445892334,8.587367057800293,6.648083686828613,,14.55489730834961,3.662468194961548,3.283,4.214865207672119,7.83,28.3,29.03,54.83,13.222504615783691,10.036812782287598,28.970203399658203,30.5,493.57373046875,10.039304733276367,8.79,8.89139175415039,5.21,44.41,41.08,42.64,25.33,40.1,5.87,20.59,22.25881004333496,18.63013458251953,21.58760643005371,24.86,24.01
2007-08-06,27.1,19.94,11.32,6.035,14.583657264709473,12.46142864227295,41.52,22.36,9.065759658813477,4.767893314361572,3.1843810081481934,15.194,1.331,5.033131122589111,7.362504959106445,6.617269039154053,50.07,10.947050094604492,9.558,18.32925033569336,4.880963325500488,606.8587036132812,15.506047248840332,18.385875701904297,43.86212539672852,26.17,2.85590934753418,8.566150665283203,6.611109733581543,,14.656322479248049,3.682159900665283,3.25,4.16696834564209,7.99,28.0,29.23,55.45,13.303940773010254,10.0746488571167,29.087289810180664,30.0,501.450439453125,9.927318572998049,8.97,8.746908187866211,5.38,45.88,41.23,45.2,25.83,41.65,5.88,20.63,21.82573127746582,18.168500900268555,21.59980583190918,24.86,24.1
