,VIVO4,AMBV4,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,CCRO3,CMIG4,CESP6,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,ELET3,ELET6,EMBR3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,GVTT3,ITSA4,ITUB4,JBSS3,PRML3,LAME4,LREN3,MMXM3,MRVE3,NATU3,NETC4,OGXP3,PCAR5,PDGR3,PETR3,PETR4,RDCD3,RSID3,CSNA3,CRUZ3,TAMM4,TNLP4,TCSL4,USIM3,USIM5,VALE3,VALE5,ALLL11
2009-06-30,32.49,21.57,7.252706527709961,5.646,9.824779510498049,9.134932518005373,3.751781463623047,16.793659210205078,4.659797191619873,2.752904176712036,9.441,5.180411338806152,1.262,2.1946771144866943,7.366473197937012,9.494340896606444,13.195566177368164,11.371,7.0559515953063965,23.70153045654297,368.40618896484375,14.20859432220459,16.1666316986084,10.455418586730955,32.61,2.4441468715667725,7.854915618896484,5.434826374053955,18.630624771118164,1.847,2.691251039505005,787.634521484375,4.405467033386231,9.33,19.0,999.1799926757812,,2274.9580078125,18.33855438232422,13.447032928466797,30.149999618530277,187.6255798339844,11.945667266845703,8.22,18.58,25.61,3.38,17.224010467529297,16.639259338378906,17.299232482910156,20.46,11.88
2009-07-01,32.74,21.24,7.326590538024902,5.632,9.978294372558594,9.20824909210205,3.751781463623047,16.96830940246582,4.670174598693848,2.772752285003662,9.61,5.4817070960998535,1.264,2.292217969894409,7.324815273284912,9.545490264892578,13.149507522583008,11.44,7.021323204040527,23.70153045654297,366.3838806152344,14.270971298217772,16.1666316986084,10.733845710754396,33.49,2.474980592727661,7.857439517974853,5.372979164123535,19.07071876525879,1.871,2.7385523319244385,787.634521484375,4.4622578620910645,9.31,19.63,1026.0,,2267.478271484375,17.867401123046875,13.1776762008667,30.280000686645508,193.3458709716797,11.92923641204834,8.39,19.3,26.11,3.29,17.27387237548828,17.075130462646484,17.36441421508789,20.65,11.7
2009-07-02,32.49,21.36,7.111097812652588,5.522,9.88234806060791,9.402334213256836,3.694303035736084,17.165359497070312,4.59604549407959,2.758120059967041,9.838,5.5401225090026855,1.267,2.342512607574463,7.357215881347656,9.449585914611816,13.057393074035645,11.44,6.934747219085693,23.70153045654297,372.450927734375,14.097698211669922,16.066375732421875,10.493823051452637,33.5,2.4525575637817383,7.83976411819458,5.295670509338379,19.657508850097656,1.826,2.7385523319244385,775.052490234375,4.507691860198975,9.27,19.44,1015.0,,2227.94140625,17.487722396850586,12.9456205368042,30.25,194.48992919921875,11.737536430358888,8.39,18.58,25.68,3.25,16.887428283691406,16.51529312133789,17.224018096923828,20.59,11.69
2009-07-03,32.43,21.38,7.129569053649902,5.468,9.870832443237305,9.402334213256836,3.736105680465698,17.80127716064453,4.692414283752441,2.737226247787476,9.881,5.484781265258789,1.264,2.377566337585449,7.324815273284912,9.571064949035645,13.043575286865234,11.491,6.926088333129883,,377.5068664550781,14.069974899291992,16.12904167175293,10.5322265625,34.03,2.430130243301392,7.7791428565979,5.311131954193115,,1.826,2.7323286533355717,810.2821655273438,4.486597061157227,9.16,19.8,,,2243.969970703125,17.336774826049805,12.85031032562256,,197.6933135986328,11.64716339111328,8.31,18.81,25.94,3.32,16.579927444458008,16.287355422973633,17.138774871826172,20.5,11.71
2009-07-06,32.15,21.73,7.006433963775635,5.44,9.632890701293944,9.445463180541992,3.746555805206299,18.29389190673828,4.742822170257568,2.732010841369629,9.72,5.426366806030273,1.256,2.472059726715088,7.382672309875488,9.686145782470703,13.402824401855469,11.559,6.7789082527160645,23.70153045654297,384.2480163574219,13.834317207336426,15.753070831298828,10.829854011535645,33.54,2.458162546157837,7.829659461975098,5.558521270751953,20.9777889251709,1.847,2.8032829761505127,798.9583740234375,4.551503658294678,9.26,19.75,1030.0,,2192.67919921875,16.83418846130371,12.56995677947998,29.75,197.922119140625,11.50202178955078,8.39,19.22,25.46,3.29,16.8084716796875,16.391328811645508,16.832902908325195,20.13,11.75
2009-07-07,31.21,21.78,6.803262233734131,5.4,9.09559726715088,9.350586891174316,3.720429182052612,17.913232803344727,4.685000419616699,2.699620485305786,9.889,5.211158275604248,1.256,2.3623263835906982,7.336386680603027,9.46237564086914,13.402824401855469,11.533,6.830855369567871,23.70153045654297,381.8885803222656,13.342215538024902,15.151522636413574,11.43471336364746,33.5,2.430130243301392,7.705897808074951,5.342054843902588,20.78219223022461,1.801,2.7833657264709477,778.8271484375,4.340561389923096,9.34,19.54,1031.010009765625,,2137.1142578125,16.668201446533203,12.281231880187988,28.100000381469727,201.3542938232422,11.24185276031494,8.47,19.22,24.29,3.29,16.413711547851562,15.899463653564451,15.990507125854492,19.01,11.51
2009-07-08,31.88,21.93,6.729378700256348,5.256,9.19154453277588,9.057296752929688,3.689077615737915,17.375837326049805,4.670174598693848,2.747678756713867,9.686,5.226528644561768,1.235,2.257164478302002,7.29010009765625,9.078765869140623,13.241622924804688,11.423,6.796224594116211,23.70153045654297,372.450927734375,13.286762237548828,15.10138988494873,10.916263580322266,33.3,2.3964967727661133,7.665492057800293,5.241554260253906,20.29319953918457,1.818,2.76344895362854,777.5689086914062,4.421692371368408,9.31,20.52,990.0,39.22,2111.46875,16.433046340942383,12.180805206298828,27.030000686645508,195.86280822753903,11.113142013549805,8.83,18.66,24.98,3.29,16.14361572265625,15.655537605285645,16.326459884643555,19.31,11.26
2009-07-10,33.32,21.56,6.741691112518311,5.222,9.249110221862791,8.884775161743164,3.709979057312012,17.420621871948242,4.851050853729248,2.7163329124450684,9.881,5.377176284790039,1.25,2.193153142929077,7.354901313781738,9.283357620239258,13.292285919189451,11.329,6.5624680519104,23.70153045654297,380.87744140625,13.19666576385498,15.145254135131836,11.261896133422852,33.94,2.354454278945923,7.57708740234375,5.1565141677856445,19.950904846191406,1.826,2.7497568130493164,772.5361328125,4.665088653564453,9.2,20.4,1020.0399780273438,40.19,2269.615478515625,16.815744400024414,12.415132522583008,26.88999938964844,212.1084442138672,11.091231346130373,9.21,18.86,25.16,3.43,15.690673828125,15.031715393066406,16.29637908935547,19.21,11.0
2009-07-13,33.25,21.64,6.834042072296143,5.283,9.222246170043944,8.884775161743164,3.689077615737915,18.36107444763184,4.879220485687256,2.7121527194976807,9.602,5.530898094177246,1.267,2.1337130069732666,7.206783294677734,8.995650291442871,13.296890258789062,11.397,6.6663594245910645,23.70153045654297,377.5068664550781,12.961005210876465,14.7880859375,11.367506980895996,34.63,2.3600611686706543,7.57708740234375,5.1565141677856445,19.75530815124512,1.826,2.7385523319244385,759.9541015625,4.770559787750244,9.34,20.0,1100.0,40.21,2233.284423828125,16.783472061157227,12.46534824371338,27.84000015258789,215.5406036376953,11.003597259521484,9.0,19.14,24.58,3.36,14.87622356414795,14.199950218200684,16.29637908935547,19.35,10.82
2009-07-14,33.45,21.58,6.809415340423584,5.269,9.137813568115234,8.884775161743164,3.683851957321167,18.29389190673828,4.736891746520996,2.6640939712524414,9.085,5.595461368560791,1.247,2.1337130069732666,6.98923921585083,9.36008071899414,12.960668563842772,11.295,6.709649085998535,23.70153045654297,377.5068664550781,12.822391510009766,14.468514442443848,12.001168251037598,34.51,2.3432421684265137,7.4962639808654785,4.986433982849121,20.19540023803711,1.822,2.7323286533355717,749.8884887695312,4.705654621124268,9.48,19.89,1095.0,40.32,2286.712158203125,16.71430206298828,12.381658554077148,28.600000381469727,224.23545837402344,10.847497940063477,8.87,20.36,23.66,3.46,15.038284301757812,14.139970779418944,16.15597915649414,19.07,10.76
