Date,ABEV3,AZUL4,B3SA3,BBSE3,BRML3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,BPAC11,CRFB3,CCRO3,CMIG4,HGTX3,CIEL3,COGN3,CSAN3,CVCB3,CYRE3,ECOR3,ELET3,ELET6,EMBR3,ENBR3,EGIE3,EQTL3,FLRY3,GGBR4,GOAU4,GOLL4,NTCO3,HAPV3,HYPE3,IGTA3,GNDI3,IRBR3,ITSA4,ITUB4,JBSS3,KLBN11,RENT3,LAME4,LREN3,MGLU3,MRFG3,MRVE3,MULT3,PCAR4,PETR3,PETR4,VBBR3,QUAL3,RADL3,RAIL3,SBSP3,SANB11,CSNA3,SMLS3,SULA11,SUZB3,TAEE11,VIVT4,TIMS3,TOTS3,UGPA3,USIM5,VALE3,VIIA3,WEGE3,YDUQ3
2019-07-01,16.194936752319336,42.09000015258789,11.057991981506348,25.290990829467773,13.289617538452148,21.767446517944336,24.928,19.681703567504883,44.42228698730469,27.795578002929688,32.08000183105469,11.754429817199709,19.56558990478516,12.511022567749023,7.449302196502685,28.039,5.940462589263916,10.81216049194336,10.866836547851562,48.69783020019531,16.617565155029297,10.579999923706056,28.952651977539062,30.898,19.5,15.578678131103516,34.86578369140625,16.660242080688477,19.06797981262207,12.37255859375,5.3160271644592285,31.90999984741211,,7.603229522705078,25.753597259521484,44.609,40.02,29.663707733154297,10.576369285583496,32.676116943359375,18.91473960876465,14.755861282348633,37.4716911315918,6.509,43.616119384765625,6.390405178070068,4.847473621368408,16.253952026367188,25.188621520996094,93.7,15.99311065673828,14.38665771484375,20.218158721923828,19.433673858642575,15.027506828308104,20.6274356842041,45.174442291259766,37.09642791748047,15.557243347167969,31.66,31.796710968017575,30.7327938079834,19.332651138305664,45.903,10.040918350219728,14.15292263031006,18.2774658203125,7.6981964111328125,39.043251037597656,5.119999885559082,10.343137741088867,27.182832717895508
2019-07-02,16.485918045043945,42.40999984741211,10.884076118469238,25.136777877807617,13.233145713806152,21.74615478515625,24.997,18.8977108001709,43.85340118408203,27.84318733215332,33.20000076293945,11.76382541656494,19.411029815673828,12.685808181762695,7.319836616516113,27.825,5.824854373931885,11.061288833618164,10.723313331604004,48.4797248840332,16.75254249572754,10.479999542236328,28.225976943969727,30.174,19.450000762939453,15.73730182647705,35.03409957885742,16.63071632385254,19.20987701416016,12.051514625549316,5.1673264503479,32.34000015258789,,7.340844631195068,25.912790298461918,44.707,40.02,28.41856575012207,10.46176528930664,32.55836868286133,19.514535903930664,14.710735321044922,37.73802947998047,6.468,43.88854217529297,6.459113597869873,4.825031280517578,16.491979598999023,25.3466911315918,91.5,15.752570152282717,14.154448509216309,19.475452423095703,19.976173400878903,14.830904960632324,20.6274356842041,44.71443557739258,37.29117202758789,15.04446506500244,31.176,33.14237976074219,30.17791175842285,19.332651138305664,46.926,10.023377418518066,14.63872241973877,17.999834060668945,7.611504554748535,37.3985481262207,5.449999809265137,10.333552360534668,27.671836853027344
2019-07-03,17.131534576416016,44.060001373291016,11.130456924438477,25.26785659790039,13.411972045898438,22.155723571777344,25.332,19.04397964477539,44.768550872802734,28.00188446044922,34.0,11.97754192352295,19.94744300842285,12.722604751586914,7.389548301696777,28.097,6.1094279289245605,11.200799942016602,10.860002517700195,48.32109832763672,17.46710205078125,10.390000343322754,28.57706642150879,30.881,19.34000015258789,16.112991333007812,35.314632415771484,17.1584415435791,19.192142486572266,12.257311820983888,5.241677284240723,35.439998626708984,,7.330020904541016,25.998096466064453,45.238,39.951,28.19590377807617,10.617297172546388,33.1198844909668,19.514535903930664,14.900260925292969,38.399295806884766,6.468,44.2549057006836,6.714181900024414,4.854954242706299,16.236948013305664,25.8859806060791,92.48,15.912935256958008,14.344437599182127,19.8055419921875,19.84492492675781,14.988576889038086,21.166847229003903,45.22138214111328,37.72931289672852,15.456517219543455,31.66,33.2608642578125,30.372608184814453,19.52315330505371,47.517,10.32153606414795,14.816848754882812,18.04610824584961,7.819565773010254,37.32577896118164,5.989999771118164,10.400654792785645,27.81566047668457
2019-07-04,17.27702522277832,46.75,11.51885986328125,25.51460075378418,13.637857437133787,22.649805068969727,25.885,18.973772048950195,45.49408721923828,29.00166893005371,34.22999954223633,12.39088249206543,20.838438034057617,12.842196464538574,7.464240550994873,28.379,6.225035190582275,11.529648780822754,11.042255401611328,47.78573989868164,17.86408042907715,10.899999618530272,29.565013885498047,31.851,19.34000015258789,16.38015365600586,35.5390510559082,17.361417770385742,19.51141929626465,12.594820022583008,5.368071556091309,38.02999877929688,,7.605391979217529,26.346052169799805,45.847,39.692,28.13731002807617,10.764647483825684,33.50025939941406,19.83555221557617,14.954410552978516,39.17076873779297,6.661,44.80914306640625,6.721782207489014,4.974644660949707,16.29645538330078,26.053346633911133,92.68,16.121395111083984,14.455266952514648,20.22641372680664,20.369922637939453,15.68934440612793,21.396595001220703,46.36670303344727,38.68674087524414,15.49314308166504,32.089,34.5896110534668,30.908021926879883,19.60076904296875,48.024,10.681079864501951,15.124520301818848,18.18492317199707,8.20263385772705,37.60231399536133,6.239999771118164,10.640301704406738,28.697784423828125
2019-07-05,17.27702522277832,48.45000076293945,11.740654945373535,26.100610733032227,13.929627418518066,22.825340270996094,26.111,18.453060150146484,45.3456916809082,29.604713439941406,34.20000076293945,13.177642822265623,20.5838680267334,13.016982078552246,7.489140033721924,28.555,6.1094279289245605,11.659194946289062,11.115156173706056,48.2516975402832,18.14990997314453,11.100000381469728,29.51602935791016,31.766,19.479999542236328,16.263269424438477,35.70737075805664,17.400163650512695,20.149974822998047,12.652442932128906,5.37550687789917,40.400001525878906,,7.833216667175293,26.31928062438965,46.692,40.279,28.33946228027344,10.862879753112791,33.87158203125,20.519832611083984,15.171010971069336,39.38201141357422,6.76,45.560665130615234,6.87318229675293,5.012048244476318,16.44947052001953,26.22071647644043,92.2,16.051908493041992,14.460545539855955,20.424467086791992,20.35242080688477,15.82949161529541,21.566410064697266,45.972412109375,38.46767044067383,15.29169750213623,32.479,34.67424011230469,31.83282852172852,19.777162551879883,47.583,10.65477180480957,15.882366180419922,18.14790725708008,8.402275085449219,36.64897918701172,6.349999904632568,10.73615837097168,28.995019912719727
2019-07-08,17.22246551513672,48.72999954223633,11.711593627929688,25.83844757080078,13.995511054992676,22.974863052368164,25.988,18.757295608520508,45.30445861816406,29.612648010253903,34.369998931884766,13.325601577758787,20.60205841064453,13.375754356384276,7.523995876312256,28.438,6.233928203582764,12.336824417114258,11.128824234008787,48.65817642211914,18.3404598236084,11.399999618530272,29.205760955810547,31.723,19.38999938964844,16.405197143554688,36.20431137084961,17.769203186035156,20.63776206970215,12.635978698730469,5.405246734619141,40.90999984741211,,8.12641716003418,25.9624137878418,48.254,42.268,27.832616806030277,10.871068000793455,33.781002044677734,20.705684661865234,14.981485366821287,39.9514274597168,6.788,45.15673065185547,6.974114894866943,4.997086524963379,16.687503814697266,26.611234664916992,91.47,16.361934661865234,14.592485427856444,21.00213050842285,20.807418823242188,15.864532470703123,21.67629051208496,46.19771957397461,37.96016311645508,15.786160469055176,31.948,35.63059997558594,31.68680763244629,19.99588966369629,47.583,10.5144624710083,15.77225112915039,18.23119735717773,8.37623405456543,37.07834243774414,6.75,10.798468589782717,30.3757381439209
2019-07-10,17.295211791992188,49.9900016784668,12.234694480895996,26.01579475402832,14.550813674926758,22.818830490112305,25.871,19.26045227050781,44.735572814941406,29.311124801635746,34.97999954223633,13.22696304321289,21.35667610168457,13.660932540893556,7.668399810791016,30.092,6.491822719573975,12.28699779510498,11.589014053344728,51.85049819946289,18.94386863708496,11.670000076293944,29.638500213623047,32.072,19.420000076293945,16.664005279541016,36.997802734375,17.924196243286133,21.09894371032715,12.603050231933594,5.37550687789917,40.72999954223633,,8.53452205657959,26.426342010498047,49.325,42.506,29.72230529785156,10.920180320739746,33.690452575683594,21.43219947814941,15.161985397338867,40.53004455566406,7.067,45.88005447387695,7.098761081695557,5.146700859069824,17.078550338745117,27.466663360595703,92.56,16.420730590820312,14.814143180847168,21.951147079467773,20.47492218017578,16.253847122192383,21.945993423461918,46.469970703125,38.017276763916016,15.786160469055176,31.863,35.84217834472656,30.664649963378903,20.24283790588379,48.803,10.65477180480957,15.869412422180176,19.295454025268555,8.298114776611328,37.93707656860352,6.730000019073486,11.354448318481444,30.84556198120117
2019-07-11,16.99513816833496,49.470001220703125,11.961517333984377,25.57628631591797,14.051981925964355,22.55879020690918,25.653,19.283855438232425,43.86165237426758,29.144495010375977,33.93000030517578,13.670836448669434,21.338489532470703,13.476945877075195,7.613627433776855,29.898,6.634109020233154,11.778776168823242,11.35664176940918,52.69319534301758,18.747188568115234,11.5,31.81852531433105,33.621,19.200000762939453,16.613916397094727,36.89360809326172,18.224964141845703,20.99251365661621,12.298470497131348,5.241677284240723,40.369998931884766,,8.209624290466309,26.26575088500977,48.343,42.755,28.175397872924805,10.805578231811523,33.645172119140625,20.612756729125977,14.963436126708984,39.5932502746582,7.018,45.5136947631836,7.015764236450195,5.079374313354492,16.985036849975586,26.95526695251465,93.22,16.73076057434082,14.988301277160645,22.03367042541504,20.57992172241211,16.28304672241211,21.67629051208496,48.63856887817383,37.94384002685547,15.731220245361328,31.691,35.57135391235352,30.22658348083496,20.43334579467773,49.179,10.672310829162598,16.05401611328125,19.13813018798828,8.21131420135498,37.87886047363281,6.5,11.311311721801758,30.59626579284668
2019-07-12,16.549571990966797,49.09000015258789,11.537227630615234,25.769052505493164,14.004922866821287,22.11021614074707,25.174,19.14344024658203,42.87228775024414,29.128623962402344,33.54999923706055,13.619170188903809,21.02027702331543,13.84491729736328,7.528975486755371,29.878,6.429572105407715,11.410067558288574,11.315634727478027,52.51474380493164,18.221872329711918,11.529999732971191,32.169612884521484,34.047,19.290000915527344,16.396846771240234,37.27032470703125,17.778430938720703,21.063461303710938,12.117371559143066,5.174761772155762,39.11000061035156,,8.318582534790039,25.9624137878418,48.028,42.337,27.548433303833008,10.64185619354248,33.02027130126953,20.14812469482422,14.981485366821287,38.80340194702149,6.92,44.65884780883789,7.054678916931152,5.079374313354492,16.517484664916992,26.378782272338867,93.95,16.837665557861328,15.05690860748291,21.78610038757324,20.0811710357666,15.597850799560549,21.46651840209961,48.685508728027344,37.57663345336914,15.630495071411133,31.496,34.98738098144531,31.151391983032227,20.094667434692383,48.888,10.610925674438477,15.632989883422852,18.95304107666016,8.185275077819824,37.70420455932617,6.519999980926514,11.06687068939209,30.23191261291504
2019-07-15,16.595035552978516,49.36000061035156,11.548853874206545,25.73049736022949,13.863743782043455,22.11671638488769,25.065,19.365766525268555,42.61670684814453,29.20797538757324,33.45000076293945,13.52757740020752,21.138471603393555,13.394153594970703,7.404486656188965,29.499,6.2606072425842285,11.619335174560549,11.518391609191896,50.63107299804688,18.024879455566406,11.289999961853027,30.6182861328125,32.541,19.31999969482422,16.196481704711914,36.86155319213867,17.69539451599121,20.97477531433105,12.290239334106444,5.271416664123535,38.15999984741211,,8.102645874023438,26.140846252441406,47.458,41.412,27.188072204589844,10.600927352905272,32.9296989440918,20.7901611328125,15.08076000213623,38.55542755126953,6.833,44.9406623840332,7.012116432189941,4.974644660949707,16.381465911865234,25.997560501098636,92.55,16.554365158081055,14.872197151184082,21.505523681640625,20.124923706054688,15.648460388183594,21.63633346557617,48.32876586914063,37.76431655883789,15.841099739074709,30.046,35.1989631652832,32.02752685546875,19.777162551879883,50.399,10.85646629333496,15.454862594604492,19.036333084106445,8.08979320526123,38.34461212158203,7.03000020980835,10.73615837097168,30.68256187438965
