,ACES4,AMBV4,ARCZ6,ARCE3,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CMET4,CCRO3,CMIG4,CPLE6,ELET3,ELET6,ELPL4,EMBR4,EBTP4,GGBR4,GOAU4,GOLL4,PTIP4,ITSA4,ITUB4,KLBN4,LAME4,NATU3,NETC4,PCAR4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CRUZ3,VCPA4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TCSL4,UBBR11,USIM5,VALE3,VALE5,VIVO4
2005-11-16,26.3,13.4,7.47,,3.821,5.478464603424072,5.842406749725342,26.0,14.27,8.89255428314209,3.25,2.192934513092041,7293.52978515625,0.707,8.437322616577148,7.022,19.51,21.3,2.86,6.534989356994629,7.221565246582031,41.444095611572266,12.41,2.024343490600586,5.5514817237854,,1.046,5.16,15.67,49.76,7.994580745697021,5.999960422515869,3.3134260177612305,5.39,3.706172227859497,3.33,22.15,33.78,22.44,37.03,31.0,11.643721580505373,4.12,11.22,7.501513481140137,11.245070457458496,13.44,
2005-11-17,26.54,13.51,7.47,,3.848,5.703936576843262,6.141652584075928,26.47,14.49,9.052865982055664,3.28,2.23848032951355,7474.3056640625,0.729,8.458792686462402,7.022,19.76,20.84,2.93,6.719650745391846,7.612062931060791,43.27644348144531,12.55,2.03511118888855,5.804050445556641,,1.116,5.18,15.83,51.49,8.076020240783691,6.095582962036133,3.283615827560425,5.44,3.8942582607269287,3.34,22.58,34.42,22.7,37.72,31.17,11.676061630249023,4.12,11.63,8.029092788696289,11.586570739746094,13.76,
2005-11-18,26.21,13.57,7.59,,3.821,5.718329429626465,5.9849066734313965,26.43,14.37,9.217890739440918,3.31,2.294972419738769,7570.95556640625,0.723,8.394384384155273,6.954,19.47,21.1,2.86,6.672459125518799,7.604936599731445,44.47345733642578,12.63,1.9785802364349363,5.617152690887451,,1.132,5.26,15.52,51.86,8.159721374511719,6.131208419799805,3.249916315078736,5.38,3.975478887557984,3.38,22.65,34.5,22.78,37.55,31.67,11.676061630249023,4.25,11.83,8.241772651672363,11.623157501220703,13.76,
2005-11-21,26.15,13.59,7.65,,3.848,5.756706714630127,5.954982280731201,25.61,14.37,9.217890739440918,3.4,2.387124300003052,7633.59814453125,0.723,8.244100570678711,6.826,18.82,20.25,2.81,6.743197917938232,7.604935646057129,43.75524139404297,12.65,1.9651200771331787,5.607044696807861,,1.153,5.33,15.52,53.89,8.218539237976074,6.194956302642822,3.299428701400757,5.28,3.907938241958618,3.41,22.98,34.87,23.28,38.09,30.92,11.546697616577148,4.21,12.0,8.106579780578613,11.6841402053833,13.69,
2005-11-22,26.56,13.67,7.92,,3.971,5.780694007873535,5.843832492828369,25.83,14.63,9.151880264282228,3.4,2.436201333999634,7391.9716796875,0.739,8.22263240814209,6.843,19.83,20.31,2.9,6.716152191162109,7.614007472991943,43.27644348144531,12.78,1.9651200771331787,5.637354850769043,,1.165,5.29,15.67,54.89,8.485478401184082,6.41245698928833,3.2488789558410645,5.42,3.8728859424591056,3.58,23.53,36.02,23.59,38.98,31.76,11.608149528503418,4.28,12.12,8.160987854003906,11.812201499938965,13.93,
2005-11-23,26.28,13.92,7.9,,4.073,5.929407596588135,5.828160285949707,26.37,14.67,9.359341621398926,3.42,2.4708027839660645,7445.66748046875,0.761,8.308507919311523,6.903,19.95,21.15,2.98,6.782730579376221,7.719280242919922,43.7368278503418,12.8,1.981272578239441,5.6686692237854,,1.173,5.26,15.67,56.61,8.627995491027832,6.4780802726745605,3.2372138500213623,5.62,3.9831721782684326,3.72,23.28,35.72,23.88,39.59,32.09,11.676061630249023,4.62,12.63,8.325858116149902,12.134187698364258,14.13,
2005-11-24,26.38,13.88,7.92,,4.073,5.937082767486572,5.8566575050354,26.1,14.53,9.61866855621338,3.43,2.4432625770568848,7687.29443359375,0.801,8.254838943481445,6.903,19.76,21.01,3.0,6.813939571380615,7.78462028503418,44.19721984863281,12.68,1.9597374200820925,5.625229358673096,,1.202,5.24,15.52,56.4,8.56239128112793,6.421831130981445,3.3523101806640625,5.88,3.932730436325073,3.68,23.27,35.69,23.84,39.58,33.18,11.5790376663208,4.62,12.62,8.276395797729492,11.996367454528809,13.97,
2005-11-25,26.37,13.97,7.8,,4.148,5.871841430664063,5.821032524108887,26.21,14.26,9.854421615600586,3.42,2.453854322433472,7635.388671875,0.806,8.190428733825684,6.835,19.47,20.82,3.03,6.803537845611572,7.782801628112793,44.19721984863281,12.63,2.010884523391724,5.7030205726623535,,1.243,5.26,15.67,57.28,8.560129165649414,6.425580978393555,3.289318323135376,5.79,3.902808666229248,3.69,22.89,35.61,23.79,39.51,32.85,11.76016616821289,4.62,12.45,8.241772651672363,12.061006546020508,13.98,
2005-11-28,26.3,13.82,7.73,,4.046,5.833463668823242,5.702760219573975,25.83,14.27,9.392348289489746,3.33,2.4008939266204834,7651.49609375,0.792,8.297775268554688,6.903,19.0,20.8,2.95,6.651655197143555,7.559559822082519,42.72398376464844,12.34,2.010884523391724,5.736356258392334,,1.243,5.26,15.36,56.79,8.182342529296875,6.189332008361816,3.186924934387207,5.62,3.821589231491089,3.61,22.59,34.61,23.41,38.16,32.76,11.5790376663208,4.7,12.4,8.085150718688965,11.74512767791748,13.7,
2005-11-29,26.04,13.92,7.8,,4.046,5.780694007873535,5.741235256195068,25.92,14.2,9.472504615783691,3.4,2.3306326866149902,7830.47900390625,0.795,8.415855407714844,7.005,19.18,21.15,3.01,6.741119861602783,7.586783409118652,45.385013580322266,12.33,2.005500078201294,5.657559394836426,,1.223,5.3,15.36,56.19,8.370104789733887,6.30933141708374,3.2029964923858643,5.74,3.902808666229248,3.67,22.52,34.79,23.37,38.48,32.93,11.643721580505373,4.84,12.4,8.259910583496094,11.780489921569824,13.72,
2005-11-30,25.87,14.02,7.69,,4.053,5.756706714630127,5.585913181304932,25.07,14.37,9.406492233276367,3.39,2.362055540084839,7989.77099609375,0.81,8.652013778686523,7.243,19.47,20.9,3.01,6.820179462432861,7.695685863494873,46.85825347900391,12.57,2.032419204711914,5.657559394836426,,1.223,5.26,15.52,56.14,8.505839347839355,6.421831130981445,3.2029964923858643,6.02,3.932730436325073,3.72,22.76,35.06,23.56,38.74,33.01,11.643721580505373,4.87,12.43,8.523696899414062,11.671942710876465,13.59,
2005-12-01,26.32,14.53,7.9,,4.204,5.929407596588135,5.722710132598877,25.44,14.91,9.472504615783691,3.5,2.3903017044067383,8107.9013671875,0.814,8.735742568969727,7.243,20.0,21.09,3.02,7.051129817962647,7.831811428070068,47.78824234008789,12.78,2.08087420463562,5.788893699645996,,1.272,5.33,16.31,57.43,8.720745086669922,6.562455654144287,3.2488789558410645,6.26,4.065247535705566,3.81,23.03,35.36,23.95,38.91,33.18,11.5499267578125,4.77,12.48,8.738025665283203,12.048812866210938,13.97,
2005-12-02,26.1,14.43,7.96,,4.279,5.906381607055664,6.084655284881592,26.48,15.66,9.241467475891112,3.5,2.4023070335388184,7875.22412109375,0.803,8.544668197631836,7.09,19.97,20.94,3.06,7.096900463104248,7.831811428070068,48.75506210327149,13.42,2.08087420463562,5.859615325927734,,1.264,5.41,16.47,58.04,8.958272933959961,6.671205520629883,3.277653694152832,6.23,4.009675979614258,3.75,23.28,35.69,24.02,39.15,34.69,11.582269668579102,4.7,12.76,8.62261962890625,12.05613136291504,13.97,
2005-12-05,26.01,14.3,7.9,,4.429,5.881436347961426,6.108878135681152,26.58,15.76,9.024574279785156,3.43,2.4061903953552246,7803.6318359375,0.775,8.308507919311523,6.962,19.75,21.0,2.99,7.198849201202393,7.859038352966309,47.87111282348633,13.76,2.0970253944396973,5.915177345275879,,1.272,5.72,16.15,58.44,8.949227333068848,6.654329299926758,3.283615827560425,6.12,3.966928243637085,3.7,23.03,35.35,23.8,38.16,34.27,11.546697616577148,4.7,12.64,8.465993881225586,11.842694282531738,13.79,
2005-12-06,26.22,14.07,7.92,,4.559,5.755748271942139,6.205777168273926,27.04,16.3,9.133021354675291,3.34,2.4220781326293945,7973.6650390625,0.775,8.415855407714844,7.005,19.86,21.1,3.1,7.614967823028564,8.343646049499512,50.17305374145508,13.68,2.115870237350464,6.006103992462158,,1.264,6.08,17.26,59.79,9.03745174407959,6.731204986572266,3.38601016998291,6.17,4.155015468597412,3.69,23.02,36.32,24.19,38.47,34.36,11.753697395324709,4.73,13.11,8.836946487426758,11.671942710876465,13.56,
2005-12-07,25.98,13.68,7.8,,4.388,5.527398586273193,6.09890604019165,26.94,16.16,8.864265441894531,3.21,2.386770486831665,7919.96923828125,0.753,8.244100570678711,6.877,19.38,21.25,3.2,7.612887382507324,8.325495719909668,49.26148223876953,13.57,2.091641664505005,5.921240329742432,,1.264,5.78,17.89,59.56,8.881360054016113,6.680579662322998,3.375640869140625,6.08,4.085765361785889,3.55,22.67,35.32,23.88,37.97,33.85,11.643721580505373,4.77,12.99,8.688565254211426,11.251169204711914,13.06,
2005-12-08,25.82,13.67,7.88,,4.204,5.503412246704102,5.956408500671387,26.94,16.28,8.812397956848145,3.24,2.4210193157196045,7875.22412109375,0.742,7.879128932952881,6.63,19.46,21.45,3.19,7.677385330200195,8.39809799194336,49.906028747558594,13.47,1.9785802364349363,5.69291877746582,,1.223,5.78,17.57,57.85,8.983158111572266,6.738704204559326,3.352569341659546,6.03,4.086620807647705,3.62,22.76,34.84,23.55,37.84,35.44,11.643721580505373,4.7,12.59,8.540185928344727,11.293853759765623,13.04,
2005-12-09,25.93,13.9,8.14,,4.176,5.720248222351074,5.9136576652526855,27.9,17.46,8.996284484863281,3.29,2.4256088733673096,7803.6318359375,0.742,7.997208595275879,6.809,19.47,22.0,3.21,7.791816711425781,8.528779029846191,50.16384506225586,13.47,1.981272578239441,5.708069324493408,,1.223,5.88,18.21,58.44,9.026142120361328,6.768704891204834,3.4212646484375,5.83,4.129369258880615,3.65,23.03,35.38,23.7,38.36,35.35,11.92834758758545,4.84,12.62,8.6209716796875,11.560957908630373,13.42,
