,VIVO4,AMBV4,ARCZ6,B3SA3,BBDC4,BRAP4,BBAS3,BRTP4,BRKM5,CCRO3,CMIG4,CESP6,CPLE6,CSAN3,CPFE3,CYRE3,DURA4,ELET3,ELET6,EMBR3,ENBR3,GFSA3,GGBR4,GOAU4,GOLL4,ITSA4,ITUB4,JBSS3,KLBN4,LAME4,LREN3,NATU3,NETC4,BNCA3,PCAR4,PETR3,PETR4,RDCD3,RSID3,SBSP3,SDIA4,CSNA3,CRUZ3,TAMM4,VCPA4,TNLP3,TNLP4,TCSL4,UBBR11,USIM3,USIM5,VALE3,VALE5,ALLL11
2008-02-29,34.18,22.56,11.92,16.151611328125,6.678,16.88633918762207,12.085240364074709,21.78,7.182485580444336,4.07445764541626,2.6912589073181152,23.154,1.181,4.402144432067871,7.615677833557129,17.262439727783203,32.95,10.519818305969238,9.805,16.001056671142578,3.7485063076019287,723.82763671875,17.484251022338867,22.40167999267578,27.919431686401367,2.6343419551849365,8.607572555541992,4.858500003814697,0.7085269093513489,3.098,4.019687175750732,5.69,18.61,23.39,59.54,22.10159683227539,16.603151321411133,26.0,431.0032958984375,8.580511093139648,9.56,16.184043884277344,6.52,32.16,52.47,44.87,27.5,6.28,22.08,26.307531356811523,24.367000579833984,28.617610931396484,32.59,18.68
2008-03-03,35.65,23.06,11.85,16.943958282470703,6.835,16.667585372924805,11.884309768676758,21.69,7.352781295776367,4.025028705596924,2.804097414016724,23.247,1.235,4.554468631744385,7.885313510894775,18.06163024902344,34.45,11.464455604553224,10.597,15.577749252319336,3.990298986434937,755.3699340820312,17.484251022338867,22.82264709472656,28.27223777770996,2.678452014923096,8.75709056854248,4.917659759521484,0.7283459305763245,3.16,4.192113876342773,5.97,19.22,24.68,60.04,22.214710235595703,16.491037368774414,27.0,445.4255065917969,8.55489730834961,9.67,16.663667678833008,6.66,32.62,52.56,46.16,27.28,6.56,22.62,27.678640365600582,25.61021614074707,28.441974639892575,32.44,19.18
2008-03-04,37.27,22.79,11.67,16.182085037231445,6.698,16.502559661865234,11.627814292907717,21.6,7.267633438110352,3.848492383956909,2.8333425521850586,23.053,1.228,4.633675575256348,7.895603656768799,17.69080352783203,34.48,11.717787742614746,10.682,15.493085861206056,3.841503143310547,757.9984130859375,17.484251022338867,21.890504837036133,27.652441024780277,2.641695022583008,8.569178581237793,4.740179061889648,0.6986173391342163,3.164,4.236416339874268,6.02,19.7,24.23,60.61,21.33245277404785,16.032386779785156,27.399999618530277,435.7737426757813,8.655218124389648,9.83,16.59441375732422,6.56,32.64,53.1,44.36,26.68,6.39,22.08,28.482118606567383,25.896160125732425,27.837038040161133,31.86,18.86
2008-03-05,35.98,22.4,12.08,16.82205581665039,6.869,16.598506927490234,11.85866355895996,22.05,7.372815132141113,3.855553150177002,2.8333425521850586,23.154,1.252,4.843882083892822,7.988227844238281,17.709989547729492,34.76,11.726377487182615,10.682,15.493085861206056,3.918761968612671,726.4561767578125,17.484251022338867,22.431751251220703,27.480806350708008,2.7617709636688232,8.910656929016113,5.132113456726074,0.7171974778175354,3.242,4.304670333862305,6.28,20.25,24.45,60.19,21.943248748779297,16.429880142211914,28.290000915527344,440.4332275390625,8.473788261413574,10.0,16.568763732910156,6.61,33.05,56.0,44.3,28.14,6.05,22.37,28.3758487701416,25.73453521728516,28.6712703704834,32.41,18.68
2008-03-06,35.32,21.61,11.75,16.163799285888672,6.568,16.387428283691406,11.627814292907717,21.04,7.022206783294678,3.738332509994507,2.804097414016724,22.994,1.221,4.545328140258789,7.893547534942627,16.776533126831055,33.52,11.228296279907228,10.248,15.298367500305176,3.8027148246765137,704.1138305664062,17.484251022338867,21.92056655883789,26.441455841064453,2.6809024810791016,8.650002479553223,5.095139503479004,0.7171974778175354,3.217,4.058002471923828,6.14,19.43,23.23,58.72,21.5767765045166,16.10576629638672,26.549999237060547,437.1050415039063,8.347853660583496,9.88,16.51747703552246,6.44,31.55,54.69,43.6,27.17,5.74,21.9,28.1866512298584,25.41378593444824,27.91997337341309,31.74,18.06
2008-03-07,34.63,21.14,11.67,15.76153564453125,6.446,16.13797378540039,11.45682144165039,20.63,6.957094669342041,3.801886320114136,2.625233888626098,22.892,1.191,4.40366792678833,7.640356540679932,16.469648361206055,32.47,11.043663024902344,9.967,15.002046585083008,3.6859323978424072,689.9854736328125,17.484251022338867,21.55973625183105,25.74537849426269,2.585332155227661,8.405516624450684,4.732785701751709,0.6986173391342163,3.139,4.041239738464356,6.13,19.1,23.43,57.92,21.28269386291504,15.932506561279297,26.0,422.6828002929688,8.28168773651123,10.01,16.32510757446289,6.37,30.15,52.07,42.95,26.51,5.6,21.22,27.65271377563477,24.938879013061523,27.32966423034668,31.36,17.55
2008-03-10,33.17,21.07,11.2,15.749348640441896,6.336,15.735000610351562,11.328573226928713,20.28,6.846901893615723,3.615463733673096,2.565887689590454,22.368,1.153,4.265052795410156,7.646782875061035,15.47226333618164,32.23,10.755976676940918,9.873,15.069775581359863,3.569150686264038,647.9292602539062,17.484251022338867,21.081636428833008,24.78230857849121,2.536319732666016,8.316614151000977,4.547910690307617,0.7122427821159363,2.967,3.784994602203369,5.8,17.8,22.91,56.85,20.943357467651367,15.634885787963867,24.959999084472656,395.50238037109375,8.110929489135742,9.72,15.594136238098145,6.02,29.03,48.95,41.84,26.07,5.16,20.77,25.732141494750977,23.683237075805664,26.588123321533203,30.11,16.72
2008-03-11,35.25,21.65,11.1,16.66968536376953,6.63,16.379749298095703,11.36704444885254,20.98,7.192502975463867,3.789175987243652,2.6193814277648926,21.615,1.188,4.490492820739746,7.860977172851562,16.623092651367188,32.94,11.66626262664795,10.495,15.069775581359863,3.5530927181243896,696.5568237304688,17.484251022338867,22.3084716796875,25.17325592041016,2.646594285964966,8.668185234069824,5.028583526611328,0.7171974778175354,3.057,4.077160358428955,6.09,18.19,24.26,57.92,21.76227378845215,16.248458862304688,25.799999237060547,391.6195068359375,8.603989601135254,10.47,15.955778121948242,5.87,28.48,48.35,44.57,27.98,5.38,21.42,27.085102081298828,24.963743209838867,27.68092918395996,31.71,17.14
2008-03-12,35.32,21.42,11.13,16.57216453552246,6.555,16.617698669433594,11.01650333404541,21.35,7.042241096496582,3.869675874710083,2.5909619331359863,21.124,1.205,4.40062141418457,7.8995361328125,16.431293487548828,32.95,11.657674789428713,10.682,15.069775581359863,3.602724552154541,682.4285278320312,17.484251022338867,22.58510398864746,24.9730167388916,2.585332155227661,8.367128372192383,4.895474433898926,0.7023334503173828,2.942,4.322629451751709,6.0,18.22,23.82,58.14,21.69440650939941,16.16896629333496,26.399999618530277,384.9630737304688,8.580511093139648,10.64,16.184043884277344,5.76,28.61,48.55,44.23,27.37,5.24,20.88,27.577550888061523,25.48589324951172,27.95411491394043,31.58,18.0
2008-03-13,35.15,21.84,11.4,16.02971649169922,6.609,16.740509033203125,11.02932834625244,21.17,7.112363815307617,3.8979222774505615,2.5909619331359863,20.972,1.215,4.325982570648193,7.895249366760254,16.552762985229492,32.71,11.936774253845217,10.852,14.815791130065918,3.539954900741577,672.2429809570312,17.484251022338867,23.07823371887207,24.79184341430664,2.6196389198303223,8.52674674987793,5.028583526611328,0.6973788142204285,2.848,4.370524883270264,6.26,17.41,22.9,58.98,21.382225036621094,15.956963539123535,26.75,399.6071472167969,8.507939338684082,10.39,16.735483169555664,5.93,27.62,49.5,44.57,27.37,5.2,21.02,27.678640365600582,25.7593994140625,28.10047721862793,31.74,18.39
