Date,ABEV3,BBAS3,BBDC3,BBDC4,BBSE3,BRAP4,BRFS3,BRKM5,BRML3,B3SA3,CCRO3,CESP6,CIEL3,CMIG4,CPFE3,CPLE6,CSAN3,CSNA3,CTIP3,CYRE3,ECOR3,EMBR3,ENBR3,EQTL3,YDUQ3,FIBR3,GGBR4,GOAU4,HGTX3,HYPE3,ITSA4,ITUB4,JBSS3,KLBN11,COGN3,LAME4,LREN3,MRFG3,MRVE3,MULT3,NATU3,OIBR3,PCAR4,PETR3,PETR4,QUAL3,RADL3,RENT3,RAIL3,SANB11,SBSP3,SMLE3,EGIE3,TIMS3,UGPA3,USIM5,VALE3,VALE5,VIVT4,WEGE3
2015-06-30,15.441732406616213,16.30950164794922,9.631696701049805,10.232,19.66922378540039,5.087124347686768,63.51384735107422,8.438350677490234,8.872736930847168,2.934542179107666,11.331235885620115,15.101,21.70859146118164,4.519606113433838,12.615473747253418,2.106,4.860569477081299,4.035276889801025,31.87,7.025331974029541,6.7050371170043945,22.898029327392575,7.53809928894043,6.032256603240967,13.737601280212402,35.31974411010742,5.7920660972595215,4.470371723175049,9.528,18.016170501708984,4.5754804611206055,13.838632583618164,13.086587905883787,14.854474067687988,10.651604652404783,5.799,16.45126724243164,4.263980865478516,4.880328178405762,13.694331169128418,12.87,4.440436840057373,71.37,7.401040554046631,6.391173362731934,12.530370712280272,7.570396900177002,8.34581470489502,9.368355751037598,10.51255989074707,14.005899429321287,45.54,16.494159698486328,8.364240646362305,29.088476181030277,3.501014947891236,11.936954498291016,14.68,32.304,6.454642295837402
2015-07-01,15.555572509765623,16.101274490356445,9.569738388061523,10.185,19.81376075744629,4.976008892059326,62.15814971923828,8.041834831237793,8.872736930847168,2.9144253730773926,11.498431205749512,15.134,22.119308471679688,4.397659778594971,12.266324043273926,2.085,4.798725128173828,3.934201002120972,33.08,7.053716659545898,6.679049015045166,22.82060813903809,7.525001049041748,6.204115390777588,13.546270370483398,35.66903305053711,5.567806243896484,4.237318515777588,9.352,17.841489791870117,4.565213680267334,13.917532920837402,12.790618896484377,14.550048828125,10.597899436950684,5.947,16.834163665771484,4.234058856964111,4.798989295959473,14.264052391052246,13.07,4.238937854766846,72.58,7.132009029388428,6.124245643615723,13.007174491882324,7.686460018157959,8.587151527404785,9.589656829833984,10.437427520751951,13.785199165344238,45.34,16.523103713989258,8.241475105285645,28.809890747070312,3.475522518157959,11.819475173950195,14.52,32.811,6.614225387573242
2015-07-02,15.48239040374756,16.054248809814453,9.57568073272705,10.362,19.912050247192383,4.961514949798584,63.68750762939453,7.961291313171387,8.86052417755127,2.904367208480835,11.604825973510742,15.422,22.228174209594727,4.485308647155762,12.384902954101562,2.101,4.6576433181762695,3.848675489425659,33.0,7.039524078369141,6.687711715698242,22.59801483154297,7.551198482513428,6.221301078796387,13.622801780700684,35.3031120300293,5.32808256149292,4.096075057983398,9.625,17.56358528137207,4.642238140106201,14.103631973266602,12.99859619140625,14.745189666748049,10.57104778289795,5.963,17.142803192138672,4.091926097869873,4.880328178405762,13.777055740356444,13.04,4.283716201782227,71.19,7.195310115814209,6.219937801361084,13.471261978149414,7.851198673248291,8.379510879516602,9.884722709655762,10.518823623657228,14.065319061279297,45.51,16.61958885192871,8.4788179397583,29.154808044433597,3.492518186569214,11.79337215423584,14.56,33.064,6.644784927368164
2015-07-03,15.571834564208984,15.89975357055664,9.603239059448242,10.232,19.63452911376953,4.860062599182129,63.80440139770508,7.70107889175415,8.713968276977539,2.876706123352051,11.612425804138184,15.524,22.178688049316406,4.424335479736328,12.4112548828125,2.132,4.597731590270996,3.700948476791382,32.75,6.961465358734131,6.583758354187012,22.501230239868164,7.53809928894043,6.257391452789307,13.530963897705078,,5.150221824645996,3.9336442947387695,9.45,17.25391960144043,4.565213680267334,13.962038040161133,12.798617362976074,14.862276077270508,10.553144454956056,5.967,17.179197311401367,3.964755058288574,4.8553009033203125,13.716540336608888,13.02,4.156846046447754,69.76,6.831324100494385,5.922789573669434,13.598407745361328,8.03091049194336,8.292081832885742,9.810956001281738,10.374814987182615,13.751246452331545,45.15,16.69195556640625,8.347869873046875,28.95139503479004,3.42453670501709,11.538836479187012,14.34,32.782,6.7330641746521
2015-07-06,15.628754615783691,16.020673751831055,9.417231559753418,10.047,19.617185592651367,4.806921005249023,63.931034088134766,7.94890022277832,8.768927574157715,2.901851892471313,11.498431205749512,15.304,22.114362716674805,4.393848896026611,12.305850982666016,2.055,4.4450531005859375,3.7942495346069336,33.04,6.904694557189941,6.471140861511231,22.646404266357425,7.623237609863281,6.255673885345459,13.431468963623049,34.68769454956055,5.297150611877441,3.961893320083618,9.391,16.991891860961914,4.5241289138793945,13.723332405090332,12.838613510131836,14.713967323303224,10.472583770751951,5.951,16.998674392700195,4.0994062423706055,4.8740715980529785,13.517707824707031,12.76,4.1046061515808105,69.25,6.778573036193848,5.796881675720215,14.31043529510498,7.978495121002197,8.341259956359863,9.663422584533691,10.456210136413574,13.997411727905272,45.93,16.793256759643555,8.437898635864258,29.18576431274414,3.5520012378692627,11.519258499145508,14.09,33.073,6.7262725830078125
2015-07-07,15.701940536499023,15.731829643249512,9.431015014648438,10.0,19.542022705078125,4.860062599182129,67.281982421875,7.95509672164917,8.762822151184082,2.952143907546997,11.544027328491213,15.278,22.025291442871094,4.249038696289063,12.714289665222168,2.071,4.4083333015441895,3.8331243991851807,33.1,6.862117290496826,6.332535743713379,22.656084060668945,7.806614875793457,6.286608695983887,13.15595245361328,34.180397033691406,5.444077014923096,3.877146244049072,9.596,17.25391960144043,4.4984540939331055,13.775924682617188,12.838613510131836,14.635910987854004,10.069793701171877,5.943,16.662364959716797,4.01711893081665,4.805246829986572,13.745357513427734,13.0,3.985198974609375,67.48,6.942102432250977,5.927826881408691,13.795489311218262,8.281757354736328,8.201919555664062,9.368355751037598,10.581435203552246,14.30299472808838,46.99,16.93316650390625,8.347869873046875,29.17692375183105,3.543503761291504,11.702000617980955,14.27,32.651,6.790785312652588
2015-07-08,15.531179428100586,15.557175636291504,9.296677589416504,9.836,19.137304306030277,4.642665386199951,67.79826354980469,8.140963554382324,8.7567138671875,2.909395933151245,11.551629066467283,15.321,21.669004440307617,4.176634311676025,12.536421775817873,2.08,4.383208751678467,3.623197317123413,33.05,6.762768268585205,6.453815460205078,23.217403411865234,7.623237609863281,6.264266490936279,13.393203735351562,33.856056213378906,5.289417743682861,3.757089376449585,9.713,16.85690689086914,4.4984540939331055,13.618141174316406,12.678630828857422,14.721776962280272,10.11454963684082,5.918,16.422151565551758,4.144290447235107,4.942896366119385,13.385153770446776,12.71,3.962810039520264,65.04,6.847149848937988,5.771699905395508,13.795489311218262,7.877405166625977,8.22104549407959,9.07328987121582,10.243330001831056,14.515204429626465,46.19,17.174375534057617,7.98776912689209,28.752403259277344,3.42453670501709,11.199461936950684,13.7,32.538,6.712691307067871
2015-07-10,15.799520492553713,15.960213661193848,9.527454376220703,10.212,19.455297470092773,4.705469131469727,67.46707153320312,8.240091323852539,8.823884963989258,2.964718103408813,11.802420616149902,15.321,21.866943359375,4.264281272888184,12.622061729431152,2.13,4.526224136352539,3.51434588432312,32.88,6.762768268585205,6.315209865570068,22.8786735534668,7.629788398742676,6.31410551071167,13.95954418182373,34.07228469848633,5.212085723876953,3.531099319458008,9.907,16.75368881225586,4.611426830291748,14.030807495117188,12.718626976013184,15.221346855163574,10.481538772583008,6.07,16.839982986450195,4.166733264923096,4.924126625061035,13.80299186706543,13.16,4.082217216491699,67.64,7.000129222869873,5.947972774505615,13.986207962036133,7.757595539093018,8.1827974319458,9.147055625915527,10.456210136413574,14.260550498962402,47.29,17.420413970947266,7.815899848937988,29.526264190673828,3.4840199947357178,11.166830062866213,13.58,31.881,6.65157413482666
2015-07-13,15.888968467712402,16.054248809814453,9.634236335754396,10.389,19.622966766357425,4.976008892059326,67.60343933105469,7.992269992828369,8.652902603149414,2.9747767448425293,11.6276273727417,15.337,21.510656356811523,4.237606048583984,12.83945369720459,2.144,4.557145595550537,3.7709245681762695,32.82,6.727286338806152,6.2112555503845215,22.936744689941406,7.806614875793457,6.303794860839844,14.235060691833496,34.12217712402344,5.444077014923096,3.679405450820923,10.044,16.475786209106445,4.616563320159912,14.160280227661133,12.718626976013184,15.471136093139648,10.597899436950684,5.976,16.844356536865234,4.17421293258667,4.942896366119385,13.693489074707031,13.07,4.097143173217773,72.1,7.000129222869873,5.937899112701416,13.83363151550293,7.843708992004394,8.05984878540039,9.220824241638184,10.687873840332031,14.676486015319824,47.56,17.680927276611328,8.069607734680176,29.67662048339844,3.679465532302856,12.07401180267334,14.46,32.172,6.675343990325928
2015-07-14,15.978412628173828,16.07440948486328,9.754791259765623,10.465,19.542022705078125,4.77793550491333,67.31120300292969,8.085203170776367,8.762822151184082,3.0275824069976807,11.832818031311035,15.557,21.916423797607425,4.260471343994141,12.83945369720459,2.177,4.6093268394470215,3.724274158477783,33.18,6.6705169677734375,6.505792617797852,23.49806404113769,7.963796615600586,6.3416032791137695,14.349859237670898,34.970455169677734,5.034225463867188,3.3051083087921143,10.112,16.82514762878418,4.616563320159912,14.169994354248049,12.60663890838623,15.510161399841309,10.687406539916992,6.049,16.596853256225586,4.129329204559326,4.999207973480225,13.601276397705078,13.01,4.201623916625977,71.38,7.126733779907227,6.038627624511719,14.285005569458008,7.839966773986816,8.204651832580566,9.147055625915527,10.957106590270996,15.11788272857666,47.29,17.898019790649414,8.0286865234375,29.977319717407227,3.6284799575805664,11.630209922790527,14.0,32.116,6.7059006690979
