Date,ABEV3,AZUL4,B3SA3,BBSE3,BRML3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,CCRO3,CMIG4,CIEL3,CSAN3,CVCB3,CYRE3,ECOR3,ELET3,ELET6,EMBR3,ENBR3,EGIE3,EQTL3,YDUQ3,FLRY3,GGBR4,GOAU4,GOLL4,HYPE3,IGTA3,IRBR3,ITSA4,ITUB4,JBSS3,KLBN11,COGN3,RENT3,LAME4,LREN3,MGLU3,MRFG3,MRVE3,MULT3,NATU3,PCAR4,PETR3,PETR4,VBBR3,QUAL3,RADL3,RAIL3,SBSP3,SANB11,CSNA3,SMLS3,SUZB3,TAEE11,VIVT4,TIMS3,UGPA3,USIM5,VALE3,VIIA3,WEGE3
2018-10-31,14.558832168579102,30.59000015258789,7.550624847412109,18.983612060546875,11.657286643981934,15.90528392791748,18.531,19.439594268798828,33.53334045410156,38.52633285522461,21.899999618530277,9.845914840698242,5.263983726501465,10.680622100830078,7.189920425415039,55.7270736694336,11.14405345916748,9.110028266906738,18.688859939575195,21.747,20.92025184631348,11.074316024780272,24.14484405517578,12.400296211242676,20.51338768005371,17.743419647216797,13.116255760192873,5.75524377822876,18.399999618530277,25.770631790161133,37.338,21.02911376953125,8.844464302062988,28.78859138488769,8.658064842224121,16.11003875732422,11.204011917114258,26.18258285522461,7.621,31.54329490661621,5.103399276733398,4.795108318328857,9.063374519348145,21.13771629333496,16.12,77.36,16.057598114013672,13.973182678222656,17.5773868560791,12.13166618347168,12.13636875152588,16.631807327270508,25.59981346130371,33.127655029296875,7.985723495483398,27.075,36.05445098876953,14.692503929138184,37.785,10.032357215881348,20.35175323486328,8.77383804321289,41.27012252807617,5.599999904632568,8.52529239654541
2018-11-01,14.585561752319336,31.63999938964844,7.8066725730896,19.46393775939941,11.56549835205078,16.741302490234375,19.583,19.788339614868164,34.02751541137695,38.563270568847656,22.209999084472656,10.00747013092041,5.244894027709961,10.44597053527832,7.279098033905029,56.03229141235352,10.876900672912598,9.138948440551758,19.08649444580078,21.909,21.260093688964844,11.082226753234863,24.36323928833008,12.531612396240234,20.415830612182617,18.1008415222168,13.245321273803713,5.900213241577148,19.25,26.13408851623535,37.298,20.141048431396484,8.970366477966309,29.200801849365234,8.59893798828125,16.248096466064453,11.302120208740234,26.29186248779297,7.461,31.90403175354004,5.13756275177002,4.8624348640441895,9.092056274414062,21.3858585357666,16.07,82.55,15.76632022857666,13.821410179138184,17.137584686279297,12.258038520812988,12.200122833251951,16.671764373779297,25.66392707824707,32.81365203857422,8.069167137145996,27.394,35.28288269042969,14.817904472351074,39.193,10.508440971374512,20.35175323486328,8.637280464172363,41.84503936767578,5.550000190734863,8.62001895904541
2018-11-05,14.665749549865724,32.54999923706055,7.752622127532959,20.18083953857422,11.372739791870115,17.360612869262695,19.993,19.900835037231445,34.05104446411133,39.08779144287109,22.020000457763672,9.998495101928713,5.488286972045898,10.785809516906738,8.112905502319336,56.90856170654297,10.823471069335938,9.24499225616455,19.659090042114254,22.139,21.77985191345215,11.17714786529541,24.8970947265625,12.766888618469238,21.338178634643555,18.900781631469727,13.664786338806152,6.037932872772217,20.399999618530277,26.46292495727539,36.65,19.87985610961914,9.049050331115724,29.51655578613281,8.818554878234863,16.759933471679688,12.04774570465088,25.95490455627441,7.297,31.417455673217773,5.229170322418213,4.9222798347473145,9.070545196533203,21.091768264770508,16.32,82.78,16.23236846923828,14.24637222290039,16.56584358215332,12.300162315368652,12.847317695617676,16.78164291381836,26.19515609741211,32.688045501708984,8.269437789916992,26.887,36.0639877319336,15.180926322937012,39.202,10.871993064880373,19.75844955444336,8.69702434539795,41.86687088012695,5.619999885559082,8.861567497253418
2018-11-06,14.826128005981444,31.649999618530277,7.641665458679199,20.001617431640625,11.079012870788574,17.060754776000977,19.775,19.771461486816406,33.31370544433594,39.16904830932617,22.0,9.684358596801758,5.512148857116699,10.42978858947754,8.115135192871094,55.97321701049805,10.602115631103516,9.199999809265137,19.12626075744629,21.935,21.76985740661621,11.15341854095459,24.87283134460449,12.786951065063477,21.027774810791016,18.722070693969727,13.705118179321287,6.066925048828125,20.51000022888184,25.95235824584961,36.218,19.792787551879883,9.088397026062012,29.70368003845215,8.683405876159668,16.505332946777344,11.380606651306152,25.86383438110352,7.149,31.249664306640625,4.791995048522949,4.982125282287598,9.041862487792969,20.64143943786621,16.5,81.9,15.813983917236328,13.75564193725586,16.595163345336914,12.291736602783203,12.89561653137207,16.42203712463379,26.21347427368164,32.46039581298828,8.102547645568848,26.926,35.59722137451172,15.174330711364746,38.986,10.88064956665039,19.63886833190918,8.475117683410645,41.64854431152344,5.480000019073486,8.856833457946777
2018-11-07,14.567741394042969,31.450000762939453,7.382769584655762,19.75069808959961,10.922969818115234,16.99237060546875,19.398,19.82209014892578,32.51360321044922,39.6270866394043,22.239999771118164,9.73820972442627,5.469196796417236,9.879575729370115,7.785179615020752,55.62861633300781,10.449456214904783,8.960000038146973,18.30712890625,21.16,21.589941024780277,11.137596130371094,24.988096237182617,12.785128593444824,20.1231632232666,18.17742919921875,13.309854507446287,6.037932872772217,20.200000762939453,25.917747497558597,35.648,19.006303787231445,9.127737998962402,29.732908248901367,8.911471366882324,16.136594772338867,11.2628755569458,25.180810928344727,7.133,31.006385803222656,4.562221527099609,4.8624348640441895,8.884114265441895,20.485206604003903,16.71,80.88,15.464441299438477,13.30538558959961,16.78574562072754,11.963172912597656,12.943913459777832,16.651784896850586,25.78299140930176,32.47609329223633,8.194334983825684,26.763,34.87328338623047,15.220529556274414,38.292,10.49112606048584,20.14019012451172,8.372699737548828,41.91054153442383,5.239999771118164,8.932613372802734
2018-11-08,13.99750518798828,30.450000762939453,7.268969535827637,19.16283798217773,10.73021125793457,16.366336822509766,19.002,19.698341369628903,31.846858978271484,39.287254333496094,21.0,9.298419952392578,5.321253299713135,8.93288516998291,7.479747295379639,55.92398834228516,10.22046947479248,8.579999923706055,17.877683639526367,20.811,20.540428161621094,10.97148323059082,24.34504127502441,12.67569637298584,18.429235458374023,17.947656631469727,12.971059799194336,5.813231468200684,19.770000457763672,25.62352180480957,34.979,19.64730262756348,8.891677856445312,29.32360076904297,8.691852569580078,16.136594772338867,10.644792556762695,24.2427921295166,6.936,30.38559341430664,4.461543560028076,4.757705211639404,8.554277420043945,20.264636993408203,16.27,79.57,14.956024169921877,12.824772834777832,16.419240951538086,11.72727870941162,12.750720977783203,16.2622127532959,24.91287422180176,32.08358383178711,8.177647590637207,26.7,33.7873649597168,14.83770751953125,38.31,10.25741481781006,19.03636360168457,8.278817176818848,41.495731353759766,5.139999866485596,8.809465408325195
2018-11-09,14.32717227935791,31.84000015258789,7.308798313140869,19.076812744140625,10.721034049987791,16.729328155517578,19.268,18.820859909057617,32.55282974243164,38.99913787841797,20.56999969482422,9.37919807434082,5.388066291809082,8.576864242553711,7.649184703826904,54.60465621948242,10.228102684020996,8.8100004196167,18.80019760131836,21.339,20.370506286621094,10.97939395904541,24.84856414794922,12.63010025024414,18.881542205810547,17.5647029876709,13.003325462341309,5.769740104675293,19.940000534057617,25.96101188659668,35.372,19.802255630493164,9.088397026062012,29.69198608398437,8.413105010986328,15.89077091217041,10.15424919128418,24.552431106567383,6.998,30.863773345947266,4.426170825958252,4.712821960449219,8.582959175109863,20.64143943786621,17.7,79.91,14.897767066955566,12.880422592163086,16.22133445739746,11.617755889892578,12.750720977783203,16.461992263793945,24.784648895263672,32.69590377807617,7.994068145751953,27.012,32.76811981201172,15.08192253112793,38.029,10.447847366333008,18.6224308013916,8.551931381225586,39.77098846435547,5.309999942779541,8.809465408325195
2018-11-12,14.211343765258787,32.88999938964844,7.365701198577881,18.976442337036133,10.610884666442873,16.755634307861328,19.255,18.93898200988769,33.08623123168945,38.01658630371094,19.959999084472656,9.181740760803224,5.450108051300049,8.520222663879395,7.470829486846924,55.33324432373047,9.968583106994627,8.609999656677246,18.80019760131836,21.535,20.370506286621094,10.876561164855955,25.11549186706543,12.440421104431152,19.22742080688477,17.522157669067383,12.454797744750977,5.588529586791992,19.600000381469727,25.6148681640625,35.215,20.23204040527344,9.001838684082031,29.77384376525879,8.413105010986328,15.715182304382324,10.409331321716309,24.798315048217773,7.01,30.49464988708496,4.642038345336914,4.720301628112793,8.633151054382324,20.310592651367188,17.54,78.84,14.823623657226562,12.814653396606444,15.634932518005373,11.946322441101074,12.66185188293457,16.332134246826172,25.36167335510254,33.057003021240234,7.793798446655273,26.887,32.57761001586914,15.246493339538574,38.085,10.274725914001465,18.585636138916016,8.278817176818848,39.91653060913086,5.380000114440918,8.738424301147461
2018-11-13,14.042055130004885,32.849998474121094,7.325869560241699,18.94776725769043,10.473200798034668,16.403167724609375,18.913,19.298973083496094,32.70970153808594,36.90105819702149,19.770000457763672,9.154814720153809,5.411928653717041,8.39076042175293,7.2612624168396,55.53015899658203,9.960951805114746,8.479999542236328,18.4105167388916,21.237,20.390499114990234,11.20088005065918,24.935209274291992,12.502431869506836,19.528959274291992,17.428544998168945,12.333799362182615,5.501549243927002,19.549999237060547,25.485063552856445,35.549,20.75830841064453,8.938891410827637,29.662742614746094,8.320188522338867,15.715182304382324,10.0855712890625,24.41582298278809,7.121,31.29161834716797,4.638107299804688,4.623053073883057,8.48974323272705,20.374923706054688,17.79,78.34,14.14043140411377,12.263214111328123,16.492544174194336,11.72727870941162,12.924596786499023,16.491960525512695,25.16933250427246,32.57815170288086,7.7020087242126465,26.669,34.58751678466797,15.191994667053224,38.761,9.807300567626951,18.16710090637207,8.031304359436035,40.94992446899414,5.400000095367432,8.586862564086914
2018-11-14,14.28262424468994,33.36000061035156,7.3969950675964355,19.299047470092773,11.106549263000488,16.571510314941406,19.18,19.10210609436035,32.76462173461914,36.71636962890625,20.09000015258789,9.307394981384276,5.450108051300049,7.953826904296875,7.45076322555542,55.1855583190918,10.487621307373049,8.470000267028809,18.29917907714844,21.381,20.5604190826416,10.662983894348145,25.444978713989254,12.763240814208984,20.433568954467773,17.658315658569336,12.220865249633787,5.414567947387695,20.149999618530277,25.580249786376957,36.984,20.86063766479492,9.088397026062012,29.920019149780277,9.629456520080566,15.451800346374512,10.742901802062988,24.43403625488281,7.236,31.80335807800293,4.701294422149658,4.682899475097656,8.539936065673828,20.72415542602539,18.05,78.86,14.399937629699709,12.698293685913086,16.060075759887695,11.600907325744627,12.866634368896484,16.881532669067383,25.31587791442871,32.43684387207031,7.693663597106934,26.747,37.29278945922852,15.314620018005373,39.099,10.2314453125,19.03636360168457,7.80939769744873,40.14213180541992,5.329999923706055,8.724214553833008
