Date,ABEV3,AEDU3,ALLL3,BBAS3,BBDC3,BBDC4,BBSE3,BISA3,BRAP4,BRFS3,BRKM5,BRML3,BRPR3,B3SA3,CCRO3,CESP6,CIEL3,CMIG4,CPFE3,CPLE6,CRUZ3,CSAN3,CSNA3,CTIP3,CYRE3,DXCO3,ECOR3,ELET3,ELET6,EMBR3,ENBR3,YDUQ3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HGTX3,HYPE3,ITSA4,ITUB4,JBSS3,KLBN11,COGN3,LAME4,LREN3,MMXM3,MULT3,MRFG3,MRVE3,NATU3,OIBR4,PCAR4,PETR3,PETR4,POMO4,QUAL3,RENT3,SANB11,SBSP3,EGIE3,TIMS3,UGPA3,USIM5,VALE3,VALE5,VIVT4
2014-06-30,11.571267127990724,18.4,8.33,15.410014152526855,8.941353797912598,9.371,17.95093536376953,1.45,9.005111694335938,50.44384765625,8.290711402893066,11.058170318603516,4.929068088531494,2.805142402648926,13.074030876159668,16.809,18.23590850830078,5.486596584320068,12.714125633239746,1.902,21.34,6.748591423034668,6.773283958435059,28.36,9.774389266967772,5.981115818023682,11.894878387451172,5.081779003143311,7.967,19.314117431640625,6.806578159332275,21.997297286987305,17.710369110107422,191.5254821777344,9.78704071044922,10.86272430419922,12.020000457763672,16.652,15.284762382507324,3.893641710281372,12.427530288696287,6.013695240020752,8.359052658081055,13.3956298828125,4.716,10.141551971435549,50.75,14.259356498718262,4.4584784507751465,4.4247894287109375,16.47,19.5,99.5,8.566850662231445,8.707910537719727,3.4588334560394287,16.309040069580078,9.763341903686523,9.275429725646973,19.200258255004883,15.077560424804688,10.395084381103516,22.991079330444336,6.405704498291016,17.802541732788086,23.11,30.624
2014-07-01,11.769506454467772,18.17,8.14,15.465831756591797,8.982951164245605,9.371,18.288484573364254,1.46,9.147414207458496,50.812496185302734,8.26717472076416,11.028761863708496,4.943881034851074,2.8003017902374268,13.132140159606934,16.979,18.292022705078125,5.40501070022583,12.395179748535156,1.847,20.99,6.674540996551514,6.730051517486572,28.54,9.80975341796875,5.802080154418945,11.863452911376951,4.890913963317871,7.703,19.553268432617188,6.6434712409973145,21.861928939819336,17.710369110107422,187.2693634033203,9.779476165771484,10.86967658996582,12.399999618530272,16.516,15.24506378173828,3.902601718902588,12.483959197998049,5.966217994689941,8.283745765686035,13.296178817749023,4.695,10.130096435546877,47.5,14.214966773986816,4.428555965423584,4.507828712463379,16.5,18.100000381469727,98.92,8.466622352600098,8.657548904418945,3.354020357131958,16.0903377532959,9.581151008605955,9.379715919494627,19.444849014282227,15.123250007629396,10.03302764892578,22.64140510559082,6.549367427825928,18.052169799804688,23.38,30.492
2014-07-02,11.747480392456056,18.03,7.98,15.205379486083984,8.957649230957031,9.337,17.984140396118164,1.44,9.307507514953612,51.17701721191406,8.361320495605469,10.8993558883667,4.94758415222168,2.7228524684906006,13.074030876159668,16.835,17.634727478027344,5.422007083892822,12.257594108581545,1.819,20.89,6.624053478240967,6.960631370544434,28.23,9.654154777526855,5.749032497406006,11.863452911376951,4.93067741394043,7.796,19.629796981811523,6.618377685546875,22.0725040435791,18.429363250732425,188.1205902099609,10.044195175170898,11.175472259521484,12.18000030517578,16.146,15.26888370513916,3.844356060028076,12.281596183776855,6.029519557952881,8.366583824157715,13.028090476989746,4.609,9.933850288391112,45.75,14.200865745544434,4.36122989654541,4.406994819641113,16.47,18.100000381469727,100.63,8.487722396850586,8.622294425964355,3.3298325538635254,15.934121131896973,9.66490077972412,9.391987800598145,19.241024017333984,15.14152717590332,9.952569007873535,22.33544158935547,6.853596210479736,18.533153533935547,23.86,30.53
2014-07-03,11.93837547302246,,8.06,15.28599739074707,9.210174560546877,9.508,18.094810485839844,1.44,9.44536018371582,52.18424606323242,8.426046371459961,10.887592315673828,4.9253644943237305,2.7833590507507324,13.146666526794434,17.444,17.951351165771484,5.608973503112793,12.376418113708496,1.834,21.55,6.721663475036621,7.335324287414551,28.27,9.760245323181152,5.901544570922852,11.902734756469728,4.93067741394043,7.847,20.175071716308597,6.555643558502197,22.37331962585449,19.10703468322754,190.6742706298828,10.346731185913086,11.516018867492676,12.1899995803833,16.146,15.181541442871094,3.8757190704345694,12.371098518371582,6.14821195602417,8.472015380859375,13.263747215270996,4.679,10.098581314086914,45.75,14.192400932312012,4.383671760559082,4.389202117919922,16.81,17.600000381469727,102.6,8.61960220336914,8.823748588562012,3.3137073516845703,16.27779769897461,9.774972915649414,9.625100135803224,19.379627227783203,15.53445529937744,10.016935348510742,22.444711685180664,7.0479655265808105,18.89845848083496,24.36,30.577
2014-07-04,11.982430458068848,,8.19,15.261186599731444,9.132476806640623,9.542,18.150146484375,1.44,9.485383987426758,52.539180755615234,8.437813758850098,10.993467330932615,4.958694934844971,2.768837213516236,13.262882232666016,17.613,18.11566925048828,5.663363933563232,12.557780265808104,1.896,21.58,6.740175724029541,7.284885406494141,28.25,9.724882125854492,5.894913673400879,11.973444938659668,4.954535961151123,7.882,20.3281307220459,6.819124221801758,22.516212463378903,,190.6742706298828,10.399678230285645,11.557717323303224,12.289999961853027,16.262,15.260940551757812,3.857797384262085,12.363322257995604,6.251077175140381,8.637690544128418,13.33250617980957,4.748,10.181658744812012,46.25,14.246001243591309,4.413594722747803,4.347682476043701,16.86,17.799999237060547,102.4,8.614325523376465,8.813675880432129,3.3620822429656982,16.758947372436523,9.82598114013672,9.398119926452637,19.48561286926269,15.507041931152344,10.105440139770508,22.903661727905277,7.132472038269043,19.00804901123047,24.42,30.586
2014-07-07,11.769506454467772,,7.93,15.410014152526855,9.104721069335938,9.473,18.094810485839844,1.45,9.356422424316406,52.01158142089844,8.573148727416992,10.87582778930664,4.9253644943237305,2.7712576389312744,13.357303619384766,17.782,18.15975570678711,5.755146026611328,12.52651023864746,1.86,21.26,6.613955020904541,7.56590461730957,28.23,9.746098518371582,5.875020980834961,11.887022972106934,5.081779003143311,8.026,20.222898483276367,6.718751430511475,22.27555656433105,19.032655715942383,195.7816162109375,10.513126373291016,11.738415718078612,12.0,16.068,15.26888370513916,3.893641710281372,12.374999046325684,6.140299320220947,8.63016128540039,13.201096534729004,4.773,10.17020320892334,45.5,14.16137409210205,4.3986334800720215,4.3180251121521,16.81,17.600000381469727,101.68,8.508822441101074,8.723020553588867,3.2733945846557617,16.821434020996094,9.8125581741333,9.355179786682127,19.23287010192871,15.452218055725098,9.839927673339844,22.59332275390625,7.140923023223877,18.75233459472656,24.26,30.183
2014-07-08,11.79887580871582,,7.9,15.664266586303713,9.10195255279541,9.371,18.27741813659668,1.44,9.418679237365724,52.0979118347168,8.573148727416992,10.822890281677246,4.9253644943237305,2.72527289390564,13.408145904541016,17.926,18.187816619873047,5.785740375518799,12.514002799987791,1.863,21.07,6.63078498840332,7.515464305877685,28.2,9.689518928527832,5.828604221343994,12.00486946105957,5.081779003143311,8.018,19.74458885192871,6.737571716308594,22.22291374206543,18.792991638183597,197.4840545654297,10.460182189941406,11.710613250732422,11.68000030517578,15.883,15.01479721069336,3.8712375164031982,12.347752571105955,6.108646869659424,8.66028118133545,13.154324531555176,4.761,10.256148338317873,44.0,14.254462242126465,4.428555965423584,4.312094211578369,16.66,16.600000381469727,101.18,8.514098167419434,8.728056907653809,3.2492072582244877,16.36528205871582,9.850142478942873,9.085259437561035,19.118730545043945,15.178075790405272,9.687061309814451,22.602069854736328,7.098669052124023,18.758424758911133,24.32,30.033
2014-07-10,11.505187034606934,,7.92,16.284395217895508,9.48489761352539,9.672,18.465557098388672,1.44,9.409789085388184,52.66388320922852,8.637874603271484,10.869946479797363,4.91795825958252,2.805142402648926,13.4226713180542,18.527,18.53249168395996,6.135876655578613,12.614065170288086,1.908,20.94,6.681272029876709,7.601930618286133,27.92,9.873406410217283,5.808711051940918,11.949873924255373,5.049968242645264,8.103,20.36639213562012,6.756392002105713,22.29811668395996,18.586381912231445,200.8889617919922,10.369420051574709,11.613314628601074,12.960000038146973,15.795,15.2291841506958,4.005655765533447,12.919806480407717,6.187775135040283,8.780773162841797,13.406006813049316,4.851,10.313444137573242,42.5,14.37294578552246,4.428555965423584,4.359544277191162,16.97,14.199999809265137,102.84,8.957208633422852,9.120896339416504,3.2250194549560547,16.746444702148438,9.831347465515137,9.171141624450684,19.29809188842773,15.18264865875244,9.606602668762209,22.78127670288086,7.02261209487915,18.75233459472656,24.3,29.61
2014-07-11,11.497844696044922,,7.95,16.197572708129883,9.473796844482422,9.719,18.38255882263184,1.49,9.400893211364746,52.75981140136719,8.737905502319336,11.169928550720217,4.977210521697998,2.868071317672729,13.509836196899414,18.62,18.556543350219727,6.003300666809082,12.62657070159912,1.955,20.99,6.64929723739624,7.659577369689941,28.31,9.908770561218262,5.901544570922852,12.012727737426758,5.018157482147217,8.171,20.452486038208008,6.768937587738037,22.320676803588867,18.5781192779541,198.3352813720703,10.399678230285645,11.59941864013672,13.489999771118164,16.078,15.340344429016112,4.001175403594971,12.900350570678713,6.314379215240479,8.886199951171875,13.586418151855469,4.847,10.370739936828612,42.75,14.52809715270996,4.443517208099365,4.28836727142334,17.26,16.100000381469727,102.52,8.973037719726562,9.186367988586426,3.265331506729126,16.758947372436523,9.860883712768556,9.16500473022461,19.54268455505371,15.356268882751465,9.550283432006836,22.877443313598636,7.090218544006348,18.697540283203125,24.2,29.366
2014-07-14,11.4537935256958,,8.11,16.72467613220215,9.884493827819824,10.068,18.255285263061523,1.49,9.552087783813477,53.22985458374024,8.732020378112793,11.481675148010254,5.110528469085693,2.945520401000977,13.756787300109863,18.755,18.49642372131348,6.152873992919922,12.920504570007324,2.018,21.3,6.6728596687316895,7.976624965667725,28.89,9.958279609680176,5.802080154418945,12.334846496582031,5.22492790222168,8.401,21.1125545501709,6.888130187988281,22.328201293945312,18.619441986083984,200.8889617919922,10.58876132965088,11.870465278625488,13.239999771118164,15.932,15.356229782104492,4.095268726348877,13.203889846801758,6.440983772277832,8.908792495727539,13.519598007202148,4.88,10.45668601989746,42.5,14.96535301208496,4.488401412963867,4.229053497314453,17.31,15.600000381469728,100.39,9.315922737121582,9.619497299194336,3.3298325538635254,16.946409225463867,10.07834529876709,9.257024765014648,19.322553634643555,15.671528816223145,9.62269401550293,23.16591453552246,7.259234428405762,18.788867950439453,24.39,30.033
