,ALLL3,AMBV4,BRML3,B3SA3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,BISA3,CCRO3,CMIG4,CESP6,CTIP3,HGTX3,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,DASA3,DXCO3,ECOR3,ELET3,ELET6,ELPL4,EMBR3,ENBR3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HYPE3,ITSA4,ITUB4,JBSS3,KLBN4,LIGT3,PRML3,RENT3,LAME4,LREN3,MRFG3,MMXM3,MRVE3,NATU3,OGXP3,OIBR4,PCAR4,PDGR3,PETR3,PETR4,RSID3,SANB11,CSNA3,CRUZ3,VIVT4,TIMS3,UGPA3,USIM5,VALE3,VALE5
2012-02-29,9.77,65.49,12.397189140319824,2.487622022628784,7.84,14.74264144897461,14.015896797180176,8.448461532592773,33.343467712402344,5.79,9.207356452941896,5.19980525970459,18.544,27.56,32.107,7.904032230377197,2.166,4.905856132507324,15.162522315979004,11.563277244567873,14.740190505981444,5.059906959533691,9.215483665466309,9.907825469970703,13.202,29.69,11.807881355285645,7.522382259368896,12.85096836090088,226.45933532714844,13.09465217590332,15.274053573608398,14.989999771118164,8.78708267211914,3.684375286102295,10.858860969543455,5.661897659301758,1.1471329927444458,19.091501235961918,35.79426956176758,6.692207336425781,3.804,8.715144157409668,7.892106056213379,1444.6824951171875,7.159283638000488,16.38,1700.0,96.88777160644533,76.02,3235.16650390625,12.792346000671388,11.092935562133787,244.2089385986328,9.366838455200195,10.10171127319336,21.91,29.488,7.902414798736572,16.6546688079834,9.782500267028809,23.657997131347656,32.22
2012-03-01,9.86,65.64,12.740772247314451,2.533087491989136,7.942,14.779285430908203,14.228789329528809,8.611139297485352,33.2598876953125,5.88,9.395261764526367,5.311708450317383,18.62,27.68,31.396,8.040486335754395,2.237,4.972862720489502,15.261157989501951,12.157461166381836,14.767827987670898,5.038845539093018,9.58144187927246,9.854785919189451,13.15,29.84,11.900131225585938,7.554620265960693,12.611303329467772,230.00881958007807,13.247845649719238,15.594916343688965,14.449999809265137,9.1171875,3.792461395263672,11.102523803710938,6.235842704772949,1.155192494392395,19.01429748535156,36.08766555786133,6.911623954772949,3.804,8.692483901977539,7.966911792755127,1465.663330078125,7.304020404815674,16.9,1718.0,97.97359466552734,76.19,3327.725830078125,13.041223526000977,11.353034019470217,244.92091369628903,9.569912910461426,10.24593734741211,22.4,29.235,7.818754196166992,17.022018432617188,10.00082302093506,23.929607391357425,32.55
2012-03-02,9.96,66.41,12.566163063049316,2.604533672332764,8.058,14.840354919433594,14.497450828552246,8.838889122009277,32.76762008666992,6.03,9.334866523742676,5.2830095291137695,18.501,28.09,32.341,8.108715057373047,2.279,5.023916244506836,15.261157989501951,12.638154983520508,14.555938720703123,5.033580780029297,9.734478950500488,10.01390552520752,13.312,30.09,11.983154296875,7.628053188323975,13.098896980285645,239.23757934570312,13.39374828338623,15.842240333557127,14.5,9.51016902923584,3.845307111740112,11.251754760742188,6.259110450744629,1.2183250188827517,18.98621940612793,36.47885894775391,6.9052934646606445,3.632,8.573844909667969,7.735011100769043,1494.1373291015625,7.495278358459473,16.76,1743.0,98.39119720458984,76.84,3446.73046875,13.24032974243164,11.544679641723633,262.0083923339844,9.874528884887695,10.51708698272705,23.07,29.714,7.986080646514893,16.872516632080078,10.22754192352295,24.14690971374512,32.8
2012-03-05,9.88,66.57,12.915380477905272,2.598038673400879,7.942,14.534997940063477,14.52279567718506,8.567757606506348,32.50756072998047,5.95,9.146960258483888,5.388661861419678,18.265,28.5,32.837,8.236157417297363,2.221,4.995198726654053,15.496790885925291,12.711593627929688,14.924442291259766,5.07570219039917,9.714519500732422,10.07224941253662,13.423,30.19,11.807881355285645,7.696113586425781,12.884024620056152,239.94749450683597,13.16030216217041,15.70854949951172,14.380000114440918,9.22722053527832,3.8048946857452393,11.087606430053713,6.259110450744629,1.1968330144882202,19.070446014404297,36.96785354614258,6.80402421951294,3.657,8.531190872192383,7.802338123321533,1432.693359375,7.567648410797119,16.54,1726.0,96.55368041992188,77.65,3345.356201171875,12.852078437805176,11.220701217651367,252.2780303955078,9.503915786743164,10.395936012268066,23.65,29.61,7.826356887817383,16.834070205688477,10.513038635253906,23.44069480895996,31.87
2012-03-06,9.74,66.12,12.746405601501465,2.533087491989136,7.723,14.042359352111816,14.2693452835083,8.090564727783203,32.13603973388672,5.87,9.395261764526367,5.213005542755127,17.918,28.36,32.574,8.180804252624512,2.196,4.979245662689209,15.666664123535156,12.20419979095459,14.694127082824709,5.02831506729126,9.880864143371582,9.860087394714355,13.099,30.11,11.411211013793944,7.665665149688721,12.47907543182373,232.8484649658203,12.51834201812744,14.872991561889648,14.100000381469728,8.936415672302246,3.6960954666137695,10.71453094482422,6.305647850036621,1.1605650186538696,18.796707153320312,35.50087356567383,6.645793914794922,3.562,8.524523735046387,7.74249267578125,1348.7698974609375,7.314359664916992,16.48,1691.0,96.0525360107422,76.52,3239.573974609375,12.364276885986328,10.83739948272705,242.78497314453125,9.189146041870115,10.09017276763916,23.21,29.16,7.582973003387451,16.569236755371094,10.202349662780762,22.305334091186523,30.44
2012-03-07,9.76,68.07,13.067459106445312,2.6088640689849854,7.908,13.741070747375488,14.472111701965332,8.090564727783203,32.72117614746094,6.04,9.610011100769045,5.1769328117370605,18.07,28.5,33.324,7.991568565368652,2.192,5.025510787963867,15.370755195617676,12.765002250671388,14.555938720703123,5.080967426300049,10.12039852142334,9.955560684204102,13.278,30.31,11.540360450744627,7.633425712585449,12.56171703338623,241.3673095703125,12.474567413330078,14.832880973815918,14.100000381469728,9.195780754089355,3.755157232284546,10.938379287719728,6.390962600708008,1.2075788974761963,18.67036819458008,36.38106155395508,6.704866886138916,3.583,8.711143493652344,8.393310546875,1335.2822265625,7.660692691802978,16.93,1711.0,96.88777160644533,76.71,3385.0244140625,12.468805313110352,10.942352294921877,259.8724975585937,9.35668659210205,10.05555820465088,23.19,29.695,7.803543090820312,16.7016544342041,9.975631713867188,22.27273750305176,30.42
2012-03-08,9.51,69.09,13.518059730529783,2.6608235836029053,8.038,13.700353622436523,14.512659072875977,8.155638694763184,33.52921676635742,6.41,9.824762344360352,5.302816390991211,18.078,28.0,34.394,7.951662063598633,2.208,5.031892776489258,15.50775146484375,12.951939582824709,14.509875297546388,5.265252113342285,10.499663352966309,9.791138648986816,13.082,30.23,11.789432525634766,7.414917945861816,12.56171703338623,246.33663940429688,12.693419456481934,15.060160636901855,14.75,9.368695259094238,3.845307111740112,11.287559509277344,6.406475067138672,1.2371302843093872,18.459796905517575,37.652442932128906,7.04664945602417,3.739,8.9310884475708,8.378348350524902,1416.2083740234375,7.65552282333374,16.94,1699.0,95.05023956298828,82.39,3459.953369140625,12.48373794555664,10.992548942565918,278.3839416503906,9.549607276916504,10.19401741027832,23.43,30.417,8.024109840393066,16.898149490356445,10.084792137145996,22.354223251342773,30.39
2012-03-09,9.6,70.69,13.518059730529783,2.7084548473358154,8.188,13.700353622436523,14.563344955444336,8.215287208557129,33.90073776245117,6.07,9.683833122253418,5.4639506340026855,18.501,28.67,33.859,7.960673809051514,2.196,5.033489227294922,15.96257209777832,12.351075172424316,14.25192165374756,5.349495887756348,10.339973449707031,9.706274032592772,13.006,30.19,12.001608848571776,7.594023704528809,12.867496490478516,246.33663940429688,13.02899169921875,15.401066780090332,14.460000038146973,8.999292373657227,3.882609605789185,11.46664047241211,6.359939098358154,1.2102655172348022,18.66334724426269,37.16344833374024,7.099391460418701,3.661,8.831111907958984,8.460636138916016,1369.750732421875,7.495278358459473,16.73,1683.0,94.54910278320312,82.6,3336.540771484375,12.379209518432615,10.819147109985352,267.94158935546875,9.498834609985352,10.349781036376951,23.92,31.346,8.191436767578125,17.000661849975586,10.084792137145996,22.332489013671875,30.27
2012-03-12,9.46,71.59,13.658876419067385,2.706289052963257,8.134,13.59449863433838,14.624175071716309,8.079721450805664,34.36513137817383,6.13,9.569746971130373,5.457343578338623,18.586,27.56,33.47,7.9104695320129395,2.158,5.138784885406494,16.05572509765625,12.51798152923584,14.049243927001951,5.275782585144043,10.26012897491455,9.722187042236328,13.082,30.13,12.176880836486816,7.626262664794922,12.768324851989746,246.33663940429688,13.036287307739258,15.594916343688965,14.25,9.219362258911133,3.8328723907470703,11.284574508666992,6.305647850036621,1.2478764057159424,18.52998733520508,36.67445755004883,7.122601509094238,3.673,8.737808227539062,8.655133247375488,1336.7808837890625,7.412572860717773,16.55,1667.0,93.54681396484376,80.4,3327.725830078125,12.284635543823242,10.691381454467772,264.8563232421875,9.407453536987305,10.27478313446045,24.37,31.196,7.917624950408935,17.04337501525879,10.219143867492676,22.06630516052246,29.92
2012-03-13,9.69,72.24,13.658876419067385,2.738765001296997,8.284,14.115640640258787,15.009425163269045,8.372542381286621,34.829524993896484,6.31,9.643567085266112,5.639606475830078,18.772,27.04,34.024,7.891161918640137,2.229,5.216958999633789,16.039287567138672,13.00535011291504,14.371685028076172,5.686471939086914,10.506318092346191,9.91843318939209,13.261,30.22,12.361379623413086,7.796411514282227,12.950139999389648,253.4356689453125,13.714727401733398,16.350263595581055,14.84000015258789,9.816694259643556,3.870176315307617,11.415902137756348,6.359939098358154,1.2935469150543213,19.0564079284668,39.60841369628906,7.179562091827393,3.751,8.83778190612793,9.171300888061523,1410.2138671875,7.645185947418213,17.03,1713.0,97.38890838623048,80.2,3407.062255859375,12.767460823059082,11.147692680358888,275.0613708496094,9.569912910461426,10.70169734954834,24.4,31.778,8.008895874023438,17.368013381958008,10.680978775024414,23.19624137878418,31.52
