Date,ABEV3,AEDU3,ALLL3,BBAS3,BBDC3,BBDC4,BBSE3,BRAP4,BRFS3,BRKM5,BRML3,BRPR3,B3SA3,CCRO3,CESP6,CIEL3,CMIG4,CPFE3,CPLE6,CRUZ3,CSNA3,CTIP3,CYRE3,DXCO3,ECOR3,ELET3,ELET6,ELPL4,EMBR3,ENBR3,YDUQ3,EVEN3,FIBR3,GFSA3,GGBR4,GOAU4,GOLL4,HGTX3,HYPE3,ITSA4,ITUB4,JBSS3,KLBN11,COGN3,LAME4,LIGT3,LREN3,MRFG3,MRVE3,NATU3,OIBR4,PCAR4,PDGR3,PETR3,PETR4,POMO4,QUAL3,RENT3,RSID3,SANB11,SBSP3,EGIE3,TIMS3,UGPA3,USIM5,VALE3,VALE5,VIVT4
2014-02-28,12.34914493560791,13.04,6.75,12.43817138671875,8.02185344696045,7.935,12.893244743347168,9.303753852844238,40.865421295166016,9.147905349731444,10.390303611755373,4.324906826019287,2.3979434967041016,11.640687942504885,12.359,12.499727249145508,3.953751564025879,10.175869941711426,1.377,18.58,6.945139408111572,21.79,8.94237995147705,6.552584648132324,9.048636436462402,3.7652993202209473,5.966,7.37,19.86974334716797,5.155498504638672,16.482879638671875,5.808853149414063,20.49543190002441,180.73350524902344,10.81229305267334,12.307775497436523,11.079999923706056,18.248,11.53701877593994,3.4379100799560547,11.016648292541504,5.875490665435791,8.657920837402344,9.38599681854248,3.85,13.242773056030272,8.134834289550781,3.0670742988586426,4.5796403884887695,15.27,35.900001525878906,95.01,685.2373657226562,6.608565330505371,6.419003009796143,3.703110456466675,13.272188186645508,8.28553295135498,42.75,6.956569671630859,16.861095428466797,15.168943405151367,8.954363822937012,22.79439163208008,8.256429672241211,19.540489196777344,24.74,28.625
2014-03-05,12.290620803833008,13.21,6.95,12.43817138671875,7.85123348236084,7.847,12.965182304382324,8.875894546508789,42.56021118164063,8.8363676071167,10.448155403137209,4.33762788772583,2.3812742233276367,11.74927806854248,12.156,12.749725341796877,3.959640502929688,9.873014450073242,1.36,18.9,6.888575077056885,21.74,8.798592567443848,6.456132888793945,9.231806755065918,3.689993143081665,5.881,7.27,19.63262939453125,5.011166572570801,16.572378158569336,5.686817646026611,20.24750518798828,184.8410797119141,10.744903564453123,12.149717330932615,10.770000457763672,18.238,11.433796882629396,3.3748857975006104,10.852432250976562,5.883324146270752,8.532506942749023,9.57071018218994,3.821,13.3792142868042,8.143295288085938,3.0072290897369385,4.500680923461914,15.61,35.400001525878906,93.28,662.54736328125,6.466117858886719,6.277303695678711,3.73510217666626,12.928508758544922,8.157899856567383,40.75,6.901887893676758,16.853248596191406,14.89480209350586,8.985616683959961,22.56710433959961,8.104314804077148,18.85953140258789,23.92,29.075
2014-03-06,12.341830253601074,13.34,7.11,12.167777061462402,8.162088394165039,8.154,13.014984130859377,8.836602210998535,42.13175582885742,8.932662963867188,10.685351371765137,4.3656110763549805,2.428900718688965,12.234305381774902,12.3,12.911133766174316,3.9743611812591553,10.242496490478516,1.418,18.88,6.946220874786377,22.13,8.928686141967773,6.630948066711426,9.605474472045898,3.689993143081665,5.873,7.32,19.35758399963379,4.982300281524658,16.408296585083008,5.816987991333008,20.53675651550293,183.19805908203125,10.865296363830566,12.122102737426758,10.520000457763672,18.783,11.529080390930176,3.44807505607605,11.15261459350586,6.008667469024658,8.433968544006348,9.34948444366455,3.854,13.53973388671875,8.220834732055664,2.9623448848724365,4.737559795379639,15.8,35.400001525878906,93.95,662.54736328125,6.57804012298584,6.343428134918213,3.759097099304199,13.30967903137207,8.205763816833496,41.0,7.005171775817871,16.861095428466797,15.14609718322754,9.00124454498291,22.838096618652344,8.138118743896484,18.800317764282227,23.92,29.441
2014-03-07,12.261354446411133,13.01,7.09,11.945456504821776,8.046427726745605,8.031,12.837907791137695,8.42184066772461,41.66520690917969,8.54748821258545,10.558077812194824,4.192615509033203,2.4455690383911133,11.770997047424316,11.666,12.913101196289062,3.847769975662232,9.891186714172363,1.359,18.87,6.593142986297607,22.03,8.764354705810547,6.3958516120910645,9.378341674804688,3.5167901515960693,5.626,7.09,19.39552116394043,4.73405122756958,16.102508544921875,5.67868185043335,20.61113548278809,178.2689666748047,10.4890718460083,11.852875709533691,10.199999809265137,18.715,11.87050437927246,3.3748857975006104,10.930127143859863,5.828486442565918,8.256302833557129,9.128254890441896,3.796,12.737139701843262,8.155984878540039,2.9773058891296387,4.669880390167236,15.78,35.5,93.92,648.9334106445312,6.46103048324585,6.2914719581604,3.6791160106658936,13.028488159179688,8.016973495483398,40.0,6.980869770050049,16.42192268371582,14.616096496582031,9.07938003540039,22.72882652282715,7.681775093078613,18.08975601196289,23.04,29.845
2014-03-10,12.210142135620115,12.88,6.93,11.837299346923828,7.881202697753906,7.84,12.62209701538086,8.164251327514648,41.77946853637695,8.54182243347168,10.384519577026367,4.197704315185547,2.393181085586548,11.459708213806152,11.395,13.17884635925293,3.762394428253174,9.564106941223145,1.351,18.85,6.376976490020752,21.93,8.552091598510742,6.239119052886963,9.14388370513916,3.486668109893799,5.634,7.12,19.25325584411621,4.757144927978516,16.057756423950195,5.499698162078857,19.759912490844727,170.05380249023438,10.270864486694336,11.514616012573242,10.260000228881836,18.559,11.775222778320312,3.3545541763305664,10.788867950439451,5.640470504760742,7.972630977630615,9.175509452819824,3.788,12.600699424743652,8.078441619873047,2.9249415397644043,4.495041370391846,15.87,34.29999923706055,92.08,653.4713745117188,6.349106311798096,6.145049095153809,3.6951122283935542,12.841026306152344,7.987722396850586,38.0,6.999095916748047,16.265071868896484,14.255148887634276,8.790277481079102,22.68948554992676,7.369095802307129,17.78776741027832,22.43,29.929
2014-03-11,12.217461585998535,13.07,6.75,12.107694625854492,7.850905895233154,7.881,12.478226661682127,8.199178695678711,41.73186111450195,8.609795570373535,10.419229507446287,4.174806594848633,2.3550798892974854,11.71308422088623,11.31,13.480019569396973,3.8271615505218506,9.933587074279783,1.377,19.43,6.2328643798828125,21.63,8.634259223937988,6.299402236938477,9.561514854431152,3.539381980895996,5.711,6.94,19.21531867980957,4.826423645019531,16.326257705688477,5.589190483093262,19.685535430908203,172.51834106445312,10.376205444335938,11.528427124023438,10.050000190734863,19.202,11.997547149658203,3.391150951385498,10.905407905578612,5.71881103515625,7.915897369384766,9.450429916381836,3.833,12.897658348083496,8.144702911376953,2.8950188159942627,4.607840538024902,15.87,34.5,91.85,639.857421875,6.349106311798096,6.192282676696777,3.719106435775757,12.766045570373535,8.070152282714844,37.25,7.023400783538818,16.578765869140625,14.437910079956056,8.90748119354248,22.50591087341309,7.411348819732666,17.49761962890625,22.21,30.699
2014-03-12,12.232090950012209,12.86,6.65,11.750378608703612,7.878456115722656,7.929,12.384153366088867,8.251568794250488,41.64617156982422,8.6947603225708,10.384519577026367,4.215511798858643,2.357461929321289,11.727560997009276,11.624,13.35601043701172,3.909592390060425,10.20615577697754,1.393,19.53,6.290507793426514,21.79,8.695886611938477,6.365711212158203,9.561514854431152,3.727646827697754,5.966,7.07,19.22480010986328,5.091990470886231,16.09505271911621,5.629868507385254,19.94172477722168,173.33985900878906,10.50411891937256,11.776942253112791,9.920000076293944,19.367,12.053128242492676,3.3667526245117188,10.771207809448242,5.781482696533203,8.157761573791504,9.51486587524414,3.845,13.30698013305664,8.170080184936523,2.932422161102295,4.709359169006348,15.7,34.29999923706055,89.97,635.3193969726562,6.399980068206787,6.2914719581604,3.6791160106658936,12.503600120544434,8.056859016418457,36.75,6.950493335723877,16.531713485717773,14.355666160583496,9.00124454498291,22.444711685180664,7.200079441070557,17.8292179107666,22.51,30.051
2014-03-13,12.13698673248291,12.59,6.79,11.677127838134766,7.751779079437256,7.765,12.290083885192873,8.033273696899414,41.23675537109375,8.598466873168945,10.095256805419922,4.172262668609619,2.345555305480957,11.65516757965088,11.894,13.271363258361816,4.039127826690674,10.690719604492188,1.424,19.14,6.20404052734375,21.79,8.58633041381836,6.377767086029053,9.576167106628418,3.810483455657959,6.069,7.3,18.58934783935547,5.265188694000244,16.087594985961914,5.6135969161987305,20.032634735107425,171.6968231201172,10.406302452087402,11.507715225219728,9.81999969482422,19.474,12.31515407562256,3.3301589488983154,10.626415252685549,5.7971510887146,8.059223175048828,9.486944198608398,3.886,13.884846687316896,8.124966621398926,2.932422161102295,4.743198394775391,15.51,34.0,90.99,608.0914306640625,6.3134942054748535,6.154496192932129,3.63112735748291,12.71605396270752,8.096742630004883,36.5,6.8593597412109375,16.225860595703125,14.849115371704102,8.766837120056152,22.156234741210938,7.250783920288086,17.349584579467773,22.04,29.638
2014-03-14,11.96872329711914,12.39,7.14,11.50011157989502,7.674673557281494,7.662,12.378620147705078,8.06820297241211,41.70329284667969,8.524829864501953,10.124180793762209,4.197704315185547,2.331267833709717,11.63344955444336,11.936,12.956411361694336,3.797723054885864,10.242496490478516,1.373,19.03,6.92460298538208,21.58,8.394609451293945,6.245149612426758,9.422304153442385,3.682463169097901,5.941,7.09,18.447084426879883,5.224776744842529,16.020465850830078,5.459019660949707,19.94172477722168,166.7677459716797,10.639562606811523,11.756231307983398,9.65999984741211,19.134,12.148409843444824,3.2569692134857178,10.343891143798828,5.640470504760742,8.062211036682129,9.471908569335938,3.886,13.692225456237791,8.147525787353516,2.9174606800079346,4.145364284515381,15.64,33.0,89.72,599.0154418945312,6.15578556060791,6.036413192749023,3.5671424865722656,12.65356731414795,8.242989540100098,36.5,6.6710124015808105,15.73963451385498,14.392223358154297,8.774651527404785,21.87649345397949,7.631070613861084,17.32590103149414,22.21,29.441
2014-03-17,12.195513725280762,12.62,7.1,11.414657592773438,7.795841693878174,7.826,12.395224571228027,8.072566986083984,41.79851150512695,8.689096450805664,10.297739028930664,4.197704315185547,2.390799760818481,11.720321655273438,11.877,13.376338958740234,3.824218034744263,10.121355056762695,1.363,19.23,6.939014911651611,21.54,8.394609451293945,6.341597080230713,9.53220558166504,3.742708206176758,5.924,6.98,18.655738830566406,5.034260272979736,15.930968284606934,5.434612274169922,20.01610565185547,164.30319213867188,10.541744232177734,11.67339038848877,10.020000457763672,19.211,12.148409843444824,3.2935619354248047,10.55931568145752,5.640470504760742,7.972630977630615,9.622254371643066,3.96,13.39526653289795,8.212376594543457,2.790289640426636,3.9197652339935294,15.75,32.599998474121094,91.13,576.325439453125,6.115086555480957,5.937224864959717,3.63112735748291,12.49109935760498,8.256284713745117,35.25,6.756073474884033,15.8651123046875,14.483598709106444,8.73558235168457,22.090673446655277,7.529661655426025,17.355504989624023,22.12,29.544
