,ACES4,ALLL11,AMBV4,ARCZ6,ARCE3,BBDC4,BRAP4,BBAS3,BRTP3,BRTP4,BRKM5,CCRO3,CMIG4,CPLE6,CYRE3,ELET3,ELET6,EMBR3,EBTP4,GGBR4,GOAU4,GOLL4,PTIP4,ITSA4,ITUB4,KLBN4,LIGT3,LAME4,NATU3,NETC4,PCAR4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CRUZ3,TAMM4,VCPA4,TNLP3,TNLP4,TMAR5,TCSL4,UBBR11,USIM5,VALE3,VALE5,VIVO4
2006-03-15,30.5,12.37,15.43,9.5,32.63,5.105,6.524268627166748,8.303342819213867,25.02,14.41,8.681838035583496,2.910731315612793,8832.7802734375,0.965,6.313577175140381,9.920833587646484,8.511,17.86361312866211,2.43,10.853672981262209,11.287115097045898,57.27222442626953,16.81,2.5304300785064697,6.991125583648682,,10.954209327697754,1.818,6.76,17.74,75.82,10.7906494140625,8.37972354888916,3.914830684661865,6.2,5.591318607330322,4.3,38.18,27.83,31.58,21.21,35.48,7.02,15.59,12.447566032409668,11.646332740783691,13.69,
2006-03-16,30.5,13.25,15.45,9.55,32.98,5.167,6.539618492126465,8.304767608642578,24.96,14.32,8.63766860961914,2.9672226905822754,8860.5205078125,0.967,6.2975945472717285,10.064674377441406,8.648,17.60962677001953,2.47,10.811684608459473,11.259562492370604,56.35146331787109,16.63,2.5977280139923096,6.986072540283203,,10.528210639953612,1.851,6.71,17.74,74.93,10.813270568847656,8.309370040893555,3.9057576656341553,6.23,5.471625328063965,4.34,38.44,28.4,31.58,21.23,35.28,7.06,15.88,12.119477272033691,11.609743118286133,13.53,
2006-03-17,30.25,12.85,15.27,9.58,33.48,5.174,6.514674186706543,8.250619888305664,24.58,13.82,8.514973640441895,2.991231679916382,8788.03515625,0.988,6.233658790588379,10.30083465576172,8.792,17.69428825378418,2.43,10.88516330718994,11.29629135131836,56.44352722167969,16.66,2.6084954738616943,7.011333465576172,,10.122499465942385,1.838,6.95,17.74,75.83,10.72278118133545,8.138232231140137,3.940235376358032,5.93,5.59986686706543,4.3,37.75,27.96,31.23,21.22,35.59,7.18,16.07,12.035396575927734,11.647550582885742,13.54,
2006-03-20,30.28,13.13,15.27,9.39,33.29,5.153,6.50028133392334,8.165121078491211,24.58,14.23,8.470804214477539,2.954511404037476,8859.62890625,0.995,6.425464630126953,10.582077026367188,8.997,18.03293800354004,2.4,10.76759910583496,11.149358749389648,58.33111572265625,16.19,2.6461827754974365,6.99314546585083,,9.914569854736328,1.904,7.0,17.57,78.07,10.720521926879885,8.261829376220703,3.9633052349090576,5.87,5.633209228515625,4.21,38.64,28.18,31.51,21.17,35.62,7.24,16.17,12.150803565979004,11.78171157836914,13.76,
2006-03-21,29.66,13.18,14.92,9.32,33.11,5.003,6.408174514770508,7.922874927520752,23.61,13.8,8.31375503540039,2.971458911895752,8779.0849609375,0.963,6.553335666656494,10.584224700927734,9.005,17.778945922851562,2.3,10.370819091796877,10.862815856933594,57.08807373046875,15.83,2.5438897609710693,6.8193793296813965,,9.828356742858888,1.875,7.04,16.95,76.68,10.61645793914795,8.13253402709961,4.009449005126953,5.58,5.343384265899658,4.04,38.73,27.78,30.88,20.91,35.11,7.07,15.45,11.952961921691896,11.648770332336426,13.58,
2006-03-22,29.87,13.64,15.02,9.61,32.75,5.065,6.380351543426514,8.237800598144531,23.61,13.98,8.343202590942383,3.128224372863769,8975.9638671875,1.004,6.617269039154053,11.045809745788574,9.371,18.26998710632324,2.38,10.55976390838623,11.094247817993164,58.09190368652344,16.1,2.662334680557251,7.092156410217285,,10.35578155517578,1.933,6.92,17.89,77.55,10.451321601867676,7.999430179595947,4.009449005126953,5.5,5.349369049072266,4.2,39.45,27.56,31.2,21.05,35.22,7.2,15.53,12.084857940673828,11.6841402053833,13.7,
2006-03-23,29.84,14.1,14.92,9.61,32.63,5.003,6.3678789138793945,7.867303371429443,22.97,14.07,8.269584655761719,2.972872018814087,8814.8828125,0.983,6.553335666656494,11.271234512329102,9.082,17.94827651977539,2.43,10.580758094787598,11.057515144348145,55.303489685058594,15.6,2.562732219696045,6.960818767547607,,10.47242546081543,1.994,7.07,17.57,77.1,10.428699493408203,8.062177658081055,4.020854473114014,5.49,5.221983909606934,4.06,39.19,27.79,30.52,21.14,35.22,6.81,15.52,11.837554931640623,11.689016342163086,13.7,
2006-03-24,29.95,13.93,14.77,9.68,32.53,4.955,6.481091499328613,7.9357008934021,22.74,13.83,8.318662643432617,2.9658102989196777,8850.6787109375,0.965,6.393496990203857,11.163891792297363,8.86,17.69428825378418,2.42,10.589155197143556,11.176902770996094,55.86117172241211,15.29,2.5573484897613525,7.006281852722168,,10.3456392288208,1.97,7.05,17.42,75.85,10.49429988861084,8.071688652038574,3.965639114379883,5.52,5.325431823730469,4.05,39.11,28.58,30.88,21.12,34.92,6.75,15.36,11.916692733764648,11.891475677490234,14.07,
2006-03-27,30.05,13.85,15.09,10.42,32.25,4.846,6.735346794128418,7.559506893157959,23.03,14.15,8.20578384399414,3.0081779956817627,8770.1357421875,0.945,6.540546894073486,10.627163887023926,8.588,17.482637405395508,2.43,10.524076461791992,11.094247817993164,54.1881217956543,15.0,2.551964282989502,6.809279441833496,,10.350711822509766,1.933,7.07,16.95,74.24,10.507875442504885,8.100205421447754,4.096807956695557,5.53,5.557121753692627,4.12,38.73,30.04,29.95,20.67,35.04,6.85,15.31,12.495379447937012,12.171996116638184,14.13,
2006-03-28,30.01,13.64,14.63,10.38,31.37,4.73,6.716158866882324,7.06788969039917,22.07,13.36,7.862243175506592,2.8245809078216557,8393.376953125,0.922,6.161732196807861,9.98309326171875,8.035,17.76201629638672,2.25,10.154589653015137,10.745259284973145,53.03558349609375,14.3,2.4442880153656006,6.66783618927002,,9.37193202972412,1.867,6.64,15.67,73.45,10.406075477600098,7.932878017425537,3.986377716064453,5.47,5.59986686706543,4.0,37.56,29.99,29.03,20.09,32.98,6.64,14.49,12.117830276489258,12.257369041442873,14.18,
2006-03-29,30.58,13.51,15.27,10.38,31.13,4.778,6.859115123748779,7.238884925842285,22.36,13.47,7.852424144744873,2.9375641345977783,8680.6455078125,0.908,6.233658790588379,10.625017166137695,8.588,17.736616134643555,2.33,10.328831672668455,10.83709716796875,53.0820541381836,14.8,2.500818490982056,6.646618366241455,,7.556374549865723,1.867,6.88,16.62,74.64,10.618722915649414,8.15915298461914,4.124545097351074,5.73,5.749483585357666,4.09,37.75,30.2,29.95,20.37,34.19,6.72,14.66,12.546490669250488,12.537888526916504,14.6,
2006-03-30,31.07,13.59,15.15,10.46,31.47,4.702,6.9464263916015625,7.281635761260986,22.36,13.46,7.911318302154541,2.996879816055298,8725.3935546875,0.908,6.073822498321533,10.466145515441896,8.571,17.101654052734375,2.41,10.202872276306152,10.818731307983398,51.957401275634766,15.68,2.503509998321533,6.614293098449707,,6.983306407928467,1.883,7.13,17.1,74.64,10.675275802612305,8.204790115356445,4.2168288230896,5.88,5.829846858978272,4.09,36.49,30.45,29.58,20.26,33.58,6.64,14.51,12.826765060424805,12.91597843170166,14.95,
2006-03-31,31.21,13.36,15.29,10.5,32.53,4.654,7.003992080688477,7.908625602722168,22.36,13.59,7.911318302154541,2.8613007068634038,8837.2548828125,0.919,6.163330078125,10.466145515441896,8.571,16.52596092224121,2.41,10.202872276306152,10.83709716796875,53.955753326416016,15.94,2.514277935028076,6.465784072875977,,7.56144380569458,1.838,7.33,17.42,71.41,10.541810035705566,8.202885627746582,4.401139259338379,5.71,5.817878723144531,4.08,37.14,31.07,29.89,20.26,34.37,6.68,14.07,13.23069190979004,12.879382133483888,14.91,
2006-04-03,31.2,13.36,15.86,10.5,33.15,4.743,7.080750942230225,7.858751773834228,23.14,14.15,7.705191612243652,2.7892744541168213,8971.4931640625,0.932,6.2975945472717285,10.627163887023926,8.741,17.017000198364258,2.4,10.473688125610352,11.121798515319824,54.1881217956543,17.16,2.6434898376464844,6.7335076332092285,,7.977298259735107,1.859,7.92,17.57,70.34,10.906023025512695,8.413949012756348,4.585448265075684,5.91,6.025629043579102,4.4,37.35,30.88,30.75,20.58,36.24,6.74,14.47,13.63461971282959,12.928174018859863,15.0,
2006-04-04,31.0,13.13,16.18,10.39,33.45,4.771,7.042372703552246,7.808879375457764,23.21,14.16,7.803347110748291,2.874011516571045,9091.408203125,0.935,6.289602279663086,10.7946195602417,8.792,16.932327270507812,2.31,10.790690422058104,11.31466293334961,55.703163146972656,17.46,2.691946268081665,6.849685192108154,,8.114226341247559,1.896,7.81,17.74,69.5,10.706950187683104,8.281076431274414,4.539306640625,6.27,5.977751731872559,4.42,37.82,30.14,31.2,20.68,36.18,6.7,14.66,13.535698890686035,12.798890113830566,14.88,
