,ACES4,AMBV4,ARCZ6,BBDC4,BRAP4,BBAS3,BRTP4,BRKM5,CMET4,CMIG4,CPLE6,CRTP5,ELET3,ELET6,ELPL4,EMBR3,EMBR4,EBTP3,EBTP4,GGBR4,GOAU4,ITSA4,ITUB4,PRGA4,PETR3,PETR4,SBSP3,SDIA4,CSNA3,CSTB4,CRUZ3,VCPA4,TCOC4,TNLP3,TNLP4,TMAR5,TMCP4,VIVT3,TSPP4,TCSL4,USIM5,VALE3,VALE5
2004-06-30,21.35,8.52,8.57,1.442,2.638490438461304,3.2062008380889893,14.11,6.547858715057373,1.26,4134.4931640625,0.449,47.26,6.610311985015869,5.796,12.96,14.053840637207031,21.97,5.85,3.83,4.648257255554199,4.671717643737793,0.9671558141708374,2.909601211547852,32.34,4.846742153167725,3.5193941593170166,3.0876407623291016,3.96,3.238518238067627,93.1,3.27,31.29,25.22,21.29,20.7,30.43,37.54,12.937472343444824,20.25,3.5,5.308764457702637,5.915247917175293,7.03
2004-07-01,21.6,8.55,8.53,1.469,2.6624767780303955,3.2916979789733887,14.65,6.609280109405518,1.3,4286.6279296875,0.449,45.49,6.68974494934082,5.856,12.93,13.842183113098145,22.31,5.85,3.76,4.687426090240479,4.727460861206055,0.9913341999053956,2.929807186126709,32.74,4.824121952056885,3.500729560852051,3.131190538406372,3.99,3.216289520263672,91.05,3.27,31.32,24.47,22.36,21.42,31.83,36.19,12.681960105895996,19.86,3.36,5.440658092498779,5.808734893798828,6.99
2004-07-02,21.85,8.51,8.53,1.469,2.6145036220550537,3.250374555587769,15.25,6.895533084869385,1.28,4385.06787109375,0.457,45.93,6.904437065124512,6.094,13.95,13.926841735839844,21.61,5.79,3.64,4.7379655838012695,4.744611740112305,0.9859609603881836,2.9068756103515625,33.44,4.801499843597412,3.496177911758423,3.22580885887146,3.96,3.3171732425689697,93.19,3.31,31.46,24.38,22.89,21.85,33.19,35.86,13.002163887023926,19.77,3.35,5.654987812042236,5.79938268661499,6.92
2004-07-05,21.85,8.46,8.51,1.469,2.5665318965911865,3.2631986141204834,15.15,6.909440517425537,1.28,4483.5087890625,0.458,45.94,7.041836738586426,6.188,14.28,13.884512901306152,21.87,5.81,3.6,4.833987712860107,4.781061172485352,0.9752147197723388,2.919703722000122,34.74,4.773221969604492,3.476147413253784,3.1801846027374268,4.01,3.3770194053649902,92.69,3.29,31.52,24.26,23.67,22.07,33.47,35.2,13.196229934692385,19.39,3.38,5.8363423347473145,5.795316696166992,7.01
2004-07-06,21.41,8.4,8.48,1.442,2.4945733547210693,3.2076244354248047,14.76,6.669544696807861,1.26,4376.11962890625,0.452,45.91,6.891554832458496,6.017,14.24,13.884512901306152,21.31,5.79,3.57,4.802398681640625,4.652421951293945,0.953722596168518,2.848984956741333,34.41,4.6940460205078125,3.432445287704468,3.1775929927825928,4.04,3.252197742462158,92.79,3.32,31.62,22.96,23.27,21.23,32.86,34.11,12.77898406982422,18.44,3.29,5.712691783905029,5.732710361480713,6.89
2004-07-07,21.48,8.86,8.45,1.442,2.495532512664795,3.264622926712036,14.48,6.6869282722473145,1.3,4340.32275390625,0.455,48.55,6.962401866912842,6.103,14.64,13.579731941223145,20.97,5.79,3.55,4.71269416809082,4.68350887298584,0.94029039144516,2.8186769485473637,34.94,4.665768146514893,3.3823702335357666,3.2029964923858643,4.02,3.2530527114868164,92.53,3.26,31.62,23.16,23.59,20.94,31.18,34.02,12.491134643554688,18.37,3.4,5.8379902839660645,6.016884326934815,7.12
2004-07-08,20.97,8.9,8.48,1.428,2.47538423538208,3.1563258171081543,14.07,6.594215393066406,1.33,4125.5439453125,0.441,47.86,6.6983323097229,5.907,14.36,13.757521629333496,21.52,5.83,3.55,4.695005416870117,4.704947471618652,0.921484112739563,2.7984697818756104,35.4,4.637489795684815,3.373264074325561,3.1348204612731934,4.03,3.2829761505126958,91.47,3.26,31.79,23.22,22.89,20.45,30.04,35.35,12.419976234436035,18.05,3.4,5.808313846588135,5.915654182434082,7.0
2004-07-12,21.78,9.1,8.65,1.469,2.61210560798645,3.227574825286865,14.53,6.849176406860352,1.35,4241.8828125,0.46,50.21,7.08048152923584,6.196,14.67,13.90991497039795,22.0,5.83,3.66,4.926218509674072,4.984739303588867,0.9671558141708374,2.8803045749664307,35.82,4.660113334655762,3.4005777835845947,3.2029964923858643,4.08,3.368469715118408,94.66,3.27,32.51,23.59,23.97,21.34,31.8,36.19,12.646379470825195,18.27,3.45,6.057267189025879,5.935575485229492,7.08
2004-07-13,21.67,9.06,8.92,1.469,2.590038061141968,3.2560739517211914,14.68,6.837588310241699,1.35,4309.00048828125,0.457,52.32,7.02036714553833,6.196,14.48,14.003039360046388,22.16,5.84,3.77,5.00581693649292,5.039409160614014,0.9752147197723388,2.909601211547852,36.66,4.682734966278076,3.3823702335357666,3.145188093185425,4.1,3.4950008392333984,94.17,3.29,32.66,23.78,24.85,21.48,32.15,35.2,12.552581787109377,18.44,3.35,6.289730072021484,6.021356582641602,7.13
2004-07-14,21.78,9.03,9.12,1.442,2.710449695587158,3.2617738246917725,14.62,6.791231632232666,1.35,4474.5595703125,0.452,52.48,7.106245040893555,6.273,14.69,13.672859191894531,22.23,5.81,3.76,5.180173873901367,5.081215858459473,0.9671558141708374,2.90859055519104,36.89,4.660113334655762,3.375540256500244,3.129894495010376,4.04,3.633501768112183,94.67,3.31,33.55,24.19,24.2,21.07,30.99,34.69,12.678729057312012,18.37,3.31,6.413382530212402,6.098194122314453,7.23
