Date,ABEV3,BBSE3,B3SA3,BRML3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,CCRO3,CMIG4,CIEL3,CPLE6,CSAN3,CPFE3,CYRE3,ECOR3,ELET3,ELET6,EMBR3,ENBR3,EGIE3,EQTL3,YDUQ3,FIBR3,GGBR4,GOAU4,HYPE3,ITSA4,ITUB4,JBSS3,KLBN11,COGN3,RENT3,LAME4,LREN3,MRFG3,MRVE3,MULT3,NATU3,PCAR4,PETR3,PETR4,QUAL3,RADL3,RAIL3,SBSP3,SANB11,CSNA3,SMLE3,TAEE11,VIVT4,TIMS3,UGPA3,USIM5,VALE3,WEGE3
2017-03-01,15.400744438171388,18.524961471557617,5.204026222229004,12.058496475219728,13.199174880981444,14.224,12.35030746459961,24.800668716430664,22.50227928161621,40.0,15.497297286987305,4.595584869384766,16.87734031677246,2.112,8.239911079406738,17.56382179260254,9.39736270904541,8.584750175476074,17.249420166015625,18.649,17.60713768005371,9.871240615844728,19.388111114501957,10.58500862121582,13.16329288482666,23.56938362121582,10.515978813171388,4.277156829833984,22.235164642333984,6.459964752197266,21.64679527282715,9.848715782165527,12.582151412963867,12.686702728271484,10.8395414352417,6.723,19.47891616821289,4.705340385437012,9.201082229614258,18.99701690673828,12.61,56.12,8.667080879211426,7.816473484039307,16.007875442504883,11.056358337402344,8.48072338104248,28.72098731994629,25.314489364624023,9.423423767089844,58.64,12.792474746704102,35.645,8.250146865844727,28.939233779907227,4.257302284240723,22.21304702758789,6.223261833190918
2017-03-02,14.798816680908203,18.863914489746094,5.095040798187256,11.947359085083008,13.065564155578612,14.183,11.643404006958008,24.56865119934082,22.288822174072266,39.290000915527344,15.064738273620604,4.58699369430542,16.706310272216797,2.093,8.305410385131836,17.52939796447754,9.411931991577148,8.263825416564941,16.26328468322754,18.079,17.372892379760742,9.754765510559082,19.278663635253903,10.450212478637695,12.981908798217772,23.82233238220215,10.334123611450195,4.20598840713501,22.292919158935547,6.382368087768555,21.424644470214844,9.815217971801758,12.598587036132812,12.705291748046877,10.664299964904783,6.706,19.21800422668457,4.6679368019104,9.052366256713867,18.98517799377441,12.6,55.87,8.361119270324707,7.609980583190918,15.752676963806152,11.417924880981444,8.1910400390625,28.39539337158203,24.998979568481445,9.127968788146973,56.87,12.66353988647461,35.288,8.233344078063965,28.84012794494629,4.223311424255371,21.067907333374023,6.216191291809082
2017-03-03,14.953598022460938,19.29412078857422,5.122287750244141,11.82828140258789,13.247715950012209,14.525,11.715118408203123,25.76531982421875,22.027172088623047,40.209999084472656,15.139604568481444,4.814626216888428,17.317142486572266,2.157,8.115257263183594,17.570707321166992,9.572197914123535,8.254910469055176,16.7563533782959,18.615,17.880416870117188,9.871240615844728,19.148366928100582,10.606290817260742,13.08555793762207,24.129484176635746,10.555511474609377,4.334090709686279,22.49092674255371,6.459964752197266,21.814773559570312,9.706344604492188,12.639678955078123,12.64023494720459,10.963908195495604,6.714,19.426733016967773,4.5706892013549805,9.201082229614258,19.15680503845215,12.96,56.71,8.413871765136719,7.715743541717529,15.505216598510742,11.322775840759276,8.48072338104248,28.789533615112305,25.468582153320312,9.31457233428955,56.93,12.82050323486328,35.908,8.384568214416504,29.287784576416016,4.410258769989014,21.308990478515625,6.262157917022705
2017-03-06,14.833212852478027,19.196348190307617,5.089591979980469,11.709203720092772,13.30981731414795,14.374,11.602424621582031,25.97216033935547,22.02028465270996,40.59999847412109,14.97323513031006,4.76738166809082,16.907882690429688,2.193,8.315974235534668,17.58448028564453,9.608620643615724,8.263825416564941,17.257373809814453,19.313,17.753538131713867,10.024112701416016,19.283876419067383,10.641763687133787,12.930086135864258,23.26223373413086,10.36574935913086,4.462191581726074,22.449676513671875,6.511695384979248,21.728073120117188,9.312731742858888,12.417783737182615,12.454346656799316,11.023265838623049,6.924,19.6578311920166,4.555727481842041,9.542401313781738,19.316593170166016,13.02,55.85,8.376944541931152,7.604945182800293,15.536148071289062,11.322775840759276,8.620570182800293,28.83237648010254,25.160398483276367,8.980241775512695,56.74,12.887771606445312,35.852,8.275352478027344,29.608837127685547,4.350776195526123,20.826824188232425,6.212655067443848
2017-03-07,14.463456153869627,19.00079727172852,5.032374382019043,11.899727821350098,13.206317901611328,14.183,11.669017791748049,25.654516220092773,21.24909210205078,40.09999847412109,14.831822395324709,5.003602504730225,16.559703826904297,2.218,8.062438011169434,17.59136390686035,9.71789264678955,8.156848907470703,16.7563533782959,18.785,17.89993667602539,10.191546440124512,19.377685546875,10.569045066833496,13.094193458557127,22.684064865112305,10.294589042663574,4.625876903533936,22.34241485595703,6.414698600769043,21.365039825439453,9.304357528686523,12.368475914001465,12.52869987487793,11.017608642578123,6.842,19.30746078491211,4.54076623916626,9.43615436553955,19.292919158935547,13.19,55.46,8.376944541931152,7.64523458480835,15.37374782562256,11.256171226501465,8.39082145690918,28.652437210083008,24.822877883911133,8.78586483001709,56.07,12.971857070922852,35.561,8.191335678100586,29.32848358154297,4.223311424255371,20.706283569335938,6.050001621246338
2017-03-08,14.72142505645752,18.75962448120117,4.9942307472229,11.788588523864746,13.069698333740234,13.93,11.448749542236328,25.048803329467773,21.0356388092041,40.060001373291016,14.557312965393066,4.853280067443848,16.55359649658203,2.163,8.028633117675781,17.598249435424805,9.426502227783203,7.951813697814941,16.398481369018555,18.402,18.33913803100586,9.92947769165039,19.096248626708984,10.423605918884276,12.774614334106444,23.488080978393555,9.598796844482422,4.277156829833984,22.391921997070312,6.291837692260742,21.121206283569336,9.421603202819824,12.549277305603027,12.314933776855469,10.938469886779783,6.505,19.143457412719727,4.488401412963867,9.429511070251465,19.04140281677246,13.14,53.73,7.85998010635376,7.327942371368408,14.80922031402588,11.237142562866213,8.1910400390625,28.12977600097656,23.957050323486328,8.249382972717285,54.89,12.624300956726074,35.129,8.20814037322998,29.30135536193848,4.044862747192383,20.170549392700195,6.046467304229736
2017-03-09,14.876206398010254,18.785694122314453,4.958809852600098,11.70126724243164,13.123525619506836,13.821,11.325810432434082,24.790260314941406,21.056293487548828,40.79999923706055,14.440852165222168,4.66859769821167,16.584135055541992,2.064,8.176528930664062,17.59136390686035,9.54305934906006,7.809181690216064,16.438243865966797,18.445,18.71978187561035,9.92947769165039,18.601119995117188,10.065336227416992,12.43775749206543,24.16561889648437,9.448566436767578,4.277156829833984,22.622936248779297,6.233639717102051,21.18621635437012,9.421603202819824,12.65611457824707,12.036104202270508,10.799975395202637,6.382,19.30746078491211,4.578169345855713,9.861145973205566,19.13905143737793,13.07,52.86,7.812502384185791,7.302760124206543,14.360688209533691,10.843225479125977,8.041204452514648,26.85309600830078,23.480112075805664,8.171631813049316,54.52,12.388854026794434,35.307,8.20814037322998,29.550052642822266,4.112842559814453,20.21072578430176,6.081825733184815
2017-03-10,14.876206398010254,18.89650535583496,5.0923171043396,11.788588523864746,13.23530387878418,13.732,11.192625999450684,24.886293411254883,21.07695198059082,39.880001068115234,15.031461715698242,4.7029571533203125,16.49251365661621,2.126,8.04131031036377,17.577592849731445,9.54305934906006,8.290568351745605,16.199663162231445,18.087,18.31962203979492,9.82756233215332,18.679298400878903,10.22496223449707,13.344676971435549,23.695858001708984,9.416939735412598,4.170406341552734,22.779695510864254,6.259505271911621,21.19706916809082,9.522100448608398,12.6972074508667,12.454346656799316,11.373745918273926,6.259,19.560924530029297,4.555727481842041,9.861145973205566,19.319551467895508,13.48,53.3,7.801952838897705,7.207068920135498,14.42255401611328,11.001171112060549,8.400810241699219,27.315784454345703,23.245304107666016,8.373784065246582,55.66,12.854138374328612,35.063,8.157731056213379,30.74380874633789,3.942891120910645,19.85579872131348,6.134863376617432
2017-03-13,14.927802085876465,18.80525016784668,5.152259349822998,11.76477336883545,13.392619132995604,13.903,11.602424621582031,25.152210235595703,21.469430923461918,39.52000045776367,14.956598281860352,4.930589199066162,16.37645149230957,2.182,8.239911079406738,17.577592849731445,9.83444881439209,8.156848907470703,16.143993377685547,17.892,18.446504592895508,10.176986694335938,19.101459503173828,10.00503158569336,12.955997467041016,24.39146614074707,9.780651092529297,4.25580644607544,23.00245857238769,6.350035667419434,21.581768035888672,9.73146915435791,12.968409538269045,12.407876968383787,11.38222885131836,6.407,20.0976505279541,4.488401412963867,9.96075439453125,19.73677444458008,13.81,55.08,7.875804424285889,7.23728609085083,14.615887641906738,11.157217025756836,8.400810241699219,27.88129425048828,23.700233459472656,8.591486930847168,55.72,12.73081111907959,35.288,8.359363555908203,30.983470916748047,4.010871410369873,20.76655387878418,5.958066463470459
2017-03-14,14.704228401184082,18.903024673461918,5.122287750244141,11.756834983825684,13.214594841003418,13.793,11.59730052947998,25.10196876525879,20.932353973388672,38.310001373291016,14.59890079498291,4.728725910186768,16.187095642089844,2.093,7.906090259552002,17.59136390686035,9.790740966796877,7.907241344451904,15.4441556930542,17.372,18.124418258666992,10.03867244720459,18.866926193237305,9.795742988586426,12.74006462097168,24.111417770385746,9.820182800292969,4.25580644607544,23.32423210144043,6.278903007507324,21.370454788208008,9.756593704223633,12.475314140319824,12.259164810180664,11.551814079284668,6.3,19.680191040039062,4.338788032531738,10.027156829833984,19.51188850402832,13.85,53.78,7.5803961753845215,6.844449996948242,14.368423461914062,10.751882553100586,8.400810241699219,27.03302764892578,23.472774505615234,8.342684745788574,56.82,12.467336654663086,35.241,8.401372909545898,30.974424362182617,3.9513888359069824,20.873699188232425,5.954532146453857
