Date,ABEV3,AZUL4,B3SA3,BBSE3,BRML3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRFS3,BPAC11,CCRO3,CMIG4,CIEL3,CSAN3,CVCB3,CYRE3,ECOR3,ELET3,ELET6,EMBR3,ENBR3,EGIE3,EQTL3,FLRY3,GGBR4,GOAU4,GOLL4,HYPE3,IGTA3,GNDI3,IRBR3,ITSA4,ITUB4,JBSS3,KLBN11,COGN3,RENT3,LAME4,LREN3,MGLU3,MRFG3,MRVE3,MULT3,NATU3,PCAR4,PETR3,PETR4,VBBR3,QUAL3,RADL3,RAIL3,SBSP3,SANB11,CSNA3,SMLS3,SUZB3,TAEE11,VIVT4,TIMS3,UGPA3,USIM5,VALE3,VIIA3,WEGE3,YDUQ3
2019-02-28,15.66753387451172,37.650001525878906,9.401501655578612,21.05012321472168,12.38616943359375,20.712268829345703,23.773,16.547210693359375,40.64021301269531,40.18854522705078,20.56999969482422,7.949799537658691,12.771865844726562,6.94706392288208,9.323481559753418,9.742621421813965,57.87426376342773,13.576703071594238,11.31999969482422,29.40911293029785,31.868,19.07999992370605,14.39120101928711,32.91755294799805,14.979207992553713,17.127981185913086,12.31711483001709,5.267660140991211,26.65999984741211,23.550148010253903,40.354,32.881,26.020977020263672,10.093446731567385,31.83785820007324,11.344175338745115,16.126052856445312,10.84142780303955,31.549081802368164,8.098,36.38172149658203,5.261509895324707,4.114367961883545,11.054401397705078,23.24462127685547,24.11,92.35,15.905616760253906,14.217218399047852,18.30244445800781,13.049965858459473,12.671144485473633,19.438735961914062,36.04123306274414,36.44355010986328,10.914655685424805,34.99,45.39908218383789,17.303699493408203,41.511,10.365382194519045,24.564682006835938,8.309635162353516,34.276546478271484,4.579999923706055,8.788407325744629,25.93358993530273
2019-03-01,15.240156173706056,36.75,9.140586853027344,20.71085357666016,12.127158164978027,20.104814529418945,23.377,16.455345153808594,41.2104721069336,40.668731689453125,20.520000457763672,7.963890075683594,12.520556449890137,6.783036708831787,9.263440132141112,9.510759353637695,57.37876510620117,13.45761013031006,11.100000381469728,28.34344291687012,30.651,18.959999084472656,14.524296760559082,32.27775192260742,15.041217803955078,17.127981185913086,12.227625846862791,5.208967685699463,26.420000076293945,23.4538516998291,39.804,32.195,26.333816528320312,10.019887924194336,31.49882698059082,11.927013397216797,15.96550750732422,10.742600440979004,30.681596755981445,7.999,36.42376708984375,5.314895153045654,4.181694030761719,11.290294647216797,22.755163192749023,23.67,92.68,15.55405616760254,14.028079986572266,18.04044532775879,12.847772598266602,12.368943214416504,19.07913017272949,36.0870361328125,35.951515197753906,11.557185173034668,34.553,46.25638961791992,17.165102005004883,41.201,10.18122673034668,23.783845901489254,8.344042778015137,34.01456451416016,4.539999961853027,8.750238418579102,25.81121635437012
2019-03-06,14.88552188873291,36.70000076293945,9.063172340393066,20.518089294433597,11.932902336120604,19.9527587890625,23.192,16.9204158782959,40.66431427001953,40.28458023071289,19.700000762939453,7.839418888092041,12.323098182678224,6.6817240715026855,9.169090270996094,9.234310150146484,56.15983200073242,13.274998664855955,10.56999969482422,28.02533721923828,30.464,19.170000076293945,14.332971572875977,31.829893112182617,14.745756149291992,17.127981185913086,12.227625846862791,5.230976581573486,26.399999618530277,23.30501747131348,39.008,33.697,25.550262451171875,9.872779846191406,31.50786399841309,11.31883430480957,15.787124633789062,10.396702766418455,30.818567276000977,7.933,36.55826187133789,5.205394268035889,4.189174175262451,11.257758140563965,22.358057022094727,23.48,91.14,15.703203201293944,14.059600830078123,18.40724372863769,12.712976455688477,12.239151000976562,19.27891159057617,35.85805892944336,35.24974060058594,12.641975402832031,33.75,45.9039421081543,17.13045310974121,40.741,10.04968547821045,23.691301345825195,8.275225639343262,34.967899322509766,4.389999866485596,8.864744186401367,24.84164810180664
2019-03-07,15.176502227783203,36.400001525878906,8.914081573486328,20.425559997558597,11.988404273986816,20.135608673095703,23.356,17.144338607788086,40.97495269775391,40.26241302490234,19.489999771118164,7.714945793151855,11.398641586303713,6.643130302429199,9.151936531066896,9.236539840698242,56.0904655456543,13.465547561645508,9.979999542236328,26.39503288269043,28.702,19.11000061035156,14.31633472442627,31.58197021484375,14.654563903808594,17.17005157470703,12.063824653625488,5.172024250030518,26.6299991607666,23.02486991882324,39.254,33.885,25.29005241394043,10.044405937194824,31.94182586669922,11.040088653564451,15.71576976776123,10.248461723327637,30.2432918548584,7.876,35.98664855957031,5.37343692779541,4.234058856964111,11.355368614196776,21.896303176879883,23.26,90.04,15.564706802368164,14.06485652923584,18.52701187133789,12.552906036376951,12.161664009094238,19.408769607543945,35.35429763793945,35.65305709838867,12.299847602844238,33.921,46.32306671142578,16.971067428588867,40.957,10.005839347839355,24.01520347595215,8.283827781677246,35.557369232177734,4.409999847412109,8.8361177444458,24.474533081054688
2019-03-08,15.085572242736816,37.060001373291016,9.063172340393066,20.510377883911133,12.24741268157959,20.329221725463867,23.684,17.10988426208496,42.41308975219727,40.61702346801758,19.86000061035156,7.679717540740967,11.479419708251951,6.802333831787109,9.29775047302246,9.376995086669922,56.5165901184082,13.687856674194336,10.0600004196167,27.365264892578125,29.349,19.290000915527344,14.632441520690918,32.12579345703125,15.0466890335083,17.60462188720703,12.047447204589844,5.208967685699463,27.049999237060547,22.92856979370117,40.177,33.09,26.634958267211918,10.224212646484377,32.32154846191406,11.10766315460205,16.06361961364746,11.039084434509276,30.909883499145508,8.052,36.86929702758789,5.4847588539123535,4.211616516113281,11.664467811584473,22.4688777923584,23.96,91.54,15.447517395019531,14.012314796447754,18.63929748535156,13.10894012451172,12.94041347503662,19.69845199584961,35.91300582885742,35.81438064575195,11.482084274291992,34.475,44.80849838256836,17.29676628112793,41.586,10.303997039794922,24.292837142944336,8.318235397338867,35.55009078979492,4.679999828338623,8.969708442687988,26.451322555541992
2019-03-11,15.558416366577148,39.45000076293945,9.4330415725708,21.373971939086918,12.50642204284668,21.157447814941406,24.641,17.517536163330078,43.71311950683594,40.846038818359375,20.32999992370605,7.736083507537842,11.560198783874512,6.922942161560059,9.537914276123049,9.782750129699709,57.77516174316406,13.77519416809082,10.199999809265137,28.128725051879883,30.966,19.21999931335449,14.765538215637209,32.16579055786133,14.846068382263184,18.06580352783203,12.203055381774902,5.231132984161377,26.350000381469727,23.13867950439453,40.423,32.464,26.60572052001953,10.510257720947266,33.379337310791016,11.192131996154783,15.947668075561523,11.345450401306152,32.13349151611328,8.249,38.357181549072266,5.537839889526367,4.211616516113281,11.8840913772583,22.976804733276367,23.91,93.05,16.321104049682617,14.579745292663574,18.11530303955078,13.10051441192627,12.979155540466309,19.75838851928711,37.46091079711914,36.91947555541992,12.14964771270752,34.264,45.10378646850586,17.69869613647461,42.111,10.505692481994627,24.69077682495117,8.602105140686035,36.29966735839844,4.760000228881836,9.05558967590332,26.536043167114254
2019-03-12,15.45839023590088,40.209999084472656,9.476049423217772,21.435657501220703,12.450920104980469,21.388710021972656,24.709,17.718490600585938,43.46549606323242,40.22547912597656,20.049999237060547,7.867600440979004,11.82048225402832,7.048375606536865,9.40925407409668,9.773833274841309,57.03190994262695,13.378214836120604,10.220000267028809,27.746994018554688,30.387,18.850000381469727,14.449432373046877,32.90155029296875,15.044865608215332,18.083534240722656,12.014686584472656,5.216355800628662,26.549999237060547,23.725248336791992,40.276,32.484,26.357202529907227,10.542954444885254,33.45168685913086,11.572240829467772,15.876314163208008,11.098380088806152,31.941734313964844,8.052,37.95369338989258,5.4250030517578125,4.480920791625977,11.94916534423828,22.81057357788086,24.49,91.84,16.0494384765625,14.448394775390623,18.369815826416016,13.327983856201172,12.996593475341797,19.75838851928711,39.10039138793945,37.04853057861328,11.824211120605469,34.093,44.02739715576172,18.003604888916016,41.783,10.461846351623535,24.84810447692871,8.619309425354004,36.36515426635742,4.840000152587891,9.069902420043944,26.63958740234375
2019-03-13,15.367457389831545,40.5,9.541993141174316,21.666976928710938,12.58967399597168,21.377952575683597,24.949,17.99408531188965,44.13368988037109,40.38800048828125,20.299999237060547,7.952149391174316,12.044864654541016,7.091794490814209,9.254864692687988,9.809503555297852,55.49586486816406,13.719616889953612,10.420000076293944,28.073055267333984,30.761,18.81999969482422,14.940229415893556,33.91722869873047,15.037569999694824,18.28752326965332,12.26857566833496,5.327184677124023,27.43000030517578,24.513168334960938,40.57,32.016,26.08822250366211,10.608333587646484,33.813323974609375,11.927013397216797,16.09037971496582,10.969904899597168,31.366455078125,8.069,37.28960037231445,5.377380847930908,4.421075344085693,12.00610637664795,22.875219345092773,24.27,92.78,16.480905532836914,14.763631820678713,18.384784698486328,13.715523719787598,13.57968521118164,20.13797187805176,39.402645111083984,37.97615051269531,12.925688743591309,34.701,43.9130859375,18.142200469970703,42.412,10.85646629333496,25.1766357421875,8.688127517700195,36.89641189575195,4.619999885559082,9.15101146697998,26.451322555541992
2019-03-14,15.149222373962402,41.27999877929688,9.513322830200195,21.21975898742676,12.460171699523926,21.30265235900879,25.01,17.873516082763672,43.799591064453125,40.89036178588867,20.75,7.985026836395264,11.982037544250488,7.053199291229248,9.169090270996094,9.742621421813965,55.24811553955078,13.695796966552734,10.350000381469728,27.90604591369629,30.745,18.790000915527344,14.87368106842041,34.325103759765625,14.95549774169922,18.181095123291016,12.088396072387695,5.282852649688721,26.799999237060547,24.294300079345703,40.305,32.066,26.020977020263672,10.436701774597168,33.279911041259766,12.163524627685549,15.831719398498535,10.920491218566896,31.6495361328125,7.979,37.15508270263672,5.353721618652344,4.421075344085693,11.84342098236084,22.53352165222168,23.53,93.03,16.667341232299805,14.810917854309082,18.48209953308105,13.723949432373049,13.37628173828125,20.27781867980957,39.99798583984375,37.73416519165039,12.850586891174316,37.095,43.817832946777344,18.010534286499023,42.271,10.8915433883667,25.167381286621094,8.980597496032715,36.9036865234375,4.639999866485596,9.108070373535156,26.168920516967773
2019-03-15,15.240156173706056,41.5,9.711159706115724,21.666976928710938,12.182661056518556,21.40485191345215,25.106,18.01131248474121,44.1744384765625,40.34368515014648,22.21999931335449,8.266851425170898,11.73072910308838,7.101444244384766,9.031855583190918,9.871929168701172,53.741798400878906,13.61640167236328,10.0600004196167,28.98761558532715,31.604,19.75,15.06501007080078,34.549034118652344,15.019330024719238,18.43829345703125,12.375043869018556,5.378905296325684,27.600000381469727,24.63573265075684,40.364,33.16,25.754920959472656,10.461223602294922,33.27083969116211,12.543636322021484,15.849557876586914,10.65365505218506,31.4121150970459,8.024,36.97856903076172,5.374650478363037,4.488401412963867,11.672602653503418,22.76440048217773,23.25,92.31,16.843124389648438,14.84244155883789,18.87135124206543,13.648125648498535,13.30073070526123,20.51755714416504,40.07126235961914,37.500247955322266,13.025823593139648,36.113,44.4846305847168,18.09369468688965,43.172,11.22477912902832,25.458894729614254,8.731136322021484,36.78724670410156,4.539999961853027,9.189181327819824,25.415861129760746
